2mo,9mo,18mo,gene_name,distance
0.64,0.66,0.44,RP23-317L18.3,1068
0.64,0.66,0.44,Xkr4,174819
0.62,0.82,0.85,Xkr4,225156
0.81,0.97,0.75,Gm22307,21
0.81,0.97,0.75,RP23-285G23.3,1741
0.87,0.76,0.66,St18,57508
0.62,0.44,0.37,Pcmtd1,18592
0.61,0.8,0.82,WI1-817D1.2,2661
0.61,0.8,0.82,Pcmtd1,26857
0.57,0.28,0.55,Sntg1,51402
0.42,0.23,0.45,RP23-228G18.3,1625
0.42,0.23,0.45,Ppp1r42,315
0.42,0.23,0.45,Tcf24,2993
0.72,0.78,0.54,Ppp1r42,5874
0.45,0.44,0.23,Cspp1,51269
0.95,0.74,0.88,Cspp1,26304
0.42,0.33,0.15,Prex2,136342
0.79,0.87,0.64,Sulf1,63236
0.27,0.19,0.04,Sulf1,30340
0.42,0.34,0.2,Slco5a1,13370
0.59,0.61,0.8,Slco5a1,31506
0.61,0.62,0.41,RP24-178B14.2,373
0.6,0.46,0.36,Ncoa2,80500
0.53,0.36,0.31,Ncoa2,82585
0.45,0.38,0.17,Ncoa2,98913
0.45,0.38,0.17,RP23-93D12.1,2416
0.66,0.47,0.73,Ncoa2,116606
0.4,0.33,0.2,Ncoa2,63448
0.54,0.44,0.26,Ncoa2,61450
0.84,0.77,0.61,Lactb2,6250
0.78,0.66,0.53,Lactb2,6316
0.64,0.73,0.46,Eya1,25870
0.66,0.46,0.5,Eya1,65146
0.31,0.19,0.09,Kcnb2,7282
0.29,0.18,0.07,Kcnb2,68791
0.61,0.31,0.39,Kcnb2,14537
0.5,0.29,0.33,Terf1,17024
0.46,0.59,0.27,Gm28095,3236
0.46,0.59,0.27,Stau2,3068
0.71,0.59,0.42,Stau2,27235
0.71,0.59,0.42,Gm7568,2317
0.66,0.7,0.4,Ube2w,19848
0.56,0.49,0.2,Ly96,8655
0.83,0.67,0.54,Gm29649,927
0.6,0.34,0.33,Gm28376,85528
0.6,0.34,0.33,Jph1,45543
0.81,0.65,0.57,Crisp4,16532
0.8,0.75,0.58,Pkhd1,255277
0.83,0.87,0.6,Pkhd1,149035
0.65,0.42,0.41,Tram2,40909
0.38,0.43,0.15,RP23-278E1.4,2123
0.69,0.5,0.44,RP24-496H1.1,2415
0.69,0.5,0.44,Kcnq5,60199
0.74,0.59,0.5,Kcnq5,71835
0.6,0.36,0.29,Kcnq5,93872
0.48,0.36,0.27,Kcnq5,110609
0.83,0.62,0.62,Kcnq5,252413
0.73,0.55,0.32,Kcnq5,275598
0.64,0.67,1.0,Rims1,28020
0.61,0.8,0.57,Rims1,50026
0.68,0.6,0.41,Rims1,234416
0.33,0.25,0.11,Rims1,187082
0.55,0.36,0.25,Gm29506,13942
0.54,0.56,0.28,4933415F23Rik,1406
0.54,0.56,0.28,Gm29506,56552
0.62,0.52,0.32,B3gat2,1435
0.62,0.52,0.32,Smap1,6877
0.26,0.5,0.09,Smap1,38965
0.4,0.21,0.16,Fam135a,15761
0.73,0.78,0.57,Col19a1,20430
0.83,0.7,1.0,Col19a1,135789
0.7,0.6,0.47,Col19a1,50151
0.62,0.55,0.4,Gm29669,11788
0.57,0.36,0.23,Gm29669,2275
0.41,0.25,0.18,Gm26145,1355
0.51,0.38,0.24,Gm26145,795
0.81,0.67,0.96,Khdrbs2,127469
0.78,0.84,0.56,Khdrbs2,242104
0.63,0.63,0.38,Khdrbs2,238915
0.46,0.33,0.24,Khdrbs2,189980
0.4,0.22,0.16,Khdrbs2,189380
0.39,0.36,0.15,Khdrbs2,156853
0.48,0.21,0.21,Prim2,71841
0.62,0.42,0.38,Prim2,87470
0.45,0.46,0.2,Prim2,61367
0.62,0.75,0.53,Rab23,6948
0.68,0.47,0.39,Rab23,11370
0.65,0.47,0.42,RP23-32P22.1,953
0.65,0.47,0.42,Bag2,3476
0.48,0.38,0.23,Zfp451,16868
0.52,0.4,0.25,RP23-32P22.2,1502
0.52,0.4,0.25,Bend6,18201
0.39,0.34,0.11,RP23-32P22.2,999
0.39,0.34,0.11,Bend6,17698
0.34,0.1,0.1,RP23-32P22.2,657
0.34,0.1,0.1,Bend6,17356
0.75,0.61,0.46,RP23-32P22.2,457
0.75,0.61,0.46,Bend6,17156
0.4,0.24,0.13,Dst,22025
0.4,0.24,0.13,AC123072.1,21978
0.88,0.81,0.68,Dst,22321
0.88,0.81,0.68,AC123072.1,22274
0.8,0.7,0.56,Dst,24391
0.8,0.7,0.56,AC123072.1,24344
0.7,0.51,0.41,Gm23792,951
0.7,0.51,0.41,Dst,74136
0.7,0.51,0.41,AC123072.1,74089
0.64,0.35,0.44,Dst,83691
0.64,0.35,0.44,AC123072.1,83644
0.72,0.94,0.87,Dst,91441
0.72,0.94,0.87,AC123072.1,91394
0.49,0.47,0.25,Dst,200550
0.49,0.47,0.25,AC123072.1,199481
0.82,0.79,0.61,Dst,167290
0.82,0.79,0.61,AC123072.1,166221
0.65,0.46,0.4,Dst,107898
0.65,0.46,0.4,AC123072.1,106829
0.93,0.78,0.72,Dst,36510
0.93,0.78,0.72,AC123072.1,35441
0.64,0.43,0.47,Amer3,7592
0.68,0.48,0.48,RP24-70I14.4,2255
0.57,0.35,0.31,Arhgef4,23666
0.38,0.3,0.15,RP23-348C6.3,2096
0.38,0.3,0.15,Fam168b,593
