2mo,9mo,18mo,gene_name,distance
0.8,0.73,0.57,Rgs20,25254
0.55,0.38,0.33,Rgs20,40503
0.79,0.69,0.58,Atp6v1h,42501
0.9,0.85,0.65,Sntg1,174565
0.37,0.29,0.14,Sntg1,129377
0.68,0.6,0.39,Adhfe1,18129
0.68,0.6,0.39,2610203C22Rik,5712
0.53,0.55,0.32,3110035E14Rik,2882
0.53,0.55,0.32,2610203C22Rik,6914
0.67,0.51,0.74,Sgk3,10946
0.42,0.22,0.14,Arfgef1,5619
0.61,0.45,0.31,Arfgef1,5694
0.79,0.7,0.57,Gm15604,1045
0.79,0.7,0.57,Gm25253,411
0.79,0.7,0.57,Cpa6,168802
0.33,0.14,0.09,A830018L16Rik,241288
0.38,0.32,0.17,Sulf1,28620
0.82,0.63,0.58,Sulf1,59047
0.39,0.41,0.2,Sulf1,36977
0.24,0.21,0.43,Slco5a1,41309
0.39,0.12,0.24,Slco5a1,9681
0.58,0.4,0.32,Ncoa2,18735
0.51,0.37,0.28,Ncoa2,52006
0.47,0.38,0.23,Ncoa2,118327
0.66,0.68,0.46,Gm23169,31
0.66,0.68,0.46,Ncoa2,43554
0.41,0.55,0.32,Ncoa2,4524
0.61,0.52,0.4,Gm9947,7076
0.71,0.53,0.5,Kcnb2,27722
0.36,0.15,0.19,Kcnb2,15322
0.58,0.48,0.25,Rdh10,11608
0.62,0.58,0.39,Stau2,42540
0.56,0.67,0.47,Stau2,10696
0.81,0.33,0.78,Stau2,5791
0.82,0.44,0.76,Stau2,5735
0.56,0.46,0.74,Ube2w,26773
0.41,0.25,0.14,Gm28376,91085
0.41,0.25,0.14,Jph1,24710
0.42,0.31,0.2,Gm28376,34583
0.42,0.31,0.2,Jph1,40841
0.83,0.86,0.64,Gm28376,34410
0.83,0.86,0.64,Jph1,40668
0.35,0.15,0.12,Gm28376,32625
0.35,0.15,0.12,Jph1,38883
0.73,0.65,0.46,Gm28376,26465
0.73,0.65,0.46,Jph1,32723
0.39,0.36,0.15,Pkhd1,106330
0.39,0.31,0.11,Paqr8,6455
0.4,0.63,0.35,Tram2,5377
0.68,0.51,0.41,Gsta3,9938
0.68,0.51,0.41,Gm28836,168
0.5,0.27,0.44,Kcnq5,103554
0.66,0.54,0.4,Kcnq5,110597
0.31,0.22,0.1,Kcnq5,143237
0.56,0.3,0.35,Kcnq5,233816
0.58,0.63,0.34,Kcnq5,283174
0.77,0.69,0.91,Rims1,231910
0.81,0.73,0.57,Rims1,210718
0.42,0.29,0.15,RP23-28L24.5,789
0.7,0.5,0.66,Ogfrl1,14168
0.46,0.26,0.2,B3gat2,16627
0.61,0.58,0.36,Smap1,21660
0.62,0.85,0.65,Col19a1,5192
0.79,0.72,0.56,Col19a1,31446
0.83,0.48,0.55,Gm28439,2042
0.83,0.48,0.55,Gm10222,1170
0.83,0.48,0.55,Gm28438,802
0.83,0.48,0.55,Gm28437,388
0.28,0.0,0.06,Gm10222,107
0.28,0.0,0.06,Gm28438,526
0.28,0.0,0.06,Gm28437,1378
0.28,0.0,0.06,Gm10925,2058
0.28,0.0,0.06,Gm28661,1708
0.28,0.0,0.06,Gm29216,887
0.79,0.84,0.6,Bai3,103268
0.79,0.67,0.56,RP23-478K4.1,1715
0.79,0.67,0.56,Bai3,139921
0.64,0.64,0.4,Bai3,121995
0.66,0.66,0.45,Bai3,16852
0.69,0.5,0.23,Gm18443,368
0.82,0.67,0.53,Gm6473,291
0.71,0.58,0.49,4931428L18Rik,20600
0.71,0.58,0.49,Lgsn,2641
0.53,0.7,0.39,Khdrbs2,15942
0.51,0.56,0.8,Khdrbs2,99993
0.73,0.53,0.48,Prim2,48589
0.51,0.34,0.27,Prim2,75000
0.85,0.72,0.63,Rab23,11266
0.46,0.22,0.32,Bend6,19836
0.84,0.84,0.63,RP23-32P22.2,623
0.84,0.84,0.63,Bend6,17322
0.47,0.32,0.23,Dst,21940
0.47,0.32,0.23,AC123072.1,21893
0.53,0.47,0.3,Dst,24391
0.53,0.47,0.3,AC123072.1,24344
0.79,0.64,0.58,Dst,86592
0.79,0.64,0.58,AC123072.1,86545
0.43,0.34,0.2,Dst,189118
0.43,0.34,0.2,AC123072.1,188049
0.9,0.96,0.76,DST,5972
0.9,0.96,0.76,Gm26788,446
0.9,0.96,0.76,Dst,146359
0.9,0.96,0.76,AC123072.1,145290
0.74,0.62,0.47,Dst,118348
0.74,0.62,0.47,AC123072.1,117279
0.73,0.69,0.51,Dst,107898
0.73,0.69,0.51,AC123072.1,106829
0.84,0.65,0.62,Dst,82489
0.84,0.65,0.62,AC123072.1,81420
0.44,0.27,0.16,RP24-422C24.2,2661
0.44,0.27,0.16,Dst,73404
0.44,0.27,0.16,AC123072.1,72335
0.56,0.46,0.26,RP24-422C24.2,2753
0.56,0.46,0.26,Dst,73312
0.56,0.46,0.26,AC123072.1,72243
0.54,0.45,0.3,Dst,51480
0.54,0.45,0.3,AC123072.1,50411
0.53,0.48,0.29,Dst,13027
0.53,0.48,0.29,AC123072.1,11958
0.44,0.26,0.22,Dst,12015
0.44,0.26,0.22,AC123072.1,10946
0.45,0.4,0.23,1700101I19Rik,483
0.45,0.4,0.23,Amer3,3571
0.44,0.38,0.23,Amer3,4717
0.68,0.53,0.47,RP23-348C6.3,2760
0.68,0.53,0.47,Arhgef4,4161
0.66,0.58,0.38,Fam168b,6042
0.57,0.45,0.37,Fam168b,6542
