,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,DEG
Meg3,2.38642047923445e-299,1.10476233876856,0.999,0.999,6.19848855276357e-295,-1
Tsix,3.7093462633564205e-98,-2.57550711373876,0.112,0.401,9.634655984441969e-94,1
Cacna1a,4.17126249747327e-93,0.895395147807151,0.936,0.711,1.0834437210937101e-88,-1
Slc17a7,4.3530283886935204e-91,1.35504285560564,0.698,0.355,1.13065559367925e-86,-1
Grin1,5.05445322309001e-88,1.21314666243578,0.855,0.519,1.3128436801653999e-83,-1
Ube3a,1.49542813607759e-85,-1.1752596265799,0.531,0.733,3.88422504064793e-81,1
Tmem132a,5.84371872702199e-83,2.31009646917409,0.445,0.106,1.51784750215669e-78,-1
Snrnp70,1.34035394576487e-75,1.33584370754433,0.685,0.327,3.4814353387296698e-71,-1
Rnf112,5.18037025711047e-73,1.98515538277674,0.486,0.146,1.34554937058187e-68,-1
Grik5,9.73710183041907e-59,1.36969046601077,0.585,0.259,2.5291148294330502e-54,-1
Matk,3.8601256183741e-58,1.86394179580766,0.384,0.108,1.00262902811649e-53,-1
Mapt,1.3309927355004798e-56,0.895725371731648,0.767,0.492,3.45712053118894e-52,-1
Garnl3,6.46340857180647e-56,0.762160564240984,0.951,0.875,1.67880574244101e-51,-1
Pabpn1,6.615170572678431e-54,1.24855511491056,0.536,0.24,1.7182244045475e-49,-1
Lmo4,4.85536940470047e-51,1.31868476865132,0.532,0.252,1.2611336491769e-46,-1
Srcin1,8.955828902243999e-51,1.22123257445764,0.608,0.301,2.32618699906886e-46,-1
Csmd2,2.50232280508036e-50,0.547556002335563,0.97,0.877,6.49953325391572e-46,-1
Syt7,9.44849775840046e-50,0.92742040354753,0.704,0.429,2.4541528077669302e-45,-1
Nrg3os,1.8924829789439601e-47,-1.2773373308494,0.174,0.471,4.91553528950904e-43,1
Ptprn,5.26453319695811e-47,1.14511406164911,0.552,0.273,1.3674098525779e-42,-1
Rbfox3,7.20331152576905e-46,0.65897991692025,0.804,0.591,1.87098813570325e-41,-1
Igsf21,1.05718750472395e-42,1.00263452861788,0.609,0.347,2.74593882476999e-38,-1
Srrm3,2.8002090194837798e-42,1.07704282352436,0.593,0.308,7.27326290720716e-38,-1
Adcy1,1.16232570046374e-41,0.760711638698999,0.764,0.521,3.01902477438451e-37,-1
Miat,6.78649048666759e-41,1.04688215978534,0.564,0.291,1.76272303900704e-36,-1
Dlg4,1.2527885726581099e-40,1.35835507325904,0.453,0.181,3.25399303862219e-36,-1
Cdk9,3.5491683418663198e-40,2.13246800515494,0.255,0.057,9.21860985116358e-36,-1
Olfm1,4.53549863112211e-40,0.970742948177336,0.529,0.289,1.17805041444766e-35,-1
Kcnq2,5.1458194073141796e-40,0.963412331988493,0.6,0.327,1.3365751328557802e-35,-1
Tmem63b,1.86933043095155e-39,1.45727913223978,0.366,0.135,4.85539886135355e-35,-1
Atp6v0b,2.50270116307301e-39,0.614084351783341,0.53,0.409,6.500516000965841e-35,-1
Pde4a,7.6429133941071e-39,0.920446865666233,0.671,0.414,1.9851703249853797e-34,-1
Lmtk3,1.2883430242888e-38,1.67329297533181,0.304,0.091,3.34634217128774e-34,-1
Dgkz,1.94380565701958e-38,1.46966285669561,0.364,0.139,5.048840813542649e-34,-1
Cpt1c,2.3878681343112e-38,1.46966285669561,0.354,0.137,6.20224869205992e-34,-1
Celf4,2.73011436086113e-38,0.607468050731357,0.914,0.788,7.09119904090069e-34,-1
Sv2a,2.98122342482792e-37,1.32964811378962,0.359,0.139,7.74342972364804e-33,-1
Camkv,4.58940678843847e-37,1.47858217438413,0.379,0.157,1.19205251922901e-32,-1
Sez6,7.35788162296622e-37,1.26511940519047,0.477,0.217,1.91113617274925e-32,-1
Syt11,3.4447655606497496e-36,1.15825263372225,0.47,0.227,8.94743406723167e-32,-1
Lztr1,4.16714752398286e-35,1.63012752888885,0.306,0.101,1.0823748978793099e-30,-1
Rasal1,4.83323516140709e-35,1.12832601562212,0.491,0.244,1.2553845008238799e-30,-1
