2mo,9mo,18mo,gene_name,distance
0.74,0.7,0.93,Xkr4,135012
0.36,0.31,0.13,Xkr4,157083
0.38,0.46,0.58,Xkr4,195470
0.85,0.75,0.58,Xkr4,202069
0.43,0.68,0.52,Xkr4,232177
0.65,0.85,0.84,Gm1992,13347
0.65,0.85,0.84,Xkr4,171292
0.34,0.64,0.52,Xkr4,123671
0.25,0.13,0.02,RP23-122M2.3,2198
0.25,0.13,0.02,Xkr4,25991
0.74,0.66,0.88,RP23-333I7.1,24450
0.77,0.84,0.63,RP23-333I7.1,5757
0.63,0.59,0.8,Rp1,20347
0.31,0.43,0.62,Sox17,1972
0.31,0.55,0.39,Sox17,2313
0.83,0.8,0.63,Gm6085,2493
0.73,0.51,0.47,RP23-34E15.5,1057
0.73,0.51,0.47,Mrpl15,5914
0.58,0.37,0.34,Mrpl15,3193
0.61,0.38,0.38,Lypla1,6647
0.61,0.38,0.38,RP24-426M1.3,6543
0.29,0.49,0.38,Lypla1,14580
0.29,0.49,0.38,RP24-426M1.3,14476
0.91,0.61,0.74,Tcea1,12597
0.91,0.61,0.74,RP24-426M1.3,20359
0.34,0.18,0.14,RP24-141F9.2,1066
0.34,0.18,0.14,Rgs20,30066
0.54,0.32,0.48,Rgs20,56633
0.78,0.68,0.52,Rgs20,51238
0.37,0.18,0.1,Rgs20,51053
0.94,0.69,0.74,Gm17101,103
0.94,0.69,0.74,Rgs20,5741
0.64,0.4,0.42,Atp6v1h,16450
0.68,0.4,0.4,Atp6v1h,20920
0.62,0.77,0.83,Atp6v1h,42048
0.59,0.71,0.5,Atp6v1h,47986
0.61,0.46,0.4,Rb1cc1,271
0.49,0.51,0.26,Fam150a,929
0.64,0.74,0.88,Fam150a,5238
0.61,0.81,0.54,Fam150a,9759
0.68,0.74,0.89,RP23-76C20.3,1530
0.68,0.74,0.89,Fam150a,16807
0.62,0.66,0.85,St18,56759
0.26,0.16,0.06,St18,109799
0.59,0.76,0.85,St18,111555
0.71,0.73,0.92,St18,122677
0.88,0.87,0.66,St18,125703
0.83,0.93,0.72,St18,165548
0.66,0.7,0.88,St18,183174
0.66,0.56,0.8,St18,152978
0.69,0.87,0.97,St18,148596
0.3,0.5,0.57,St18,133846
0.4,0.6,0.56,St18,63413
0.55,0.76,0.61,St18,42103
0.75,0.71,0.91,RP23-5K7.4,1007
0.79,0.93,0.66,Pcmtd1,26886
0.39,0.39,0.19,Pcmtd1,44203
0.62,0.67,0.41,Pcmtd1,33318
0.93,0.85,0.72,Pcmtd1,29929
0.71,0.58,0.78,WI1-817D1.2,1870
0.71,0.58,0.78,Pcmtd1,27648
0.74,0.58,0.54,Pcmtd1,20251
0.61,0.85,0.75,Pcmtd1,7511
0.46,0.49,0.24,Gm26901,16034
0.44,0.4,0.15,Gm26901,2686
0.84,0.52,0.7,Gm26901,872
0.83,0.73,0.93,RP24-181G14.2,11418
0.54,0.58,0.75,RP24-181G14.2,3914
0.81,0.65,0.86,Sntg1,7957
0.37,0.56,0.63,Sntg1,51472
0.38,0.48,0.62,Sntg1,51507
0.87,0.97,0.75,Sntg1,100633
0.32,0.64,0.38,Sntg1,135185
0.53,0.67,0.8,Sntg1,205929
0.62,0.79,0.89,Sntg1,222586
0.38,0.51,0.6,Sntg1,266388
0.45,0.67,0.56,Sntg1,368972
0.3,0.55,0.56,Sntg1,386576
0.41,0.66,0.58,Sntg1,362849
0.62,0.76,0.88,Sntg1,293377
0.81,0.91,0.71,Sntg1,276695
0.76,0.89,0.64,Sntg1,211495
0.7,0.84,0.91,Sntg1,128398
0.26,0.12,0.05,Rrs1,153
0.26,0.12,0.05,Adhfe1,3354
0.75,0.62,0.54,Adhfe1,15275
0.75,0.62,0.54,2610203C22Rik,2391
0.34,0.09,0.14,Gm6161,1449
0.34,0.09,0.14,Adhfe1,6473
0.34,0.09,0.14,2610203C22Rik,17368
0.49,0.57,0.33,Adhfe1,4222
0.49,0.57,0.33,2610203C22Rik,19619
0.47,0.36,0.2,3110035E14Rik,6808
0.47,0.36,0.2,2610203C22Rik,27168
0.22,0.08,0.02,3110035E14Rik,11084
0.22,0.08,0.02,2610203C22Rik,22892
0.4,0.29,0.14,3110035E14Rik,3318
0.4,0.29,0.14,2610203C22Rik,7350
0.62,0.69,0.87,Gm29520,1115
0.63,0.34,0.54,Vcpip1,6014
0.22,0.03,0.02,Vcpip1,4207
0.22,0.03,0.02,1700034P13Rik,527
0.71,0.84,0.92,1700034P13Rik,14770
0.4,0.36,0.13,1700034P13Rik,19629
0.73,0.86,0.94,1700034P13Rik,1072
0.62,0.47,0.37,Sgk3,3484
0.41,0.18,0.23,Sgk3,3999
0.56,0.29,0.31,Gm6195,949
0.56,0.29,0.31,Sgk3,5039
0.71,0.58,0.78,Sgk3,48232
0.58,0.79,0.8,Sgk3,44728
0.42,0.65,0.55,Sgk3,22348
0.39,0.59,0.66,Snord87,259
0.39,0.59,0.66,Mcmdc2,3363
0.39,0.59,0.66,Snhg6,763
0.12,0.22,0.33,RP23-228G18.3,1804
0.12,0.22,0.33,Ppp1r42,494
0.12,0.22,0.33,Tcf24,2814
0.55,0.79,0.65,Ppp1r42,7544
0.52,0.75,0.66,Cspp1,33204
0.29,0.55,0.44,Cspp1,38443
0.54,0.38,0.31,Cspp1,33355
0.83,0.89,0.66,Cspp1,23893
0.29,0.32,0.51,Cspp1,22674
0.89,0.91,0.7,Arfgef1,3635
0.57,0.66,0.38,Arfgef1,15457
0.69,0.45,0.71,Cpa6,15533
0.88,0.81,0.68,Cpa6,78436
0.52,0.69,0.33,Cpa6,171911
0.92,0.95,0.74,Cpa6,193473
0.63,0.8,0.57,Cpa6,129640
0.64,0.54,0.77,Cpa6,65592
0.66,0.85,0.86,Cpa6,14994
0.47,0.68,0.71,Cpa6,3801
0.36,0.63,0.53,Cpa6,3567
0.5,0.66,0.73,Prex2,3016
0.66,0.9,0.8,Prex2,31129
0.68,0.78,0.89,Prex2,31599
0.55,0.72,0.83,Prex2,42274
0.41,0.44,0.15,Prex2,62827
0.74,0.89,0.69,Gm24173,2049
0.74,0.89,0.69,Prex2,142724
0.6,0.74,0.82,Prex2,102421
0.71,0.92,0.87,Prex2,40335
0.67,0.63,0.84,Prex2,28470
0.6,0.81,0.66,A830018L16Rik,19957
0.62,0.79,0.58,A830018L16Rik,53955
0.48,0.72,0.67,A830018L16Rik,92673
0.72,0.69,0.51,A830018L16Rik,151652
0.61,0.81,0.61,A830018L16Rik,161722
0.76,0.82,0.97,A830018L16Rik,211738
0.46,0.62,0.73,A830018L16Rik,226095
0.43,0.64,0.62,Gm17644,3444
0.43,0.64,0.62,Gm29663,1530
0.55,0.22,0.08,Sulf1,17440
0.43,0.51,0.65,Sulf1,21075
0.66,0.49,0.39,Sulf1,21533
0.71,0.56,0.41,Sulf1,22937
0.42,0.3,0.17,Sulf1,28620
0.56,0.76,0.78,Sulf1,46350
0.26,0.35,0.47,Sulf1,54321
0.63,0.87,0.8,Sulf1,58912
0.44,0.55,0.74,Sulf1,74407
0.39,0.54,0.67,Sulf1,81295
0.66,0.71,0.88,Sulf1,56913
0.49,0.69,0.74,Sulf1,56608
0.61,0.82,0.72,Sulf1,55718
0.54,0.73,0.46,Sulf1,47974
0.36,0.55,0.59,Sulf1,27768
0.71,0.84,0.93,Sulf1,12390
0.82,0.75,0.96,Sulf1,8842
0.74,0.84,1.0,Slco5a1,22618
0.81,0.89,0.68,Slco5a1,34588
0.34,0.6,0.59,Slco5a1,51071
0.2,0.35,0.41,Slco5a1,4181
0.36,0.61,0.57,Gm29283,6133
0.64,0.77,0.96,Gm29283,3919
0.62,0.78,0.84,Prdm14,7267
0.21,0.35,0.5,Prdm14,3340
0.09,0.16,0.33,Prdm14,2987
0.06,0.26,0.21,Prdm14,2267
0.8,0.59,0.5,RP23-93D12.2,2786
0.8,0.59,0.5,Ncoa2,41823
0.5,0.54,0.3,Ncoa2,51261
0.66,0.58,0.37,Ncoa2,55442
0.84,0.71,0.93,Ncoa2,78458
0.78,0.87,0.65,Ncoa2,92997
0.53,0.36,0.32,Ncoa2,117569
