2mo,9mo,18mo,gene_name,distance
0.65,0.6,0.9,Rgs20,13468
0.36,0.52,0.56,Sulf1,51710
0.43,0.59,0.64,Sulf1,2773
0.68,0.62,0.47,Eya1,7301
0.61,0.37,0.45,Eya1,7027
0.6,0.37,0.43,Eya1,7009
0.37,0.57,0.52,Stau2,23034
0.49,0.62,0.7,Ube2w,28480
0.36,0.28,0.14,Gm28376,92863
0.36,0.28,0.14,Jph1,38208
0.54,0.66,0.75,Kcnq5,21749
0.53,0.68,0.74,Kcnq5,22155
0.35,0.55,0.51,Kcnq5,264762
0.4,0.58,0.6,Col19a1,114602
0.62,0.84,0.71,Bai3,37352
0.33,0.54,0.51,RP23-347F2.1,3424
0.33,0.54,0.51,Bai3,210045
0.57,0.79,0.66,RP23-184I13.8,354
0.57,0.79,0.66,Bai3,5342
0.58,0.75,0.78,Khdrbs2,138625
0.41,0.55,0.63,Khdrbs2,34653
0.53,0.71,0.76,Prim2,61157
0.71,0.57,0.51,Rab23,5355
0.5,0.36,0.28,Gm23792,1169
0.5,0.36,0.28,Dst,74354
0.5,0.36,0.28,AC123072.1,74307
0.58,0.43,0.26,Dst,101267
0.58,0.43,0.26,AC123072.1,101220
0.38,0.28,0.16,Dst,156329
0.38,0.28,0.16,AC123072.1,155260
0.57,0.76,0.8,D430040D24Rik,59
0.57,0.76,0.8,Sema4c,4589
0.39,0.52,0.6,Fam178b,19498
0.45,0.3,0.23,Fam178b,29775
0.75,0.63,0.53,Fam178b,53654
0.4,0.51,0.62,Fam178b,50038
0.65,0.87,0.88,Tmem131,57022
0.9,0.7,0.69,Vwa3b,2411
0.55,0.35,0.27,Vwa3b,12984
0.45,0.3,0.23,Vwa3b,36827
0.52,0.57,0.37,Inpp4a,21567
0.33,0.54,0.57,Gm16152,2020
0.33,0.54,0.57,Aff3,209643
0.32,0.56,0.47,Aff3,101218
0.6,0.79,0.82,Tbc1d8,37352
0.59,0.45,0.35,Creg2,16066
0.58,0.39,0.3,Creg2,5578
0.68,0.49,0.44,Creg2,4623
0.68,0.49,0.44,D930019O06Rik,675
0.43,0.34,0.21,Map4k4,9609
0.4,0.16,0.22,Map4k4,25365
0.61,0.43,0.39,Map4k4,27827
0.42,0.27,0.18,Map4k4,32852
0.4,0.23,0.16,Map4k4,47547
0.53,0.38,0.24,Map4k4,53908
0.34,0.14,0.12,Map4k4,54088
0.54,0.42,0.34,Map4k4,55292
0.35,0.23,0.15,Map4k4,45060
0.75,0.88,1.0,Il1r1,10466
0.57,0.7,0.77,Gm29260,37245
0.52,0.37,0.3,Pantr1,41101
0.61,0.75,0.84,Pantr1,8097
0.56,0.77,0.64,Nck2,61155
0.71,0.96,0.83,Dnah7b,116690
0.63,0.82,0.83,C230029F24Rik,17932
0.53,0.74,0.61,Nab1,7632
0.43,0.6,0.67,Pms1,41716
0.5,0.66,0.7,Hecw2,120469
0.52,0.33,0.31,Hecw2,148042
0.54,0.63,0.78,Gm25829,829
0.48,0.62,0.74,Pgap1,3774
0.46,0.6,0.68,4930444A19Rik,9115
0.46,0.6,0.68,Ankrd44,45504
0.73,0.51,0.47,Ankrd44,83751
0.53,0.35,0.28,Ankrd44,4586
0.36,0.47,0.57,Rftn2,23602
0.66,0.78,0.86,Boll,11109
0.8,0.6,0.64,Plcl1,66105
0.58,0.43,0.35,Plcl1,149685
0.52,0.32,0.29,Plcl1,54361
0.42,0.2,0.19,Plcl1,21598
0.39,0.49,0.6,Fam126b,31825
0.25,0.36,0.46,Cdk15,37330
0.71,0.6,0.48,Cdk15,39695
0.61,0.46,0.38,Fzd7,3422
0.49,0.64,0.75,Bmpr2,50400
0.86,0.83,0.63,Cd28,23432
0.55,0.69,0.75,Pard3b,73552
0.48,0.18,0.11,Nrp2,8791
0.7,0.54,0.44,Nrp2,54897
0.5,0.72,0.7,Nrp2,24420
0.54,0.7,0.79,Ino80d,29253
0.44,0.28,0.21,Plekhm3,66075
0.48,0.33,0.25,Plekhm3,42913
0.52,0.66,0.75,Map2,9517
0.56,0.65,0.76,Map2,78611
0.38,0.22,0.17,Erbb4,35533
0.28,0.39,0.49,Abca12,63201
0.39,0.51,0.64,Abca12,87043
0.34,0.45,0.55,Mreg,11022
0.77,0.67,0.55,Smarcal1,19775
0.39,0.59,0.56,Igfbp2,4131
0.4,0.52,0.6,6030407O03Rik,35569
0.4,0.52,0.6,Gm29183,13020
0.79,0.62,0.56,6030407O03Rik,3089
0.83,0.61,0.6,6030407O03Rik,2628
0.63,0.49,0.4,Tns1,21805
0.57,0.35,0.3,Tns1,47605
0.41,0.1,0.09,Tns1,55707
0.55,0.71,0.76,Tns1,58561
0.43,0.5,0.64,Ctdsp1,3018
0.43,0.5,0.64,Mir26b,127
0.47,0.59,0.7,Fev,2361
0.47,0.59,0.7,Gm16582,83
0.42,0.24,0.21,Ptprn,4432
0.66,0.41,0.39,Gm29068,78
0.73,0.51,0.49,Epha4,49712
0.8,0.7,0.9,Gm29536,41285
0.46,0.69,0.64,Dock10,23190
0.55,0.68,0.78,Pid1,45319
0.37,0.51,0.6,Pid1,45614
0.57,0.46,0.32,Dner,78569
0.7,0.92,0.9,Sp110,12459
0.64,0.42,0.47,Itm2c,5722
0.53,0.4,0.31,Dis3l2,56635
0.39,0.24,0.17,Efhd1,20986
0.62,0.45,0.36,Efhd1,5656
0.57,0.64,0.8,Sh3bp4,6897
