2mo,9mo,18mo,gene_name,distance
0.62,0.5,0.8,Xkr4,233555
0.85,0.85,0.64,Rgs20,49351
0.89,0.82,0.69,Adhfe1,12235
0.89,0.82,0.69,2610203C22Rik,11606
0.83,0.74,0.97,Vcpip1,6563
0.97,0.86,0.75,Ppp1r42,17203
0.97,0.86,0.75,Gm15818,433
0.18,0.4,0.15,Arfgef1,41372
0.31,0.51,0.18,Sulf1,77682
0.53,0.5,0.73,Slco5a1,960
0.74,0.48,0.79,RP24-178B14.2,371
0.39,0.4,0.7,Ncoa2,33560
0.46,0.63,0.79,RP23-93D12.2,2786
0.46,0.63,0.79,Ncoa2,41823
0.2,0.34,0.44,Ncoa2,65699
0.88,0.91,0.71,Ncoa2,46585
0.62,0.49,0.78,Ncoa2,13563
0.14,0.28,0.41,Tram1,3627
0.08,0.31,0.31,Tram1,14545
0.43,0.49,0.74,Tram1,12358
0.84,0.89,0.67,Eya1,12415
0.69,0.8,0.52,Stau2,130055
0.72,0.71,0.92,Stau2,1377
0.91,0.76,0.71,Gm28376,50490
0.91,0.76,0.71,Jph1,56748
0.95,0.72,0.91,Gm28376,15950
0.95,0.72,0.91,Jph1,22208
0.92,0.84,0.72,Gm28376,4526
0.92,0.84,0.72,Jph1,10784
0.44,0.31,0.55,Gm28340,1510
0.54,0.79,0.7,Gm7094,1740
0.54,0.79,0.7,Gm28836,1450
0.13,0.44,0.29,Rims1,230040
0.07,0.31,0.26,Rims1,87740
0.39,0.2,0.46,Gm29506,69384
0.84,0.55,0.69,Gm29506,22567
0.8,0.88,0.66,Smap1,34983
0.87,0.95,0.75,Col19a1,101612
0.28,0.6,0.36,Col19a1,108563
0.04,0.19,0.25,Col19a1,137744
0.64,0.06,0.28,Gm28439,2141
0.64,0.06,0.28,Gm10222,1269
0.64,0.06,0.28,Gm28438,901
0.64,0.06,0.28,Gm28437,487
0.77,0.53,0.64,Lmbrd1,31826
0.92,0.79,0.72,Bai3,114259
0.63,0.55,0.78,Bai3,9764
0.88,0.75,0.97,Gm7846,596
0.53,0.68,0.43,Phf3,19026
0.35,0.63,0.49,Gm29669,2292
0.53,0.75,0.6,Gm29669,2429
0.72,0.59,0.83,4931428L18Rik,5630
0.85,0.83,0.64,Khdrbs2,226895
0.89,0.64,0.69,DST,9405
0.89,0.64,0.69,Gm26788,3879
0.89,0.64,0.69,Dst,142926
0.89,0.64,0.69,AC123072.1,141857
0.51,0.73,0.52,DST,5783
0.51,0.73,0.52,Gm26788,1193
0.51,0.73,0.52,Dst,131408
0.51,0.73,0.52,AC123072.1,130339
0.12,0.07,0.32,RP23-166L24.2,1187
0.12,0.07,0.32,RP23-348C6.5,1742
0.12,0.07,0.32,Arhgef4,61574
0.31,0.41,0.54,RP24-424K5.5,2211
0.31,0.41,0.54,Hs6st1,2211
0.46,0.56,0.69,Uggt1,36001
1.0,0.78,0.95,Lman2l,6186
0.6,0.77,0.81,Actr1b,9438
0.15,0.35,0.36,Tmem131,57211
0.97,0.88,0.72,Vwa3b,68391
0.68,0.79,0.57,Cnga3,22968
0.68,0.54,0.38,Inpp4a,41439
0.63,0.43,0.35,Inpp4a,13555
0.67,0.51,0.39,Inpp4a,13155
0.55,0.75,0.41,Coa5,5413
0.34,0.16,0.11,RP23-402K6.2,1896
0.34,0.16,0.11,2010300C02Rik,53074
0.7,0.66,0.44,2010300C02Rik,2870
0.92,0.85,0.65,Tsga10,7033
0.79,0.73,0.52,Eif5b,15446
0.46,0.79,0.73,Aff3,115633
0.84,0.93,0.7,Aff3,227411
0.58,0.48,0.75,Aff3,158254
0.41,0.46,0.7,Aff3,151650
0.46,0.62,0.71,Aff3,109267
0.9,0.92,0.66,Lonrf2,9776
0.25,0.41,0.21,Npas2,37806
0.13,0.27,0.4,Npas2,80155
0.38,0.65,0.58,RP24-539E18.5,643
0.38,0.65,0.58,Tbc1d8,48199
0.69,0.53,0.81,Tbc1d8,33774
0.46,0.28,0.22,Gm23722,341
0.46,0.28,0.22,Rnf149,3871
0.64,0.4,0.44,Map4k4,47651
0.92,0.75,0.96,Map4k4,4859
0.84,0.84,0.58,Il1r1,6942
0.97,0.93,0.74,Slc9a4,22598
0.81,0.74,0.96,Tmem182,21684
