gene,stats,fdr,log2(old/young),DEG,-log10(fdr)
Xkr4,43.67212185526053,2.106014095857904e-09,0.054778844,0,8.676538726344825
Gm1992,9.656086990206212,0.0184353479636642,-0.46178988,0,1.734348660755282
Mrpl15,1.4355652176738651,0.5860782470965057,0.021701997,0,0.232044397610484
Lypla1,11.053947368120424,0.0098648647054954,0.11414408,0,2.005908866626659
Tcea1,3.623364476712876,0.2464893422261097,0.060345814,0,0.6082018541249057
Rgs20,11.7870318180148,0.0070850061284941,0.20173074,0,2.1496597697538498
Atp6v1h,24.165029821149957,2.3128433476813407e-05,0.13781747,0,4.635853781644216
Rb1cc1,22.62897700214521,4.772509309355114e-05,0.038578782,0,4.321253215789693
4732440D04Rik,6.714836582937402,0.0672633739576793,-0.10003088,0,1.1722213520904898
St18,523.4267530573868,2.0772470710085574e-112,0.11095111,0,111.68251184472918
Pcmtd1,38.40137490268114,2.633854417353244e-08,0.11123328,0,7.579408233735462
Gm26901,46.165078335985726,6.364755318454898e-10,-0.5854653,-1,9.196218287357912
Sntg1,66.48666819165305,3.4222541791530115e-14,0.16377833,0,13.465687737488066
Rrs1,14.178097834554718,0.0023699381012894,0.2700134,0,2.625262996867308
Adhfe1,4.548962787374795,0.168399383143533,-0.49455476,0,0.7736595036787114
2610203C22Rik,15.391919252250528,0.0013671334509296,-1.1853465,0,2.864189090279618
Mybl1,2.112340761870211,0.4514352762981214,-0.02685603,0,0.3454045070592827
Vcpip1,19.279565419500667,0.0002265059896082,0.14035736,0,3.644920309238763
1700034P13Rik,3.4875130366171496,0.260324498677363,0.1581947,0,0.5844849592832417
Sgk3,1.7406511581297124,0.5226886210213186,-0.07558389,0,0.2817569544295933
Mcmdc2,2.8695415622665084,0.3344686279046421,-0.17955768,0,0.4756446114293652
Snhg6,8.79515793511728,0.027026074942098,-0.51042336,0,1.5682170232900154
Cops5,39.194875644880966,1.7999675742040915e-08,-0.36633956,-1,7.744735318491737
Cspp1,27.126285499305144,5.680802720980398e-06,0.04848388,0,5.245590292341692
Arfgef1,18.131195315098463,0.0003874917631936,0.068188995,0,3.4117375247384976
Cpa6,5.691706043011732,0.1040201597577612,0.17752372,0,0.9828824835561792
Prex2,7.892364639253024,0.0402524953892665,-0.58322257,0,1.3952071910676462
A830018L16Rik,29.276178675550707,2.056337094752021e-06,0.7001531,1,5.686905690070486
Sulf1,2.987703755202238,0.3193915251698835,0.7086927,0,0.4956766117441387
Ncoa2,70.08510854705884,5.956354569331218e-15,0.19918257,0,14.22501945750807
Gm29570,0.0118376530357955,0.9955678201095162,0.040689383,0,0.0019291496033498
Tram1,3.9572431830275696,0.2151633820535215,-0.07551203,0,0.6672316378627797
Lactb2,26.42350940898664,7.923183287612313e-06,0.36446092,1,5.10110029738934
Eya1,11.051679875865606,0.0098746782706388,-0.4269055,0,2.005477045328073
Kcnb2,17.892478799344048,0.0004325379888282,0.2677441,0,3.363975743427038
Terf1,10.735619677770671,0.0113624497460504,0.21485254,0,1.944528024567445
4930444P10Rik,5.343935341002028,0.1205582633334099,-0.5494167,0,0.9188030167497396
