gene_name,9mo.2mo.log_ratio,18mo.9mo.log_ratio,18mo.2mo.log_ratio,count
0610007P14Rik,-0.12066920425894878,-0.219034919748319,-0.3397041240072678,1
0610009L18Rik,0.3893866563775239,-0.13997930222990096,0.24940735414762294,1
0610010F05Rik,-0.4527317052548876,-0.7711983443175897,-1.2239300495724774,1
0610037L13Rik,0.6885241802663191,-0.0515880823880297,0.6369360978782894,1
0610038B21Rik,-0.3281347350631392,-0.22818464186190496,-0.5563193769250442,2
0610040F04Rik,-0.31613018671055393,-0.08728381250952744,-0.40341399922008137,1
0610040J01Rik,-0.32143376859707096,-0.37220668643978216,-0.6936404550368531,1
1110001J03Rik,-0.3754097011504056,0.13039842539363278,-0.24501127575677284,1
1110019D14Rik,-0.21745453832014316,-0.23941913164128392,-0.4568736699614271,1
1110034G24Rik,-0.7391649647279892,-0.20540199065284437,-0.9445669553808336,1
1110036E04Rik,0.7077189443765546,0.36100806775526423,1.0687270121318189,1
1110059E24Rik,-0.5965290416486311,0.25338583368133305,-0.343143207967298,1
1500004A13Rik,0.3103263460754402,0.1951413959371724,0.5054677420126126,1
1500015O10Rik,-0.649209999260394,0.16215068852003123,-0.4870593107403628,2
1500017E21Rik,-0.3667722661449746,-0.01582209253166278,-0.3825943586766374,1
1600010M07Rik,0.22294829352919754,0.22185802137053656,0.4448063148997341,1
1600014C23Rik,0.4398900206492877,0.13553917202109833,0.5754291926703861,1
1700003D09Rik,0.5477829914842054,0.1777154661283742,0.7254984576125796,1
1700003E16Rik,0.5689813844729734,-0.26109175554499364,0.3078896289279798,1
1700003M02Rik,-1.1791220980368993,0.17333702560031602,-1.0057850724365833,1
1700007K13Rik,0.06079301256727465,0.30813830603793724,0.3689313186052119,1
1700008O03Rik,0.43523708982678433,0.044604269161732546,0.4798413589885169,2
1700010J16Rik,-0.5288710487298851,-0.049608576335288035,-0.5784796250651731,1
1700013N06Rik,-0.5131332647890661,-0.017095495779493763,-0.5302287605685598,1
1700016K19Rik,0.6850420113709514,0.029681274889208353,0.7147232862601598,1
1700019D03Rik,-0.6586158585163058,0.11789130620194976,-0.540724552314356,1
1700021J08Rik,0.9725202762881592,0.5367793271039815,1.5092996033921406,1
1700022H16Rik,0.13121802245765313,0.7819785227475611,0.9131965452052142,1
1700023H06Rik,-0.4211058535854164,0.009952138077988781,-0.41115371550742763,2
1700024B18Rik,-0.744793260208523,-0.36542685886348525,-1.1102201190720082,1
1700025G04Rik,-0.4132512942270057,-0.008158970542505806,-0.4214102647695115,1
1700026F02Rik,0.5786769993676719,0.5845324585544512,1.163209457922123,1
1700028P14Rik,-0.5662771458965312,0.0002650651207143362,-0.5660120807758169,1
1700030C10Rik,0.8122272105699734,0.05803321946414414,0.8702604300341175,1
1700034P13Rik,-0.4604515108662084,0.004060367718947022,-0.45639114314726137,2
1700039E15Rik,1.2395506442069455,-0.08253112232809579,1.1570195218788497,1
1700040L02Rik,-0.43767207174626854,-0.34696217711512034,-0.7846342488613889,1
1700047A11Rik,-0.11104954730828309,-0.5074999408886209,-0.618549488196904,1
1700056E22Rik,-0.26248533512393024,-0.24756362998725256,-0.5100489651111828,1
1700063A18Rik,-1.4048348776531634,-0.293788984764455,-1.6986238624176184,1
1700064H15Rik,-0.47177502488416856,-0.03954694680744564,-0.5113219716916142,2
1700065J18Rik,-0.5679771741990258,0.059096761750715654,-0.5088804124483102,1
1700066B19Rik,0.8381710475197051,0.028903451841336025,0.8670744993610411,1
1700086L19Rik,-0.4031756538443645,0.04780614353709023,-0.35536951030727426,1
1700093J21Rik,-0.16817818314485233,-0.14842817514577966,-0.316606358290632,1
1700094J05Rik,0.49788443210172795,0.45414772716589846,0.9520321592676264,1
1700095J07Rik,0.3417850083997718,0.2155361100551847,0.5573211184549565,1
1700101E01Rik,0.3618058058143516,0.1871141641310854,0.548919969945437,1
1700105P06Rik,0.42081546373657863,0.05458072359471178,0.4753961873312904,1
1700112E06Rik,0.08429443889285015,0.044270588942653566,0.12856502783550372,2
1700112H15Rik,-0.9029976928381738,0.19406050462356528,-0.7089371882146085,1
1700113H08Rik,-0.09849631015480698,-0.6052921002217035,-0.7037884103765105,1
1700120E14Rik,-0.48411812728975745,-0.07932360464016108,-0.5634417319299185,1
1700123I01Rik,0.7839799634453307,0.6882087026714705,1.4721886661168013,1
1700123M08Rik,-0.3820686091565557,0.02837548184219507,-0.35369312731436064,1
1700123O20Rik,-0.2252981441981481,-0.10318261835199749,-0.3284807625501456,1
1700125G22Rik,-0.4460190689360486,0.007908510350072895,-0.4381105585859757,1
1810007C17Rik,-0.2747743371835642,-0.9300407141197702,-1.2048150513033344,1
1810008B01Rik,-0.08905581206176327,-0.4300111379685596,-0.5190669500303229,1
1810012K16Rik,0.03022070865026949,0.240500177009757,0.2707208856600265,1
1810024B03Rik,-0.2295374966576409,-0.13843867452641145,-0.36797617118405235,1
1810026B05Rik,-0.5583039033744597,0.029828646567100048,-0.5284752568073596,1
1810034E14Rik,0.462306116627486,0.11262895161670716,0.5749350682441932,1
2010300C02Rik,0.46065365402378955,-0.0054307231738293105,0.45522293084996024,1
2010315B03Rik,-0.5493012030551321,0.06946932311449405,-0.47983187994063803,1
2210019I11Rik,0.5770177754988537,0.14469016084805997,0.7217079363469137,1
2210408I21Rik,-0.48510864915531604,-0.0974765541275513,-0.5825852032828673,1
2310026I22Rik,-0.26729594567522286,-0.23955374099839144,-0.5068496866736143,1
2310040G07Rik,-0.2789206773893236,-0.3997087307560223,-0.6786294081453459,1
2310045N01Rik,0.5462555217369829,0.252954193679618,0.7992097154166009,1
2410017I17Rik,1.2605010393307334,-0.08377677488991542,1.1767242644408182,1
2410018L13Rik,-0.789214720171497,-0.8933137796530206,-1.6825284998245176,1
