gene_name,9mo.2mo.log_ratio,18mo.9mo.log_ratio,18mo.2mo.log_ratio
0610005C13Rik,-0.01664175234819157,0.014928254458284246,-0.0017134978899073228
0610006L08Rik,-0.032954103216716046,0.028289712426139868,-0.004664390790576178
0610009B22Rik,0.05240196609768438,-0.10831830508632051,-0.05591633898863613
0610009E02Rik,0.06997994734314514,-0.12933412453759358,-0.05935417719444844
0610009L18Rik,-0.11195798851918762,0.07450585990111208,-0.03745212861807553
0610010F05Rik,-0.01755657779094874,0.012799596347360803,-0.004756981443587938
0610010K14Rik,-0.09688126741664788,-0.02234098299244408,-0.11922225040909196
0610012D04Rik,-0.04284985856373413,-0.1268902484080186,-0.16974010697175274
0610012G03Rik,-0.019519122435291525,0.08550922602385308,0.06599010358856156
0610025J13Rik,-0.03297726461556991,-0.05921378634841215,-0.09219105096398206
0610030E20Rik,0.037133262254374966,-0.08993985115255265,-0.05280658889817769
0610031O16Rik,-0.09469254302669661,0.07549652868615986,-0.01919601434053675
0610033M10Rik,-0.054728876856047,0.00784493859175732,-0.04688393826428968
0610038B21Rik,-0.04192914827102179,-0.05999193597933875,-0.10192108425036053
0610040B10Rik,-0.011305291360468872,-0.02565871577725032,-0.03696400713771919
0610040F04Rik,-0.1637156679659198,0.12624082264115016,-0.037474845324769634
0610040J01Rik,-0.010438726277168686,0.04827412010010973,0.037835393822941044
0610043K17Rik,-0.03795963937335717,0.027313433599036208,-0.01064620577432096
0710001A04Rik,-0.018521106788458336,-0.04305954764492139,-0.061580654433379726
1010001N08Rik,-0.13114474761370665,0.07606689496285726,-0.055077852650849385
1100001I12Rik,-0.06085662278079293,0.0883919364520807,0.027535313671287767
1110002E22Rik,-0.19404301528783485,-0.0647301317483222,-0.25877314703615706
1110002J07Rik,-0.0761913543793018,-0.015102533868302681,-0.09129388824760448
1110002L01Rik,-0.059623230069901306,0.03011579293912031,-0.029507437130780995
1110002O04Rik,-0.014442097405734072,0.06021938761843146,0.045777290212697386
1110004F10Rik,0.05014330080789098,-0.0466503472543317,0.003492953553559275
1110008L16Rik,-0.05297039398106438,0.0021510393941277586,-0.05081935458693662
1110008P14Rik,-0.15130295064395127,-0.05131740654490202,-0.2026203571888533
1110012L19Rik,-0.05827934317437444,0.04712845422319101,-0.011150888951183435
1110015O18Rik,-0.043509800551304864,0.14337124694986925,0.0998614463985644
1110017D15Rik,-0.029346740082022982,-0.03912027967590706,-0.06846701975793004
1110018N20Rik,-0.14502011167243153,0.16219870205436507,0.017178590381933534
1110019B22Rik,-0.14905656618310903,0.11167779545258882,-0.037378770730520205
1110019D14Rik,0.06346265714261723,-0.043142835827624126,0.020319821314993103
1110020A21Rik,0.018885292854791902,-0.02767076265617377,-0.008785469801381868
1110028F11Rik,-0.19197844773018266,0.22875888831055874,0.03678044058037609
1110028F18Rik,0.05498789763138948,-0.08794955602599,-0.03296165839460051
1110032A03Rik,-0.03763297709127092,0.0026305263217817343,-0.035002450769489185
1110032F04Rik,0.004260863352408162,0.062471489951069215,0.06673235330347738
1110035H17Rik,-0.014784281171318608,0.02567360676731334,0.010889325595994731
1110036E04Rik,-0.18769729660635553,0.134266921123458,-0.05343037548289753
1110038B12Rik,-0.025850212615665197,-0.05201606691167203,-0.07786627952733723
1110038F14Rik,-0.07329008151133193,0.13504634270006552,0.06175626118873359
1110046J04Rik,-0.05782605708273954,-0.08073267404948109,-0.13855873113222061
1110051M20Rik,-0.07300328986737237,-0.05519091785424801,-0.12819420772162038
1110059E24Rik,-0.0692575194904047,0.0561230114360525,-0.013134508054352206
1110059G10Rik,0.048064065426001834,-0.09180478841181777,-0.04374072298581594
1110065P20Rik,-0.11725406143172584,0.19691185052400945,0.07965778909228359
1190001M18Rik,0.08075306923771916,-0.1600804370347484,-0.07932736779702923
1190005I06Rik,-0.04715188919861313,0.0439133200727751,-0.003238569125838031
1190007I07Rik,-0.14697255018925695,0.040035394349624776,-0.10693715583963218
1190028D05Rik,-0.11203125166853639,-0.006566751539043292,-0.11859800320757968
1200007C13Rik,-0.12001658379707389,-0.055416421163880444,-0.17543300496095432
1300002E11Rik,-0.016256108731843993,0.10751312260745848,0.09125701387561448
1300014J16Rik,-0.13149522790661936,0.1582656880622679,0.026770460155648546
1300017J02Rik,-0.05791600468191055,-0.027592697759454166,-0.08550870244136471
1500002C15Rik,-0.09285139194689304,0.07209832121836673,-0.020753070728526307
1500002F19Rik,-0.11671795963346704,-0.024697245188486094,-0.14141520482195313
1500004A13Rik,-0.13852350260341884,0.1768201086701729,0.03829660606675406
1500005C15Rik,-0.060031663317144934,-0.17907120358341377,-0.2391028669005587
1500009C09Rik,-0.06206319214137601,0.08731235234421378,0.025249160202837767
1500009L16Rik,-0.05656256038236418,-0.08033286256395111,-0.1368954229463153
1500011B03Rik,0.030425304322556773,-0.12082871135430046,-0.09040340703174368
1500012K07Rik,-0.0892768948308561,-0.07183111416764865,-0.16110800899850475
1500015A07Rik,-0.06413770714226308,-0.07328569388429323,-0.1374234010265563
1500015L24Rik,-0.12096742070976035,0.09441083370597844,-0.026556587003781905
1500015O10Rik,-0.06452446973270143,-0.18532750696478573,-0.24985197669748715
1500026H17Rik,-0.02348103728254486,-0.06255138559106371,-0.08603242287360857
1500035N22Rik,-0.16014822614583668,0.1549088488645881,-0.0052393772812485695
1520401A03Rik,0.008363497289051974,-0.12064769060539696,-0.11228419331634498
1600002D24Rik,-0.08839163144177554,0.15128091967996093,0.06288928823818538
1600002K03Rik,-0.06230391042743033,0.058254760478039624,-0.004049149949390707
1600010M07Rik,0.0076644740023179,-0.046036901189778066,-0.038372427187460166
1600012H06Rik,-0.05270297266851909,0.08436387085271535,0.03166089818419626
