gene_name,9mo.2mo.log_ratio,18mo.9mo.log_ratio,18mo.2mo.log_ratio,count
0610040F04Rik,-0.518386969534613,-0.010599629677720657,-0.5289865992123337,1
1110001J03Rik,-0.2147208088786141,-0.0962660846125365,-0.3109868934911506,1
1110020A21Rik,-0.25421114199739403,-0.13850521841827756,-0.3927163604156716,1
1110038B12Rik,0.5690798782928823,-0.09305327269554198,0.47602660559734034,1
1110051M20Rik,-0.1254532142456538,-0.31848231588311754,-0.44393553012877135,1
1190002N15Rik,-0.419014437666541,-0.07243250950077873,-0.49144694716731974,2
1700007G11Rik,-0.24607274936796797,0.07966227275157695,-0.16641047661639102,2
1700008O03Rik,-0.0062739524413542025,-0.055314540035273474,-0.061588492476627676,2
1700018L02Rik,-0.19255052831066477,-0.4267772985460414,-0.6193278268567062,1
1700028I16Rik,0.43092935555942646,0.07626397688144992,0.5071933324408764,1
1700030F04Rik,-0.14203078003487413,0.7300965913755388,0.5880658113406647,1
1700034K08Rik,-0.6972966641259783,-0.2577798494921898,-0.9550765136181681,1
1700034P13Rik,-0.21222664715515327,-0.2686496692021776,-0.48087631635733086,1
1700040L02Rik,-0.41273363564464827,0.4130184408299411,0.0002848051852928357,1
1700041G16Rik,0.11799008908368336,0.17101067002241077,0.28900075910609413,1
1700052K11Rik,-0.35144087116427203,-0.04004091804526366,-0.3914817892095357,1
1700064H15Rik,-0.4943947379788485,-0.13220546518728682,-0.6266002031661353,1
1700080N15Rik,-0.22812519440000267,-0.1836587682600519,-0.41178396266005457,1
1700086P04Rik,0.414905518295722,-0.03547757379029548,0.3794279445054265,2
1700092C17Rik,0.2470069754654709,0.07440683779068369,0.3214138132561546,1
1700101E01Rik,0.26946072448667424,0.08658499126949071,0.35604571575616495,1
1700112E06Rik,0.5257688985878267,0.4299908389223041,0.9557597375101308,3
1700113H08Rik,-0.7139362309793014,0.21916751841657867,-0.4947687125627227,1
1810034E14Rik,0.20489534250446573,0.27643673299711274,0.48133207550157847,2
1810041L15Rik,0.7854493891991519,0.04083673776599106,0.8262861269651429,1
1810046K07Rik,0.22913451346328984,0.04549442331342446,0.2746289367767143,1
2010107G23Rik,0.3477529425462076,-0.08724661148073753,0.26050633106547005,1
2010300C02Rik,-0.12452091573291346,-0.16951399098317532,-0.2940349067160888,1
2010300F17Rik,0.4860398954868499,0.07273236393768512,0.558772259424535,1
2210408F21Rik,-0.11797306958008291,-0.3463165240889634,-0.4642895936690463,1
2210408I21Rik,-0.21143484128497114,-0.051929699570542276,-0.2633645408555134,1
2310001H17Rik,0.047265413176593274,0.22021756010292348,0.26748297327951676,1
2310014F06Rik,0.19302159056420454,0.12219121586793191,0.31521280643213645,1
2310035C23Rik,-0.5864868347120513,0.03261635223396464,-0.5538704824780867,1
2310061J03Rik,-0.3228015018045598,-0.1360382961478077,-0.4588397979523675,1
2410018L13Rik,-0.5369909553894487,-0.0508606405793226,-0.5878515959687713,1
2410137M14Rik,0.4830443988639035,0.16225396716166762,0.6452983660255711,1
2610015P09Rik,-0.4201442713504683,0.017804329010471298,-0.402339942339997,2
2610027F03Rik,-0.03300330026761589,0.6108796874107346,0.5778763871431187,1
2610307P16Rik,-0.9429696894242241,0.31672926034039256,-0.6262404290838316,3
2700033N17Rik,-0.5054502004677894,0.0009716539054083206,-0.5044785465623811,2
2700069I18Rik,0.5509368832001115,0.2868592244720324,0.8377961076721439,1
2810013P06Rik,0.4011766503208256,0.04472501284813557,0.4459016631689612,1
2810032G03Rik,-0.3583411245733312,-0.12123847658274767,-0.4795796011560789,2
2810404M03Rik,-0.36427598004818645,0.7167680030895862,0.35249202304139976,1
2900011O08Rik,0.1620997643228832,0.16549286427036058,0.3275926285932438,1
2900026A02Rik,0.35975799037254774,0.05667824208509464,0.4164362324576424,2
2900076A07Rik,0.3359275984136558,0.2281428943694308,0.5640704927830866,1
3000002C10Rik,0.2523059608057192,0.013473366640509354,0.26577932744622856,1
3100003L05Rik,0.463175458834443,-0.05998101890896157,0.40319443992548143,1
3110009E18Rik,-0.7000705997827754,0.23776547914422008,-0.46230512063855533,1
3110039M20Rik,-0.5859709543042415,-0.05122039986089518,-0.6371913541651367,3
3222401L13Rik,0.40332969895367965,0.48455323865525196,0.8878829376089316,2
3425401B19Rik,0.10645105197026838,0.2765479518203977,0.3829990037906661,1
4732440D04Rik,-0.4705626956113025,-0.09397088066457437,-0.5645335762758769,1
4833403I15Rik,-0.8670218767336653,-0.023055274919828728,-0.890077151653494,1
4921507L20Rik,0.06418968280273396,-0.5258046988088398,-0.4616150160061059,1
4921531C22Rik,0.6607565183475319,0.046461015095747626,0.7072175334432795,1
4930412O13Rik,-0.5603823562383679,0.07960929130830557,-0.4807730649300622,1
4930415O20Rik,0.2735303284799997,0.11113718270092665,0.38466751118092635,1
4930419G24Rik,-0.26567463729850704,-0.16334262683207923,-0.4290172641305863,1
4930422M22Rik,0.21573080435934244,0.09807954628469195,0.3138103506440344,1
4930438E09Rik,0.34896694036355314,-0.002930001283753647,0.3460369390797995,1
4930452B06Rik,-0.6685020732110648,-0.12187627411453261,-0.7903783473255974,1
4930452N14Rik,0.07729469284840773,0.2273824502398054,0.30467714308821314,1
