gene_name,9mo.2mo.log_ratio,18mo.9mo.log_ratio,18mo.2mo.log_ratio,count
0610005C13Rik,0.39075522177800703,-0.013065911516284112,0.3776893102617229,2
0610010F05Rik,-0.4257816847595324,-0.013032240006417783,-0.43881392476595016,1
0610010K14Rik,0.3781278167202604,-0.12074006397078563,0.2573877527494748,1
0610040B10Rik,0.3009430137189346,0.028145833260232678,0.3290888469791673,1
0610040F04Rik,0.14190675735444902,0.1745352336116599,0.3164419909661089,1
0610043K17Rik,0.29310047805464423,0.010191644823049906,0.30329212287769414,2
1110002L01Rik,-0.28887526747275727,-0.030609481522154036,-0.3194847489949113,2
1110007C09Rik,-0.1067291252553962,-0.0546026168469691,-0.1613317421023653,3
1110008L16Rik,-0.08622288396708644,-0.1822640496744823,-0.2684869336415687,1
1110008P14Rik,0.3153723003647475,-0.02176480674185166,0.29360749362289584,2
1110015O18Rik,-1.8496272642599432,-0.31744083894769526,-2.1670681032076384,1
1110017D15Rik,0.3196993768050733,-0.0007705279462357773,0.31892884885883754,1
1110018N20Rik,0.32413669720179084,-0.038552942368188514,0.2855837548336023,2
1110032F04Rik,0.4682266059023804,-0.04767976962831266,0.42054683627406775,2
1110035H17Rik,0.4235751781301851,0.03651114290896973,0.4600863210391548,2
1110046J04Rik,0.19540089121952087,0.08199835792346755,0.2773992491429884,2
1110054M08Rik,0.5743854542882939,0.0063388026929929175,0.5807242569812868,2
1110059E24Rik,0.2980212741413377,-0.028631203065846877,0.26939007107549084,1
1110065P20Rik,-0.14040375541971528,-0.11313709601879118,-0.25354085143850646,1
1190002N15Rik,-0.25453684163555,-0.04774281099098454,-0.30227965262653456,2
1190005I06Rik,0.33186041799416016,0.015605187178044775,0.347465605172205,7
1200014J11Rik,0.21675368563646646,0.043305272651194215,0.2600589582876607,1
1500004A13Rik,0.3943843117942001,-0.07209069680291313,0.32229361499128695,2
1500011K16Rik,-0.2488795483986168,-0.03166859796130561,-0.2805481463599224,1
1500012F01Rik,0.19667566178854745,0.06284589465987445,0.2595215564484219,1
1500015L24Rik,0.24230351797614524,0.03294198767948764,0.2752455056556329,1
1600002H07Rik,0.31094558707382913,-0.051368455072853036,0.2595771320009761,2
1600002K03Rik,0.3349213165418279,-0.03243508175744081,0.3024862347843871,2
1600012H06Rik,0.3718517393712677,-0.011309118394431383,0.3605426209768363,1
1700001D01Rik,-1.0333384777763392,0.03693123389140518,-0.9964072438849341,1
1700001L05Rik,0.3679989992393069,0.14506882416883515,0.513067823408142,1
1700001O22Rik,0.32973866696702725,0.0046475692682459435,0.3343862362352732,2
1700003D09Rik,0.2678701621561676,0.025548047781402666,0.29341820993757023,3
1700003E16Rik,0.249306036231437,-0.0799211708753147,0.1693848653561223,2
1700003M07Rik,0.2122234958862914,0.056211066151617306,0.2684345620379087,1
1700006E09Rik,0.2903219331615925,0.005187921700943399,0.2955098548625359,2
1700007F19Rik,-0.35476949245967027,-0.049455304785746224,-0.4042247972454165,1
1700007G11Rik,-0.9292767293926429,0.12004002967693483,-0.8092366997157081,1
1700007K13Rik,0.35492999605879394,-0.034468917764370666,0.3204610782944233,1
1700008O03Rik,0.2108312335417124,0.0036686667788855066,0.2144999003205979,7
1700009P17Rik,0.1456668809294812,0.15919385120001506,0.30486073212949627,1
1700010L04Rik,-0.5029294026999649,0.06645973330239663,-0.43646966939756826,1
1700011A15Rik,0.2715589578190021,0.04589833784077735,0.3174572956597794,1
1700011E24Rik,0.4451581485703367,0.08112897530468155,0.5262871238750183,3
1700011I03Rik,0.23298549020698367,0.03877058275365863,0.2717560729606423,1
1700011L22Rik,0.16979849799233548,0.08605714185490498,0.25585563984724047,1
1700017B05Rik,0.33582092938800545,0.07102866369434735,0.4068495930823528,3
1700017D01Rik,-0.5528396838148946,-0.3014514206838643,-0.8542911044987589,1
1700018L02Rik,0.20788889830110358,0.07316744936161212,0.2810563476627157,1
1700019D03Rik,0.3430860339622366,-0.023843437547901303,0.3192425964143353,1
1700019L03Rik,0.19932479472162434,0.056474149205527624,0.25579894392715197,1
1700019O17Rik,-0.22409616945738975,-0.09041513234899545,-0.3145113018063852,1
1700020L24Rik,0.25054890415548914,0.007479716469776854,0.258028620625266,2
1700021K19Rik,-0.15674884458741212,-0.1553125221208298,-0.3120613667082419,1
1700021N21Rik,-0.15010499933391808,-0.10825893796987307,-0.25836393730379115,1
1700023E05Rik,0.1264919029707312,0.12452072693529193,0.25101262990602313,1
1700025G04Rik,0.22968792908449842,0.1043491640162213,0.3340370931007197,2
1700025N21Rik,-0.5587121023394612,-0.08181085969992408,-0.6405229620393853,1
1700027A07Rik,0.23319400940005242,0.050870467475558456,0.28406447687561087,1
1700027H10Rik,-0.5033756818679604,-0.008430103169197789,-0.5118057850371582,1
1700028I16Rik,-0.011146924873464692,0.005296500265917881,-0.005850424607546811,2
1700028K03Rik,-0.8314747681878614,-0.41986106858959227,-1.2513358367774536,1
1700034J05Rik,-0.557593719086035,-0.10942454289542658,-0.6670182619814615,1
1700034P13Rik,-0.49162463668456224,0.08456073739546,-0.40706389928910225,1
1700037H04Rik,0.25881519188569735,0.06522013759147294,0.3240353294771703,1
1700042G07Rik,-0.38316732541183196,0.05260048984638832,-0.33056683556544364,1
1700049G17Rik,0.17250459859946776,0.07942090523433532,0.2519255038338031,1
1700051A21Rik,0.3859413005716421,0.04487900564489067,0.4308203062165328,2
1700054K19Rik,-0.966887235814258,0.046910802820829156,-0.9199764329934288,1
1700057H15Rik,-0.3580553186201181,0.05475576597106935,-0.30329955264904873,1
1700058P15Rik,0.5117597951816837,0.051457636182422384,0.5632174313641061,1
1700060C20Rik,-0.484771476635542,-0.2928892040191511,-0.7776606806546931,1
1700064M15Rik,0.21362700989098737,0.10164450305951611,0.3152715129505035,1
1700066B19Rik,0.39738942568443525,-0.061540125406262636,0.3358493002781726,1
1700069B07Rik,0.29995723696470256,0.05253475560200771,0.35249199256671027,1
1700069L16Rik,0.4757582294563698,-0.019478449181733914,0.4562797802746359,1
1700086L19Rik,-0.755432139845992,-0.08691105903776197,-0.842343198883754,1
1700086P04Rik,0.7330924116271453,-0.12383647974311884,0.6092559318840265,1
1700092K14Rik,-0.35892289810060385,-0.047123677270179964,-0.4060465753707838,1
1700101E01Rik,0.5959959091971418,-0.018029257935608722,0.5779666512615331,1
1700110K17Rik,0.43399404108065864,-0.0988711367932602,0.33512290428739844,1
1700112E06Rik,0.3583128684594515,0.14374880932965264,0.5020616777891042,11
1700112J05Rik,0.1264919029707312,0.12452072693529193,0.25101262990602313,1
1700112J16Rik,0.14805026404108057,0.13271463861950594,0.2807649026605865,1
1700119I11Rik,-0.46938336743763376,0.0032543212775513197,-0.46612904616008244,1
1700123I01Rik,-0.1577817597676594,-0.13154111380689004,-0.28932287357454944,1
1700123M08Rik,0.2823298869169122,0.32999079361675054,0.6123206805336627,1
1700125G02Rik,0.33437210932865735,-0.053500222124300834,0.2808718872043565,1
1700125H20Rik,0.3640817028052088,-0.11152921420107642,0.2525524886041324,1
1810010H24Rik,0.3266635030394065,-0.031853632713915836,0.29480987032549066,1
1810012K08Rik,0.3470409025587533,-0.07984796295539764,0.26719293960335566,1
1810013D15Rik,0.26886484074778716,0.25346667610590945,0.5223315168536966,1
1810020O05Rik,0.6838970000898366,0.06908380649686174,0.7529808065866983,1
1810021B22Rik,0.24483828138641517,0.06783142939664177,0.31266971078305694,1
1810041L15Rik,-1.251982931785722,-0.28977694458265135,-1.5417598763683733,2
1810043G02Rik,0.1992267002249033,0.07407891826478874,0.27330561848969204,1
1810058I24Rik,-0.4023745192117367,-0.024283665156464185,-0.4266581843682009,1
1810062G17Rik,0.340889747038017,0.18464115893712396,0.525530905975141,1
2010001K21Rik,0.21371933097605122,0.10287703822387995,0.31659636919993117,1
2010012O05Rik,0.23822404711680445,0.032463895428548106,0.27068794254535256,1
2010107E04Rik,0.32567177831269145,-0.06172440928639844,0.263947369026293,1
2010107G23Rik,0.4578313453607956,0.004788265804025471,0.4626196111648211,1
2010111I01Rik,-0.0013188287959015055,0.013084411634310697,0.011765582838409191,6
2010300C02Rik,-0.2921773561558716,-0.00818517567513366,-0.30036253183100525,1
2010310C07Rik,0.3765504858327695,-0.024736781611801373,0.35181370422096814,1
2010315B03Rik,-0.6678978508833726,-0.033308366100794906,-0.7012062169841675,1
2010320O07Rik,0.13342301979417437,0.21228817050037785,0.3457111902945522,1
2210008F06Rik,0.26320489966390204,-0.010782197265086188,0.25242270239881587,3
2210011C24Rik,0.2804386877285818,-0.00011330082810045994,0.28032538690048137,2
2210016L21Rik,0.24826987852139526,0.052288873785064194,0.30055875230645945,1
2210408F21Rik,0.4840517417498155,0.10835799886365842,0.592409740613474,6
2210408I21Rik,-0.3946528154554585,0.0997911496332966,-0.2948616658221619,1
2210417A02Rik,-0.4058683918427799,-0.18344942567273703,-0.5893178175155169,1
2310001K24Rik,0.27052254205332016,0.014989269799078109,0.28551181185239827,1
2310002F09Rik,0.25643197597969447,0.07054102012951358,0.32697299610920805,1
2310003H01Rik,0.3037173342264916,-0.025082216386487666,0.27863511784000394,1
2310011J03Rik,0.27013177130839416,0.010636434099286163,0.2807682054076803,1
2310015A10Rik,0.3519758691011894,-0.03730761679586814,0.31466825230532125,2
2310016G11Rik,0.3615246423714829,0.0032410854801293945,0.3647657278516123,3
2310022B05Rik,0.3203733075563008,-0.004800852003125411,0.31557245555317537,4
2310035C23Rik,-0.44500389960038206,0.007822754545567282,-0.4371811450548148,3
2310036O22Rik,-0.48755215918722605,0.08898217775498907,-0.398569981432237,1
2310045N01Rik,0.3493635292538828,0.05212968263802975,0.40149321189191256,2
2310061I04Rik,0.2577899848769931,0.008039236278841955,0.26582922115583507,1
2310067B10Rik,0.267202613016456,0.0012737816278041159,0.2684763946442601,1
2410003L11Rik,0.23172378312141584,0.022046949057337617,0.25377073217875346,1
2410016O06Rik,0.2390400530422334,0.04590277751435323,0.28494283055658665,1
2410080I02Rik,-0.2732886746922931,-0.05955094535267769,-0.3328396200449708,1
2410152P15Rik,0.19729378306117895,0.08165244250154924,0.2789462255627282,1
2510003E04Rik,0.0948292724534151,-0.10862184393473517,-0.01379257148132007,2
2600006K01Rik,0.4001018080808434,-0.11467563206868903,0.28542617601215436,1
2610008E11Rik,-0.6836357347714705,-0.03860378914014628,-0.7222395239116168,1
2610015P09Rik,0.24061282073994028,0.017142478948700912,0.2577552996886412,1
2610028E06Rik,-0.5096742676661261,-0.2453944549615017,-0.7550687226276278,1
2610035D17Rik,0.45340575665982064,-0.09309362872502236,0.3603121279347983,1
2610203C20Rik,0.4621545112044185,0.02591073174364812,0.48806524294806664,9
2610203C22Rik,-0.5358424531965708,0.06838184688749223,-0.46746060630907854,3
2610316D01Rik,-0.1979864152271785,-0.03256194937288429,-0.23054836460006278,3
2610524H06Rik,0.23513824886059098,0.050353847224097414,0.2854920960846884,2
2700016F22Rik,0.3588087593264948,-0.0029586437891060413,0.35585011553738877,1
2700033N17Rik,0.24242869578370696,0.03999021794867064,0.2824189137323776,1
2700049A03Rik,-0.5942781417428931,-0.046597705441890014,-0.6408758471847831,1
2700089E24Rik,-0.6005906351813282,0.09561809628737716,-0.504972538893951,2
2810030D12Rik,0.4481613730070664,0.029431782844018706,0.4775931558510851,1
2810032G03Rik,0.46351730403198665,0.10370917287082666,0.5672264769028134,3
2810039B14Rik,0.18545978875359337,0.0848971128512308,0.2703569016048242,1
2810407A14Rik,-0.30960023728839303,0.03372554399251282,-0.2758746932958802,1
2810408A11Rik,0.31766430035256565,-0.06673004817220107,0.2509342521803646,1
2810410L24Rik,0.30684923629149186,-0.0988944424696494,0.20795479382184245,1
2810425M01Rik,-0.22792718327413866,-0.02879973017218629,-0.256726913446325,3
2810428I15Rik,0.3112109338444891,0.015417236773108467,0.3266281706175976,3
2810430I11Rik,0.5594047343916378,-0.1952931692882427,0.36411156510339515,2
2900011O08Rik,-0.37947335562938966,-0.1229999596896485,-0.5024733153190382,1
2900026A02Rik,0.4344850800357427,0.030298694918015068,0.4647837749537578,2
2900052L18Rik,0.3254215791024313,0.04305044151752346,0.36847202061995477,1
2900055J20Rik,0.2767203620853669,0.1372206439382051,0.413941006023572,2
2900072N19Rik,0.28150408419790596,0.03481433992693761,0.31631842412484357,2
2900079G21Rik,-1.315721978163436,-0.7923148697965654,-2.108036847960001,2
2900089D17Rik,0.2895782402964513,-0.014455630504534911,0.2751226097919164,1
3010003L21Rik,0.152059680819288,0.15068750793952423,0.30274718875881224,2
3110002H16Rik,-0.478837711463874,0.08617407636264374,-0.39266363510123026,1
3110021N24Rik,-0.04063595400952691,0.02092077685321314,-0.019715177156313768,1
3110035E14Rik,-0.5276427452310228,0.10215197513929253,-0.4254907700917303,1
3110039M20Rik,-1.104102653190773,-0.7186248532418936,-1.8227275064326667,7
3110079O15Rik,0.2246658934425272,0.201903505598497,0.4265693990410242,1
3110082I17Rik,0.4210365260352774,-0.01725038346614549,0.4037861425691319,4
3300002A11Rik,-0.06004750242437629,-0.06220740554695681,-0.1222549079713331,5
3300002I08Rik,-0.7588226685348844,-0.062195139711991754,-0.8210178082468762,2
3632451O06Rik,-0.3594104576094108,0.037360205110511746,-0.32205025249889907,1
3830432H09Rik,-0.4367662616865746,-0.0006219905272160098,-0.43738825221379063,1
4631405J19Rik,-0.2042139556608762,-0.1852771518425046,-0.3894911075033808,2
4632415L05Rik,-0.05310379708714885,-0.24950392750682782,-0.30260772459397667,1
4632428C04Rik,0.1411321022079861,0.30067319865132935,0.44180530085931546,1
4632428N05Rik,-0.45580004202971125,0.02758212216135636,-0.4282179198683549,1
4731419I09Rik,0.1953794706892581,-0.07223956131280729,0.1231399093764508,4
4732414G09Rik,0.36947766017731487,-0.029509833473429836,0.33996782670388503,2
4732440D04Rik,-0.27234046971940473,0.007309197993714545,-0.2650312717256902,1
4732463B04Rik,0.7859564526006722,-0.03645383168224847,0.7495026209184237,1
4833412C05Rik,0.39013916576764407,0.016221796353669937,0.406360962121314,1
4833418N02Rik,0.3373224689484539,0.025667070144782606,0.3629895390932365,3
4833428L15Rik,0.4574477858718544,-0.09711262910942509,0.36033515676242933,1
4921531C22Rik,0.6539440338762939,-0.3001664924247165,0.35377754145157736,1
4930403D09Rik,0.30052740472399164,0.07369383073705205,0.3742212354610437,1
4930404H24Rik,0.26609420156452135,-0.008173734991338222,0.2579204665731831,1
4930405A21Rik,0.2692749210968965,0.023901097436821228,0.2931760185337177,3
4930407I10Rik,0.3069182742331411,0.007148603580762636,0.31406687781390374,1
4930412B13Rik,-1.2936925694018648,0.07133657778450864,-1.2223559916173563,1
4930412L05Rik,0.4306515882395303,-0.061085280917019924,0.3695663073225104,2
4930412M03Rik,0.20962323393595206,0.06299565511793226,0.2726188890538843,1
4930415F15Rik,-0.3994143026087146,-0.22032544561218337,-0.619739748220898,2
4930417H01Rik,-0.4657926179163606,-0.13694332727394232,-0.6027359451903029,2
4930432K21Rik,-0.09067575137334405,-0.007535148754590826,-0.09821090012793487,2
4930439A04Rik,-1.0237751861357793,-0.11516620755377538,-1.1389413936895547,1
4930440I19Rik,-0.40740007357924735,0.055297862194682246,-0.3521022113845651,2
4930444P10Rik,-0.4655584000970614,0.1494425935160737,-0.3161158065809877,1
4930453O03Rik,-1.0250986382446146,-0.2640511835673798,-1.2891498218119943,1
4930474H06Rik,-0.6355962310872272,-0.21673451902202912,-0.8523307501092563,1
4930481A15Rik,0.20160355487360215,0.06829708920703714,0.2699006440806393,1
4930486F22Rik,0.5018066288204098,0.11191309120197301,0.6137197200223828,2
4930505N22Rik,0.2229423999078035,0.086203975424757,0.3091463753325605,2
4930509G22Rik,0.08716186646392154,0.2174563449536122,0.30461821141753376,1
4930511A02Rik,-0.8751701442087425,-0.23219425287454976,-1.1073643970832923,1
4930511M06Rik,0.15275280209182984,0.15085127202811832,0.30360407411994816,1
4930512B01Rik,0.45483990401300733,-0.002759856064135313,0.452080047948872,1
4930519G04Rik,0.2032125402480105,0.06022826449649843,0.2634408047445089,1
4930527E20Rik,0.3770943276692722,-0.02341597083678515,0.35367835683248705,1
4930532G15Rik,-0.22879890471319797,-0.07154147482198292,-0.3003403795351809,1
4930550C14Rik,-0.39895636478964214,0.11523367254673245,-0.2837226922429097,1
4930553M12Rik,-0.3803553716911585,-0.0010473394852488216,-0.38140271117640734,1
4930554H23Rik,0.2694180023443389,0.02820576061395208,0.29762376295829096,1
4930556G22Rik,-0.34186559139796285,-0.06467301366346241,-0.40653860506142525,3
4930558J22Rik,-0.9431522789441358,-0.6290796044531353,-1.572231883397271,1
4930563E18Rik,0.06457361855972632,0.22352303838126253,0.28809665694098885,2
4930570D08Rik,-0.7204322138857717,-0.08905850379506197,-0.8094907176808337,1
4930570G19Rik,-0.29115500118249343,0.03309282585211585,-0.25806217533037756,3
4930570N19Rik,-0.2575212074946176,-0.05144431660049342,-0.308965524095111,1
4930578C19Rik,0.35923990080510393,0.09039456793091682,0.44963446873602075,1
4930578M01Rik,0.25470964021961895,-0.0002098692140584113,0.25449977100556054,1
