gene,stats,fdr,log2(old/young),DEG,-log10(fdr)
Xkr4,17.167539974632753,0.000729574709861,0.030414904,0,3.136930228898574
Gm1992,63.24218402439824,4.438609153781494e-12,0.6483444,1,11.352753095530876
Mrpl15,6.909894171575837,0.0587152233608513,0.050651953,0,1.231249282662895
Lypla1,21.156955826126552,0.0001395146153059,-0.12909651,0,3.8553802940805184
Tcea1,32.00503388513826,1.8394652787429256e-06,-0.12053248,0,5.735308405382551
Rgs20,12.71737083305328,0.0048994052945586,0.045155726,0,2.309856632821724
Atp6v1h,7.120223371504048,0.0536545064469525,0.06858838,0,1.270393795732464
Oprk1,3.391985932609276,0.2563287027364426,-2.0242565,0,0.5912027604091634
Rb1cc1,9.794253302335242,0.0170392480866485,-0.052062325,0,1.7685495738313133
4732440D04Rik,9.532365435906968,0.0190634176887709,0.5730257,0,1.7197992364198849
St18,0.7803199904427478,0.7369178065316161,-0.10073777,0,0.1325809492649814
Pcmtd1,4.143585616581754,0.1869446955302781,0.048150744,0,0.7282868532410403
Gm26901,6.046685270696193,0.0844941974720928,0.08487244,0,1.0731731146287484
Sntg1,24.373556103266885,3.7374944147985886e-05,0.09694352,0,4.427419447663893
Rrs1,4.4711436811389245,0.1632401976040525,0.1371963,0,0.787172888180207
Adhfe1,19.39860659350903,0.0002869496035061,-0.07762711,0,3.5421943710049515
2610203C22Rik,9.545203746476268,0.0189528401410472,0.68726987,0,1.7223257004631214
Mybl1,7.298626230504845,0.0497492223439143,0.104309045,0,1.303213703549139
Vcpip1,16.33018018031966,0.0010459355410599,-0.16690396,0,2.980495079354564
1700034P13Rik,6.858091175446298,0.0600387640315845,1.1052998,0,1.2215682567983157
Sgk3,28.943272719530043,6.0304820750383685e-06,0.07008965,0,5.219647969093578
Mcmdc2,4.073137081371674,0.192565976233017,0.14700846,0,0.7154204443120304
Snhg6,3.631369422009546,0.2315852536227858,-0.39816406,0,0.6352890981144907
Ppp1r42,1.4084635998095996,0.5746840851349363,-0.7385984,0,0.2405708297216717
Cops5,19.172770660585453,0.00031542143858,-0.052167792,0,3.5011087918549038
Cspp1,16.81943308507426,0.0008495496675533,-0.017212046,0,3.070811225725115
Arfgef1,7.453770740581056,0.0464846839596856,-0.02956212,0,1.3326901173786116
Cpa6,0.4490355554343793,0.8394819497584195,0.16966112,0,0.0759886374706516
Prex2,0.8444561032846761,0.7179691641002254,0.108987786,0,0.1438942077753801
A830018L16Rik,5.259663017756855,0.1175609456206486,-0.08347849,0,0.929736929266846
Sulf1,4.605202320989971,0.1543186239654914,-1.1460236,0,0.811581657881398
Slco5a1,2.0034280386525283,0.4508984028162664,-0.16382016,0,0.3459213030596095
Ncoa2,4.811528422521654,0.1417054162892189,0.034167245,0,0.8486135497556075
Gm29570,0.100294828729331,0.9625015781743946,0.094640546,0,0.0165985497240132
Tram1,23.6918824626792,4.924518716118374e-05,0.15373354,0,4.307636207632892
Lactb2,20.83484718933248,0.0001582012756408,0.07602925,0,3.8007900189323367
Eya1,10.578361688306057,0.0122000498133556,0.31832227,0,1.9136383960776044
Gm9947,1.4033817141005036,0.5758613230577471,0.29716665,0,0.2396820892885772
Msc,2.82212294155692,0.3236762544638083,0.6768773,0,0.4898891601389883
Kcnb2,20.31386776482792,0.0001963102509544,-0.22547291,0,3.707057021761539
Terf1,20.47617907738644,0.0001839501955944,0.08796696,0,3.73529974604684
