,preds,labels,genes
0,2,1,Lrp1b
1,0,0,Negr1
2,0,0,Grin2a
3,0,0,Sorcs2
4,2,2,Lrrc4c
5,0,0,Kcnj6
6,0,0,Adamts17
7,0,0,Galnt18
8,0,0,Slc44a5
9,0,0,Rtn1
10,0,0,Epha7
11,1,0,A830018L16Rik
12,0,0,Rasgrf2
13,0,1,Ccdc85a
14,0,0,Chst9
15,0,0,Tmem131
16,2,2,Grm8
17,2,0,Dok6
18,0,0,Syt14
19,0,0,2010300C02Rik
20,0,1,Kif1b
21,2,0,Cmss1
22,0,0,Prox1
23,0,0,Map3k4
24,1,0,Trpc4
25,0,0,Maml2
26,2,2,Dpp10
27,2,2,Xist
28,0,0,Itm2b
29,1,0,Gm20642
30,0,0,D10Wsu102e
31,2,1,Il1rapl1
32,1,1,Dpp6
33,0,1,Nbea
34,1,1,Dst
35,0,0,Nr3c2
36,0,1,Sipa1l1
37,0,1,Cacnb2
38,0,1,Mbd5
39,2,2,Car10
40,0,1,St7
41,0,1,Pkp4
42,0,0,Btbd3
43,0,0,Lyst
44,0,0,Tmtc1
45,0,0,Arhgef4
46,0,0,Cdh11
47,1,2,Flnb
48,0,1,Prickle1
49,0,0,Prmt8
50,1,1,Usp34
51,0,0,Abi1
52,0,0,Napepld
53,1,1,Clasp2
54,0,0,Sparcl1
55,0,0,Itm2c
56,0,1,Ube2b
57,1,1,Srrm2
58,0,0,Hspa8
59,0,0,Gapdh
60,0,1,Hnrnpu
61,1,0,Rpl19
62,0,0,Gm15594
63,1,1,Pnisr
64,0,0,Gse1
65,0,1,Mctp1
66,0,1,Rgs7
67,0,1,Frmd4b
68,2,2,Dgkb
69,0,0,1700025G04Rik
70,0,1,Ssbp2
71,2,2,Grid2
72,0,1,Adcy9
73,1,1,Slc4a10
74,0,0,Ppp2r2c
75,1,1,Pclo
76,2,2,Agbl4
77,0,0,Gng2
78,1,1,Ambra1
79,1,1,Ncor1
80,2,1,Cntnap5b
81,2,1,Rit2
82,0,1,E130307A14Rik
83,0,0,Adcyap1r1
84,0,1,Ptprs
85,2,2,Trps1
86,0,0,Fam171b
87,0,0,Atp2a2
88,0,2,Akap8l
89,0,0,Scn3b
90,0,0,Rps5
91,1,0,Caly
92,0,0,Tubb2a
93,0,0,Ppia
94,0,0,Zdhhc23
95,0,0,Gm17167
96,1,1,Macrod2
97,0,1,Hivep3
98,0,1,Dclk1
99,2,1,Igf1r
100,0,1,Dapk1
101,2,2,Asap1
102,0,1,Atf6
103,0,1,Acvr1
104,0,0,Ppp1r16b
105,2,1,Baz2b
106,0,0,Mcf2l
107,2,1,Sbf2
108,1,1,Dync1i1
109,0,1,Slc24a4
110,1,0,Gm12296
111,2,0,A230004M16Rik
112,2,0,Slc35f1
113,0,0,Lrp12
114,0,1,Setd2
115,2,1,Usp32
116,0,1,Esyt2
117,0,0,Gda
118,2,1,Gucy1a2
119,0,0,Kcnc3
120,0,0,F730043M19Rik
121,1,1,Rbm26
122,1,1,Gapvd1
123,0,0,Trpc5
124,0,0,Fyco1
125,1,2,Ankrd12
126,0,0,Rpl23a
127,0,0,Cox7c
128,1,0,Nckap5
129,2,1,Ksr2
130,0,1,Clasp1
131,0,1,Kat6b
132,1,1,Ano3
133,1,1,Chchd3
134,0,1,Nmnat2
135,2,1,Dis3l2
136,2,2,Fmn1
137,0,0,Cenpp
138,0,0,Fat4
139,2,1,Focad
140,0,0,Zfyve28
141,0,0,Lrrn2
142,0,1,Gtf2i
143,0,1,Sorbs1
144,0,0,Gng7
145,0,1,Ndrg3
146,0,1,Atxn2
147,1,0,Cyth3
148,0,0,Jph3
149,2,0,9630028H03Rik
150,0,1,Cnnm1
151,0,0,Ubl3
152,0,1,Cdk13
153,0,1,Ola1
154,1,1,Nfat5
155,1,1,Pspc1
156,0,1,Orc4
157,0,0,Rps24
158,0,0,Mrpl41
159,1,2,Ighm
160,0,1,Myt1l
161,2,1,Camk1d
162,2,0,Pard3b
163,0,1,Ralgapa2
164,0,0,Fam110b
165,0,1,Plxna2
166,0,0,Galnt2
167,0,1,Lmo7
168,0,1,Ext1
169,0,1,Zfp532
170,0,0,Coro2b
171,0,1,Jakmip2
172,0,1,Agtpbp1
173,0,1,Inpp4a
174,1,0,Tiam2
175,0,0,Lamc1
176,0,0,Atf7ip
177,0,1,Ccny
178,0,0,Foxo1
179,0,1,Chd2
180,0,1,Pcdh17
181,0,1,Pcmtd1
182,0,1,Ppp3r1
183,1,0,Zfp106
184,1,1,Zranb1
185,0,0,Abcb10
186,0,0,Pcdh1
187,0,0,Ctnnb1
188,0,1,Aplp1
189,0,0,Rasl10a
190,0,0,Pgrmc1
191,0,0,Rpl27a
192,0,1,Slc24a2
193,1,1,Prkcb
194,1,1,Adcy2
195,0,0,Bach2
196,1,1,B3galt1
197,0,1,Zmynd8
198,0,0,Ephb2
199,0,1,Rasgrf1
200,0,1,Dgkd
201,2,0,Kcnh7
202,0,1,Dpysl2
203,0,1,Memo1
204,1,1,R3hdm2
205,0,1,Sgsm2
206,0,1,Nmt1
207,0,1,Fam222b
208,0,0,Tet2
209,0,0,Mmp17
210,0,1,Actr3
211,0,1,Rab11fip2
212,0,1,Prr14l
213,0,1,Tub
214,0,0,Eif4g2
215,0,1,Zwint
216,1,1,Krit1
217,0,0,Npy5r
218,0,0,Rbm4
219,0,0,Rpl10a
220,0,0,Orc6
221,0,0,Rpl28
222,0,1,Fam120c
223,0,1,Zfp445
224,1,1,Anks1b
225,2,2,Esrrg
