,preds,labels,genes
0,1,2,Clmp
1,2,0,Nedd4l
2,2,1,Auts2
3,1,0,Pgbd5
4,2,1,Dab1
5,2,1,Dlg2
6,2,0,Ncald
7,2,0,Kif26b
8,2,0,Pcdh15
9,2,0,Ptpro
10,1,0,Map1b
11,1,2,Snhg11
12,1,0,Rfx3
13,1,0,Nrg3os
14,1,0,Cdh8
15,1,0,Robo1
16,1,0,Fth1
17,1,0,Calm1
18,1,0,5330438D12Rik
19,1,0,Kcnt2
20,2,0,Nebl
21,1,0,Sphkap
22,2,1,Lrfn5
23,1,0,Ptprg
24,1,0,P2ry14
25,1,0,Nhsl1
26,1,0,Prkd1
27,2,0,Cblb
28,1,0,D430041D05Rik
29,1,0,Rps8
30,1,0,Robo2
31,1,1,Gria1
32,2,1,Clstn2
33,2,1,Ryr2
34,2,1,Atrnl1
35,1,1,Med12l
36,2,0,Arid1b
37,2,1,Srgap3
38,1,0,Dnah9
39,1,0,C1ql3
40,1,0,Kbtbd11
41,1,1,Tmem108
42,1,2,Rian
43,2,0,Arsb
44,2,1,Tnik
45,1,1,Rbm6
46,1,0,Erc1
47,1,2,Cntn3
48,2,1,Ppfia2
49,1,0,Wipf3
50,1,2,Cdk9
51,1,0,Ywhag
52,1,0,Eif1
53,1,0,Gm20319
54,1,0,Rps10
55,1,0,Gfra2
56,1,1,Kansl1
57,1,2,Ntm
58,1,1,Gabrb1
59,1,0,Acvr2a
60,1,0,Kcnk1
61,1,1,Zfr
62,2,1,Herc2
63,1,0,Ube3a
64,1,1,Atp8a1
65,2,0,Gabbr2
66,2,0,Adk
67,2,1,Ccser1
68,2,1,Wdr7
69,1,0,Pcp4
70,2,1,Cadps
71,2,0,Sema6d
72,2,1,Prickle2
73,2,1,Nfia
74,1,2,Cntnap2
75,1,0,Rpl14
76,1,0,Ywhaz
77,2,1,Trim9
78,0,0,Cacna1h
79,2,0,Nck2
80,1,0,Syt13
81,1,1,Lgi1
82,2,2,Sgcz
83,1,1,Snap25
84,2,1,Sptbn4
85,1,0,Rps7
86,1,0,Rps3
87,1,0,Atp5j
