,preds,labels,genes
0,2,2,Xist
1,0,0,Grin2a
2,2,1,Il1rapl1
3,2,0,Negr1
4,0,0,Maml2
5,2,0,Dok6
6,2,2,Grm8
7,0,0,Cmss1
8,2,1,Lrp1b
9,0,0,Kcnj6
10,2,0,Chst9
11,0,0,2010300C02Rik
12,2,0,Sorcs2
13,0,0,Epha7
14,2,0,Adamts17
15,2,0,Slc44a5
16,2,0,Rasgrf2
17,0,0,Rtn1
18,0,0,Prox1
19,0,1,Ccdc85a
20,2,0,Trpc4
21,2,0,Gm20642
22,2,0,Syt14
23,2,2,Dpp10
24,2,0,D10Wsu102e
25,2,0,Map3k4
26,0,1,Kif1b
27,0,0,Itm2b
28,0,0,Galnt18
29,2,2,Lrrc4c
30,2,0,Tmem131
31,2,0,A830018L16Rik
32,0,0,Napepld
33,0,0,Arhgef4
34,0,0,Rpl19
35,2,0,Cdh11
36,0,1,Pkp4
37,2,1,Cacnb2
38,2,1,Clasp2
39,0,0,Hspa8
40,1,0,Abi1
41,2,0,Tmtc1
42,2,0,Nr3c2
43,2,0,Btbd3
44,0,0,Gm15594
45,0,0,Sparcl1
46,2,2,Car10
47,2,0,Lyst
48,2,1,Dpp6
49,0,0,Itm2c
50,2,1,Dst
51,0,0,Prmt8
52,0,1,Prickle1
53,1,1,Pnisr
54,2,1,Mbd5
55,0,0,Gapdh
56,0,1,Sipa1l1
57,1,1,Ube2b
58,2,1,Usp34
59,2,1,Nbea
60,0,1,Hnrnpu
61,1,1,Srrm2
62,2,2,Flnb
63,2,1,St7
64,0,0,Gm17167
65,0,1,Adcy9
66,2,2,Dgkb
67,0,0,Ppp2r2c
68,2,2,Grid2
69,0,0,Gse1
70,2,2,Agbl4
71,0,0,Adcyap1r1
72,2,1,Rgs7
73,2,1,Ssbp2
74,0,0,Caly
75,0,0,Rps5
76,0,0,Ppia
77,1,0,Zdhhc23
78,2,1,Frmd4b
79,0,0,Tubb2a
80,2,0,1700025G04Rik
81,0,2,Akap8l
82,2,1,Ncor1
83,2,1,Cntnap5b
84,0,0,Scn3b
85,2,2,Trps1
86,2,1,Mctp1
87,2,1,Slc4a10
88,1,0,Atp2a2
89,2,1,Rit2
90,0,1,Ptprs
91,0,0,Gng2
92,1,0,Fam171b
93,2,1,E130307A14Rik
94,2,1,Pclo
95,2,1,Ambra1
96,2,1,Macrod2
97,2,2,Ankrd12
98,2,0,Lrp12
99,2,1,Usp32
100,2,0,Gda
101,1,1,Rbm26
102,2,1,Sbf2
103,0,0,Gm12296
104,2,2,Asap1
105,0,1,Dclk1
106,0,0,Ppp1r16b
107,0,0,Kcnc3
108,0,0,Rpl23a
109,2,1,Igf1r
110,2,1,Baz2b
111,2,0,A230004M16Rik
112,1,0,F730043M19Rik
113,0,0,Cox7c
114,2,1,Esyt2
115,2,1,Hivep3
116,2,0,Fyco1
117,2,0,Mcf2l
118,0,1,Dapk1
119,2,1,Setd2
120,2,1,Gapvd1
121,0,1,Acvr1
122,2,1,Dync1i1
123,2,0,Slc35f1
124,2,0,Trpc5
125,2,1,Gucy1a2
