,cv,feature,class,weight
0,0,gene_length.meta,down,-0.20778660440868824
1,0,9mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,down,-0.048699432919325394
2,0,9mo.2mo.activity.log_ratio.median.5kb-20kb.enhancer_DMR,down,0.189687543678719
3,0,9mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,down,-0.03662993289030265
4,0,9mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,down,-0.15309249679901682
5,0,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,down,-0.13259752866546864
6,0,18mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,down,0.0
7,0,18mo.2mo.activity.log_ratio.median.5kb-20kb.enhancer_DMR,down,0.22014990480984573
8,0,18mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,down,-0.22233112813129996
9,0,18mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,down,-0.004759254636434551
10,0,18mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,down,0.09914530110174981
11,0,18mo.9mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,down,0.0
12,0,18mo.9mo.activity.log_ratio.median.5kb-20kb.enhancer_DMR,down,0.0
13,0,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,down,0.0
14,0,18mo.9mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,down,-0.024616812969268334
15,0,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,down,0.0
16,0,9mo.2mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,down,0.0
17,0,9mo.2mo.contact.log_ratio.median.5kb-20kb.enhancer_DMR,down,-0.05425325555952215
18,0,9mo.2mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,down,0.06930446007001169
19,0,9mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,down,0.0
20,0,9mo.2mo.contact.log_ratio.count.5kb-20kb.enhancer_DMR,down,-0.13259752866546864
21,0,18mo.2mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,down,0.0
22,0,18mo.2mo.contact.log_ratio.median.5kb-20kb.enhancer_DMR,down,-0.06917241133239985
23,0,18mo.2mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,down,-0.04122221465172499
24,0,18mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,down,0.15807186656046718
25,0,18mo.2mo.contact.log_ratio.count.5kb-20kb.enhancer_DMR,down,0.09914530110174981
26,0,18mo.9mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,down,0.0
27,0,18mo.9mo.contact.log_ratio.median.5kb-20kb.enhancer_DMR,down,-7.938427167921502e-08
28,0,18mo.9mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,down,0.04002094737098496
29,0,18mo.9mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,down,0.005583209069356615
30,0,18mo.9mo.contact.log_ratio.count.5kb-20kb.enhancer_DMR,down,0.0
31,0,9mo.2mo.activity.log_ratio.count.20kb-5Mb.enhancer_DMR,down,0.010658050075511098
32,0,18mo.2mo.activity.log_ratio.count.20kb-5Mb.enhancer_DMR,down,0.0420425940145247
33,0,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_DMR,down,0.12167928416921557
34,0,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_DMR,down,0.0
35,0,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_DMR,down,0.0
36,0,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_DMR,down,0.0
37,0,18mo.9mo.activity.log_ratio.count.20kb-5Mb.enhancer_DMR,down,0.0
38,0,9mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_DMR,down,0.010658050075511098
39,0,18mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_DMR,down,0.0420425940145247
40,0,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_DMR,down,0.0
41,0,18mo.9mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,down,0.0284982852405893
42,0,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_DMR,down,-0.2048084566662725
43,0,18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_DMR,down,0.03235734209818808
44,0,18mo.9mo.contact.log_ratio.count.20kb-5Mb.enhancer_DMR,down,0.0
