,cv,feature,class,weight
0,0,gene_length.meta,down,-0.3494832648198558
1,0,9mo.2mo.activity.log_ratio.count.0-5kb.enhancer_DMR,down,0.021154055166662206
2,0,18mo.2mo.activity.log_ratio.count.0-5kb.enhancer_DMR,down,0.11003645510738445
3,0,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_DMR,down,0.0
4,0,9mo.2mo.contact.log_ratio.count.0-5kb.enhancer_DMR,down,0.021154055166662206
5,0,18mo.2mo.contact.log_ratio.count.0-5kb.enhancer_DMR,down,0.11003645510738445
6,0,18mo.9mo.contact.log_ratio.count.0-5kb.enhancer_DMR,down,0.0
7,0,9mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,down,0.0
8,0,9mo.2mo.activity.log_ratio.median.5kb-20kb.enhancer_DMR,down,0.006934125933812798
9,0,9mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,down,-0.11034360543006404
10,0,9mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,down,0.07131148995667531
11,0,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,down,0.09443545392277068
12,0,18mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,down,0.0
13,0,18mo.2mo.activity.log_ratio.median.5kb-20kb.enhancer_DMR,down,-0.0005665873484679533
14,0,18mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,down,0.0
15,0,18mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,down,0.001037098061408165
16,0,18mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,down,0.0011795168557742041
17,0,18mo.9mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,down,0.0
18,0,18mo.9mo.activity.log_ratio.median.5kb-20kb.enhancer_DMR,down,0.0
19,0,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,down,1.6671900958712065e-06
20,0,18mo.9mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,down,-0.07470843639515944
21,0,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,down,-0.013761678632223929
22,0,9mo.2mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,down,0.0
23,0,9mo.2mo.contact.log_ratio.median.5kb-20kb.enhancer_DMR,down,0.008514695008562475
24,0,9mo.2mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,down,0.0076325054916815405
25,0,9mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,down,0.0
26,0,9mo.2mo.contact.log_ratio.count.5kb-20kb.enhancer_DMR,down,0.09443545392277068
27,0,18mo.2mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,down,-0.022640008754900146
28,0,18mo.2mo.contact.log_ratio.median.5kb-20kb.enhancer_DMR,down,0.0
