,DEG
4933411O13Rik,0
Grk6,1
Zfp317,1
Polr3b,1
Sestd1,2
Ipo9,2
Snap25,2
Lrp1,2
Stip1,2
Cntn4,0
Pik3ip1,1
Dnajc13,2
Erlec1,1
Boc,1
Pantr1,0
Zfp85os,1
Clasrp,2
Kdm2a,2
Glra2,0
Ttc23,1
Fance,2
Elavl2,2
Tatdn3,1
Zfyve26,2
Hdac3,2
Gabarapl2,1
Rere,1
Mrps18b,1
Far1os,0
Polr3gl,1
Emc1,1
Snrpe,1
Ccdc57,2
C1qbp,1
Lpp,0
Helq,1
Adam18,1
Spata6,2
Thap7,1
Capzb,0
Nubp1,1
Celf4,2
Phf12,2
Acvr1c,1
Uprt,1
Slc16a2,2
Pcbp3,2
Fggy,2
Hexdc,2
Rpl27,0
Plaa,1
Ccdc14,1
Sez6l2,1
Cct3,2
Ntng2,2
Rab40c,2
Arl13b,1
4930545L23Rik,0
Rufy1,1
Hnrnpu,1
Zfp612,2
Dnm3,2
Lrrc45,2
Myl6,1
Slc24a5,0
Plxna4os3,0
Cs,2
Stmn2,1
Prkar2b,1
Ndufb11,0
Kif1a,2
A430108G06Rik,1
Slitrk4,1
Mrpl47,1
Tango6,1
Rnf217,2
Lss,1
Pigk,0
Zfp706,0
Rundc3b,2
Egr1,0
Adcy5,1
Sec16a,2
Tle1,0
Rfc3,1
Tpm1,1
Odc1,1
Gm14372,0
Szrd1,1
Usp40,2
Chst11,0
Cpne7,2
Tmem69,1
Erbb4,2
Scly,2
Homer1,0
Strip2,0
Rybp,1
Ap4m1,1
Meg3,2
Cd38,0
Med24,2
Gm15478,0
Rps23,0
Med12,1
Tspyl4,0
Skil,1
Fbxo11,1
Rps8,0
Slc16a7,0
Plce1,1
Myo3b,1
Smarcad1,1
Rpl19,0
Ubxn2a,1
Nop58,1
Prpf40b,1
Snrnp48,2
Pcsk1n,0
Osbp2,0
Mier3,1
Prrc2b,1
Ldlrad4,1
Nap1l2,1
Trpm2,2
Ska2,1
Ccdc85b,0
Ocln,1
Sec22a,1
Arhgap33,2
Vps36,1
Catsperd,1
Svop,2
Lmtk3,2
Gm3848,0
Gramd1a,2
Gm13944,0
D030056L22Rik,1
Mgat5,2
Smdt1,0
Snhg4,1
Madd,2
Eml4,1
Ckmt1,1
Gna11,1
Zc3h7b,2
Pde10a,1
1810055G02Rik,1
Nhlrc3,1
Ccnl1,2
Dcaf5,1
Rpl28,0
U2af1,1
Cend1,0
Grcc10,1
Gpi1,2
Copa,2
Spryd7,1
Rps20,0
Stk16,1
Zfp120,1
Lrrn1,0
Phlpp1,1
2010300C02Rik,0
Bin1,2
Gm11149,0
Rufy3,2
Pdcd7,1
Adamtsl1,2
Gap43,2
Gtf3c2,2
Zdhhc8,1
Lcor,1
B9d1,1
Pex16,1
Nono,1
Safb2,2
Slc12a5,2
Chd8,2
