,DEG
Pfdn6,1
Mterf1b,1
Slc35a1,0
Ywhab,0
Gca,0
Nap1l2,0
Tmem178b,2
Orai2,0
Cox6a1,0
Kcnj9,0
Pram1,0
Paip2,1
Cadps,1
Chdh,0
Sar1b,0
Cerk,1
Snf8,1
Atg14,1
Ssbp1,1
Dda1,0
Zfp182,0
Mageh1,0
Dus3l,1
Slc26a8,1
Adk,0
Cebpg,1
Kif26b,0
Foxg1,0
Cdyl,0
Zfp407,1
Rnf128,0
Golga5,1
Grsf1,1
Tmed8,0
Slc25a5,0
Igsf11,0
Pqlc2,1
Sdhd,1
Nr2f1,1
Negr1,0
Rala,0
Dcun1d3,0
Gpr21,0
Plcg1,1
Eif2b5,0
2900026A02Rik,0
Rgs4,1
Smim13,0
Grhpr,1
Ndufs8,1
Pgbd5,0
Kcnc1,0
Adcy5,1
Adpgk,0
Mtbp,1
B4galt1,0
Spock1,2
Klf3,1
Igsf3,0
Cyp2r1,1
Gm13524,1
Rab1b,0
Snrk,0
St3gal2,0
Gigyf1,2
Chgb,0
Slc22a4,1
Slitrk3,0
Gm10419,1
Podxl,1
Nexn,0
Psmc2,0
Zfp273,1
Acd,1
Sh2b3,1
Hmgcr,0
A330102I10Rik,0
Zfp707,0
4930505A04Rik,1
Tm2d2,0
Arhgap23,2
Frmd6,1
Ergic1,0
Inca1,1
Gpr135,1
Rab18,0
Slc16a7,0
Haus2,1
Bok,1
Gm15478,0
Eogt,1
Rnf4,1
Sntb2,1
Asnsd1,1
Pam16,1
Adam12,0
Ralgapa1,1
Ankrd39,1
Fbxo25,0
Slc38a2,1
Ddx4,1
Ccdc71l,0
Glis1,1
Ccdc130,1
Klhl5,0
Cdkl5,0
Cacna1i,2
Rps13,0
Arl6ip5,0
Chrna7,0
Mnt,1
Acp1,0
Ubox5,1
Map9,0
Intu,1
Rgs17,2
Sft2d3,0
Ociad1,0
Foxo1,0
A230072C01Rik,1
Cdh18,2
Uckl1,1
Il31ra,0
