,DEG
Ankrd45,1
Ipo7,1
Wdr83os,1
Gse1,0
Dohh,1
Usp11,1
Ddx17,0
Tek,2
Cbfa2t3,1
Far1os,2
Cacna1a,0
Cntnap1,1
Pde2a,0
Cacna2d1,2
Slc38a7,1
Tsix,2
Atg16l1,1
Lsm7,0
Atp6v0c,0
Wwc1,0
Cpsf7,1
Pou2f2,0
Pcdh19,1
Ankrd34b,1
Ppp6r2,0
Elmod1,0
Acyp1,1
Podxl2,1
Pard6a,1
Srxn1,1
Abcc5,0
Csnk1a1,0
Ccdc92,1
Gatad2b,0
Rad54l2,1
Gpr162,0
Hmbs,1
C130036L24Rik,1
Clstn3,0
Coch,1
Catsperg1,1
Grik5,0
Mical2,0
A930015D03Rik,0
Abi1,2
Rps6kl1,0
Pdcl,1
Tbc1d7,1
Pafah1b1,0
Apobec4,1
Nrip2,1
Ash1l,0
Echdc2,0
Rps16,0
Nol6,1
Tmem91,0
Gm16845,1
Gna12,1
Ythdf2,1
Fnbp1l,0
Erp29,1
Astn1,2
Filip1l,2
AI504432,1
Rab11fip3,0
Galnt9,0
Grhl1,1
Khdrbs1,0
Pdgfa,1
4930419G24Rik,2
Cacng8,0
Iqsec2,0
Mgat5b,0
Kcnb1,0
Flna,0
Snhg9,1
Arhgap24,1
Cmss1,1
Ofd1,1
Sez6l,0
Gm1043,0
9430015G10Rik,1
Ptpn9,0
Manbal,1
Slc25a47,1
Armc9,0
Gm15624,1
Epha10,0
Dcbld2,1
Mical3,0
Cacna1b,0
Fubp1,0
Gm20721,2
Zfp64,1
5730522E02Rik,1
Fryl,0
Tmem259,0
Celf4,0
Gpc5,0
Ube3a,2
Mirg,0
Caprin1,1
Nsmf,0
Smyd3,2
Vps13b,2
Shkbp1,0
Banf2,0
Grhpr,1
Mbd5,2
Apoe,1
Stk35,1
9330159F19Rik,0
Pfkm,0
Galk2,1
Zfpm2,2
Ppp5c,1
Clcn5,1
Snx13,2
9030624G23Rik,1
Rrp1,0
Ogt,0
Prkag1,0
Ppt1,0
Zfp61,1
Rbfox3,0
Camkk2,0
Trmt1l,1
Faim2,0
Timm17a,1
Klhl23,1
Adcy1,0
Ccdc14,1
Fam120b,0
Zswim8,0
Pitpnm1,0
Mnt,1
Scyl1,1
Syvn1,1
Ceacam2,1
Atp6v0b,0
Acrbp,1
Meg3,0
Ankhd1,0
Scube1,0
Rab35,1
Klhl29,0
Ube2b,0
Csnk1e,0
Rictor,2
Flot1,0
Gng3,0
Eqtn,1
Kcnq2,0
Rexo4,0
Gramd1b,0
Rpl13a,0
Dvl1,0
Abhd17a,1
Cpne7,0
Bcl6,0
Flrt1,0
Bsdc1,0
Polr3e,1
Chdh,1
Rps29,0
Acat1,1
Memo1,2
Sntg1,2
Glt8d2,1
Tecpr1,0
Mtap,1
Ndufs4,1
Pard3,1
Cnnm4,1
Gm17135,1
E130308A19Rik,1
Gm26954,2
Unc13a,0
Atp2b2,0
Ubn2,0
Tia1,0
Cttn,1
Bcr,1
Akt3,2
6820408C15Rik,1
