,DEG
Phf12,0
Tmem30a,0
Sfpq,0
Sart1,0
4930480K15Rik,2
Ddx18,1
Ttc39b,1
Ppfia4,1
Ncoa2,1
Lemd3,0
Rps15,0
Syn1,0
Enc1,0
Lrba,2
Bmp2k,1
Hint1,1
Chfr,0
Rap1b,0
Stat3,0
Rangap1,0
Rell1,1
Frmd4b,0
Atcay,0
Tmem150a,1
Tbrg4,1
Dpyd,1
Gm26691,1
Stox1,1
Uck2,0
Ankrd52,1
Nnt,1
Srfbp1,1
Rhobtb1,1
Vcan,1
Srsf5,0
Nsmce4a,1
Maged1,0
Tra2a,0
Arhgap4,1
Arhgdig,0
Bcor,0
Irf2bp2,0
Snx29,1
Atp6v0c,0
Trrap,0
Sae1,0
Fam81a,0
Sec16a,0
Ralgds,0
Gna11,0
Clptm1l,1
Zfp384,0
Tgfbr3l,1
Tro,0
Elmod3,1
1700016P03Rik,0
Slc35g2,1
Prelid1,1
Hpcal4,0
Igsf8,0
A330102I10Rik,0
Hdac6,0
Sec62,0
Bptf,0
Gm20642,2
Zdhhc1,0
Cers5,1
Hsph1,0
Bnip2,1
Setdb1,0
Rilpl2,1
Camk2a,0
Klc2,0
Pld3,0
Scyl1,0
Marf1,0
Slc29a1,1
Gm15886,1
9930104L06Rik,1
Iah1,1
Mapk14,0
Rpl21,1
Phex,1
Ak5,1
Dnmbp,1
Ralgapb,1
Lmbr1l,0
Fap,1
Med17,1
Map3k5,0
Pithd1,0
Camkk2,0
Gm15083,1
Traf7,0
Tsc1,0
Serp1,1
E130311K13Rik,1
Chd3,0
Sncb,0
Car7,0
Trub2,1
Galnt9,0
Copz1,1
Rbbp5,0
Dnm2,0
Actl6b,0
Dhcr7,1
Rrbp1,1
Pfkl,0
Hif1a,1
4930505A04Rik,1
Nr3c1,2
Tmem170b,1
Cmip,0
Acly,1
Zfp787,1
Ptpre,1
Bcl2l2,1
Zfp786,1
Golga7b,0
Neu1,1
Pqlc2,1
Cipc,1
Nr1d1,0
Chst1,0
2210406O10Rik,1
Impa1,1
Ap4m1,1
Psmd2,0
Tgs1,1
Zfp583,1
