,DEG
Dnhd1,1
Rb1,1
Syt14,2
Zfp385b,0
Cmss1,0
Dip2b,1
Slc22a3,1
Gulp1,2
Ubb,0
Pou6f2,2
Prrg1,1
Ralyl,2
Csf2ra,1
Cd81,0
Eif2b3,1
Tomm20,1
Unc13b,2
Arl6ip1,0
Megf10,2
Tmem117,2
Lmnb2,1
Olig1,0
St8sia4,1
Ano3,0
Sema3a,2
Rpl32,1
Araf,1
Slc2a9,1
Zfp746,1
Rimkla,1
Ndufa7,1
Rps26,1
Arhgap5,2
Grb14,2
Hccs,1
Sik2,2
Unc5d,0
Rab11fip4,2
Rpl41,0
Plekhg3,1
Rwdd3,1
Rph3a,1
Rfesd,1
Sgk3,1
Fam135b,0
Rabac1,0
Cobl,2
Nr6a1,2
Atxn7l3,1
Pex1,1
Rps8,0
Gm21860,0
Sh3yl1,1
Txndc17,1
Tnc,2
Eya1,2
Vrk2,1
Mtfr1,1
Ebf1,2
Tjp2,2
Mbd5,1
Stk33,2
Ppfibp2,2
Rcan2,2
A230006K03Rik,0
Abca8a,2
Cdh19,2
Chd6,1
Ndufc2,1
Kansl1l,2
Tenm4,0
Etv5,2
Vapb,1
Hs3st4,0
Cntnap5a,0
St5,2
Numb,1
Plp1,2
Brwd3,1
Scrg1,0
Ube2g2,1
Sf3a3,1
Scel,2
Gatb,1
Schip1,0
Btaf1,2
Bend4,1
Zbtb8os,1
Lin52,2
Tpk1,2
Nfib,2
Phyhipl,2
2210408F21Rik,2
Cdc16,1
Pin1,1
Pcsk6,1
Psmc5,1
2610316D01Rik,2
Rreb1,2
Bcl2,2
Ube2d3,1
Mgat4c,2
Arhgef12,2
Cpd,1
Fam204a,1
Cmas,1
Rasgef1b,2
Zfp287,1
Rhoj,2
Syn2,1
Mpped1,2
Arap2,2
Zfhx4,1
Xrcc4,2
Prr5l,2
Zfp941,1
Mrps33,1
Esr1,1
Flnb,1
Zfp598,1
Ttc32,1
Gpr162,1
Daglb,1
Ccnd2,1
Plscr4,2
St6gal1,2
Nfia,1
Gpr37l1,0
Rorb,2
Exo5,1
Maf,2
Vamp1,1
Pbx3,2
Pdhb,1
Rpsa,0
Adcy8,2
Kctd3,1
Srpk3,1
Sfr1,1
Wls,2
Ppp2r3a,2
Fnip1,2
Chd3,0
Zfp931,1
Slit3,0
Zfp825,1
Wwox,1
2700049A03Rik,1
Pcsk1n,0
Cspg4,0
Mvb12a,1
Klhl29,0
Rps7,1
Rgs6,1
Sfmbt2,0
Ndst3,2
Tma7,1
Utrn,2
Acadl,1
Atp1b1,1
9930021J03Rik,2
Oxr1,2
Kri1,1
Rpl13,0
Cep290,1
Gria1,0
Itm2b,0
Slc8a3,2
Efemp1,2
Tuba1a,0
Cdk19,2
Cd9,0
Tspan3,0
Epn1,1
Grm1,0
Klhdc3,1
Cat,1
Celf4,0
Ap2a2,1
Rassf3,2
Erp29,1
Gmeb1,1
Dph3,1
Msh3,1
Degs1,1
Kdm6a,2
Sncb,1
Zfp553,1
Ephx1,1
Zfp112,1
Dach2,2
Gm12216,1
Gm15398,0
4732471J01Rik,2
Skap2,2
Zfp235,1
Nova1,2
Cpeb1,2
Cep70,1
St18,2
Zkscan6,1
Ap1b1,1
Gsg1l,2
Rpl28,1
Pls1,2
Chst10,1
Ccdc181,1
Mtrf1l,1
Clstn2,0
Phldb2,2
A830018L16Rik,0
Ttyh2,2
Plce1,2
Rin2,2
Rpl18a,1
Fnta,1
Manf,0
Abcf2,1
Gatc,1
C1ql3,0
B4galt4,1
Plekhg1,2
Lrrc28,1
Cst3,0
Fstl4,2
4930556J24Rik,1
Mitf,2
5031439G07Rik,1
Opcml,1
Atp6v0c,0
Xist,0
Col27a1,2
Ndufa9,1
Cdk6,1
Sel1l3,1
Hyou1,1
Psma6,1
4921504A21Rik,1
Dnajc5,1
Ccdc85b,1
Gpc5,2
6030407O03Rik,2
Nenf,1
Atraid,1
Nell2,0
Nono,1
Klhl4,2
Mthfd2l,1
Etl4,0
Ppard,1
Scd2,0
Asap3,1
Rab9,1
Kctd8,2
Dock7,1
Hcn1,0
Arl6ip6,1
Zcwpw2,1
Ern1,1
9330111N05Rik,2
Klc1,1
Plxna4,0
Pabpn1,0
Aff3,0
Zfp60,1
Peg3,2
Timm23,1
Med1,1
Ppp1r10,1
Stoml1,1
Sec14l1,1
Sncaip,2
