,DEG
Wdr76,1
Pttg1ip,1
Jph1,2
Ints12,1
Mapk8ip1,0
Ptpn21,2
Arhgap44,1
Commd6,1
Frmd4b,1
Zfpm1,1
Sirt2,0
Inpp5b,1
Phb2,1
Ppwd1,1
Bola2,0
Mafg,1
Cox7c,0
Zfp821,2
Grcc10,0
Rbms3,2
Eif3k,0
Aip,1
Rpia,1
4933406C10Rik,1
Rmst,2
Zfp74,1
Extl2,1
Grn,0
Hsp90b1,0
Cpe,0
Sorcs3,2
Tle1,2
Inpp1,1
Rhno1,1
Dlst,2
Sqle,0
Ndn,0
Cntnap5c,1
R3hdm1,1
Vdac3,1
Kpnb1,0
Ndufa6,0
Smndc1,1
Dctn5,1
Nbn,1
Tnpo3,1
Chn2,1
Rundc3b,1
Mipol1,1
Kctd3,1
Ggct,1
D430041D05Rik,2
Pofut1,1
Jph4,0
Kmt2e,1
Mamld1,1
Pter,2
Snrnp27,1
Rnaseh2b,1
Iqsec1,2
Rpl18a,0
Fundc2,1
Furin,1
Kat7,2
Tmem144,2
Fam102a,1
Mfsd1,1
Atxn7l3b,0
Klf13,0
Snapc3,2
Snrpa,1
Slc23a2,1
Chd8,1
AW554918,2
Phf5a,0
Txndc9,1
Nrf1,2
Rilpl1,1
Kdm6a,2
Bcl9,2
Gm12905,2
Kat2a,1
Ptprm,2
Tcf7l2,1
Myo18a,1
Krcc1,2
Sec16a,1
Sntb2,2
Actn1,1
Rab5b,1
Ube2s,0
Acsl4,1
Rpl19,0
Ick,1
Spred1,2
Tomm6,0
Wwox,2
Filip1,2
Tecr,0
St3gal6,2
Gpr155,0
Slc25a4,0
Rbmxl1,1
Mlxip,2
Gabbr1,0
2810402E24Rik,1
Lgmn,0
Pde4b,1
Pola1,2
Ttc19,1
Tmem199,1
Gm4924,2
Ubxn11,1
Mbp,0
Tmco3,1
Trmt10a,1
Acap2,1
Xist,1
Xpo4,2
Otub1,1
Arhgap32,1
Agk,2
Plxnb3,1
Tcof1,1
Gmds,2
Phgdh,0
Aco2,1
Magi2,1
Pom121,1
9530068E07Rik,1
Gmeb2,2
Qpct,0
Xylt1,2
Mrps17,1
Rpl21,0
Psd3,0
Fip1l1,1
Per1,0
Tmem88b,0
Ogdhl,2
Tmem163,0
Zfp532,1
Hcn2,0
Nxpe3,1
Clasp1,1
Ostf1,1
Eef1g,0
Cpd,1
Pgm1,2
Ncbp1,1
Tmem14c,0
Nr3c2,2
Mepce,1
Gpcpd1,2
Tmem229b,1
Tmem170b,1
Coro7,1
Abca1,2
1700063D05Rik,2
Bod1,0
Anks1b,1
Man2a1,1
Zer1,0
Anapc16,1
Sil1,1
Rpl7,0
Kmt2c,1
Zfp521,0
Nrgn,0
Rbm12b1,1
Rpl39,0
Cdk4,1
Grik4,2
Mrpl38,1
Uvssa,2
Pea15a,0
Ndufa10,1
Thada,2
Pcsk6,2
Afg3l1,1
Eya3,2
Nop10,1
Rif1,1
Rps6ka5,1
Matn4,1
Rhbdd3,1
Zfp961,1
Gphn,1
Vrk3,1
Mmp16,1
Fkbp2,0
Zfp612,2
Zbtb1,1
Myl12b,0
Slc39a7,0
Hmgb1,0
Ubox5,1
Fbxw17,1
Ttc23,1
B230206H07Rik,1
Itpr1,2
Celsr2,1
Abhd4,0
Tppp3,0
Eml4,1
Cdh13,1
Usp29,1
Tmem147,0
Ptprn,0
Atp5l,0
Kif13a,1
Zc3h18,1
Dnaja2,1
Hnrnpd,1
6530409C15Rik,1
Atp6v0e,0
Rnf219,1
Prdm5,2
Eif3c,0
Hs3st4,1
Mrpl40,1
Cul4b,1
Psmb4,0
Sec14l1,1
Atpif1,0
Zscan21,1
Pou3f1,2
Ptcd3,1
Cd9,0
Coq2,1
Mif,0
Edil3,2
Fibp,1
Uqcr10,0
Cox7b,0
Ppib,0
Bcat2,1
Rpl36a,0
Pmepa1,1
Tmem50b,1
Sccpdh,0
Mfap1a,1
Kif5b,2
Atp6v1g1,0
Gm5087,0
Cacnb4,1
Pigyl,0
Rps25,0
Plp1,0
Arhgap24,2
Ubtf,1
Hecw1,1
Manf,0
Tspan31,0
Prex1,1
Cyb5b,1
Ube2l3,1
Ints6,1
Snx3,1
Manbal,1
Coa3,0
Psmb1,0
Gnal,1
Optn,2
Hebp1,0
Usp5,1
Tbc1d4,2
Akap6,1
Tmem132b,2
BC065397,2
Kdelr1,0
Ccdc39,1
Wdyhv1,1
Ipo8,1
Tmem33,0
Glmp,0
