,DEG,pred
Apoe,0,0
Clu,0,0
Cst3,0,0
Dach1,2,2
Sema6d,0,0
Mt1,0,0
Fgf14,2,2
Brinp3,2,2
Csmd1,0,0
Gpr37l1,0,0
Ctnna2,0,0
Cped1,2,2
Pcdh9,2,2
Shroom3,2,2
Dcc,0,0
Grip1,0,0
Cd81,0,0
Mt3,0,0
Lrrc4c,2,2
Erbb4,2,2
Pcdh11x,2,2
Adam23,2,2
Gja1,0,0
Bcan,0,0
Mt2,0,0
Fgf13,2,2
Nr6a1,2,2
Immp2l,2,2
Ntsr2,0,0
Cpeb4,2,2
Gm21860,0,0
Npas3,1,2
Il1rapl1,2,2
Nrxn3,1,1
Pbx1,2,2
Atp1b2,0,0
Rgs6,2,2
Nrg1,0,0
Unc13c,0,0
Gpam,2,2
Dok6,0,0
Ptprt,2,2
Bmp6,2,2
Dclk1,1,1
B3galt1,1,2
Msmo1,0,0
Gria2,1,1
Itm2b,0,0
Bsg,0,0
Chl1,0,0
Dlg2,2,2
Nfia,1,1
Atp1a2,0,0
Zeb1,1,1
Pabpn1,0,0
Efemp1,2,2
Csmd2,0,0
Cd63,0,0
Zfhx4,2,2
Plekhm3,2,2
Dmd,1,2
Gm26917,0,0
Cdh19,2,2
Slc7a10,0,0
Wls,2,2
Crym,2,2
Trpm3,1,2
Mfge8,0,0
Dpyd,2,2
Cox8a,0,0
Sox6,2,2
Luzp2,2,2
Fjx1,0,0
Efna5,2,2
9530026P05Rik,2,2
Maml3,2,2
Spata6,2,2
S1pr1,0,0
Ptchd4,0,0
Glis3,2,2
Rmst,0,0
Nr3c2,2,2
Acsl3,0,0
Cldn10,0,0
Rbms1,2,2
Kcnn2,0,0
Qk,1,1
Trps1,1,1
Bmpr1b,2,2
Eda,2,2
Cd9,0,0
Htra1,0,0
Lamp1,0,0
Cntn1,1,1
Sat1,0,0
Sntb2,2,2
Kcnd2,1,0
Me3,2,2
Scel,0,0
Ckb,0,0
Snrnp70,0,0
Scg3,0,0
Bcl2,2,2
Robo1,1,2
Gm12239,2,2
Scd2,0,0
Phlpp1,1,1
Ntrk3,1,0
Tsix,2,2
Rfx3,1,1
Pcdh7,1,1
Gfra1,2,2
Ctsd,0,0
Rps29,0,0
Kcnh5,0,0
Cpeb1,2,2
Kcnq3,1,0
Gpc5,1,1
Aldh1a1,0,0
Adamts20,0,0
Robo2,2,2
Rpl41,0,0
Slc25a3,0,0
Tenm3,1,1
Cpe,1,1
Thsd7a,2,2
Scn8a,0,0
Unc5c,2,2
Rasa2,2,2
Pcdhb14,2,2
Cmss1,0,0
Btg1,0,0
Ndrg2,0,0
Dennd1a,1,2
Psap,0,0
Laptm4a,0,0
Lars2,0,0
Dock10,0,0
Msi2,1,2
Akt3,1,1
Atp1b1,0,0
Ndufc2,0,0
Sox5,2,2
Nkain4,0,0
Dnm3,1,1
Cox7c,0,0
Phactr2,2,2
Esrrg,2,2
Ndufaf4,0,0
Id2,0,0
Itm2c,0,0
Camk2a,0,0
Ddx5,0,0
Rpe65,2,2
Aldoc,0,0
Frmd4a,1,2
Trim9,1,1
Nav3,1,1
Dmxl1,1,1
Gphn,1,1
Fgfr2,0,0
Gjb6,0,0
Nol4,1,1
Sparcl1,1,1
Grm3,1,1
Atp6v0c,0,0
Gli3,1,1
Cadm2,1,2
Nkx2-2os,2,2
Phip,1,1
Enho,0,0
Gabbr2,2,2
2210408F21Rik,2,2
Tox,1,2
Aplp1,0,0
Aff3,0,0
Inpp4b,2,2
Gpm6b,1,1
Gm2a,0,0
Pde3a,0,0
Lman1,2,2
Gstm5,0,0
Plcb1,1,2
Tmem59,0,0
Zfpm2,1,1
A830019P07Rik,2,2
Plcl2,0,0
Grm5,1,1
Myo16,0,0
Spon1,2,2
Cdk14,1,2
Ttyh1,0,0
Paqr8,0,0
Rgs7bp,0,0
Prnp,0,0
Cep85l,1,1
Galnt18,2,2
Slc1a3,1,1
Rasgrf1,1,1
Grin3a,0,0
Dbi,0,0
Gm4924,2,2
Wdr17,1,1
Rplp1,0,0
Ftx,1,1
Kcnj3,1,2
Utrn,2,2
Slc22a17,0,0
Sash1,2,2
Gnaq,1,1
Arhgap6,2,2
Kcnk1,0,0
Rps27,0,0
Ppib,0,0
Phf21a,1,1
Zbtb16,0,0
Dgkb,1,2
Slc3a2,0,0
Epha7,1,1
Zbtb20,1,1
Pdzd2,2,2
Prpf4b,0,0
Nf1,1,1
Cmtm5,0,0
Gpc6,1,1
Brd9,0,0
Zcchc7,1,1
Pla2g7,0,0
Tspan3,0,0
Camk2d,2,2
Vwa8,2,2
Marc2,0,0
Phactr1,1,2
Cxcl14,0,0
Emc3,0,0
Fam184b,2,2
Otud7a,1,1
Adk,1,1
Rps21,0,0
Sorbs2,1,1
Phkg1,0,0
Fmn2,1,1
Cdh13,0,0
Gm29514,2,2
Shroom4,2,2
Egfem1,1,1
Gm973,2,2
Ilk,0,0
Ncor1,1,1
Car10,0,0
Pkp4,1,1
Pvt1,2,2
Arhgef28,2,2
Nrxn2,0,0
Cacnb2,1,1
Mdk,0,0
Nat8l,0,0
Tmed3,0,0
Gabrb2,0,0
Lef1,1,1
Mbnl1,1,1
Sntb1,1,1
Jkamp,1,1
Pdlim5,1,1
Dock9,1,1
Setbp1,1,1
Nell2,1,1
Neto1,1,1
Arhgef12,1,1
Smpd1,1,1
Lama2,1,2
Klf9,1,1
Arxes2,1,0
Dlg1,1,1
Plxnc1,1,1
Saraf,1,1
Prickle1,1,1
Hook1,1,1
Cpeb2,1,1
Bmyc,1,1
Cox6a1,1,1
Pax6,1,1
Gapdh,1,1
Spock1,1,1
Ank1,1,1
Ahcyl2,1,1
Myo5a,1,1
Pak7,1,1
Kcnc3,1,1
Grid2,1,1
Vegfc,1,1
Slc25a21,1,1
Sesn3,1,1
Kcnq1ot1,1,1
Ctsl,1,1
Hecw1,1,1
Tnik,1,2
Khdrbs2,1,1
Gabra2,1,1
Baz2b,1,1
Arf5,1,1
2610035D17Rik,1,2
Zfp521,1,1
Prkg1,1,0
Chd2,1,1
Arhgap26,1,2
Clstn2,1,1
Usp2,1,1
Colec12,1,1
Tmco1,1,1
Sdhaf1,1,1
Rbfox3,1,1
Emc7,1,1
Vamp2,1,1
Celf1,1,1
Eva1c,1,1
Lmo1,1,1
Tshz2,1,2
Rabgap1l,1,1
Atg10,1,1
Atp5k,1,0
Agmo,1,1
Btbd17,1,1
Mapt,1,1
Mtus1,1,1
Sec62,1,1
Creb5,1,0
Fat3,1,2
Stag1,1,1
Gm28175,1,1
Tle1,1,1
9330159F19Rik,1,1
Ralgapa1,1,1
Tnr,1,1
Rpl38,1,1
Smpdl3a,1,1
Fam172a,1,1
Sugct,1,2
Pcsk1n,1,1
Nrgn,1,1
St6galnac5,1,1
Dync1i1,1,1
Gm13483,1,1
Ldlrad4,1,1
Sorcs1,1,0
Ghr,1,2
Calr,1,1
Gabrb1,1,1
Luc7l2,1,1
Usp34,1,1
Msra,1,1
Nrcam,1,1
Prdm16,1,2
Rit2,1,1
Klf12,1,1
Mgat4c,1,1
Tcf12,1,1
Akap6,1,2
Ddah1,1,1
Rpl37a,1,1
Cbs,1,1
Kcnk2,1,1
Ctsa,1,1
Chd7,1,1
A830018L16Rik,1,1
Lpp,1,2
Sgip1,1,1
Pabpc4,1,1
Lmo4,1,1
Pim3,1,1
Ncan,1,1
Rbpj,1,1
Id3,1,0
Cntn3,1,1
Gtdc1,1,1
Rps27l,1,1
Acaa1a,1,1
Slmap,1,1
Map1b,1,1
Mir99ahg,1,1
Setd5,1,1
Tor1b,1,1
Sipa1l1,1,1
Magi1,1,1
Dscaml1,1,1
Frem1,1,1
Bicd1,1,1
Pde1a,1,1
Rpl18,1,1
Pak3,1,0
Rcan2,1,2
Shc4,1,1
Cspg5,1,1
Spcs2,1,1
Kdm7a,1,1
4930402H24Rik,1,1
Apc,1,1
Nisch,1,1
Enox2,1,1
Hs3st3a1,1,1
Fabp5,1,0
Son,1,1
Map4k4,1,1
Usp53,1,1
Klhl8,1,1
Rpn1,1,1
Ncoa2,1,1
Fmnl2,1,1
Ssbp2,1,1
Gnao1,1,1
Cdk19,1,1
Tubb2b,1,1
Rpl37,1,1
Tsc22d4,1,1
Angpt1,1,0
Elmo1,1,1
Zfp609,1,1
Slc35f1,1,1
Csrnp3,1,1
Zeb2,1,1
Hmgcr,1,1
Fzd2,1,1
Mlc1,1,1
Ap3s1,1,1
Atxn7l3b,1,1
Fam135b,1,1
Rps14,1,1
Ablim1,1,1
Pcdhb16,1,1
Atp5j,1,1
Fxyd1,1,1
Sdc4,1,1
Usp54,1,1
Tecr,1,1
C130071C03Rik,1,1
St6gal1,1,1
Smc4,1,1
Gm14418,1,1
Lrp1b,1,1
Mfap3l,1,1
Hmg20a,1,1
Ndufb3,1,1
Sqle,1,1
Ezh2,1,1
Ssbp1,1,1
Huwe1,1,1
Tsc22d2,1,1
Ttc14,1,1
Klhl32,1,1
Upp2,1,1
1810037I17Rik,1,0
Ptn,1,1
Fut8,1,1
Zfp438,1,1
Timm10b,1,1
Pcdhb11,1,1
Sorcs2,1,2
Spock2,1,1
Mpped1,1,1
Fam184a,1,1
Crem,1,1
Lrp1,1,1
Pde8a,1,1
Smyd3,1,1
Lypd6,1,1
Runx1t1,1,1
Maml2,1,1
Serf2,1,1
F3,1,1
Macf1,1,1
Ankrd28,1,1
Tmed2,1,1
Rps16,1,1
Atxn1,1,1
Nfib,1,1
Cox4i1,1,1
Zfp804a,1,1
Rpl27,1,1
Shisa4,1,1
Dalrd3,1,1
Cyc1,1,1
Zfand3,1,1
Ndufb11,1,0
Specc1,1,1
Ppp2r2b,1,1
Dag1,1,1
Dock7,1,1
Agps,1,1
Rps6ka5,1,1
Gria1,1,1
Hlf,1,1
Cpt1c,1,1
St6galnac3,1,1
Glce,1,1
Celf2,1,1
Tbl1xr1,1,1
Smg1,1,1
Lrrc8c,1,1
Hcn1,1,1
Shisa9,1,1
Mllt10,1,1
Jakmip1,1,1
Plxdc2,1,1
Nalcn,1,1
Paqr7,1,1
Tgfa,1,1
Atp6v0b,1,1
Rab28,1,1
Hes1,1,1
Pam,1,1
Slc25a4,1,1
Plagl1,1,1
Srgap3,1,1
Zfand6,1,1
Pigt,1,1
Fth1,1,1
Pcx,1,1
Znrf3,1,1
0610040J01Rik,1,1
Rarb,1,2
Elavl4,1,1
Cadm1,1,2
Grm1,1,1
Tmem132b,1,0
Gm11867,1,2
Spns1,1,1
Rps24,1,1
Otud7b,1,1
Slc4a3,1,1
Ttr,1,1
Cecr2,1,1
Arfgef1,1,1
Dpysl3,1,1
Faf1,1,1
Ube3a,1,1
Tmbim6,1,1
Omg,1,1
R3hcc1l,1,1
Csgalnact1,1,2
Rpl39,1,0
Nsf,1,1
Hepacam,1,1
Hps4,1,1
Psenen,1,1
Spcs1,1,1
Lrig1,1,1
Ctsc,1,1
Ptprj,1,1
Gm15892,1,1
Fnip1,1,1
Pde7b,1,2
Amph,1,1
Tomm7,1,1
Kcnma1,1,1
Por,1,1
Bbx,1,1
Pak1,1,1
Tcf7l2,1,2
Atp5g2,1,1
Aup1,1,1
Extl2,1,1
Ndufa3,1,1
Tmeff1,1,1
Btbd9,1,1
Ddx17,1,1
AY036118,1,1
Pde8b,1,2
Grik2,1,1
Intu,1,1
Adcy2,1,2
Aff2,1,1
Mef2c,1,1
Rasal2,1,1
Vps13b,1,1
Xrn2,1,1
Pcdh19,1,1
H2afj,1,1
Rgl1,1,1
Cep112,1,1
Ndufa4,1,1
Xpo4,1,1
Scrg1,1,1
Xpr1,1,1
Epg5,1,1
Fam107a,1,1
Prodh,1,1
Tmsb4x,1,1
Rbm39,1,1
Cisd3,1,1
Psen2,1,1
Srsf2,1,1
Tmem150a,1,1
Skap2,1,2
Zfp951,1,2
Zfp655,1,1
Pias2,1,1
Cd320,1,1
Pdgfc,1,1
Rhot1,1,1
Rps6ka2,1,1
Grik4,1,2
Dtx3,1,1
Npc2,1,1
Atp5g1,1,1
Cntfr,1,1
Nfkbia,1,1
Cadps,1,1
Hs3st4,1,0
Slc4a4,1,1
Hsd17b12,1,1
Cdc42bpa,1,1
Fhl1,1,1
Fchsd2,1,1
Nfyc,1,1
Nebl,1,1
Stag2,1,1
Sh3gl2,1,1
Kcna6,1,1
Mbp,1,1
Cpeb3,1,1
Fgd6,1,1
Serinc1,1,1
Nr3c1,1,1
Cab39l,1,1
Yipf3,1,1
Epha5,1,1
Fnbp1,1,1
Thrb,1,2
Syt11,1,1
Camk2n1,1,0
Kiz,1,1
Zfp808,1,2
Atrnl1,1,1
Pam16,1,1
Tnc,1,1
Acadsb,1,1
Ikzf2,1,1
2810013P06Rik,1,1
Degs1,1,1
Unc5d,1,2
Rps15,1,1
Mrpl41,1,0
Grm8,1,0
Nkain3,1,0
Gm10125,1,1
Fgf12,1,1
Cmya5,1,1
Cnot3,1,1
Uqcr11,1,1
Tex264,1,1
Arhgap5,1,1
Gm14412,1,1
Sgcz,1,2
Gabrg3,1,2
Cdk13,1,1
Frrs1l,1,1
Fkbp5,1,1
Smarcd2,1,1
Ftl1,1,1
Lrpap1,1,1
Tmem50a,1,1
Cox14,1,1
Atp13a1,1,1
Tmem132a,1,1
Cdon,1,1
Chchd2,1,1
Bcas3,1,2
Cyp4f15,1,1
Chic2,1,1
Efnb2,1,1
Rpl34,1,1
Krcc1,1,1
Exoc6b,1,1
Pdia3,1,1
Cox6c,1,1
Setd7,1,1
Ola1,1,1
Calm1,1,1
Gm12905,1,1
Taf3,1,1
Npas2,1,1
Agpat3,1,1
1810013L24Rik,1,1
Tfdp1,1,1
Acsl6,1,1
Mtss1,1,1
Akt2,1,1
Fam171b,1,1
Nup98,1,1
Creb1,1,1
Palmd,1,1
Med13l,1,1
Clip4,1,1
Herc6,1,1
Dtnb,1,1
Cox7a2,1,1
Srpr,1,1
Zc3h14,1,1
Ankrd6,1,1
Ppm1l,1,1
Lrrn3,1,1
Mobp,1,1
Timm50,1,1
Cryzl1,1,1
Kansl1,1,1
Dyrk1a,1,1
Abca1,1,1
Usp24,1,1
Foxp1,1,1
Zfp608,1,1
Plekha7,1,1
Ednrb,1,1
Adamts18,1,1
Ddx52,1,1
Cebpd,1,1
Lrba,1,1
Ndufa11,1,1
Ctsf,1,1
Hmgb1,1,1
Gm26843,1,1
Gm20732,1,1
Slc35b1,1,1
Fars2,1,1
Rpl13,1,1
Hnrnpd,1,1
Gmds,1,2
Grid1,1,2
Rplp2,1,1
Hspa5,1,1
Nova2,1,1
Zmym4,1,1
Wsb1,1,1
Aifm3,1,1
Hibadh,1,1
Atp1a1,1,1
Pabpc1,1,1
Ptpn4,1,1
Cux1,1,1
Map2,1,2
Arxes1,1,0
Tmem203,1,1
Ubc,1,1
Gps2,1,1
Sco2,1,1
Slc24a4,1,1
Yap1,1,1
Grin1,1,1
Polr2k,1,1
Cyp2j6,1,1
Pcyt2,1,1
Gramd3,1,1
Clybl,1,1
Dctn1,1,1
E130102H24Rik,1,1
Pitpnm2,1,1
Cit,1,1
Rps27a,1,1
Kdm2a,1,1
Man1a,1,1
Etv4,1,1
Pou2f1,1,1
Psmc3,1,1
Dennd5a,1,1
Ccser1,1,2
BC051142,1,1
Ift57,1,1
Cxxc4,1,1
Tjp2,1,1
Dhrs7,1,1
Ddx3x,1,1
Smdt1,1,1
Snx12,1,1
Mbtd1,1,1
Pigk,1,1
Vipas39,1,1
Syt14,1,1
Cdh6,1,1
Zrsr1,1,1
Ltbp1,1,1
Mid1,1,2
Cspp1,1,1
Sh3kbp1,1,2
Ramp2,1,1
Hnrnpdl,1,1
Setd3,1,1
Yif1b,1,1
Clpx,1,1
Trappc4,1,1
Rps6kb2,1,1
Strn3,1,1
Grik5,1,1
Ptk2,1,1
Cops8,1,1
Cck,1,1
Hif3a,1,1
Wasf1,1,1
Klf13,1,1
Clasp2,1,1
Fgfr3,1,1
Lage3,1,1
Gse1,1,1
Dusp11,1,1
Acaca,1,1
Dnajc1,1,1
Bach2,1,2
Glrb,1,1
Emid1,1,1
Pop4,1,1
Cox6b1,1,1
Lsm7,1,1
Ube2k,1,1
Fign,1,1
Etv1,1,1
Mpdu1,1,1
Myl6,1,1
C1ql3,1,1
Arhgef33,1,1
Man1c1,1,1
Slco1c1,1,1
Cacna1a,1,2
Abcd4,1,1
Rhobtb3,1,1
Ldb1,1,1
Ptma,1,1
Mitf,1,2
Fggy,1,1
Ttc4,1,1
Dkk3,1,1
Ttc28,1,2
Eva1a,1,1
Ppwd1,1,1
Rab8b,1,1
Nudcd3,1,1
Anapc2,1,1
Tmem121,1,1
Tubb5,1,1
Fam173a,1,1
Flrt2,1,1
Asap1,1,2
Fbxl17,1,1
Pid1,1,1
Cyp7b1,1,1
Glul,1,1
Csdc2,1,1
Ergic3,1,1
Ythdf3,1,1
Krtcap2,1,1
Usp9x,1,1
Lrrc8d,1,1
Ndufs6,1,1
Pld3,1,1
Uqcrq,1,1
Kdelr1,1,1
Lgr4,1,1
Kdm5b,1,1
Srrm2,1,1
Scaf8,1,1
Pantr1,1,1
Pmp22,1,1
Bri3,1,1
Trib2,1,1
Acot11,1,1
Os9,1,1
Rasl11b,1,1
Kat6b,1,1
Chst2,1,1
Supt3,1,1
Plcd4,1,1
Oaz1,1,1
Zranb1,1,1
Atg9a,1,1
Ptpn13,1,1
Itga1,1,1
Prrc2a,1,1
Zmat1,1,1
3222401L13Rik,1,1
Gm1043,1,1
Prtg,1,1
Lrp4,1,1
Gm28750,1,1
Ylpm1,1,1
Rps12,1,1
2010315B03Rik,1,1
Rpl11,1,1
Glis1,1,1
Sdk1,1,1
Brsk2,1,1
Stk39,1,1
Pcbp1,1,1
Nme2,1,1
Cnih1,1,1
Sgce,1,1
Tmem14c,1,1
Tmtc2,1,1
Igdcc4,1,1
Tomm22,1,1
Atp5b,1,1
Rhou,1,1
Smc5,1,1
Slc24a3,1,1
Nrn1,1,1
Fermt2,1,1
Btd,1,1
Asf1a,1,1
Lrrc1,1,1
Map1a,1,1
Nova1,1,1
Ext1,1,1
Zim1,1,1
Rtn4,1,1
Lrrfip2,1,1
Atp5e,1,1
Tlcd1,1,1
Ddit4,1,1
Spred1,1,1
Lrrc4b,1,1
Sec23b,1,1
Mob3b,1,1
Gm2115,1,1
Rabac1,1,1
Prdm5,1,1
Sgcd,1,0
Hes5,1,1
Ndufa13,1,1
Pnkp,1,1
Rgs17,1,1
Hmgn3,1,1
Mtmr3,1,1
Ntng1,1,0
Sncaip,1,1
Atl2,1,1
Mageh1,1,0
1110019D14Rik,1,1
Gm14443,1,1
Cradd,1,1
Add3,1,1
Rpl35a,1,1
Ddx10,1,1
Ctxn1,1,1
Fau,1,1
Itpr1,1,1
Tcea1,1,1
Map3k2,1,1
Pds5a,1,1
Ndn,1,1
Hsp90b1,1,1
Slc35e4,1,1
Med31,1,1
Arid1a,1,1
Ldlr,1,1
Nsmce2,1,1
Gm16759,1,1
Tshz3,1,1
Pou3f3,1,1
Zmym2,1,1
R74862,1,1
Pcf11,1,1
Dennd6b,1,1
Cask,1,1
Aplp2,1,1
Tbkbp1,1,1
Clptm1,1,1
Prdx4,1,1
Snta1,1,1
Acbd6,1,1
Dhcr24,1,1
Pknox2,1,1
Ubash3b,1,1
Abca8a,1,1
Eif4g1,1,1
Slc48a1,1,1
Elmod2,1,1
Zfand5,1,1
Zfp961,1,1
Mif,1,1
Pik3ip1,1,1
Cox5b,1,1
Tmem63b,1,1
Ptch1,1,1
Fip1l1,1,1
Tril,1,1
Lrrc20,1,1
3110039M20Rik,1,1
Ptdss2,1,1
Ranbp3l,1,1
Bdh1,1,1
Cplx2,1,1
Eef2,1,1
Atraid,1,1
Xylt1,1,2
Gabarap,1,1
Rreb1,1,1
Meis1,1,1
Eno1,1,1
Sdf4,1,1
Cuta,1,1
Zfp597,1,1
Jarid2,1,1
Actr6,1,1
Specc1l,1,1
Ccdc6,1,1
Atp6ap1,1,1
Hhipl1,1,1
Zfp532,1,1
Tsc22d3,1,1
Zfp763,1,1
Synpo2,1,1
Gm11149,1,1
Uba52,1,1
Hip1,1,1
Ik,1,1
Dhcr7,1,1
Rpl3,1,1
Higd2a,1,1
Rps8,1,1
Gas5,1,1
Ccdc18,1,1
2610307P16Rik,1,1
Vmn2r57,1,1
Snrpd2,1,1
Ppia,1,1
Pet100,1,1
Glrx2,1,1
Vps54,1,1
Ndufc1,1,1
Adprhl2,1,1
March3,1,1
Atf1,1,1
Ubr1,1,1
Riok2,1,1
Gm26618,1,1
Lrp10,1,1
Ccdc149,1,1
Ulk4,1,1
Reep5,1,1
Rpl36al,1,1
Riok1,1,1
Stim2,1,1
Tfdp2,1,1
Slc30a1,1,1
Tnrc6b,1,1
Ophn1,1,1
Romo1,1,1
Irs1,1,1
Hgf,1,1
Cep68,1,1
Plxnb1,1,1
Gpt,1,1
Nsmf,1,1
Ndst2,1,1
Rps23,1,1
Dad1,1,1
Bscl2,1,1
Kitl,1,1
Lonp2,1,1
Cyld,1,1
Fam13c,1,1
Gm10754,1,1
Cfl2,1,1
Pten,1,1
Ubtf,1,1
Cox16,1,1
Rbm20,1,1
Ctsb,1,1
Rpl23,1,1
Gca,1,1
Ap4m1,1,1
Ldlrad3,1,1
Grcc10,1,1
Uqcrh,1,1
D3Ertd751e,1,1
Camta2,1,1
Gm16008,1,1
Tcf20,1,1
Atp1b3,1,1
Rsrc1,1,2
Kdelr2,1,1
2610001J05Rik,1,1
Iqck,1,1
Pnpla8,1,1
Rrnad1,1,1
Slc27a1,1,1
Slc25a5,1,1
Odf2,1,1
Rbm4,1,1
Scrn1,1,1
Bcl9,1,1
Ryk,1,1
Zfp516,1,1
Osbp,1,1
Jtb,1,1
Dennd6a,1,1
Abcd3,1,1
Ror1,1,1
Cherp,1,1
Ano3,1,2
Gstz1,1,1
Abtb2,1,1
Nfat5,1,1
B3galt5,1,1
Abr,1,1
Tor2a,1,1
Ccdc59,1,1
Ifngr1,1,1
Ring1,1,1
Tmem59l,1,1
4930522L14Rik,1,1
E330009J07Rik,1,1
Mib1,1,1
B4galt4,1,1
Tlk1,1,1
Ctnnd2,1,2
Cdipt,1,1
Hsbp1,1,1
Ptms,1,1
Ankrd40,1,1
Metap2,1,1
Mylip,1,1
Rpl28,1,1
Hdac7,1,1
Stk33,1,1
Dido1,1,1
Slc6a1,1,1
Gabrg1,1,1
Aqp4,1,1
Lypd6b,1,1
Dio2,1,1
Tmem33,1,1
Tmem150c,1,1
Purb,1,1
Satb2,1,1
Zfp641,1,1
Acvr2a,1,1
Accs,1,1
Acyp2,1,1
Setd2,1,1
Pcyt1a,1,1
Mxd4,1,1
Cct5,1,1
Cluh,1,1
Pcdhb19,1,1
Sik3,1,1
Heatr5a,1,1
Actb,1,1
Rpl23a,1,1
Tenm1,1,2
Cyp51,1,1
Ramp1,1,1
Abca2,1,1
Notch1,1,1
Zswim6,1,1
Dda1,1,1
Wnk1,1,1
A230072C01Rik,1,1
Echdc2,1,1
Glmp,1,1
Arntl,1,1
Syt17,1,1
Cntnap4,1,1
Arhgap32,1,1
Gpr158,1,2
Ranbp9,1,1
Ccdc47,1,1
Lcorl,1,1
Spink10,1,1
Gm10649,1,1
Fdft1,1,1
Kpna4,1,1
Zfp958,1,1
Pcnp,1,1
Bfar,1,1
Gab2,1,1
Pik3c2a,1,1
Slc39a10,1,1
Nckap5,1,1
Ahcyl1,1,1
Hras,1,1
Zfand2b,1,1
Spen,1,1
Mrpl36,1,0
Fam32a,1,1
Rasa1,1,1
Cyth1,1,1
Pparg,1,1
Syndig1,1,1
St3gal3,1,1
0610012G03Rik,1,1
Vav3,1,1
Peli2,1,1
Lhx2,1,1
Crebzf,1,1
Tmtc3,1,1
Arhgef10,1,1
Gm14532,1,1
Syt7,1,1
Meis2,1,1
Rgma,1,1
Sepsecs,1,1
Ube2e3,1,1
Tm2d2,1,1
Psmc1,1,1
D10Wsu102e,1,1
Herc3,1,1
Erf,1,1
Ap3m2,1,1
Hivep3,1,1
Pum2,1,1
Alg11,1,1
Cnr1,1,1
Pard3,1,2
Usp50,1,1
Zfp706,1,1
Shroom2,1,1
Gm4876,1,1
Osbpl1a,1,1
4930581F22Rik,1,1
Mamld1,1,1
Gm26691,1,1
Fam89b,1,1
AW554918,1,1
Ccdc85a,1,2
Myo18a,1,1
Npdc1,1,1
Per1,1,1
Gm15520,1,1
Rfx7,1,1
Tmem208,1,1
Maged1,1,1
Rpgrip1l,1,1
Lrrc40,1,1
Aco2,1,1
Rbm8a,1,1
Ankhd1,1,1
Tcf25,1,1
Endov,1,1
Arrb2,1,1
Pik3r2,1,1
Shc3,1,1
Mtx1,1,1
Phyhipl,1,1
Trafd1,1,1
Msantd4,1,1
Cobll1,1,1
Sned1,1,1
Olfml1,1,1
Erp29,1,1
Manf,1,1
Ddo,1,1
Arf3,1,1
Tango2,1,1
E430024P14Rik,1,1
Gm11944,1,1
Tmem147,1,1
Abhd11,1,1
Gpaa1,1,1
Usp8,1,1
Clcc1,1,1
Dolpp1,1,1
Tmem101,1,1
Map4k5,1,1
Usp42,1,1
Gde1,1,1
5430403G16Rik,1,1
Fam228a,1,1
Tab2,1,1
Rbm14,1,1
Cttnbp2nl,1,1
Dapp1,1,1
Lix1,1,1
Pmvk,1,1
