,DEG,pred
Meg3,0,0
Tsix,2,2
Slc17a7,0,0
Ube3a,2,2
C1ql3,0,0
Rnf112,0,0
Lmo4,0,0
Mapt,0,0
Olfm1,0,0
Snrnp70,0,0
Camkv,0,0
Cdk9,0,0
Nrg3os,2,2
Pabpn1,0,0
Cacna1a,0,0
Grin1,0,0
Cpt1c,0,0
Ptprn,0,0
Ptpru,0,0
Igsf21,0,0
Srcin1,0,0
Celf4,0,0
Elavl3,0,0
Dgkz,0,0
Csmd2,0,0
Pacsin1,0,0
Sulf1,0,0
Grik5,0,0
Xist,2,2
Srrm3,0,0
Slc8a2,0,0
Atp1a3,0,0
Il1rapl2,0,0
Tmem132a,0,0
Snta1,0,0
Sptbn4,0,0
Fgfr2,2,2
Camk2a,0,0
Dctn1,0,0
Sorbs2os,2,2
Thra,0,0
Grin2b,1,2
Celf5,0,0
Dlg4,0,0
Jph4,0,0
AY036118,2,2
Lztr1,0,0
Il1rapl1,2,2
Sdk2,0,0
Miat,0,0
Arhgef25,0,0
Ptprs,0,0
Rasal1,0,0
Baiap2,0,0
Abr,0,0
Exoc4,2,2
Pde4a,0,0
Nr3c2,2,2
Cwh43,0,0
Nav2,0,0
Mbd5,2,2
Kcnq2,0,0
Cck,0,0
Gabbr2,0,0
Actn1,0,0
Rundc3a,0,0
Stx1a,0,0
Stk25,0,0
Pcsk2,1,1
Dmd,2,2
Lmtk3,0,0
Matk,0,0
Arid4b,1,1
Nisch,0,0
Camkk2,0,0
Rimbp2,0,0
Tiam2,0,0
Sv2a,0,0
Rbfox3,0,0
Mapk11,0,0
Pou2f2,0,0
Dach1,2,2
Vps13b,2,2
Csnk1g2,0,0
Atp6v0b,0,0
Ccser1,2,2
Fbxl17,2,2
Gria1,0,0
Shank1,0,0
Stxbp1,0,0
Sdk1,0,0
Nptxr,0,0
Gm28379,2,2
Tom1l2,0,0
Camta2,0,0
Syt11,0,0
Dnmt3a,0,0
Ndrg4,0,0
Rpl41,0,0
Pde2a,0,0
Adra1a,0,0
Plekhg5,0,0
Chst1,0,0
Gnb2,0,0
Stx1b,0,0
Necab3,0,0
Grid1,2,2
Pitpnm2,0,0
4930402H24Rik,0,0
A930015D03Rik,0,0
Rora,2,2
Camk2b,0,0
Gm15738,2,2
Cox8a,0,0
Nrxn2,0,0
Cdh4,0,0
Kifc2,0,0
Cntn1,2,2
Fbn2,0,0
Gpr158,2,2
Brinp2,0,0
Traf7,0,0
Zmynd8,0,0
Odf2,0,0
Bin1,0,0
Sema6d,0,0
Svop,0,0
Lzts3,0,0
Srsf5,0,0
Crocc,0,0
Tbc1d24,0,0
Chd3,0,0
Akap8l,0,0
Nbas,2,2
Sfpq,0,0
Zswim8,0,0
Rasgef1a,0,0
Usp7,0,0
Sgsm1,0,0
Bmpr1b,0,0
Ptms,0,0
Atp2b2,0,0
Tial1,1,1
Akt3,2,2
Immp2l,2,2
Tmem132b,0,0
Syt7,0,0
Rrp1,0,0
Celf3,0,0
Gpi1,0,0
Prkar1b,0,0
Dlg1,2,2
Nf1,2,2
Cacna1d,1,1
Tmem63b,0,0
Slc6a7,0,0
Plec,0,0
Kpnb1,0,0
Nrn1,0,0
Susd4,0,0
Gba2,0,0
Gnao1,0,0
Kif5a,0,0
Gm15810,2,2
Cnih3,0,0
Asic2,1,1
Srek1,1,1
Unc5a,0,0
Zmym3,0,0
Abi1,1,1
Eno2,0,0
