gene_name,gene_length.meta,18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,18mo.9mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,18mo.9mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.9mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.0-5kb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.0-5kb.enhancer_peak,18mo.9mo.activity.log_ratio.min.5kb-20kb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.min.0-5kb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.0-5kb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.median.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.DAR,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,rel_pos.DAR,18mo.9mo.log_ratio.DAR,9mo.2mo.log_ratio.DMR,size.log2.DMR,18mo.2mo.log_ratio.DMR,18mo.9mo.log_ratio.DMR,18mo.9mo.Q.std.loops,9mo.2mo.Q.median.loops,Tanova.max.loops,Tanova.std.loops,18mo.9mo.Q.mean.loops,9mo.2mo.Q.mean.loops,loop_size.log.median.loops,18mo.2mo.T.min.loops,min_distance.log.std.loops,18mo.9mo.T.median.loops,Qanova.min.loops,loop_size.log.min.loops,Tanova.min.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.std.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,9mo.2mo.log_ratio.mean.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Eif2ak1,0.18126616923090738,0.0,0.0,-0.03138781430868384,-0.03138781430868384,0.03574446908747538,0.0,0.0,0.0,0.0,0.021438899282843638,0.0,0.0,0.0005407697783830839,0.0,0.006792501188241518,0.0018926941765806614,0.02063589906081175,0.0,0.0,0.0,0.0,0.009587806148024706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025660560060388003,0.02515126282396989,0.005004979049166043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013467693987947244,0.0,0.0,0.0,0.0,0.0,0.0,0.01880252614426307,0.0,0.0008111546675746257,0.0007759657425758166,0.0,0.0,0.003244618670298503,0.0,0.0,0.0,0.0,0.006440515677707317,0.0,-0.11277245030475733,0.0,1.0,2.0
Gpm6b,-0.08414707529860047,0.0,0.0,0.006750901981901664,0.00752686772447748,0.014056577765120145,0.0,0.0,0.0,0.0,0.008352818015294198,0.0,0.0,0.0,0.0,0.0030188894329162743,0.0016223092873891194,-0.24405385463092572,0.0,0.0,0.0,0.0,0.0047153290361166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011320835361495996,0.009512931681596316,-0.08170919277920173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00593578255472657,0.0,0.0,0.0,0.0,0.0,0.0,0.00834911841994677,0.0,0.0005407697783830839,0.001163948613863725,0.0,0.0,0.0005407697783830839,0.0,0.0,0.0,0.0,0.010436739259136792,0.0,0.02463269618172676,0.0,1.0,0.0
Cdk5,0.10655031379503317,0.0,0.0,-0.01175588107882784,-0.01175588107882784,0.03574446908747538,0.0,0.0,0.0,0.0,0.021438899282843638,0.0,0.0,0.0,0.0,0.006792501188241518,0.0010815395567661677,0.02063589906081175,0.0,0.0,0.0,0.0,0.00850626663901867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025660560060388003,0.02515126282396989,0.0025606871081086304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013467693987947244,0.0,0.0,0.0,0.0,0.0,0.0,0.01501713779110175,0.0,0.00027038488919154194,0.0004655794742015692,0.0,0.0,0.00027038488919154194,0.0,0.0,0.0,0.0,-0.01175588107882784,0.0,-0.0466355308293341,0.0,1.0,1.0
Actr1b,0.23777660694068822,0.0,0.0,-0.03138781430868384,-0.03138781430868384,0.03574446908747538,0.0,0.0,0.0,0.0,0.021438899282843638,0.0,0.0,0.002703848844155287,0.0,0.006792501188241518,0.0043261581315444065,0.02063589906081175,0.0,0.0,0.0,0.0,0.014995503788575148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025660560060388003,0.02515126282396989,0.005004979049166043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013467693987947244,0.0,0.0,0.0,0.0,0.0,0.0,0.027995612090214703,0.0,0.002703848844155287,0.0007759657425758166,0.0,0.0,0.012437704664010268,0.0,0.0,0.0,0.0,0.006440515677707317,0.0,0.05351425213022874,0.0,1.0,1.0
Aldh6a1,0.2390448589068957,0.0,0.0,0.02192103222776682,0.02386094658420636,0.025744397897655383,0.0,0.0,0.0,0.0,0.021438899282843638,0.0,0.0,0.002703848844155287,0.0,0.0030188894329162743,0.0043261581315444065,0.014598120218859268,0.0,0.0,0.0,0.0,0.014995503788575148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011509515954038272,0.02515126282396989,0.02133905792083496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11030677228401868,0.0,0.0,0.0,0.0,0.0,0.0,0.027995612090214703,0.0,0.002703848844155287,0.00232789722772745,0.0,0.0,0.012437704664010268,0.0,0.0,0.0,0.0,0.028128758168373354,0.0,0.06682206461062798,0.0,1.0,1.0
Fam228b,0.18340186029672623,0.0,0.0,0.02192103222776682,0.02386094658420636,0.024050524135908254,0.0,0.0,0.0,0.0,0.00844562710979237,0.0,0.0,0.0008111546675746257,0.0,0.006792501188241518,0.0018926941765806614,0.01427847652648313,0.0,0.0,0.0,0.0,-0.27279244883893394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025660560060388003,0.009605740776094489,0.02133905792083496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012075557683904966,0.0,0.0,0.0,0.0,0.0,0.0,0.011284990039152594,0.0,0.0008111546675746257,0.00232789722772745,0.0,0.0,0.003785388448681587,0.0,0.0,0.0,0.0,0.028128758168373354,0.0,0.03843165205743832,0.0,1.0,1.0
Nfat5,0.16239811011996025,0.0,0.0,-0.03138781430868384,-0.03138781430868384,0.025744397897655383,0.0,0.0,0.0,0.0,0.021438899282843638,0.0,0.0,0.0005407697783830839,0.0,0.0030188894329162743,0.0018926941765806614,0.014598120218859268,0.0,0.0,0.0,0.0,0.009587806148024706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011509515954038272,0.02515126282396989,0.005004979049166043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11030677228401868,0.0,0.0,0.0,0.0,0.0,0.0,0.01880252614426307,0.0,0.0008111546675746257,0.0007759657425758166,0.0,0.0,0.003244618670298503,0.0,0.0,0.0,0.0,0.006440515677707317,0.0,-0.11277245030475733,0.0,1.0,2.0
Rbfox2,-0.004354385563578361,0.0,0.0,0.006750901981901664,0.00752686772447748,0.02052377907630916,0.0,0.0,0.0,0.0,0.004362027387683973,0.0,0.0,0.0,0.0,0.006792501188241518,-0.025091717712199077,0.012747126685168881,0.0,0.0,0.0,0.0,0.0024583310736582065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025660560060388003,-0.05248353938357188,-0.08170919277920173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01230758041716539,0.0,0.0,0.0,0.0,0.0,0.0,-0.07757525709577096,0.0,0.00016223093590293176,0.001163948613863725,0.0,0.0,0.00016223093590293176,0.0,0.0,0.0,0.0,0.010436739259136792,0.0,0.015331456258606452,0.0,1.0,1.0
Spg11,0.23777660694068822,0.0,0.0,-0.03138781430868384,-0.03138781430868384,0.03574446908747538,0.0,0.0,0.0,0.0,0.021438899282843638,0.0,0.0,0.002703848844155287,0.0,0.006792501188241518,0.0043261581315444065,0.02063589906081175,0.0,0.0,0.0,0.0,0.014995503788575148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025660560060388003,0.02515126282396989,0.005004979049166043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013467693987947244,0.0,0.0,0.0,0.0,0.0,0.0,0.027995612090214703,0.0,0.002703848844155287,0.0007759657425758166,0.0,0.0,0.012437704664010268,0.0,0.0,0.0,0.0,0.006440515677707317,0.0,0.05351425213022874,0.0,1.0,1.0
Nme2,0.05391292143851901,0.0,0.0,0.02192103222776682,0.02386094658420636,0.02668780086036676,0.0,0.0,0.0,0.0,0.021438899282843638,0.0,0.0,0.0,0.0,-0.11452911741649494,0.0016223092873891194,0.014598120218859268,0.0,0.0,0.0,0.0,0.009587806148024706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01113215476895372,0.02515126282396989,0.02133905792083496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006863873392248001,0.0,0.0,0.0,0.0,0.0,0.0,0.016098677252347652,0.0,0.0005407697783830839,0.00232789722772745,0.0,0.0,0.0005407697783830839,0.0,0.0,0.0,0.0,0.028128758168373354,0.0,0.035457418276331365,0.0,1.0,1.0
