gene_name,gene_length.meta,18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,18mo.9mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,18mo.9mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.9mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.0-5kb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.0-5kb.enhancer_peak,18mo.9mo.activity.log_ratio.min.5kb-20kb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.min.0-5kb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.0-5kb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.median.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.DAR,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,rel_pos.DAR,18mo.9mo.log_ratio.DAR,9mo.2mo.log_ratio.DMR,size.log2.DMR,18mo.2mo.log_ratio.DMR,18mo.9mo.log_ratio.DMR,18mo.9mo.Q.std.loops,9mo.2mo.Q.median.loops,Tanova.max.loops,Tanova.std.loops,18mo.9mo.Q.mean.loops,9mo.2mo.Q.mean.loops,loop_size.log.median.loops,18mo.2mo.T.min.loops,min_distance.log.std.loops,18mo.9mo.T.median.loops,Qanova.min.loops,loop_size.log.min.loops,Tanova.min.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.std.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,9mo.2mo.log_ratio.mean.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Eif2ak1,0.7207207278085824,0.0,0.06149264659063938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004163138854962129,-0.0027239077175274873,-0.01870672672222822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023738913811170138,0.0,0.0,0.0,0.0,0.0,0.002422726498200343,0.0,0.021868824767760742,0.0,0.0,0.0,0.04638550301583914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11825162573502614,0.0,0.09101403743410721,-0.10278552921059039,0.0,0.09646035890835218,0.014098649510206321,1.0,2.0
Gpm6b,0.5205462820923481,0.0,0.011730626488152223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004163138854962129,-0.0027239077175274873,-0.01870672672222822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01632050324517947,0.0,0.0,0.0,0.0,0.0,0.0016151509988002288,0.0,0.008040009185862847,0.0,0.0,0.0,0.01940099594111626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07676198605734569,0.0,-0.3034918771710438,-0.09299322811122505,0.0,-0.07277952145355251,-0.027586527777692445,1.0,0.0
Cdk5,-0.7094862221334225,0.0,0.010785609125517882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006938564758270215,0.0,0.028728187466279056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009805214806244923,0.0,0.0,0.0,0.0,0.006754900376575115,0.0,0.0,0.0,0.0,0.0,0.0016151509988002288,0.0,-0.05274245978739017,0.0,0.0,0.0,0.015220438476460867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.158901064704435,0.0,0.009047123818443371,0.2517140467101947,0.0,0.025491634622598305,0.0010179530542630416,1.0,1.0
Actr1b,-0.5973358746044911,0.0,-0.11501768230197904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004163138854962129,-0.0027239077175274873,-0.01870672672222822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017509312154008792,0.0,0.0,0.0,0.0,0.0035608369761552564,0.0,0.0,0.0,0.0,0.0,0.0016151509988002288,0.0,0.0025728029700425956,0.0,0.0,0.0,0.013806793611878768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04229616690188264,0.0,0.020052002975717187,-0.15900132260643518,0.0,-0.04777000272551026,0.00015269295097543643,1.0,1.0
Aldh6a1,-0.6308876381566128,0.0,0.008048314123581618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004163138854962129,-0.0018331112387852792,0.06970482701674485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017804184880776282,0.0,0.0,0.0,0.0,0.0,0.0012113632491001715,0.0,0.00289440334129792,0.0,0.0,0.0,-0.08149268986800542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06859138851555494,0.0,-0.01358589847297527,-0.09677774888964799,0.0,-0.07468844962139161,0.0002544882635657604,1.0,1.0
Fam228b,-0.8184463603851887,0.0,0.012715211305289697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004163138854962129,-0.0027239077175274873,-0.01870672672222822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023738913811170138,0.0,0.0,0.0,0.0,0.0,0.0016151509988002288,0.0,0.004502405102054278,0.0,0.0,0.0,0.014823998969334822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08736186288297176,0.0,-0.0017000668897078587,-0.12178762725148445,0.0,0.025491634622598305,0.0010179530542630416,1.0,1.0
Nfat5,0.6682534249833761,0.0,0.0460558291285848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004163138854962129,-0.0027239077175274873,-0.01870672672222822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023738913811170138,0.0,0.0,0.0,0.0,0.0,0.0032303019976004576,0.0,0.008361609557118172,0.0,0.0,0.0,-0.25628260862177765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06459962204098701,0.0,0.05857692914417921,-0.10337900207974972,0.0,0.09646035890835218,0.014098649510206321,1.0,2.0
Rbfox2,0.5647788034895291,0.0,0.020655359332569134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004163138854962129,-0.0027239077175274873,-0.01870672672222822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007143799203615158,0.0,0.0,0.0,0.0,-0.013834180764089793,0.0,0.0,0.0,0.0,0.0,0.002422726498200343,0.0,-0.1599640211997888,0.0,0.0,0.0,0.020931458697678186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1059730019277105,0.0,0.035771707663885675,-0.09050690572565565,0.0,-0.2123429406529818,0.0027993708992233644,1.0,1.0
Spg11,0.5385467473130959,0.0,0.02046239910981594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006938564758270215,0.0,0.028728187466279056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015058008452447562,0.0,0.0,0.0,0.0,0.007941846067133622,0.0,0.0,0.0,0.0,0.0,0.0016151509988002288,0.0,0.008361609557118172,0.0,0.0,0.0,-0.2812256683380558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05465020155772949,0.0,0.06889347036560185,0.21761842477971163,0.0,-0.2123429406529818,0.0027993708992233644,1.0,1.0
Nme2,-0.8602383935776277,0.0,0.012715211305289697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004163138854962129,-0.0027239077175274873,-0.01870672672222822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017509312154008792,0.0,0.0,0.0,0.0,0.0035608369761552564,0.0,0.0,0.0,0.0,0.0,0.003028408122750429,0.0,0.004502405102054278,0.0,0.0,0.0,0.01904173583413164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060729395084751725,0.0,-0.010211892855855135,-0.15900132260643518,0.0,0.025491634622598305,0.0010179530542630416,1.0,1.0
