,DEG,pred,score_0,score_1,score_2
Zc3h6,1,1,0.27132484316825867,0.6368082761764526,0.0918668732047081
Tars2,1,1,0.3432657718658447,0.5721363425254822,0.0845978632569313
Psma7,1,0,0.490021288394928,0.40129727125167847,0.10868138074874878
Luc7l2,1,1,0.2475336641073227,0.5378484129905701,0.21461792290210724
Pdia3,1,1,0.3580745458602905,0.5317272543907166,0.11019819229841232
Prpf3,1,1,0.3270638883113861,0.5533605217933655,0.11957558244466782
Ubald1,1,1,0.30163854360580444,0.6308038830757141,0.06755759567022324
Efcab2,1,2,0.3677181303501129,0.26282626390457153,0.36945557594299316
Wscd1,1,1,0.36505773663520813,0.49521350860595703,0.13972878456115723
Arl1,1,0,0.5892819166183472,0.3090197443962097,0.10169833898544312
P2ry14,1,0,0.5200625658035278,0.3992187976837158,0.08071865886449814
Gm17106,1,2,0.10360240191221237,0.3323304355144501,0.5640671849250793
Sap30l,1,1,0.23876090347766876,0.6759916543960571,0.0852474495768547
Lmbrd2,1,1,0.28049027919769287,0.48103782534599304,0.23847192525863647
Oaz2,1,1,0.24846388399600983,0.6750708818435669,0.07646527886390686
Prkg1,1,0,0.6134008169174194,0.14681632816791534,0.2397828847169876
Zfp74,1,1,0.2905677855014801,0.5109255909919739,0.1985066682100296
Ap3m2,1,1,0.41607341170310974,0.4987785816192627,0.08514799922704697
Ccdc28b,1,0,0.47466444969177246,0.435754656791687,0.08958092331886292
Cuedc2,1,1,0.44211897253990173,0.460814893245697,0.09706614911556244
Arhgef3,1,0,0.6702318787574768,0.16041874885559082,0.16934935748577118
Grm5,1,0,0.4056611657142639,0.29835882782936096,0.2959800362586975
Adamts10,1,1,0.2523656189441681,0.6753102540969849,0.07232411950826645
Wdr53,1,0,0.523441731929779,0.40711286664009094,0.0694454163312912
Mro,1,1,0.4479479193687439,0.47849780321121216,0.07355435192584991
Anxa7,1,1,0.22524015605449677,0.6710425615310669,0.10371725261211395
Homer3,1,1,0.2720322012901306,0.6373228430747986,0.09064492583274841
Golga3,1,1,0.23905536532402039,0.66176438331604,0.09918025135993958
Fbxo46,1,1,0.285468190908432,0.6291313171386719,0.08540049940347672
Iqch,1,2,0.11280947923660278,0.17500095069408417,0.7121895551681519
Zfp202,1,1,0.39813241362571716,0.49083662033081055,0.1110309287905693
Abhd16a,1,1,0.3559636175632477,0.5439019799232483,0.10013442486524582
Coro7,1,1,0.14269348978996277,0.537808895111084,0.31949758529663086
Pdcd4,1,1,0.2668238580226898,0.6141567826271057,0.11901939660310745
Hemk1,1,1,0.2637295126914978,0.6304621696472168,0.10580835491418839
Ttc17,1,1,0.393475741147995,0.47523701190948486,0.13128724694252014
Dnajc25,1,0,0.5059171915054321,0.42339980602264404,0.07068300247192383
C1galt1,1,1,0.43927302956581116,0.4820462763309479,0.07868067175149918
Ppip5k2,1,2,0.2627473473548889,0.34097084403038025,0.39628180861473083
Zmiz1os1,1,2,0.33186355233192444,0.20775645971298218,0.46038001775741577
Dpp3,1,1,0.2570091485977173,0.6625959873199463,0.08039484918117523
Prelid1,1,1,0.22343793511390686,0.6977963447570801,0.07876575738191605
Nup88,1,1,0.156003937125206,0.7663703560829163,0.07762566208839417
Asap3,1,1,0.3149920105934143,0.5902379155158997,0.09477008134126663
Rab5a,1,0,0.4758400619029999,0.44001150131225586,0.08414842188358307
Golga7,1,0,0.4595699906349182,0.4285906255245209,0.11183943599462509
Ak4,1,0,0.40279310941696167,0.38834333419799805,0.20886360108852386
4930522L14Rik,1,1,0.3071407377719879,0.5013996958732605,0.1914595514535904
Ccdc59,1,0,0.5187982320785522,0.38582637906074524,0.09537539631128311
Ubb,1,1,0.3677966892719269,0.5321102142333984,0.10009314119815826
Gsap,1,2,0.14197058975696564,0.20714983344078064,0.6508796215057373
Soga1,1,1,0.1281936913728714,0.5426166653633118,0.3291896879673004
Fbxw11,1,2,0.2541557550430298,0.27422818541526794,0.47161608934402466
Ncbp1,1,1,0.20053841173648834,0.7181200981140137,0.0813414677977562
Txn1,1,1,0.3268682360649109,0.5966775417327881,0.0764542892575264
Dcakd,1,0,0.44036856293678284,0.44036856293678284,0.11926285177469254
Rab31,1,2,0.30469653010368347,0.32149189710617065,0.37381160259246826
Plcxd3,1,2,0.12804384529590607,0.19863398373126984,0.6733222007751465
Banp,1,0,0.43272528052330017,0.3331359028816223,0.23413878679275513
Pias4,1,1,0.2236083447933197,0.6661810278892517,0.11021062731742859
Gpr162,1,1,0.38264644145965576,0.5448615550994873,0.07249200344085693
Nif3l1,1,1,0.31346651911735535,0.5818029642105103,0.104730524122715
Alk,1,2,0.26402708888053894,0.14215831458568573,0.5938146114349365
Khsrp,1,1,0.3652147352695465,0.4728033244609833,0.1619819700717926
Rab6a,1,1,0.28963422775268555,0.6004714965820312,0.10989424586296082
Rpl17,1,1,0.35973286628723145,0.5596982836723328,0.08056889474391937
Ttc27,1,1,0.2733467221260071,0.5299750566482544,0.19667822122573853
Actr5,1,1,0.24459250271320343,0.6645524501800537,0.09085503220558167
Cacnb2,1,0,0.5607093572616577,0.19139741361141205,0.24789322912693024
Nsun5,1,1,0.3739074468612671,0.5305823087692261,0.09551027417182922
