gene_name,gene_length.meta,18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,18mo.9mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,18mo.9mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.9mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.0-5kb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.0-5kb.enhancer_peak,18mo.9mo.activity.log_ratio.min.5kb-20kb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.min.0-5kb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.0-5kb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.median.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.DAR,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,rel_pos.DAR,18mo.9mo.log_ratio.DAR,9mo.2mo.log_ratio.DMR,size.log2.DMR,18mo.2mo.log_ratio.DMR,18mo.9mo.log_ratio.DMR,18mo.9mo.Q.std.loops,9mo.2mo.Q.median.loops,Tanova.max.loops,Tanova.std.loops,18mo.9mo.Q.mean.loops,9mo.2mo.Q.mean.loops,loop_size.log.median.loops,18mo.2mo.T.min.loops,min_distance.log.std.loops,18mo.9mo.T.median.loops,Qanova.min.loops,loop_size.log.min.loops,Tanova.min.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.std.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,9mo.2mo.log_ratio.mean.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Arl1,0.1288093615633746,0.0,0.009346521578920193,0.0,-0.06236260229100784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02329967137521658,0.018904324716482408,0.0015032045925274873,0.0,0.0,0.0,0.02071888367526042,0.0,0.031316762599043355,0.0,0.009178162982257513,-0.09460283328707401,0.013920759304593772,0.0,0.0,0.0,0.05688807783791652,0.0,-0.0012392338651877183,0.0,0.0,0.0,-0.013024659337810216,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009442448424987304,-0.0012392338651877183,0.0,-0.0008125053002284124,0.0,0.0,0.0,0.0,0.0,0.002701624201085323,0.0,0.0,0.0,0.07271185045679793,0.0,0.0,0.022558939380523484,0.042594001007576786,0.011297701189342218,0.3302935551947508,0.0,0.0,1.0,0.0
Ap3m2,0.11805647150135766,0.0,0.009346521578920193,0.0,0.019189168006563798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02329967137521658,-0.013023717800537363,0.0015032045925274873,0.0,0.0,0.0,-0.003656273564467063,0.0,0.031316762599043355,0.0,-0.05063047546606798,0.020696294565613452,0.001594740915327118,0.0,0.0,0.0,-0.0658200883712524,0.0,-0.0012392338651877183,0.0,0.0,0.0,-0.016555938989115067,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009442448424987304,-0.0012392338651877183,0.0,-0.0012187578548223544,0.0,0.0,0.0,0.0,0.0,0.0014736131788828434,0.0,0.0,0.0,0.07271185045679793,0.0,0.0,-0.013023717800537363,0.04039918841459812,0.006876861509413292,0.267073653304042,0.0,0.0,1.0,1.0
Wdr53,0.20740889052215677,0.0,0.009346521578920193,0.0,0.08791287580075172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02329967137521658,0.018904324716482408,0.0015032045925274873,0.0,0.0,0.0,-0.003656273564467063,0.0,0.031316762599043355,0.0,-0.011946906693852864,0.012110487020646151,0.013920759304593772,0.0,0.0,0.0,-0.02723426426736972,0.0,-0.0012392338651877183,0.0,0.0,0.0,-0.011406612200423693,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021245508478620113,-0.0012392338651877183,0.0,-0.0012187578548223544,0.0,0.0,0.0,0.0,0.0,-0.013139717674885806,0.0,0.0,0.0,0.07271185045679793,0.0,0.0,0.022558939380523484,-0.019197913961341746,0.004543640782149174,0.28122697818355685,0.0,0.0,1.0,0.0
Homer3,0.19406518660103664,0.0,0.0010784447957307864,0.0,-0.1054212483099829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03507477393708168,-0.06442088848696305,0.0002505341067146032,0.0,0.0,0.0,-0.003656273564467063,0.0,0.0015032046402876193,0.0,0.003959877046350486,0.03148964916666349,0.004518432626261925,0.0,0.0,0.0,0.08218510429828595,0.0,-0.002788276101152102,0.0,0.0,0.0,-0.01444654294456809,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021245508478620113,-0.003098084567449032,0.0,-0.0012187578548223544,0.0,0.0,0.0,0.0,0.0,0.007859270398815473,0.0,0.0,0.0,0.033821583641931795,0.0,0.0,0.004352313848451162,-0.03895122557878494,0.029226661492616702,-0.11853988487751056,0.0,0.0,1.0,1.0
Fbxo46,0.06447551397081369,0.0,-0.013660301048404131,0.0,-0.014948628902530823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005010682134292064,0.0029901392423571684,0.0002505341067146032,0.0,0.0,0.0,-0.010359441765990013,0.0,0.0017537387470022226,0.0,0.002989835678957976,0.019332340452820063,0.0034884957668299857,0.0,0.0,0.0,0.06226946458889124,0.0,-0.002788276101152102,0.0,0.0,0.0,-0.021614732877470743,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021245508478620113,-0.003098084567449032,0.0,-0.003046894637055886,0.0,0.0,0.0,0.0,0.0,0.002087618689984083,0.0,0.0,0.0,-0.06182668310327408,0.0,0.0,0.0004983565483528834,-0.03895122557878494,-0.039173550450075895,-0.0677892418148426,0.0,0.0,1.0,1.0
Iqch,-0.19589934852690652,0.0,0.0010784447957307864,0.0,-0.0819579999989424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03507477393708168,0.0014950696450586503,0.0002505341067146032,0.0,0.0,0.0,-0.010359441765990013,0.0,0.0015032046402876193,0.0,-0.0028107907049931013,-0.014976803499918718,0.0019934261934115337,0.0,0.0,0.0,-0.04520890491608626,0.0,-0.011772721146161739,0.0,0.0,0.0,-0.027754314840795137,0.0,0.0,0.0,0.0,0.0,0.0,-0.01133093777566384,-0.00836482816017591,0.0,-0.003046894637055886,0.0,0.0,0.0,0.0,0.0,0.0007368065894414217,0.0,0.0,0.0,-0.014264755118160676,0.0,0.0,0.00016611884945096113,-0.0362389294955975,-0.0056488507021314055,-0.2656196831510617,0.0,0.0,1.0,2.0
Zfp202,0.04125133701838935,0.0,0.0007189632130739016,0.0,0.04339022021024273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005010682134292064,-0.013023717800537363,0.0002505341067146032,0.0,0.0,0.0,-0.010359441765990013,0.0,0.0017537387470022226,0.0,0.007653812185311928,-0.09460283328707401,0.001594740915327118,0.0,0.0,0.0,0.05688807783791652,0.0,-0.0017039465646331126,0.0,0.0,0.0,-0.02099470415701851,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009442448424987304,0.022151304432787955,0.0,-0.003046894637055886,0.0,0.0,0.0,0.0,0.0,0.002701624201085323,0.0,0.0,0.0,-0.06901631478029184,0.0,0.0,-0.013023717800537363,0.042594001007576786,0.011297701189342218,-0.05457861308390514,0.0,0.0,1.0,1.0
Ppip5k2,-0.08807997791192089,0.0,0.0032353344349524914,0.0,-0.05119886390196207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002254806960431429,0.0018273073439605725,0.0,0.0,0.0,0.0,0.05870350349981051,0.0,-0.04083705839151756,0.0,-0.027072326745837927,0.020696294565613452,-0.02010038035372511,0.0,0.0,0.0,-0.0658200883712524,0.0,-0.0034078930337459613,0.0,0.0,0.0,-0.021863651605179675,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030687956903607417,-0.002168659168558243,0.0,-0.0014218841798794575,0.0,0.0,0.0,0.0,0.0,0.0014736131788828434,0.0,0.0,0.0,-0.17812043773487973,0.0,0.0,0.00016611884945096113,0.07368381660527144,0.006876861509413292,0.21787308336784825,0.0,0.0,1.0,2.0
Prelid1,0.16992925650153595,0.0,0.0010784447957307864,0.0,-0.11690820810886529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010021364268584128,0.00495034165513248,0.0005010682134292064,0.0,0.0,0.0,-0.003656273564467063,0.0,0.0035074774462443134,0.0,0.003959877046350486,0.013929092086469516,0.004119747383997609,0.0,0.0,0.0,-0.046314114943528786,0.0,-0.002788276101152102,0.0,0.0,0.0,-0.020586124907892484,0.0,0.0,0.0,0.0,0.0,0.0,0.02030126351672105,-0.003098084567449032,0.0,-0.0012187578548223544,0.0,0.0,0.0,0.0,0.0,-0.006754060622113638,0.0,0.0,0.0,0.036577458576991774,0.0,0.0,0.005448698251245496,-0.035646368868840046,-0.006754060622113638,-0.30444839921517247,0.0,0.0,1.0,1.0
Asap3,-0.2188861693183963,0.0,0.0010784447957307864,0.0,0.05294914581836798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02329967137521658,0.0029901392423571684,0.0015032045925274873,0.0,0.0,0.0,-0.010359441765990013,0.0,0.031316762599043355,0.0,-0.0028107907049931013,-0.05427315504027483,0.0034884957668299857,0.0,0.0,0.0,0.04023456290507546,0.0,-0.0034078930337459613,0.0,0.0,0.0,-0.02020250005313219,0.0,0.0,0.0,0.0,0.0,0.0,-0.01133093777566384,-0.002168659168558243,0.0,-0.003046894637055886,0.0,0.0,0.0,0.0,0.0,0.002701624201085323,0.0,0.0,0.0,0.00928545012496985,0.0,0.0,0.0004983565483528834,-0.0362389294955975,0.011297701189342218,0.05765218091889834,0.0,0.0,1.0,1.0
