gene_name,gene_length.meta,18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,18mo.9mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,18mo.9mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.9mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.0-5kb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.0-5kb.enhancer_peak,18mo.9mo.activity.log_ratio.min.5kb-20kb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.min.0-5kb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.0-5kb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.median.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.DAR,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,rel_pos.DAR,18mo.9mo.log_ratio.DAR,9mo.2mo.log_ratio.DMR,size.log2.DMR,18mo.2mo.log_ratio.DMR,18mo.9mo.log_ratio.DMR,18mo.9mo.Q.std.loops,9mo.2mo.Q.median.loops,Tanova.max.loops,Tanova.std.loops,18mo.9mo.Q.mean.loops,9mo.2mo.Q.mean.loops,loop_size.log.median.loops,18mo.2mo.T.min.loops,min_distance.log.std.loops,18mo.9mo.T.median.loops,Qanova.min.loops,loop_size.log.min.loops,Tanova.min.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.std.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,9mo.2mo.log_ratio.mean.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Arl1,-0.36906104697248876,0.0,0.0038280228678232585,0.0,0.0,0.0,0.0,-0.0071862517641140865,0.0,0.0,0.0,0.0032618649733754303,0.0,-0.0016786293723644354,0.0,0.001671418499870178,-0.004679648348918328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033704004704188076,0.0,0.0,0.0021125758305574074,0.0,0.0,0.0,0.0,0.002501054069934747,0.0,0.0,0.0,0.0,0.0,0.0010562879152787037,-0.017015943160423867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.100553108809086,0.003669110341713979,0.0010078632965301855,0.0,-0.017136801177492507,-0.019915704352733415,-0.15193361674363798,-0.053695998226220794,-0.0056042496879131366,0.0020687662256069672,-0.10800787868599097,1.0,0.0
Ap3m2,-0.34540133483898944,0.0,0.003281773330691533,0.0,0.0,0.0,0.0,-0.0071862517641140865,0.0,0.0,0.0,0.0018639229238033295,0.0,-0.0016786293723644354,0.0,0.0015421205988297095,0.12782360976323104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033704004704188076,0.0,0.0,0.0015844317773977916,0.0,0.0,0.0,0.0,0.002236982043354939,0.0,0.0,0.0,0.0,0.0,-0.02841153586259446,-0.017015943160423867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.049740344572525755,-0.009937173842142025,0.0007491945886077025,0.0,-0.00834206547229909,-0.019915704352733415,-0.1372626450103827,-0.053695998226220794,-0.0056042496879131366,-0.009050852237030482,-0.08523371973289894,1.0,1.0
Wdr53,-0.4237254520830436,0.0,0.004086618622144063,0.0,0.0,0.0,0.0,-0.0071862517641140865,0.0,0.0,0.0,0.0018639229238033295,0.0,-0.0016786293723644354,0.0,0.0026187625331565356,-0.013480262114451481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003568659321619914,0.0,0.0,0.002218204622085278,0.0,0.0,0.0,0.0,0.004315520994938337,0.0,0.0,0.0,0.0,0.0,-0.04501233852874392,-0.017015943160423867,0.0,0.0,-0.07101487334913169,0.0,0.0,0.0,0.0,0.0,-0.09367516178351182,-0.01681675535077468,0.0008461953451236089,0.0,-0.011316755762658058,-0.019915704352733415,0.023557971807745978,-0.053695998226220794,-0.0056042496879131366,0.004008234466593235,-0.0882084110321907,1.0,0.0
Homer3,-0.4032291114712373,0.0,-0.11890091870624858,0.0,0.0,0.0,0.0,-0.0071862517641140865,0.0,0.0,0.0,0.004038499524960151,0.0,0.0,0.0,0.002282588044181466,-0.013480262114451481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033704004704188076,0.0,0.0,0.002218204622085278,0.0,0.0,0.0,0.0,0.004315520994938337,0.0,0.0,0.0,0.0,0.0,0.0025112993704775968,-0.017015943160423867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10874187163053414,-0.01681675535077468,0.0021395388489159253,0.0,-0.0531887509024296,-0.014366898017051892,0.023448387707153764,-0.053695998226220794,-0.0056042496879131366,0.0025083790473544444,0.17525392407790208,1.0,1.0
Fbxo46,-0.35963210520836025,0.0,-0.09273218499042858,0.0,0.0,0.0,0.0,-0.0071862517641140865,0.0,0.0,0.0,-0.007921672091843227,0.0,-0.0016786293723644354,0.0,0.0017160724144046886,-0.013480262114451481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024980615275219465,0.0,0.0,0.0016372461731617267,0.0,0.0,0.0,0.0,0.0029539077494962094,0.0,0.0,0.0,0.0,0.0,-0.032600957255523935,-0.017015943160423867,0.0,0.0,-0.045023788757717766,0.0,0.0,0.0,0.0,0.0,-0.09414114258610286,-0.010701571829999104,0.0007017187248819914,0.0,-0.011316755762658058,-0.019915704352733415,0.017325963320521016,-0.053695998226220794,-0.0056042496879131366,0.0025083790473544444,-0.0779568352855933,1.0,1.0
Iqch,0.8004269296160111,0.0,0.05058353785903026,0.0,0.0,0.0,0.0,-0.0035931258820570433,0.0,0.0,0.0,0.013202786827698732,0.0,0.0,0.0,0.02116073178461729,-0.004679648348918328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013878119584077444,0.0,0.0,0.0073940150248698695,0.0,0.0,0.0,0.0,0.021313532709311217,0.0,0.0,0.0,0.0,0.0,0.03261550352311669,-0.007089976316843278,0.0,0.0,0.06081715980783487,0.0,0.0,0.0,0.0,0.0,0.11794972228698242,0.04005445363238836,0.009724561160860153,0.0,-0.047379167654957526,-0.009957852176366707,0.13164742899915347,0.15984943174780944,0.03515392986054604,-0.05301213312225464,0.19373782552205598,1.0,2.0
Zfp202,-0.3564923608150238,0.0,0.003545845357271341,0.0,0.0,0.0,0.0,-0.0071862517641140865,0.0,0.0,0.0,0.0018639229238033295,0.0,-0.0016786293723644354,0.0,0.0015421205988297095,-0.013480262114451481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033704004704188076,0.0,0.0,0.0021125758305574074,0.0,0.0,0.0,0.0,0.002501054069934747,0.0,0.0,0.0,0.0,0.0,0.0010562879152787037,-0.017015943160423867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09367516178351182,-0.009937173842142025,0.0010078632965301855,0.0,-0.017136801177492507,-0.019915704352733415,-0.13936492769071498,-0.053695998226220794,-0.0056042496879131366,-0.009050852237030482,-0.09402845747386798,1.0,1.0
Ppip5k2,0.7912746696518018,0.0,0.051909881667831004,0.0,0.0,0.0,0.0,-0.0035931258820570433,0.0,0.0,0.0,0.0018639229238033295,0.0,-0.0016786293723644354,0.0,0.026461945082514714,-0.013480262114451481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013878119584077444,0.0,0.0,0.0073940150248698695,0.0,0.0,0.0,0.0,0.021313532709311217,0.0,0.0,0.0,0.0,0.0,0.03148382794685089,-0.017015943160423867,0.0,0.0,0.06081715980783487,0.0,0.0,0.0,0.0,0.0,-0.09367516178351182,-0.04769843329603855,0.008916221463527435,0.0,0.01001294957808195,-0.019915704352733415,0.12899711450490242,-0.053695998226220794,-0.0056042496879131366,0.017196618880216893,-0.11633863152028659,1.0,2.0
Prelid1,-0.4439452760494672,0.0,0.004356166729942346,0.0,0.0,0.0,0.0,-0.0071862517641140865,0.0,0.0,0.0,0.004038499524960151,0.0,-0.0016786293723644354,0.0,0.0022308688897352954,-0.013480262114451481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003568659321619914,0.0,0.0,0.003432935533615259,0.0,0.0,0.0,0.0,0.0052661800231689065,0.0,0.0,0.0,0.0,0.0,0.0015844317773977916,-0.017015943160423867,0.0,0.0,-0.07101487334913169,0.0,0.0,0.0,0.0,0.0,-0.10874187163053414,-0.01681675535077468,0.0010078632965301855,0.0,-0.017136801177492507,-0.019915704352733415,0.025102001319352824,-0.06439501935472855,0.0050947724435573966,-0.014481363173287649,-0.08113632446680313,1.0,1.0
Asap3,-0.4237254520830436,0.0,0.004086618622144063,0.0,0.0,0.0,0.0,-0.0071862517641140865,0.0,0.0,0.0,0.004038499524960151,0.0,-0.0016786293723644354,0.0,0.0026187625331565356,-0.013480262114451481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003568659321619914,0.0,0.0,0.002218204622085278,0.0,0.0,0.0,0.0,0.004315520994938337,0.0,0.0,0.0,0.0,0.0,-0.05212572745931072,-0.017015943160423867,0.0,0.0,-0.07101487334913169,0.0,0.0,0.0,0.0,0.0,-0.10874187163053414,-0.01681675535077468,0.0010078632965301855,0.0,0.002586687031464699,-0.019915704352733415,0.023719639759152554,-0.053695998226220794,-0.0056042496879131366,0.004008234466593235,-0.08242966807805575,1.0,1.0
