gene_name,gene_length.meta,18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,18mo.9mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,18mo.9mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.9mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.0-5kb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.0-5kb.enhancer_peak,18mo.9mo.activity.log_ratio.min.5kb-20kb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.min.0-5kb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.0-5kb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.median.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.DAR,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,rel_pos.DAR,18mo.9mo.log_ratio.DAR,9mo.2mo.log_ratio.DMR,size.log2.DMR,18mo.2mo.log_ratio.DMR,18mo.9mo.log_ratio.DMR,18mo.9mo.Q.std.loops,9mo.2mo.Q.median.loops,Tanova.max.loops,Tanova.std.loops,18mo.9mo.Q.mean.loops,9mo.2mo.Q.mean.loops,loop_size.log.median.loops,18mo.2mo.T.min.loops,min_distance.log.std.loops,18mo.9mo.T.median.loops,Qanova.min.loops,loop_size.log.min.loops,Tanova.min.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.std.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,9mo.2mo.log_ratio.mean.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.max.atac
Setd5,76070.0,0.2563397532591338,0.1043366598144839,0.6415460290854522,0.6415460290854522,1.0,0.7004397181387807,0.0284172098632953,0.681864769610797,0.5405683813586042,-0.0517615100583404,0.0,-0.0858451671925619,-0.0399643983412456,-0.1699250014413102,0.0,0.0495180907001744,0.0082304587692463,0.6740796672300606,0.0271481020117132,-0.9068905956001028,0.0519936069527733,-0.0177315750473647,0.0207793901657398,0.5646258616615343,-0.1066245573583017,-0.0414299073934383,1.5849625007019204,1.0588936890473173,0.334133218615394,-0.0134580584951315,-0.0575695430624394,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010228397722844,0.00035676175,7.484214,2.102010255811454,0.0009413439473684,0.0003867903276315,16.271937136773527,-0.0615572499999999,0.6320972436873629,0.010629785,0.024027478,13.297776062894147,0.028965456,0.027327326555445,-0.0257278420354106,0.0015994845200343,0.0567847452298034,-0.0974881210323408,-0.0441707644552522,-0.1165980513887596,0.0191099303564188,-0.0329555022971801
Sestd1,100252.0,0.6810585925001389,0.2036187097075954,0.0,0.0,0.0,0.0,0.0,-0.538269437160953,-0.5208321632995396,-0.138415804055267,-0.1433919855233236,0.050366544957396,-0.0824870505030759,0.2630344058321907,0.0669201401544272,0.0011861167010112,-0.0264046932857766,-0.403151121874884,0.1076543454797133,-0.1154772174194738,0.0583744559053602,0.001849910149053,0.001849910149053,0.0363077270408024,0.048516634808343,-0.1651971505725304,-0.5090136474862081,0.0,0.3496980743377815,-0.0264046932857766,-0.1238326235904025,1,-0.2321569073709106,-0.2861524106434752,0.408673214902352,-0.0539955032725645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0249597475859712,0.0108960437567736,-0.0140637038291976,0.1580470909763564,-0.1163273337999143,0.0936605796045795,-0.0763963217676668,-0.0399310120322475,0.1387842969366864
Slc44a1,182065.0,0.2410080995031229,-0.1740293997746285,0.2446223687196695,0.2446223687196695,1.0,0.1243281350020826,0.0315912085800534,0.222779722026208,0.222779722026208,-0.0530031732996478,-0.0103116350106979,-0.0665541029663732,-0.0060730351399431,-0.1520030934434468,-0.2764595597009038,0.0726273697670984,0.0443133734158402,0.337034987275989,0.0,-0.415037499274836,0.0363413734546188,0.0443831024889087,0.0443831024889087,0.2433639891296466,-0.1109372054552819,-0.0530031732996478,0.2756344426121071,0.337034987275989,0.0,0.0198183863925069,-0.0060730351399431,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004459038992107,0.0003207219,4.180159,1.0617376635436189,0.0003313787939759,0.0003530626939759,15.423083073487886,-0.0565535859999999,0.6828135961886166,0.00923894,0.025871169,13.654076562495094,0.05789151,-0.0068707891905046,-0.0020978137429673,-0.008968602933472,0.1437706276709963,-0.0171664367035016,0.2622553441052694,-0.1678691084023389,0.1507026716988372,0.1869985885966052
Ric8b,100721.0,0.1463894869813877,0.2937312030564243,0.0995356735508377,0.0995356735508377,1.0,0.4186041142986765,-0.0457018908565618,0.1277973667601065,-0.0299394374126138,-0.073981285742998,0.0,-0.1105280358139566,0.1992452095071897,0.0874628412498088,0.0,0.2011734041716737,0.0882529833056557,0.1623160727208911,0.119209771115294,-0.7589919004916648,0.0630774362779676,-0.0284573513426886,-0.0284573513426886,0.4366557215977984,-0.0820706844712679,-0.0750142961411908,0.999999999993442,0.2410080995017773,0.0544476069615235,0.0912737289413391,0.0172503637050938,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005217528414962,0.0004405918,7.5001993,1.4778145218473104,0.00053093924,0.0005247533157142,15.386334056778404,-0.07848128,0.7225182087041121,0.0048832899999999,0.09815812,13.67815995754276,0.026540507,0.0026543914347628,-0.0066483448278699,-0.0039939533931071,0.2575696886383143,0.0297809034717336,0.4657073987289459,0.0014383885662578,0.0283425149054758,0.3927358336234621
Cnp,16825.0,0.3074285251919013,0.0,0.2131639365015922,0.3439544012169691,7.0,0.3074285251919013,-0.0525589916803262,0.2569430153436635,0.0,-0.0281031867486953,0.0,0.1750659744048142,0.105505199801156,0.4925984825720109,0.0,0.1248394386727147,0.0284541985952326,0.2674385605365694,0.0584749344696653,-0.4568576749727029,0.1044768255926758,-0.1005892298773059,0.0373470477605949,0.3447809418710592,0.1081861825756567,-0.0224708537956287,0.8073549220560583,0.3504972470833554,0.1087173243937515,0.0455407608234388,0.0080082224047259,1,0.1635487503390411,0.3478709085218257,0.9322929171668668,0.1843221581827845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0217757531259426,-0.0096868251818002,0.0120889279441423,0.1929690716198938,0.2126262792863947,0.508310468132231,0.1356047730354511,0.0770215062509436,0.280964075028318
Lztr1,17645.0,0.1818383229855582,0.0054207798236931,-0.0616376116346708,0.0163018123290816,4.0,0.5334322000804868,-0.063932918987058,0.1123937055523212,0.1143121875236148,-0.0325965406237545,-0.28224240021407,-0.0286063637272797,0.0818155275751104,0.430743198882189,-0.1572957204478964,0.0565026259504062,0.0008490076297369,-0.0665254157253762,0.0927415759839519,-0.5849625007191523,0.0482344026900591,-0.048081622300705,-0.0351962837232782,0.3699515729350021,0.0065899199959984,-0.0227335966062984,0.1844245711370336,0.3479233034196038,0.3748608393468624,-0.0122749621572477,-0.0543622737618685,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008280800636746,0.0008155495999999,2.8741152,0.7881749109974199,0.0004593740894736,0.0008865613842105,16.609640474436812,-0.0238776119999999,0.2081055714393886,0.00157681,0.44562343,15.561377454406642,0.031562578,0.0546514354616319,-0.0695890314061445,-0.0149375959445126,0.0673676263770511,-0.0728239002272723,0.0048308404794576,0.16620194253956,-0.2390258427668323,0.3464980856814643
Tatdn1,43583.0,0.0473057147782016,-0.1609640474431657,0.3750394313464085,0.3750394313464085,1.0,0.4923963819843759,-0.1403636601026028,0.6285908791130876,0.8579809951235298,-0.0929920608604097,0.1522828696991869,0.0021448800863606,0.0160061334483296,0.5849625007181505,0.1874875400500655,0.1089981943087394,0.0676229990317409,0.4928919283900977,0.0688108013520439,-0.4854268271619979,0.1414147672909557,0.0618982360152768,0.0618982360152768,0.3038724415986715,-0.0597533559289162,-0.0266921875257527,0.9004643264446206,0.7198920808039313,0.2479615334579883,0.0633329503989349,-0.0382058480893157,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005322971869018,0.00037770105,4.430036,1.066402464736804,0.0003465146388888,0.0004011719111111,18.35053663901161,-0.02463415,0.105682314545758,0.019030215,0.08176516,17.079943053382635,0.1979462,0.0141281113963575,0.0158768141884648,0.0300049255848224,0.1433138870721134,0.0033544394819079,0.1588546243824697,0.0155653147897164,-0.0122108753078085,0.3045702100060284
Morn4,11418.0,0.2873370971329234,-0.0075534461950241,0.693338661764777,0.693338661764777,1.0,0.3899465183154245,0.0393559213268747,0.5560845188516194,0.440572591383269,-0.0719571644093237,0.0,-0.0272151221530723,0.1024389390896014,0.1617510699963524,0.0,0.0667790414254203,0.0511224184811744,0.5395860801102232,0.0649756874689439,-0.5025003405256472,0.0777939112941182,-0.120159605126874,-0.0292590405214809,0.3839938396372562,0.0020439183684086,-0.0349997072298874,1.3219280948801488,1.018859027249393,0.5573965993828287,0.0221142036096314,0.0108898398246277,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003445254929202,0.0012531115,4.771305,2.253158393554665,0.0004773886499999,0.00113448935,16.35235388802193,-0.0242253299999999,0.1994880441088657,-0.0147838599999999,0.21229151,15.769992763902437,0.02482199,0.0190568303036249,7.26750506797047e-05,0.0191295053543046,0.0,-0.1204299974578839,-0.1204299974578839,-0.0595521082527437,-0.0608778892051402,-0.0595521082527437
Zfp229,38547.0,0.4594316186348379,-0.2164797036373609,0.2133502084016063,0.2250665556345028,2.0,0.321928094886962,0.0467475285076397,0.6308904890015445,0.7617809780151117,-0.1595550399496552,0.0,-0.0974536455770471,-0.0855223066922672,0.2995602818568268,0.0,0.0316101889874333,-0.0070028993665869,-0.180189460452868,0.0863534479937493,-1.0641303374128728,0.0381005024603475,-0.0603652157813088,-0.0603652157813088,0.2202913728957083,-0.0370884297957383,-0.1468582930609407,0.9999999999759548,0.0,0.3120973004927904,-0.0195259633261819,-0.1968065843853592,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0124458775391577,-0.034750852264259,-0.0223049747251013,0.2362033608831777,-0.2644746437965954,-0.0974536455770471,-0.0694412454214501,-0.1950333983751453,-0.0370884297957383
Gab3,118615.0,-0.1202942337172103,0.7162070339953761,0.1999375705084993,0.1999375705084993,1.0,0.6545034339732592,0.0331627766807327,-0.3959286763293175,-0.3959286763293175,-0.1001463552013159,-0.153637415103363,0.0,0.0027354224772704,0.0,-0.3286557708150122,0.1028817776785864,0.1028817776785864,-0.1202942337172103,0.0,0.2756344426121071,0.0,0.0,0.0,0.0,0.0,-0.1001463552013159,-0.3959286763293175,-0.1202942337172103,0.0,0.1028817776785864,0.0027354224772704,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037213094572076,-0.013931801183917,-0.0102104917267094,0.0,0.0,0.0,0.0,0.0,0.0
