gene_name,gene_length.meta,18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,18mo.9mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,18mo.9mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.9mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.0-5kb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.0-5kb.enhancer_peak,18mo.9mo.activity.log_ratio.min.5kb-20kb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.min.0-5kb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.0-5kb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.median.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.DAR,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,rel_pos.DAR,18mo.9mo.log_ratio.DAR,9mo.2mo.log_ratio.DMR,size.log2.DMR,18mo.2mo.log_ratio.DMR,18mo.9mo.log_ratio.DMR,18mo.9mo.Q.std.loops,9mo.2mo.Q.median.loops,Tanova.max.loops,Tanova.std.loops,18mo.9mo.Q.mean.loops,9mo.2mo.Q.mean.loops,loop_size.log.median.loops,18mo.2mo.T.min.loops,min_distance.log.std.loops,18mo.9mo.T.median.loops,Qanova.min.loops,loop_size.log.min.loops,Tanova.min.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.std.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,9mo.2mo.log_ratio.mean.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Gab3,-0.18141977288402045,-0.033029869748040654,0.0007788116733233134,0.008241710611260854,0.0,-0.012472790785324879,0.0,0.0,0.009196902625262737,0.0,0.0,0.0,0.0,0.0015518682984969555,0.0,0.0,0.0,0.0,0.0005163302501806846,0.0,0.0,0.0,0.0036206796096685603,0.001005299198321807,0.0,0.0,-0.009725416891085796,0.0,0.0011389610620263296,0.06047473007287735,0.0,0.0,0.0,0.0,-0.014743497260870079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016536059049077523,0.0,0.0,0.0,0.0,0.0,0.0,-0.0061419647998916796,0.0,0.016806860860341635,-0.048289160148646586,0.0479459428252318,-0.1890612279948516,-0.012311987769909395,0.0,1.0,1.0
5730480H06Rik,-0.17461897638172674,0.0018223376514819951,0.0007788116733233134,-0.0050641985323566655,0.0,-0.019087214357195757,0.0,0.0,0.012158201147730533,0.0,0.0,0.0,0.0,0.0015518682984969555,0.0,0.0,0.0,0.0,0.0005163302501806846,0.0,0.0,0.0,0.0036206796096685603,0.001005299198321807,0.0,0.0,-0.009725416891085796,0.0,0.0018223376514819951,-0.012756388395642623,0.0,0.0,0.0,0.0,-0.014743497260870079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0035434412077451362,0.0,0.0,0.0,0.0,0.0,0.0,-0.015118682518219337,0.0,0.023607658652158883,-0.048584847137905084,0.0479459428252318,-0.24740138196219236,-0.012311987769909395,0.0,1.0,1.0
Sf3a1,0.13923571120278957,0.0011389610620263296,0.0005192077981355863,-0.040836553543041915,0.0,0.08247023711028771,0.0,0.0,0.007607467663593781,0.0,0.0,0.0,0.0,-0.03206874998525167,0.0,0.0,-0.03371324638525645,0.0,0.00015489907505420537,0.0,0.0,0.0,-0.009413766985138258,-0.011058291181539878,0.0,0.0,-0.0027786905948932353,0.0,0.0011389610620263296,-0.004488358918863993,0.0,0.0,0.0,0.0,-0.005949220357415004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016536059049077523,0.0,0.0,0.0,0.0,0.0,0.0,-0.0061419647998916796,0.0,0.037357097933403194,-0.02896114238179647,0.046810016418114685,-0.11597618808110173,-0.004924795088859705,0.0,1.0,1.0
Ybx1,0.24330743335378477,0.016401038720057562,0.007788116780993266,-0.018324554826204594,0.0,-0.005344432277175097,0.0,0.00361431170350466,0.04928436946983521,0.0,0.0,0.0,0.0,0.020293379966647197,0.0,0.0,0.0041002596800143905,0.0,0.013424586122616744,0.0,0.0,0.0,-0.009413766985138258,-0.011058291181539878,0.0,0.0,-0.0027786905948932353,0.0,0.008656103832599444,-0.0035434412316252026,0.0,0.0,0.0,0.0,-0.0024315094909606837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014173764830980545,0.0,0.0,0.0,0.0,0.0,0.0,-0.0056695059562722845,0.0,0.037357097933403194,-0.014452262566639828,0.07851269096136093,0.232432982717187,0.0018328033769742036,0.0,1.0,0.0
Higd2a,0.26645018270191473,0.0009111688496210637,-0.011941779357118484,0.023367292880534362,0.0,0.08247023711028771,0.0,0.00361431170350466,-0.04292151919351174,0.0,0.0,0.0,0.0,0.010688035963819576,0.0,0.0,0.0,0.0,0.013424586122616744,0.0,0.0,0.0,0.0036206796096685603,0.001005299198321807,0.0,0.0,-0.0027786905948932353,0.0,0.0009111688496210637,-0.004488358918863993,0.0,0.0,0.0,0.0,-0.005949220357415004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016536059049077523,0.0,0.0,0.0,0.0,0.0,0.0,-0.0061419647998916796,0.0,-0.004039062903477595,-0.02592447949334597,0.07851269096136093,-0.11874861421827705,-0.0002778229805139395,0.0,1.0,0.0
Hyou1,0.2891906605890164,0.0018223376514819951,0.0007788116733233134,0.0014864650363914478,0.0,-0.005344432277175097,0.0,0.00361431170350466,0.012158201147730533,0.0,0.0,0.0,0.0,0.011207243761955163,0.0,0.0,0.0,0.0,0.013424586122616744,0.0,0.0,0.0,0.0036206796096685603,0.001005299198321807,0.0,0.0,-0.0027786905948932353,0.0,0.0018223376514819951,0.06047473007287735,0.0,0.0,0.0,0.0,-0.005949220357415004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016536059049077523,0.0,0.0,0.0,0.0,0.0,0.0,-0.0061419647998916796,0.0,-0.041675011663196176,-0.03199303651658388,0.07851269096136093,-0.1905534869680802,-0.0002778229805139395,0.0,1.0,1.0
Snw1,0.10552262925566772,0.016401038720057562,-0.06542018084571911,-0.0280476245097816,0.0,-0.005344432277175097,0.0,0.0,0.03838100604330882,0.0,0.0,0.0,0.0,0.0036315770389942024,0.0,0.0,0.0041002596800143905,0.0,0.0002581651250903423,0.0,0.0,0.0,-0.009413766985138258,-0.011058291181539878,0.0,0.0,-0.0027786905948932353,0.0,0.008656103832599444,-0.0035434412316252026,0.0,0.0,0.0,0.0,-0.0024315094909606837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014173764830980545,0.0,0.0,0.0,0.0,0.0,0.0,-0.0056695059562722845,0.0,0.020502946733568724,-0.028792132145892352,0.04717144752160097,0.20154011946840164,-0.0028141687313715615,0.0,1.0,1.0
Wdr77,0.2918518419162585,-0.033029869748040654,-0.019470291880842965,-0.018324554826204594,0.0,-0.0054625469880799455,0.0,0.00361431170350466,0.007639279350256309,0.0,0.0,0.0,0.0,0.01094763986288737,0.0,0.0,0.0,0.0,0.013424586122616744,0.0,0.0,0.0,0.0036206796096685603,0.001005299198321807,0.0,0.0,-0.0027786905948932353,0.0,0.0011389610620263296,-0.004606473629768842,0.0,0.0,0.0,0.0,-0.005949220357415004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016536059049077523,0.0,0.0,0.0,0.0,0.0,0.0,0.05964792715624357,0.0,0.037357097933403194,-0.02651585289874138,0.07851269096136093,-0.13058084888288227,-0.0002778229805139395,0.0,1.0,1.0
1700028E10Rik,-0.0878408347041561,0.00546701304996625,0.0023364350677300724,-0.006099102576860251,0.0,-0.005429450446405472,0.0,0.0,-0.16429732916637874,0.0,0.0,0.0,0.0,0.0033690955919715073,0.0,0.0,0.0013667532744315954,0.0,0.0005163302501806846,0.0,0.0,0.0,-0.054310194145028405,-0.06836034548588288,0.0,0.0,0.03139920355990911,0.0,0.002277922076292527,-0.00212606479628728,0.0,0.0,0.0,0.0,0.056057713042276025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000944917687238791,0.0,0.0,0.0,0.0,0.0,0.0,0.020315729678632356,0.0,0.016058453382589877,0.14299430010410455,0.02375440051158269,0.22000744787211984,-0.0029900542770822844,0.0,1.0,1.0
Lhpp,-0.13911893089803365,0.0018223376514819951,0.0007788116733233134,-0.024942912591191437,0.0,0.11289615757190265,0.0,0.0,0.012158201147730533,0.0,0.0,0.0,0.0,0.0010355380483162708,0.0,0.0,0.0,0.0,0.0002581651250903423,0.0,0.0,0.0,0.0036206796096685603,0.001005299198321807,0.0,0.0,-0.009725416891085796,0.0,0.0018223376514819951,-0.004488358918863993,0.0,0.0,0.0,0.0,-0.014743497260870079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016536059049077523,0.0,0.0,0.0,0.0,0.0,0.0,-0.0061419647998916796,0.0,-0.03857029974460602,-0.05479900426685046,0.04717144752160097,-0.21963604506200704,-0.012311987769909395,0.0,1.0,1.0
