gene_name,gene_length.meta,18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,18mo.9mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,18mo.9mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.9mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.0-5kb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.0-5kb.enhancer_peak,18mo.9mo.activity.log_ratio.min.5kb-20kb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.min.0-5kb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.0-5kb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.median.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.DAR,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,rel_pos.DAR,18mo.9mo.log_ratio.DAR,9mo.2mo.log_ratio.DMR,size.log2.DMR,18mo.2mo.log_ratio.DMR,18mo.9mo.log_ratio.DMR,18mo.9mo.Q.std.loops,9mo.2mo.Q.median.loops,Tanova.max.loops,Tanova.std.loops,18mo.9mo.Q.mean.loops,9mo.2mo.Q.mean.loops,loop_size.log.median.loops,18mo.2mo.T.min.loops,min_distance.log.std.loops,18mo.9mo.T.median.loops,Qanova.min.loops,loop_size.log.min.loops,Tanova.min.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.std.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,9mo.2mo.log_ratio.mean.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Gab3,-0.06881368673669222,0.0,0.0,0.0,0.0,0.0,-0.08514550882272232,0.0,0.0,0.0,0.0,0.0,0.01679105397600394,0.0,0.0,0.10206810375436759,0.0,0.0076719889274010295,0.0,0.025255440507466212,0.0,0.0,0.0019976479741625297,-0.004224506135170276,-0.11408789436786602,0.0,0.0,0.0,0.0,0.0,0.0009657335587036916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009283072028595667,0.0,0.0,0.0,0.0,0.0063076107882154295,0.0,0.0,0.0,0.00244156975681201,0.0,0.0206331615933241,-0.017826534783801973,0.0034902930522385314,0.0,0.0,0.0,0.014574441939401321,1.0,1.0
5730480H06Rik,0.3204106614471246,0.0,0.0,0.0,0.0,0.0,0.028972006761110745,0.0,0.0,0.0,0.0,0.0,0.018706383326878913,0.0,0.0,-0.30803399275128657,0.0,0.0036441947405154887,0.0,0.031659628288486064,0.0,0.0,0.006214904766052197,-0.0029246580715362844,0.03240628903492903,0.0,0.0,0.0,0.0,0.0,0.0019314671174073832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017035972613554735,0.0,0.0,0.0,0.0,0.003570986672853812,0.0,0.0,0.0,0.009322357196838427,0.0,0.02145810243793023,-0.05336888053287298,0.0069886549638632015,0.0,0.0,0.0,0.015630082537730534,1.0,1.0
Sf3a1,0.2536683772714474,0.0,0.0,0.0,0.0,0.0,0.013520269845731748,0.0,0.0,0.0,0.0,0.0,0.01883407195027058,0.0,0.0,0.04616889789796028,0.0,0.0076719889274010295,0.0,0.027298458481732853,0.0,0.0,0.00244156975681201,-0.0019497720954509883,0.014205496662702316,0.0,0.0,0.0,0.0,0.0,0.0009657335587036916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4058124343267618,0.0,0.0,0.0,0.0,0.0066397822438142235,0.0,0.0,0.0,0.0031074524307862306,0.0,0.022521021178899668,-0.05336888053287298,0.00425240988484942,0.0,0.0,0.0,0.014574441939401321,1.0,1.0
Ybx1,0.34553909602646643,0.0,0.0,0.0,0.0,0.0,0.028972006761110745,0.0,0.0,0.0,0.0,0.0,0.018195628833312254,0.0,0.0,0.0035121294741447154,0.0,0.0076719889274010295,0.0,-0.14294762770908,0.0,0.0,0.006214904766052197,-0.0029246580715362844,0.03240628903492903,0.0,0.0,0.0,0.0,0.0,0.0019314671174073832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016844439678467236,0.0,0.0,0.0,0.0,0.0066397822438142235,0.0,0.0,0.0,0.009322357196838427,0.0,0.027404160644763555,-0.05336888053287298,0.00539254717146739,0.0,0.0,0.0,0.022343072849206436,1.0,0.0
Higd2a,-0.14572754022307122,0.0,0.0,0.0,0.0,0.0,0.012876447457342576,0.0,0.0,0.0,0.0,0.0,0.01679105397600394,0.0,0.0,0.042397281322150655,0.0,0.003452395017330463,0.0,0.024467653809831694,0.0,0.0,0.006214904766052197,-0.0019497720954509883,0.03240628903492903,0.0,0.0,0.0,0.0,0.0,0.0009657335587036916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013822240014679922,0.0,0.0,0.0,0.0,0.003570986672853812,0.0,0.0,0.0,0.009322357196838427,0.0,0.020436059874601852,-0.05336888053287298,0.003772232729272965,0.0,0.0,0.0,0.013520285582695251,1.0,0.0
Hyou1,0.38648952706119954,0.0,0.0,0.0,0.0,0.0,0.028972006761110745,0.0,0.0,0.0,0.0,0.0,0.042456467277728595,0.0,0.0,0.00830045285133215,0.0,0.0076719889274010295,0.0,0.04983719868155626,0.0,0.0,0.0019976479741625297,-0.0029246580715362844,-0.11408789436786602,0.0,0.0,0.0,0.0,0.0,0.0019314671174073832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018692392497681655,0.0,0.0,0.0,0.0,0.008411363340341128,0.0,0.0,0.0,0.00244156975681201,0.0,0.03487717353094082,0.02590937353670597,0.012271673203660892,0.0,0.0,0.0,0.014574441939401321,1.0,1.0
Snw1,0.35330211175366855,0.0,0.0,0.0,0.0,0.0,0.028972006761110745,0.0,0.0,0.0,0.0,0.0,0.042456467277728595,0.0,0.0,0.050318778158189394,0.0,0.0076719889274010295,0.0,0.055608181664958976,0.0,0.0,0.006214904766052197,-0.0019497720954509883,0.03240628903492903,0.0,0.0,0.0,0.0,0.0,0.0019314671174073832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022909649289571322,0.0,0.0,0.0,0.0,0.0066397822438142235,0.0,0.0,0.0,0.009322357196838427,0.0,0.03666158584065926,-0.05336888053287298,0.010500092107133988,0.0,0.0,0.0,0.022343072849206436,1.0,1.0
Wdr77,0.28908131407717097,0.0,0.0,0.0,0.0,0.0,0.028972006761110745,0.0,0.0,0.0,0.0,0.0,-0.16248377326589364,0.0,0.0,0.0017374414377487623,0.0,0.0036441947405154887,0.0,0.03146809535339857,0.0,0.0,0.006214904766052197,0.020472606524634056,0.03240628903492903,0.0,0.0,0.0,0.0,0.0,0.0019314671174073832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016844439678467236,0.0,0.0,0.0,0.0,-0.14471265465880817,0.0,0.0,0.0,0.009322357196838427,0.0,0.019358736391250905,-0.02291983043631682,0.0066564835082644075,0.0,0.0,0.0,0.015630082537730534,1.0,1.0
1700028E10Rik,0.36259056255221367,0.0,0.0,0.0,0.0,0.0,0.028972006761110745,0.0,0.0,0.0,0.0,0.0,-0.16248377326589364,0.0,0.0,0.0038313510326238778,0.0,0.0076719889274010295,0.0,0.03645488815620924,0.0,0.0,0.006214904766052197,-0.0029246580715362844,0.03240628903492903,0.0,0.0,0.0,0.0,0.0,0.0019314671174073832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016844439678467236,0.0,0.0,0.0,0.0,0.008411363340341128,0.0,0.0,0.0,0.009322357196838427,0.0,0.0305303273579249,0.02590937353670597,0.008760236060390105,0.0,0.0,0.0,0.022343072849206436,1.0,1.0
Lhpp,0.3703535786614968,0.0,0.0,0.0,0.0,0.0,0.028972006761110745,0.0,0.0,0.0,0.0,0.0,0.042456467277728595,0.0,0.0,0.050318778158189394,0.0,0.0076719889274010295,0.0,0.055608181664958976,0.0,0.0,0.006214904766052197,-0.0019497720954509883,0.03240628903492903,0.0,0.0,0.0,0.0,0.0,0.0019314671174073832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022909649289571322,0.0,0.0,0.0,0.0,0.008411363340341128,0.0,0.0,0.0,0.009322357196838427,0.0,0.04042619567077894,0.02590937353670597,0.012271673203660892,0.0,0.0,0.0,0.022343072849206436,1.0,1.0
