,DEG,pred,score_0,score_1,score_2
1700123M08Rik,1,1,0.2068394273519516,0.6870728135108948,0.10608772933483124
Ccdc43,1,1,0.30737850069999695,0.5269853472709656,0.16563613712787628
Sntb1,1,2,0.1600675731897354,0.19884151220321655,0.6410909295082092
Nudcd3,1,1,0.15935175120830536,0.6322277784347534,0.2084205150604248
Aip,1,1,0.2889463007450104,0.5866928100585938,0.12436090409755707
Ankrd49,1,0,0.4644658863544464,0.43256881833076477,0.10296526551246643
Entpd7,1,1,0.24890345335006714,0.6699519753456116,0.0811445564031601
Arfgap2,1,0,0.570473849773407,0.3456217348575592,0.0839044377207756
Fam171a1,1,2,0.2418879121541977,0.36895161867141724,0.38916048407554626
Aldh6a1,1,1,0.309982031583786,0.6096804141998291,0.08033757656812668
Nsa2,1,1,0.40475600957870483,0.5139945149421692,0.08124946057796478
Cadm3,1,0,0.6192184686660767,0.29571732878685,0.08506420254707336
Wasl,1,1,0.35336652398109436,0.5170522332191467,0.12958121299743652
Pam16,1,0,0.556883692741394,0.3566012382507324,0.08651508390903473
Fbxl19,1,1,0.3492407500743866,0.5396755933761597,0.11108367145061493
Psma1,1,0,0.5104174613952637,0.4046179950237274,0.0849645808339119
Glg1,1,1,0.16590389609336853,0.6582233905792236,0.1758727729320526
Sap25,1,2,0.27320215106010437,0.3349582552909851,0.39183956384658813
Zfp236,1,1,0.34786882996559143,0.5101639628410339,0.14196716248989105
Ap4e1,1,1,0.19578780233860016,0.40964579582214355,0.3945664167404175
1810030O07Rik,1,1,0.42618250846862793,0.44764015078544617,0.1261773407459259
Pdik1l,1,1,0.2957726716995239,0.616832435131073,0.08739488571882248
Ano4,1,0,0.5556501746177673,0.18250621855258942,0.26184362173080444
Mrpl43,1,0,0.5451189279556274,0.3327043950557709,0.12217668443918228
Bicd1,1,0,0.4032428562641144,0.2795928120613098,0.31716427206993103
Rbm34,1,1,0.23063820600509644,0.6862368583679199,0.08312494307756424
Msl1,1,1,0.2978636622428894,0.6050296425819397,0.09710665047168732
C130036L24Rik,1,1,0.4406146705150604,0.4474337697029114,0.11195152997970581
Hdhd2,1,1,0.21113091707229614,0.6806179285049438,0.10825113952159882
Colec12,1,0,0.4650629460811615,0.2689835727214813,0.26595354080200195
Slc36a4,1,1,0.41110265254974365,0.4464879333972931,0.14240945875644684
Dio2,1,0,0.5450617074966431,0.3689860701560974,0.08595222234725952
Smg9,1,1,0.22925280034542084,0.6484971046447754,0.12225013971328735
Cd44,1,0,0.40950483083724976,0.38608109951019287,0.20441406965255737
Prickle1,1,2,0.3274576961994171,0.17782823741436005,0.4947141110897064
Wiz,1,1,0.27247896790504456,0.5818584561347961,0.14566254615783691
Zfp868,1,1,0.39964815974235535,0.5418725609779358,0.05847927927970886
Ints2,1,1,0.38602325320243835,0.4981921911239624,0.11578458547592163
Tubb5,1,1,0.314130574464798,0.573034942150116,0.11283446848392487
Rnf169,1,1,0.14782829582691193,0.46683159470558167,0.3853401243686676
Ubxn2a,1,1,0.344734251499176,0.4947301149368286,0.16053558886051178
Hsph1,1,0,0.5053549408912659,0.36374735832214355,0.13089768588542938
Epm2a,1,2,0.3011249601840973,0.1652141958475113,0.5336608290672302
Gm17484,1,0,0.5525851845741272,0.33726128935813904,0.11015354841947556
Rrp36,1,1,0.2609573006629944,0.6432132124900818,0.09582950174808502
Cdk5rap1,1,1,0.25873029232025146,0.6379488706588745,0.10332079976797104
B4galt4,1,1,0.1746453493833542,0.7292773723602295,0.09607728570699692
Snap47,1,1,0.4153071343898773,0.47365596890449524,0.11103686690330505
Rabgef1,1,1,0.2554226815700531,0.664137065410614,0.08044026046991348
