gene_name,gene_length.meta,18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,18mo.9mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,18mo.9mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.9mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.0-5kb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.0-5kb.enhancer_peak,18mo.9mo.activity.log_ratio.min.5kb-20kb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.min.0-5kb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.0-5kb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.median.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.DAR,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,rel_pos.DAR,18mo.9mo.log_ratio.DAR,9mo.2mo.log_ratio.DMR,size.log2.DMR,18mo.2mo.log_ratio.DMR,18mo.9mo.log_ratio.DMR,18mo.9mo.Q.std.loops,9mo.2mo.Q.median.loops,Tanova.max.loops,Tanova.std.loops,18mo.9mo.Q.mean.loops,9mo.2mo.Q.mean.loops,loop_size.log.median.loops,18mo.2mo.T.min.loops,min_distance.log.std.loops,18mo.9mo.T.median.loops,Qanova.min.loops,loop_size.log.min.loops,Tanova.min.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.std.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,9mo.2mo.log_ratio.mean.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Aldh6a1,0.29692311690021783,0.0,0.0,0.03302066104534345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003876984071655151,0.0,0.0,0.0,0.0,0.0,0.0,0.0144887626147232,0.0,-0.04856660068990328,0.0,0.0,0.04659328602540951,0.0,0.0,0.028373094227833625,-0.00881220056460454,0.0,0.0,0.0,0.0,-0.010354335682514386,0.0,0.0,0.0,0.0,-0.09258942707226826,0.0,0.0,-0.00017683695142085737,0.0,0.0,0.0,-0.002277724038905058,0.0,0.0,0.0,0.0,0.0,0.004053210576948447,0.0,0.0,0.01097274834337907,-0.03062239633156703,0.0,0.01907916968831649,0.0,-0.1037023262335704,-0.007250315008255152,0.0,1.0,1.0
Sap25,0.21092850671937832,0.0,0.0,-0.1746192113854564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026433982002811553,0.0,0.0,0.0,0.0,0.0,0.0,0.01739474011059755,0.0,0.01721246765019038,0.0,0.0,0.020347845155554704,0.0,0.0,0.013330394223045845,-0.00881220056460454,0.0,0.0,0.0,0.0,-0.010354335682514386,0.0,0.0,0.0,0.0,0.006696608729469471,0.0,0.0,-0.00017683695142085737,0.0,0.0,0.0,-0.002277724038905058,0.0,0.0,0.0,0.0,0.0,0.004053210576948447,0.0,0.0,-0.01097274834337907,-0.03062239633156703,0.0,-0.15518122796828931,0.0,-0.16880388682087263,-0.007250315008255152,0.0,1.0,2.0
Mrpl43,0.25136122594659144,0.0,0.0,0.03302066104534345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011525216249701304,0.0,0.0,0.0,0.0,0.0,0.0,0.030505995242259443,0.0,0.01721246765019038,0.0,0.0,0.05582755698989599,0.0,0.0,0.03549264672283943,0.017183790747553874,0.0,0.0,0.0,0.0,-0.0011015251183356994,0.0,0.0,0.0,0.0,0.01603661563534003,0.0,0.0,0.0,0.0,0.0,0.0,-0.002277724038905058,0.0,0.0,0.0,0.0,0.0,0.009516233530564185,0.0,0.0,0.01097274834337907,0.017183790747553874,0.0,0.03360023731604601,0.0,-0.14468887973672304,0.029708607838704035,0.0,1.0,0.0
Msl1,0.21493610496131274,0.0,0.0,0.013348777945607137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016212842952555572,0.0,0.0,0.0,0.0,0.0,0.0,0.011937189918871109,0.0,-0.026383818103334844,0.0,0.0,-0.20695647517314705,0.0,0.0,0.011076090785746392,-0.001652287629743417,0.0,0.0,0.0,0.0,-0.0025335077244119765,0.0,0.0,0.0,0.0,0.004405663826335699,0.0,0.0,-0.00017683695142085737,0.0,0.0,0.0,-0.002277724038905058,0.0,0.0,0.0,0.0,0.0,0.002255699883859891,0.0,0.0,-0.01097274834337907,0.0402056641685657,0.0,-0.10492141511386786,0.0,-0.11002231284211843,-0.007250315008255152,0.0,1.0,1.0
Hdhd2,-0.23758762879058337,0.0,0.0,0.011241076108163748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02290945190888567,0.0,0.0,0.0,0.0,0.0,0.0,-0.06667640572413802,0.0,0.013971858299695529,0.0,0.0,0.015915122324935138,0.0,0.0,0.00636514057763494,-0.00881220056460454,0.0,0.0,0.0,0.0,-0.010354335682514386,0.0,0.0,0.0,0.0,0.0033835496705694077,0.0,0.0,-0.0060111153870821,0.0,0.0,0.0,-0.007358800715360886,0.0,0.0,0.0,0.0,0.0,-0.02290945190888567,0.0,0.0,-0.0019363673547139536,-0.03062239633156703,0.0,0.026948205553568326,0.0,-0.18700914758329207,-0.022988803684711456,0.0,1.0,1.0
Colec12,-0.11546936626426685,0.0,0.0,0.011241076108163748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034540403419389175,0.0,0.0,0.0009709037362765043,0.0,0.0,0.0,-0.23674442380284652,0.0,0.04552254730310196,0.0,0.0,0.018347048714088324,0.0,0.0,0.008479859142635878,-0.0007710675828349896,0.0,0.0,0.0,0.0,0.019056383448724564,0.0,0.0,0.0,0.0,0.007225288388629754,0.0,0.0,-0.0007070125773166999,0.0,0.0,0.0,-0.0029785622341128495,0.0,0.0,0.0,0.0,0.0,0.0037007574708415912,0.0,0.0,-0.0019363673547139536,-0.006939608245514906,0.0,0.03174156834108707,0.0,0.28462698898063254,0.034483205527067184,0.0,1.0,0.0
Slc36a4,-0.21345459397595662,0.0,0.0,0.011241076108163748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011525216249701304,0.0,0.0,0.00023852455883454054,0.0,0.0,0.0,0.03493744555192116,0.0,-0.1515474273608281,0.0,0.0,0.028885396173558175,0.0,0.0,0.01566990226125106,-0.0013218300942427074,0.0,0.0,0.0,0.0,-0.0006609150232412877,0.0,0.0,0.0,0.0,0.01603661563534003,0.0,0.0,-0.004420588557154705,0.0,0.0,0.0,-0.007358800715360886,0.0,0.0,0.0,0.0,0.0,0.009516233530564185,0.0,0.0,-0.0019363673547139536,-0.010574640419620734,0.0,0.04650935339622009,0.0,0.08446493997978859,-0.022988803684711456,0.0,1.0,1.0
Tubb5,0.21092850671937832,0.0,0.0,-0.1746192113854564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026433982002811553,0.0,0.0,0.0,0.0,0.0,0.0,0.01739474011059755,0.0,0.01721246765019038,0.0,0.0,0.020347845155554704,0.0,0.0,0.013330394223045845,-0.001652287629743417,0.0,0.0,0.0,0.0,-0.0025335077244119765,0.0,0.0,0.0,0.0,0.006696608729469471,0.0,0.0,-0.00017683695142085737,0.0,0.0,0.0,-0.002277724038905058,0.0,0.0,0.0,0.0,0.0,0.004053210576948447,0.0,0.0,-0.01097274834337907,0.0402056641685657,0.0,-0.15518122796828931,0.0,-0.15150994282120314,-0.007250315008255152,0.0,1.0,1.0
Hsph1,0.1861730071787651,0.0,0.0,0.03302066104534345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034540403419389175,0.0,0.0,0.00011926227941727027,0.0,0.0,0.0,-0.14222205786082226,0.0,-0.07131916979471078,0.0,0.0,0.045289209530426144,0.0,0.0,0.028302603604224246,-0.00044061004733427975,0.0,0.0,0.0,0.0,-0.00044061004733427975,0.0,0.0,0.0,0.0,0.007225288388629754,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014016763904155828,0.0,0.0,0.0,0.0,0.0,0.0037007574708415912,0.0,0.0,-0.0019363673547139536,0.015641655581883896,0.0,0.03174156834108707,0.0,0.12276079149869008,-0.0035367390284171472,0.0,1.0,0.0
Gm17484,0.1861730071787651,0.0,0.0,0.03302066104534345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011525216249701304,0.0,0.0,0.00023852455883454054,0.0,0.0,0.0,0.03493744555192116,0.0,-0.15808575027264082,0.0,0.0,0.05582755698989599,0.0,0.0,0.03549264672283943,0.018725925913223855,0.0,0.0,0.0,0.0,-0.00044061004733427975,0.0,0.0,0.0,0.0,0.01603661563534003,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014016763904155828,0.0,0.0,0.0,0.0,0.0,0.009516233530564185,0.0,0.0,-0.0019363673547139536,-0.006609150710014196,0.0,0.04650935339622009,0.0,0.14508677006531984,-0.0035367390284171472,0.0,1.0,0.0
