,DEG,pred,score_0,score_1,score_2
Adamts3,1,0,0.7146438360214233,0.17583872377872467,0.10951748490333557
Taf8,1,1,0.12373678386211395,0.5637873411178589,0.31247588992118835
Slc25a42,1,2,0.10898545384407043,0.3357275724411011,0.5552869439125061
Mrps35,1,1,0.20870530605316162,0.5646262168884277,0.22666846215724945
Ern1,1,2,0.05765298381447792,0.30858486890792847,0.6337621808052063
Wasf2,1,2,0.09191244840621948,0.3408217132091522,0.5672658085823059
Rock1,1,0,0.4816425144672394,0.26965364813804626,0.24870377779006958
Cln5,1,1,0.37758734822273254,0.49039462208747864,0.1320180892944336
Nat14,1,0,0.6013404726982117,0.26211246848106384,0.1365470290184021
Tcaim,1,1,0.1067889928817749,0.6460252404212952,0.24718578159809113
Tub,1,2,0.1427345871925354,0.3733826279640198,0.48388275504112244
Spast,1,1,0.26049497723579407,0.4358517825603485,0.3036532700061798
Zmat5,1,1,0.0809442475438118,0.5895604491233826,0.32949531078338623
Hnrnpa2b1,1,1,0.2273925244808197,0.6233131885528564,0.14929428696632385
Kif21a,1,2,0.20760758221149445,0.33107447624206543,0.4613179862499237
Strn4,1,1,0.1285119503736496,0.5734670758247375,0.2980209290981293
Neto2,1,1,0.29975342750549316,0.4080023467540741,0.2922442555427551
Snx12,1,1,0.13381703197956085,0.5918089747428894,0.27437400817871094
Gpbp1,1,1,0.18295125663280487,0.43853166699409485,0.37851712107658386
Trmt10c,1,0,0.5401179790496826,0.3702203631401062,0.08966167271137238
Cep131,1,2,0.07602500170469284,0.4598885774612427,0.4640864133834839
Yipf4,1,1,0.1770714521408081,0.6735222935676575,0.14940626919269562
Ttc39b,1,0,0.40744057297706604,0.2991536855697632,0.2934057414531708
Bhlhb9,1,1,0.123353011906147,0.5351870656013489,0.3414599299430847
Ppp1r16a,1,1,0.1011747270822525,0.45969605445861816,0.4391292631626129
Sccpdh,1,1,0.10016930103302002,0.6316589713096619,0.2681717276573181
B4galt3,1,1,0.3125278353691101,0.5456682443618774,0.14180386066436768
Tdg,1,1,0.14654268324375153,0.5812463760375977,0.272210955619812
Trpv2,1,1,0.07467019557952881,0.626454770565033,0.298875093460083
Nkain3,1,2,0.21643830835819244,0.347899854183197,0.43566182255744934
Mat2b,1,0,0.6159433126449585,0.24716168642044067,0.13689495623111725
Adamts2,1,2,0.043012771755456924,0.19269739091396332,0.7642897963523865
Cryl1,1,2,0.15803319215774536,0.3621111214160919,0.4798557162284851
Hnrnpu,1,1,0.3063787519931793,0.5069858431816101,0.1866353452205658
