,DEG,pred,score_0,score_1,score_2
Htt,1,2,0.14359836280345917,0.2922596335411072,0.5641420483589172
Nelfe,1,1,0.3778421878814697,0.4727657437324524,0.1493920385837555
4930578M01Rik,1,1,0.3460937738418579,0.43261343240737915,0.22129277884960175
Commd8,1,1,0.20480117201805115,0.5988076329231262,0.19639122486114502
Abca8b,1,1,0.10009142756462097,0.5164724588394165,0.3834361135959625
Tmem107,1,0,0.641869843006134,0.27207112312316895,0.08605901896953583
A430108G06Rik,1,0,0.5515945553779602,0.3469126224517822,0.10149277746677399
Exosc4,1,0,0.7709426283836365,0.16487176716327667,0.06418565660715103
Glt8d1,1,1,0.09899324923753738,0.5527738332748413,0.3482328951358795
Chpf,1,0,0.595201849937439,0.28850921988487244,0.11628890037536621
Scaf11,1,1,0.11559285968542099,0.49054935574531555,0.39385780692100525
Rnf167,1,0,0.5777588486671448,0.3133271038532257,0.1089140921831131
Rpa3,1,0,0.7985386848449707,0.1500779092311859,0.05138339474797249
Atxn7l2,1,1,0.23159457743167877,0.6165058612823486,0.151899516582489
Zfp64,1,2,0.10546039789915085,0.3774501085281372,0.5170894861221313
Dync1i2,1,0,0.6919914484024048,0.19169874489307404,0.11630982160568237
Csrnp3,1,0,0.4584420323371887,0.2685467302799225,0.2730112373828888
Pfas,1,1,0.13070860505104065,0.4753881096839905,0.39390334486961365
Dcp1a,1,2,0.07669089734554291,0.3556746542453766,0.5676344633102417
Ogfod2,1,0,0.7720717191696167,0.1717752069234848,0.0561530627310276
Eif2d,1,1,0.16405653953552246,0.43837642669677734,0.39756709337234497
Gpr161,1,0,0.5430247187614441,0.3139633238315582,0.1430119127035141
Mrps5,1,1,0.1963677853345871,0.5150430798530579,0.28858909010887146
Tm9sf1,1,1,0.39472588896751404,0.4688412547111511,0.13643282651901245
Map2,1,2,0.15674042701721191,0.27438634634017944,0.5688732266426086
Piga,1,1,0.17743264138698578,0.6502389907836914,0.1723284274339676
Csdc2,1,1,0.14066314697265625,0.49483993649482727,0.36449694633483887
Rac3,1,0,0.49131712317466736,0.36739659309387207,0.14128631353378296
Zfp605,1,1,0.23004721105098724,0.5376189947128296,0.23233383893966675
Lmnb1,1,1,0.2077476531267166,0.4129556715488434,0.3792966306209564
Sap30l,1,1,0.2653643488883972,0.6131572723388672,0.12147834151983261
Eif2b2,1,1,0.17655140161514282,0.6250031590461731,0.1984454244375229
Tada1,1,1,0.3130348324775696,0.37480029463768005,0.3121648132801056
Suclg1,1,1,0.335525780916214,0.5155676007270813,0.1489066332578659
Rrnad1,1,0,0.5774673223495483,0.321270227432251,0.10126246511936188
Anp32b,1,0,0.44180989265441895,0.33081531524658203,0.22737479209899902
Rcl1,1,1,0.3471630811691284,0.3583793342113495,0.2944576144218445
Brox,1,1,0.08736515045166016,0.6310692429542542,0.2815655767917633
Cnbd2,1,2,0.07586941123008728,0.3732386529445648,0.5508919358253479
Gtf2e2,1,2,0.2661571204662323,0.3271523714065552,0.4066905081272125
Nicn1,1,1,0.3649534583091736,0.507014811038971,0.12803176045417786
Rrp36,1,1,0.30300235748291016,0.5683897733688354,0.128607839345932
Tenm2,1,2,0.05845031887292862,0.14975067973136902,0.7917989492416382
E130304I02Rik,1,2,0.08274830877780914,0.44296547770500183,0.4742862582206726
Tnxb,1,2,0.10234373807907104,0.3940492570400238,0.5036070346832275
Ndufv1,1,1,0.3322141170501709,0.5505905747413635,0.11719533056020737
Clcn7,1,1,0.11688940972089767,0.5201364755630493,0.3629741668701172
Ncoa4,1,1,0.1273590624332428,0.5893213152885437,0.2833195626735687
Slc16a14,1,1,0.37452512979507446,0.43153083324432373,0.19394400715827942
Gins2,1,0,0.47743895649909973,0.3152521550655365,0.20730893313884735
Ap4b1,1,1,0.17553719878196716,0.6270231604576111,0.19743967056274414
Rela,1,1,0.12734606862068176,0.5589884519577026,0.3136654794216156
Crebzf,1,0,0.661568820476532,0.2556783854961395,0.08275282382965088
2510002D24Rik,1,0,0.74681156873703,0.19142979383468628,0.06175864115357399
Ppp6r3,1,2,0.19711560010910034,0.3626902997493744,0.44019412994384766
Gng13,1,0,0.5570259690284729,0.3185727596282959,0.12440124154090881
Prex2,1,2,0.06848761439323425,0.16431847214698792,0.7671939134597778
Wnk2,1,2,0.0945095494389534,0.28355926275253296,0.6219311356544495
Ndufaf4,1,0,0.523016631603241,0.35413607954978943,0.12284726649522781
Ncbp2,1,1,0.17539000511169434,0.4305016100406647,0.394108384847641
Ramp1,1,0,0.7226089835166931,0.17075757682323456,0.10663346946239471
Pfkfb2,1,2,0.31678861379623413,0.21849356591701508,0.4647178649902344
Trnau1ap,1,1,0.09297619014978409,0.48856550455093384,0.4184582829475403
