gene_name,gene_length.meta,9mo.2mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.9mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,9mo.2mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_DMR,18mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_DMR,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_DMR,9mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_peak,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.5kb-20kb.enhancer_peak,18mo.9mo.contact.log_ratio.min.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.min.5kb-20kb.enhancer_peak,count.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,9mo.2mo.log_ratio.DAR,9mo.2mo.log_ratio.DMR,size.log2.DMR,distance.log2.DMR,18mo.9mo.Q.std.loops,9mo.2mo.Q.median.loops,loop_size.log.max.loops,18mo.9mo.Q.max.loops,18mo.9mo.Q.mean.loops,18mo.9mo.T.median.loops,Qanova.min.loops,18mo.2mo.T.max.loops,18mo.2mo.T.median.loops,loop_size.log.min.loops,Qanova.mean.loops,9mo.2mo.Q.mean.loops,loop_size.log.median.loops,min_distance.log.std.loops,min_distance.log.mean.loops,9mo.2mo.T.median.loops,18mo.2mo.Q.min.loops,18mo.9mo.T.min.loops,loop_size.log.std.loops,18mo.2mo.T.min.loops,18mo.2mo.T.mean.loops,18mo.2mo.Q.std.loops,min_distance.log.min.loops,18mo.9mo.T.std.loops,18mo.2mo.Q.max.loops,18mo.9mo.Q.min.loops,9mo.2mo.Q.min.loops,9mo.2mo.Q.max.loops,9mo.2mo.Q.std.loops,loop_size.log.mean.loops,min_distance.log.max.loops,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,18mo.9mo.log_ratio.min.atac,18mo.2mo.log_ratio.std.atac,9mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.std.atac,count.atac,18mo.2mo.log_ratio.min.atac,log2_distance.mean.atac,log2_distance.std.atac,log2_distance.min.atac,9mo.2mo.log_ratio.mean.atac,18mo.9mo.log_ratio.max.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Htt,0.028207172118127347,0.0,0.0,0.0,-0.011914758812636136,0.00042470358312129974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04877869438380003,0.0,0.0,0.0,0.0,0.0,0.0019676483562216162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021866278536617754,0.018722765743732453,0.0020336348749697207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01466920668259263,0.0,0.0,0.0,0.0,0.0,0.00042470358312129974,-0.02967857714742422,0.0,0.0,0.0,0.0,-0.012912586303427816,-0.006424766052514314,0.0,-0.003588181044906378,0.0,0.0,0.0,0.0,0.006656351312994957,0.0027266599610447882,0.03850051584187895,0.0,0.00031597208231687546,0.0,0.0,0.0,-0.054046295264270156,0.0,0.0,0.0,-0.19005673373118043,-0.0025218719616532325,0.0,0.0,0.0002522626146674156,-0.006424766052514314,0.002982664480805397,0.0,0.0,1.0,2.0
Commd8,0.05994848502799868,0.0,0.0,0.0,0.09452790707349777,0.0008494071662425995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001970856338739395,0.0,0.0,0.0,0.0,0.0,0.0019676483562216162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02592210251837969,0.018722765743732453,0.015997927635908127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01466920668259263,0.0,0.0,0.0,0.0,0.0,0.0008494071662425995,-0.012306908071041107,0.0,0.0,0.0,0.0,-0.012912586303427816,0.00031597208231687546,0.0,-0.018264946714043617,0.0,0.0,0.0,0.0,0.004051692262291909,-0.012040351070463657,0.07065716112032533,0.0,-0.006424766052514314,0.0,0.0,0.0,-0.05345362277701497,0.0,0.0,0.0,0.1556689654663205,-0.0025218719616532325,0.0,0.0,0.005243206731975079,-0.006424766052514314,0.006507631540298462,0.0,0.0,1.0,1.0
Tmem107,-0.17288151233224197,0.0,0.0,0.0,0.01836193064576946,0.00042470358312129974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01182513803243637,0.0,0.0,0.0,0.0,0.0,0.00045407268684357407,0.0,0.0,0.0018958325684070587,0.0,0.0,0.0,0.0,0.003138865523505956,0.018722765743732453,0.002765743532218039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0094533539225813,0.0,0.0,0.0,0.0,0.0,0.00042470358312129974,-0.015063545168377459,0.0,0.0,0.0,0.0,0.05030844837427139,0.008425922319293021,0.0,-0.002235752341803163,0.0,0.0,0.0,0.0,-0.006945757884532213,0.0017137369513511658,-0.0790086800721474,0.0,0.009900458753108979,0.0,0.0,0.0,0.011128081041388214,0.0,0.0,0.0,0.04967557325027883,0.0360267423838377,0.0,0.0,0.000607554956804961,0.045499980077147485,0.0016269079595804216,0.0,0.0,1.0,0.0
A430108G06Rik,-0.18485112727619707,0.0,0.0,0.0,-0.004773716656491161,0.001500619351863861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001970856338739395,0.0,0.0,0.0,0.0,0.0,0.0006811090605333448,0.0,0.0,0.0018958325684070587,0.0,0.0,0.0,0.0,-0.007406320162117481,-0.011181651763617993,0.002874204064719379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018131330773467198,0.0,0.0,0.0,0.0,0.0,-0.0643850640207529,0.05848427072167397,0.0,0.0,0.0,0.0,0.05030844837427139,0.008425922319293021,0.0,0.02982969518750906,0.0,0.0,0.0,0.0,0.025323075614869593,0.01585167966783047,0.027085794690065085,0.0,0.009900458753108979,0.0,0.0,0.0,0.018952761106193067,0.0,0.0,0.0,0.06064158217981458,0.007685705032199622,0.0,0.0,0.0003253815928474069,0.045499980077147485,-0.03278219447471201,0.0,0.0,1.0,0.0
Atxn7l2,0.05805196680128574,0.0,0.0,0.0,0.07702995747327805,0.0008494071662425995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001970856338739395,0.0,0.0,0.0,0.0,0.0,0.0016397069580852985,0.0,0.0,0.00010532403364777566,0.0,0.0,0.0,0.0,0.02592210251837969,-0.011181651763617993,0.015997927635908127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05137181282043457,0.0,0.0,0.0,0.0,0.0,0.0008494071662425995,0.03345060180872679,0.0,0.0,0.0,0.0,0.014708927664905787,0.0009479163028299809,0.0,-0.018264946714043617,0.0,0.0,0.0,0.0,-0.027927734926342963,0.00731418514624238,0.07040026189759374,0.0,-0.013060179613530636,0.0,0.0,0.0,0.025567425545305014,0.0,0.0,0.0,0.14267350656911731,-0.0025218719616532325,0.0,0.0,0.005066622900776565,-0.013060179613530636,0.006507631540298462,0.0,0.0,1.0,1.0
Pfas,0.08163943970575929,0.0,0.0,0.0,-0.030862689092755316,0.004671739488840103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01182513803243637,0.0,0.0,0.0,0.0,0.0,0.0019676483562216162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037031600065529345,-0.011181651763617993,0.015997927635908127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01466920668259263,0.0,0.0,0.0,0.0,0.0,0.0031144929677248,0.05848427072167397,0.0,0.0,0.0,0.0,-0.041455396711826326,0.0012638883665204049,0.0,0.07807602234184742,0.0,0.0,0.0,0.0,0.025323075614869593,0.01585167966783047,0.07896757254842669,0.0,0.0018958325684070587,0.0,0.0,0.0,-0.06596559672616423,0.0,0.0,0.0,0.13063788302242757,-0.0025218719616532325,0.0,0.0,0.002421473152935505,0.012849531434476376,0.006507631540298462,0.0,0.0,1.0,1.0
Ogfod2,-0.24384758374653756,0.0,0.0,0.0,-0.004773716656491161,0.0008494071662425995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001970856338739395,0.0,0.0,0.0,0.0,0.0,0.0006811090605333448,0.0,0.0,0.0018958325684070587,0.0,0.0,0.0,0.0,-0.007406320162117481,-0.011181651763617993,0.005287450794130563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018131330773467198,0.0,0.0,0.0,0.0,0.0,0.0008494071662425995,0.0205108411423862,0.0,0.0,0.0,0.0,0.05030844837427139,0.008425922319293021,0.0,-0.018264946714043617,0.0,0.0,0.0,0.0,-0.009695120491087436,-0.02213630160316825,0.023410873622633516,0.0,0.009900458753108979,0.0,0.0,0.0,0.018952761106193067,0.0,0.0,0.0,0.06856489307247102,0.007685705032199622,0.0,0.0,0.0006778783164918423,0.045499980077147485,0.00271151315420866,0.0,0.0,1.0,0.0
Eif2d,0.047779337875545023,0.0,0.0,0.0,0.09452790707349777,0.0008494071662425995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01182513803243637,0.0,0.0,0.0,0.0,0.0,0.0007567878440022469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02592210251837969,-0.023923534005880355,0.0020336348749697207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020080419532023372,0.0,0.0,0.0,0.0,0.0,0.0008494071662425995,-0.021668291483074427,0.0,0.0,0.0,0.0,-0.041455396711826326,0.0012638883665204049,0.0,-0.018264946714043617,0.0,0.0,0.0,0.0,0.004051692262291909,-0.012040351070463657,0.0656746235024184,0.0,0.0018958325684070587,0.0,0.0,0.0,-0.05632470945827663,0.0,0.0,0.0,0.03490485329180956,-0.0025218719616532325,0.0,0.0,0.0028217335790395735,0.012849531434476376,0.002982664480805397,0.0,0.0,1.0,1.0
Map2,0.02748651698231697,0.0,0.0,0.0,0.029797313353046775,0.00042470358312129974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014288708455860616,0.0,0.0,0.0,0.0,0.0,0.0019676483562216162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00775900200009346,0.018722765743732453,-0.023725740183144807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01466920668259263,0.0,0.0,0.0,0.0,0.0,0.00042470358312129974,-0.015063545168377459,0.0,0.0,0.0,0.0,-0.012912586303427816,-0.006424766052514314,0.0,-0.003588181044906378,0.0,0.0,0.0,0.0,-0.006945757884532213,0.0017137369513511658,0.04081543879583478,0.0,0.00031597208231687546,0.0,0.0,0.0,-0.0504620382480789,0.0,0.0,0.0,-0.2515038537979126,-0.0025218719616532325,0.0,0.0,0.000604979321360588,-0.006424766052514314,0.0018980592861771583,0.0,0.0,1.0,2.0
Suclg1,0.07557868905365467,0.0,0.0,0.0,0.07702995747327805,0.004671739488840103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001970856338739395,0.0,0.0,0.0,0.0,0.0,0.0017658382654190063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02592210251837969,0.018722765743732453,0.0020336348749697207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01271210314705968,0.0,0.0,0.0,0.0,0.0,0.0031144929677248,-0.015063545168377459,0.0,0.0,0.0,0.0,-0.016493602907285094,0.0005266201682388782,0.0,0.07807602234184742,0.0,0.0,0.0,0.0,-0.006945757884532213,0.0017137369513511658,-0.07366464449092745,0.0,0.0005266201682388782,0.0,0.0,0.0,0.034724120739847424,0.0,0.0,0.0,0.0576372904330492,-0.009366953000426292,0.0,0.0,0.003326258808374405,-0.010005782637745143,0.002982664480805397,0.0,0.0,1.0,1.0
