gene_name,gene_length.meta,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.9mo.activity.log_ratio.median.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.Q.std.loops,9mo.2mo.Q.median.loops,loop_size.log.max.loops,9mo.2mo.Q.mean.loops,9mo.2mo.Q.std.loops,loop_size.log.mean.loops,18mo.2mo.Q.std.loops,18mo.2mo.T.median.loops,18mo.9mo.T.std.loops,min_distance.log.max.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,log2_distance.std.atac,log2_distance.min.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.min.atac,log2_distance.mean.atac,18mo.9mo.log_ratio.mean.atac,18mo.9mo.log_ratio.min.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Fdxacb1,-0.23013860308565198,-0.008362015709280968,0.049845176804810765,0.0,0.003796619717031717,0.0,0.006781634108629078,0.0,0.0003898576647043228,-0.007690708418376744,0.0,-0.04582583289593458,0.0,0.0,0.0,0.04482382694259286,0.001791520044207573,0.03923972337506711,-0.0015250852704048158,0.003352925181388855,0.0,-0.024857670697383583,0.013234033025801182,0.0,0.0,0.0,0.025744896926917137,0.02980773478746414,0.0,0.036910170279443266,-0.0012496487982571124,0.0020552407577633857,0.0095842451043427,1.0,1.0
Hdac2,0.15756945999339222,-0.008004447390558198,0.03979466957971454,0.0,0.004244237372186035,0.0,0.031030331552028657,0.0,0.0015163755416870118,-0.0035763143468648196,0.0,0.03957850519567728,0.0,0.0,0.0,0.023936759224161507,0.001791520044207573,-0.01148290497250855,-0.0015250852704048158,0.008717458993196488,0.0,-0.026023905370384456,-0.03578090410679579,0.0,0.0,0.0,0.04690570399165153,0.03815578337758779,0.0,0.059586911275982854,-0.14094648465514184,0.02853590383892879,-0.0468258835375309,1.0,0.0
Bbs7,-0.008629090854665265,0.02449220151233021,0.02481309201568365,0.0,0.006366361444815993,0.0,-0.0156463129282929,0.0,0.0014139648899435997,-0.0031412366032600404,0.0,0.008430067673325539,0.0,0.0,0.0,0.02905668806284666,-0.004747528117150068,-0.04374511010944843,-0.0032408060505986214,-0.05292755678296089,0.0,-0.03920566394226625,-0.03578090410679579,0.0,0.0,0.0,-0.04268165906891227,0.028721534200012683,0.0,0.04095601659268141,-0.011174915134906769,-0.06288946679793299,0.01015473592095077,1.0,0.0
Kcnc1,-0.009844280252000317,-0.03135648813098669,-0.020416466556489467,0.0,-0.015412310045212508,0.0,-0.08825550986686721,0.0,0.022018958888947962,-0.01896465362980962,0.0,-0.03481442746706307,0.0,0.0,0.0,0.0061520214099437,-0.011824031844735145,-0.05157538684085011,0.00400334857404232,0.030711603686213493,0.0,-0.004632611814886331,0.013234033025801182,0.0,0.0,0.0,-0.002631043344736099,0.03443959787487984,0.0,0.016996273975819348,-0.013656836915761233,-0.019752064514905215,0.006047202656045556,1.0,2.0
Zc3h6,-0.028528991639614105,0.0372913983464241,0.015543797416612506,0.0,0.002872897759079933,0.0,0.014646971728652716,0.0,0.0030525363236665725,0.029411127138882876,0.0,-0.017763191694393755,0.0,0.0,0.0,0.004950123038142919,0.001791520044207573,-0.021879954431205988,-0.0032408060505986214,-0.05955916006118059,0.0,0.014377815253101289,0.013234033025801182,0.0,0.0,0.0,0.03647997036576271,0.029025207310914992,0.0,0.03153887792956084,0.0063913771323859695,-0.019363015675917267,0.006047202656045556,1.0,2.0
Ell,0.004145579130854457,0.0569948698207736,0.011833376795984805,0.0,-0.02206867204979062,0.0,-0.011310482090339065,0.0,-0.01226775836199522,0.02685867849737406,0.0,0.02253725570626557,0.0,0.0,0.0,0.059640161637216804,-0.011824031844735145,0.04585928681306541,-0.0032408060505986214,0.005537310857325792,0.0,-0.006300974539481103,0.013234033025801182,0.0,0.0,0.0,-0.054741625189781186,0.04106029799208045,0.0,0.036872192295268176,-0.026750982897356154,0.047543616844341156,0.023276023529469968,1.0,2.0
Manea,0.1361172828928102,0.017244350477703847,0.019408634188584982,0.0,0.0050209193024784325,0.0,0.006742250130046159,0.0,0.0007482952252030373,-0.012791648088023067,0.0,0.02696448645554483,0.0,0.0,0.0,0.01646093003451824,0.003941343910992145,0.07278074668720365,-0.0032408060505986214,0.004493786059319973,0.0,0.003414973742328584,-0.03578090410679579,0.0,0.0,0.0,0.12095792666077614,-0.0005916584096848965,0.0,0.06219997648149729,0.002878702776506543,0.015056399297900497,-0.0468258835375309,1.0,1.0
Tprgl,-0.3525679652299732,0.061028904932900335,0.011177559806965292,0.0,-0.07822891637682915,0.0,0.009680051961913705,0.0,8.262552320957183e-05,-0.003978056092746556,0.0,0.015823957095853984,0.0,0.0,0.0,-0.0032744514755904675,-0.03708446279168129,0.05914850765839219,-0.028214076310396196,-0.0026656030863523483,0.0,0.0016610331693664192,0.013234033025801182,0.0,0.0,0.0,0.034652438615448776,0.02595973838120699,0.0,0.030892334170639513,0.007619126569479704,0.018307198979891838,0.005134417349472642,1.0,0.0
Tapt1,-0.034604082070291045,-0.031136754816398025,-0.010638298448175192,0.0,0.042602835595607756,0.0,0.00640290911309421,0.0,0.021993946023285388,0.009554708879441022,0.0,0.010459867811296136,0.0,0.0,0.0,-0.04247530079679564,-0.008330567758530378,0.08167092461138964,-0.004765891321003437,-0.00348405453376472,0.0,0.03775127982720733,0.013234033025801182,0.0,0.0,0.0,-0.07211708081886173,0.011205317825078965,0.0,0.04632716272026301,-0.0068815089017152786,0.048753898832947014,-0.012299781665205956,1.0,0.0
Aaas,0.17250574535457416,-0.03862728337291628,-0.006088368650525808,0.0,0.0050209193024784325,0.0,0.0064108517626300454,0.0,0.00018503624014556407,0.004109727670438588,0.0,-0.035217078840360044,0.0,0.0,0.0,0.01796752498485148,0.003941343910992145,0.06165021440829151,-0.0015250852704048158,0.000668942891061306,0.0,0.011869295564247295,0.013234033025801182,0.0,0.0,0.0,0.13633809059858323,0.034355331286787985,0.0,0.027536152070388197,-0.0543251121416688,-0.022886436595581473,0.006047202656045556,1.0,1.0
Sntg2,-0.010011695807334036,-0.009460071157664061,-0.03107638571411371,0.0,-0.006898666592314839,0.0,0.008355372231453656,0.0,0.061461058780550956,-0.02244526533409953,0.0,0.024608058580197392,0.0,0.0,0.0,0.039998257560655476,0.004478799924254417,0.01512840310111642,-0.0015250852704048158,0.008046373277902603,0.0,-0.021222118586301804,-0.03578090410679579,0.0,0.0,0.0,-0.10674692692235112,-0.18992188792675735,0.0,0.01958142704796046,-0.006044643698260188,-0.06103519134223461,0.01015473592095077,1.0,2.0
Trnau1ap,0.1710291507281363,-0.022034167908132077,0.01632634469307959,0.0,0.0072900831419974565,0.0,0.031030331552028657,0.0,0.0015163755416870118,0.001395988194271922,0.0,-0.011723658768460155,0.0,0.0,0.0,-0.04048669378273189,-0.004747528117150068,0.09072975468821824,-0.004765891321003437,0.008046373277902603,0.0,-0.09293612257577478,0.013234033025801182,0.0,0.0,0.0,0.09727979771792888,0.03458044353872538,0.0,0.04018099050968885,0.024352549631148575,-0.0055838610045611855,0.005248515512794256,1.0,1.0
Jpx,-0.07549284033477306,-0.022206156338797883,0.03605889990925789,0.0,0.0077377010602504015,0.0,0.009884873386472464,0.0,0.0003898576647043228,-0.0035763143468648196,0.0,0.036657191263511774,0.0,0.0,0.0,0.03207755104638636,-0.004747528117150068,-0.052566623548045754,-0.0015250852704048158,-0.008270794888958335,0.0,-0.09519659002311527,0.013234033025801182,0.0,0.0,0.0,0.05629511397331953,0.02865501455962658,0.0,0.04584928590804339,0.01018737606704235,0.02853590383892879,-0.0468258835375309,1.0,2.0
Zfp710,-0.009955110738519578,0.04986995745333843,-0.010263399356044828,0.0,-0.010837103305384517,0.0,-0.009518294660374522,0.0,0.0012504561990499498,0.006074097137898206,0.0,0.02432702135760337,0.0,0.0,0.0,-0.0014099324960261583,0.019527567476034166,0.0300072221737355,0.015250852182507515,0.005318196602165699,0.0,0.01151489794254303,0.013234033025801182,0.0,0.0,0.0,-0.08860264681279659,0.04144156930968165,0.0,0.043753387853503224,0.004417884619906545,-0.06264725499320775,0.01015473592095077,1.0,2.0
Gm14634,-0.07549284033477306,-0.007798841950716451,0.01632634469307959,0.0,0.004244237372186035,0.0,0.01295719487592578,0.0,0.0015163755416870118,-0.0035763143468648196,0.0,0.038267796831205486,0.0,0.0,0.0,0.03207755104638636,0.001791520044207573,0.019921352388337255,-0.0015250852704048158,0.008717458993196488,0.0,-0.09596735069528223,0.013234033025801182,0.0,0.0,0.0,0.014184176921844482,0.03217072926461697,0.0,0.04629716571420431,0.01018737606704235,0.02853590383892879,-0.0468258835375309,1.0,2.0
