gene_name,gene_length.meta,9mo.2mo.contact.log_ratio.median.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.count.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.9mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_DMR,18mo.9mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,count.enhancer_DMR,18mo.9mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,count.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,rel_pos.DAR,9mo.2mo.log_ratio.DMR,size.log2.DMR,18mo.2mo.log_ratio.DMR,rel_pos.DMR,distance.log2.DMR,18mo.9mo.Q.std.loops,9mo.2mo.Q.median.loops,loop_size.log.max.loops,Tanova.std.loops,18mo.2mo.Q.mean.loops,18mo.9mo.Q.max.loops,18mo.2mo.Q.median.loops,18mo.9mo.Q.mean.loops,18mo.9mo.T.median.loops,Qanova.min.loops,18mo.2mo.T.median.loops,9mo.2mo.T.min.loops,loop_size.log.min.loops,Tanova.median.loops,Tanova.min.loops,Tanova.max.loops,Qanova.mean.loops,9mo.2mo.Q.mean.loops,loop_size.log.median.loops,18mo.9mo.Q.median.loops,min_distance.log.std.loops,min_distance.log.mean.loops,9mo.2mo.T.median.loops,18mo.2mo.Q.min.loops,18mo.9mo.T.min.loops,Qanova.median.loops,loop_size.log.std.loops,18mo.2mo.T.min.loops,min_distance.log.median.loops,18mo.2mo.T.mean.loops,18mo.2mo.Q.std.loops,min_distance.log.min.loops,18mo.9mo.T.std.loops,18mo.2mo.Q.max.loops,18mo.9mo.Q.min.loops,9mo.2mo.Q.min.loops,9mo.2mo.Q.max.loops,9mo.2mo.T.mean.loops,9mo.2mo.Q.std.loops,18mo.2mo.T.std.loops,loop_size.log.mean.loops,min_distance.log.max.loops,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,18mo.2mo.log_ratio.std.atac,9mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.std.atac,18mo.9mo.log_ratio.std.atac,count.atac,18mo.2mo.log_ratio.min.atac,log2_distance.mean.atac,log2_distance.std.atac,log2_distance.min.atac,9mo.2mo.log_ratio.mean.atac,18mo.9mo.log_ratio.max.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.max.atac
Slc35f1,421089.0,-0.1069152039157192,1.0,1.0,1.0,0.6918777046334399,-0.1069152039157192,-0.0102717193068528,0.1163350838889368,0.0,-0.0102717193068528,3,0.6918777046334399,0.5849625007177206,0.1266068031957897,-0.6447420257655754,0.087381883199062,0.9999999999639329,1.0,-0.2075187496334107,0.087381883199062,0.087381883199062,0.0,0.4150374992668215,0.0,0.9999999999639329,-0.6365538259590551,0.9999999999639329,0.4150374992668215,0.0,0.0,0.5849625006971113,-0.6365538259590551,6,0.4150374992668215,-0.5655483423730336,0.4150374992668215,0.0,-0.7239357091581171,0.0,0.087381883199062,-0.6365538259590551,-0.5425906658886167,-0.7071788862484564,0.0267630229591136,-0.3058647049866643,6.371996430531854,0.3498933835525862,0.4621385168752896,17.356179484262274,0.0005699273854683,-0.000386463,17.572455987288293,1.3987036152643006,-0.0001497657047619,0.001509069,-0.0002710234999999,3.696097619047622e-05,0.09081712,0.019689027,0.0502993,-0.1578342959999999,15.091394061973723,1.6826807,0.05038568,6.332369,0.8075535481428572,-0.0001867266809523,16.930541004598595,-2.525310000000029e-05,0.8849485519054141,16.098939132242386,-0.04401842,-0.0013937514,-0.1732990417,0.5733772,0.6579726727320127,-0.1592504149999999,16.630651072020555,0.0374886060142857,0.0008622652707451,13.485200381955432,0.0922331152512354,0.0013441020999999,-0.0009867647,-0.0014909987,0.0016270042999999,-0.0221658178095238,0.0008214105827828,0.1277897823823368,16.846971039070358,16.76625713540743,0.0030376316287748,-0.0004847595572793,-0.0035223911860541,-0.0425733362500266,-0.0127095450969221,-0.0298637911531045,-0.430074081850533,0.7260334671887771,17.469991511399638,0.3945779265544588,-0.936322626567741,0.4804462263672232,0.3939790790444937,33,-1.258859639704728,15.41127443014462,1.8720902408843705,10.719388820942168,-0.3496240968918153,0.969876435115983,-0.0804499849587176,1.1018125016923943
Abhd11,3023.0,-0.9999999999896954,3.0,3.0,3.0,0.1926450779398196,0.2895066171935276,0.0008467345627566,-0.1688227559126593,0.0,-0.0957427703448127,11,0.1899049090054267,-0.3802595519231942,0.0300409356249077,0.2188263321786192,0.4492873379920701,0.4541900264540316,6.0,0.0790130657664553,-0.1481873628559737,-0.1055937352675544,2.0,-0.337034987275989,0.3788540181928604,0.7776075786549645,-0.0110271726719746,0.1699250014403088,0.1255308820827658,0.2128405058558659,0.2765004568917988,0.6520766965721987,0.1190710273469579,18,0.5849625007131416,0.2539401802776515,0.0961652982655861,2.0,-0.1597914070063923,0.3057273604887537,0.0537796201619587,-0.2566501486902819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012273017853509,5.240150000000157e-06,18.98815209769054,1.4965078482341494,0.0011122751404761,0.004294558,0.0009289922,0.0012532420095238,0.106295416,0.039746772,0.0864866565,-0.200959565,15.570834078590302,1.6067297,0.021655655,6.561554,1.5895264567142855,-0.0001409668690476,17.268632044695238,0.0010198973999999,0.2070808786316376,13.897371066172347,-0.008796577,-0.000584813,-0.09863575,1.1698382500000002,0.9863763050289324,-0.0280039599999999,14.066089190457772,0.0788653672523809,0.0009849766190246,13.649256177517314,0.0858796694411577,0.0041371107,-0.0012281533999999,-0.001957632,0.0017650499999999,-0.0097083111047619,0.0009356572868925,0.0611156196670269,17.449765338122003,14.066089190457772,-0.0456432579033072,0.1044267614091064,0.1500700193124137,-0.0228025024720054,0.0208826296779652,-0.0436851321499707,-0.1395919904485315,-0.1019242510128162,11.44449728710386,0.0572085905849097,-0.1803664539525078,0.1965570465753639,0.1463598981366053,3,-0.2054224439897281,11.089151570453852,0.3781355428681547,10.691743519171364,0.033445703028302,-0.0250559900372202,-0.1730376934768336,0.206290720726431
Plxnb2,25239.0,0.4474589769677237,4.0,4.0,6.0,1.1604646721885563,0.7884958948007657,-0.0208834340375767,-0.1991305077548727,0.0,-0.1958241608710752,9,0.3831083623940868,0.7823832031565539,-0.0089701571664148,0.0,-0.324197551014088,0.4999999999919846,1.0,0.0,-0.324197551014088,-0.324197551014088,0.0,-0.5849625007151449,0.0,0.5849625007091332,0.0115684715738768,0.415037499274836,-0.5849625007151449,0.0486863807123526,0.0,0.0,0.0459949415270113,14,-0.5849625007151449,0.0,-0.5849625007151449,0.0,0.0,0.1201551208073253,-0.324197551014088,-0.0228579983792576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013640227217633,0.0006271022499999,16.66289085913906,1.1656785141214103,0.001549664225,0.0025790114999999,0.00185097525,0.0006797715374999,-0.010110173,0.4574421,-0.0196833099999999,-0.19473632,15.403111911298703,0.2965872,0.15981264,3.6138997,1.13394666625,0.0008698926875,15.958467795779708,0.0007932954,0.1453535016205657,13.772686654230563,-0.0342195669999999,-0.0021814137,-0.0554096299999999,1.18808615,0.3767020629973424,-0.15881424,13.702689427373128,-0.0293188762499999,0.001608325820893,13.679480099505446,0.0434153674042969,0.0030979519999999,-0.001125647,-0.002303093,0.002920978,-0.02625896675,0.0016880277468944,0.0743571901000453,15.950625778794018,14.00588766267056,-0.0276551714489621,0.0096205867715691,0.0372757582205312,-0.1716979053275474,-0.1975290051936868,0.0258310998661394,0.1776033709562146,0.5903154576926611,12.087131301540564,0.237110050418958,0.0653736640263063,0.1781456060823056,0.3593988212930682,5,-0.0061426818074172,11.3039515915204,1.1309048092345069,9.407267764244944,0.279179053077487,0.5249417936663547,-0.1015756821212724,0.4917391690863317
Yrdc,4563.0,0.5405683813586042,3.0,3.0,3.0,0.3923174227766131,0.5405683813586042,0.0883038268125678,-0.0528353317052308,2.0,-0.2192487754636971,17,0.3923174227766131,0.9328858041352172,-0.0152274429930605,0.1786927377356981,0.1735473171942869,1.5849625007051262,4.0,0.1111962106665065,-0.2986725423352507,0.1077385278946572,2.0,0.3625700793801285,0.4746569221102749,1.5849625007051262,0.5516870865386623,1.5849625007051262,0.4737662900482378,0.0,0.2221487292760982,0.222392421333013,0.5516870865386623,15,1.3625700793721132,0.505397307395222,0.6681681847121793,2.0,-0.1480118319238257,0.0,0.0225879576620876,0.5516870865386623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018906010614676,-0.0003708968999999,17.756536777209597,1.924490496451619,0.0008586116095238,0.0051171985,0.000396287,0.0009905352285714,0.0558339,0.0592491,0.073169846,-0.147593078,15.906820149794845,1.217415,0.025330253,6.9140954,1.940801313809524,-0.0001319236190476,16.480490449810908,0.000577826,0.3489599947097411,13.707519052586177,0.0364781914,-0.002602579,-0.1056639929999999,1.5070269,0.6669110433492893,-0.06095756,13.466713778648694,0.0827068610952381,0.0024868035007598,13.466713778648694,0.0780358847934978,0.005430858,-0.0017081043999999,-0.0032640269999999,0.0030907139999999,0.0352248460666666,0.001776975447378,0.1060511084523693,16.738396095171282,14.189129600461142,-0.0071446555230529,0.1214723734858554,0.1286170290089084,0.0732991786466911,-0.0681736724784836,0.1414728511251747,-0.0442942352671461,0.0625130381156315,11.159240650411736,0.1142519226586343,-0.0458287539731521,0.1583410268641589,0.1857478498545513,4,-0.2056842647263344,10.409388895905067,0.6820899563380197,9.72451385312012,0.1234004371315365,0.1083417920887837,-0.1676946723986827,0.2628844971441073
Mblac2,41934.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1809912103775627,0.0,0.0,3,0.0,-0.1375035237486233,0.0,-0.6129343139599301,0.083176124801656,0.6037593747896549,3.0,0.6666666666426219,-0.018828027767328,0.0332255170605595,1.0,-0.5849625006971113,0.3377282572433138,0.9999999999639329,-0.5893369939881667,-0.5849625006971113,0.0,0.0489286810455803,0.0510056890359143,0.9999999999639329,-0.5492366672710194,12,0.0,-0.5304086395036913,-0.1949875002323704,0.0,-0.6513076180245401,0.7924812503245109,0.0325245380316291,-0.660271018559393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012413208627396,-2.4790299999999897e-05,21.309774974804697,1.1604166977147528,0.0004182063757575,0.0029247048,0.0004664832,0.0002556920030303,0.05852828,0.0363291,0.0667127499999999,-0.115082806,14.559257578035137,0.66502523,0.043868836,4.836836,0.8483896799090909,0.0001625143727272,18.06456384802145,0.0002867636,0.3625577386782442,14.192393221957316,-0.00235727,-0.0018157941,-0.2314538179999999,0.6848679,1.624797648376567,-0.02569795,13.898884759593454,0.0716012786666666,0.0009697114835852,13.898884759593454,0.0918739993169719,0.0019864749999999,-0.0015625148,-0.0014983030999999,0.0019281969999999,0.0160817111515151,0.0008203931692445,0.049321545057488,17.594754363781032,14.900442312501822,-0.0368737429076603,0.012013041895574,0.0488867848032344,0.0744717685595572,0.0317255037978841,0.042746264761673,-0.3779297233193506,-0.3643251005297765,11.193525360501276,0.0192398420599857,-0.3842032513670537,0.0703090596885236,0.0510692176285379,2,-0.3915343461089247,10.810419102318171,0.5417940661525548,10.427312844135068,-0.3344872384824489,-0.0073310947418709,-0.0434424848369017,-0.284771225597844
Ramp1,45374.0,0.0,2.0,0.0,0.0,0.3479233034189022,0.0,-0.0845107722237546,0.0,0.0,-0.3560731390175472,2,0.3479233034189022,0.0,0.0,-0.2003523378043397,0.0,0.0,0.0,-0.4854268271619979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4854268271619979,0.0,4,0.0,-0.2003523378043397,0.0,0.0,-0.2003523378043397,0.0,0.0,0.0,0.0,0.0,0.0,-1.2064508771529927,4.247927513451178,-0.2630344057857039,0.0602341313241787,11.538188932052469,0.0015010047021596,-0.0001430687999999,19.15966442320415,0.8975310239535603,0.0009029205830188,0.0045958984999999,0.0004401722,0.0009148434,0.03970954,0.003001194,0.020078484,-0.1428060399999999,13.870942606649368,0.97704315,0.007034832,3.3676064,1.653785467471698,-1.192281698113202e-05,17.20061129380598,0.000442241,0.3669554382857788,14.04010745139816,-0.0205221,-0.0015117418999999,-0.193010254,1.0194545,1.6180167404196513,-0.1170495799999999,14.069785394983302,0.0259575414150943,0.001704285502516,13.571989597604578,0.0834788773209748,0.0048852744999999,-0.0014048413999999,-0.001706928,0.0025645664999999,-0.0069622310188679,0.0010573127683773,0.065623669250448,17.046569548919507,14.973787038744756,0.0075985392011665,-0.0140494766540913,-0.0216480158552579,-0.1451165553025341,-0.1692747947587314,0.0241582394561973,0.229871283492407,0.7072117195667769,14.41712729401151,0.2461005079581351,-0.322580597209456,0.3464097563965172,0.2585293245731276,17,-0.1737717088130717,13.252387372151851,1.254159711155526,10.199672344836488,0.2893354231305077,0.2883064801197457,-0.0594641396381006,0.8716473860313583
Kbtbd8,12550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0590828140889746,-0.0099049257070147,0.0491778883819598,0.2739331086132608,0.2676404975986728,0.006292611014588,-0.2167763271606043,-0.1364252886566928,12.807153639177509,0.1111974449853251,-0.4720629972228192,0.3837396348372726,0.3077602510812733,3,-0.3436850853107565,11.811363572756155,0.8755128302356389,11.162391328756968,-0.0952655815664744,0.1283779119120627,-0.1215107455941298,0.2950585778795367
Zfp609,135173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,-0.0566168603436638,0.0,0.0,0.0,0.5849625007151449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5849625007151449,0.0,4,0.0,-0.0566168603436638,0.0,1.0,-0.0566168603436638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016900200909514,-0.000879197,17.931828231062678,0.3520332029650143,0.0011336792916666,0.003777466,0.001241761,0.0019810808083333,0.005505873,0.3717605,-0.00757378,-0.10186136,16.07885963610963,0.7086804,0.22423753,1.3649484,1.1515394958333334,-0.0008474015166666,16.50993244816644,0.0023162938499999,0.4143586569753892,13.572092246937704,-0.025527074,-0.0009245884,-0.12808158,1.22880297,0.728220681720798,-0.091044967,13.343046881300548,-0.00588857525,0.0010955080103724,13.343046881300548,0.0615494606985171,0.0025751769999999,-0.0003095197,-0.0025357049999999,0.0011332573,-0.0045887619166666,0.001189155304433,0.0776991348592942,16.797023536652862,14.25922834384918,-0.0084464472453595,0.0364928937050708,0.0449393409504303,0.127801987738801,0.1662461043085028,-0.0384441165697018,0.1084051121271262,0.5850211580274198,16.069533681636965,0.2205436462372234,-0.3002113853502117,0.2583406733795435,0.189663510079348,30,-0.3286479701322858,14.613378949843934,1.546459427619404,11.037546953962249,0.0689467221630533,0.4172205943988084,0.0394583899640728,0.5701658160452611
Tmcc3,279007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2322047120625848,1.163259121948539,0.4263852130866021,-0.9924871573246716,5.726892527750804,-0.8598457346180978,0.1170342076344401,15.015296706991816,0.0005999411790232,0.0001164443999999,18.064279640544807,1.1421963756248583,0.0004993615461538,0.0014104060999999,0.000597027,0.0004269553615384,-0.03597777,0.076412626,-0.07850762,-0.14636211,13.66700062952138,1.745335,0.42422587,4.238903,0.6893501635384616,7.240618461538466e-05,14.489785255015368,0.0003998069999999,0.1358942388392789,16.64894795762958,0.0018323499999999,-0.0004019069999999,-0.2187193399999999,0.41157663,1.484562908877669,-0.14079475,16.6516683832609,-0.0499215859230769,0.0005852327318082,16.456819622081678,0.0786520024948762,0.0015268504999999,-0.0007242667999999,-0.0009909682,0.0018032768999999,0.0160000071538461,0.0007907656980711,0.0948821267381079,14.927988853453856,16.872061604547902,0.0040102302164262,-0.019423364336164,-0.0234335945525903,-0.0680039226477008,-0.1341513305112385,0.0661474078635376,0.1059207530899811,1.163259121948539,17.035368312481843,0.3034243966079776,-0.4765922824324282,0.331256915060382,0.2535560369486101,73,-0.6056047521477441,15.563964129249854,1.4736380127019224,10.42521590329949,0.2618935778669251,0.2815907894237885,-0.1559728247769439,1.2322047120625848
Lrrc49,119299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,-0.0082264577100952,0.1570973206735337,0.3410369178330419,3.0,0.3410369178330419,-0.1255089893269074,-0.1042795259227884,0.0,0.0,0.0,0.3410369178330419,-0.1384269966817747,0.3410369178330419,0.0,0.1522823356043007,0.1573927531713418,0.3410369178330419,0.0114553525680647,3,0.0,0.1157348784908531,0.0,0.0,-0.4500982162499198,0.0,-0.024230398192054,-0.2930008955763861,0.0,0.0,0.0,-0.5052353081816718,6.918863237275787,-0.0671141958507302,0.3997112709754337,15.588831732700214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024538405222167,-0.001353868771889,-0.0038077092941057,-0.0016286686127376,-0.0408798052497763,0.0392511366370386,0.0657080362339327,0.444939090178938,15.866940809835237,0.2412617037527307,-0.5735546602471997,0.2221634135557476,0.3032729522528054,25,-0.5569978467230998,14.30651449898992,1.2091918232448302,11.10983065427886,0.0520742175639424,0.4782558628332891,0.0136338186699903,0.4103615673106842
