gene_name,gene_length.meta,9mo.2mo.contact.log_ratio.median.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.count.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.9mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_DMR,18mo.9mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,count.enhancer_DMR,18mo.9mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,count.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,rel_pos.DAR,9mo.2mo.log_ratio.DMR,size.log2.DMR,18mo.2mo.log_ratio.DMR,rel_pos.DMR,distance.log2.DMR,18mo.9mo.Q.std.loops,9mo.2mo.Q.median.loops,loop_size.log.max.loops,Tanova.std.loops,18mo.2mo.Q.mean.loops,18mo.9mo.Q.max.loops,18mo.2mo.Q.median.loops,18mo.9mo.Q.mean.loops,18mo.9mo.T.median.loops,Qanova.min.loops,18mo.2mo.T.median.loops,9mo.2mo.T.min.loops,loop_size.log.min.loops,Tanova.median.loops,Tanova.min.loops,Tanova.max.loops,Qanova.mean.loops,9mo.2mo.Q.mean.loops,loop_size.log.median.loops,18mo.9mo.Q.median.loops,min_distance.log.std.loops,min_distance.log.mean.loops,9mo.2mo.T.median.loops,18mo.2mo.Q.min.loops,18mo.9mo.T.min.loops,Qanova.median.loops,loop_size.log.std.loops,18mo.2mo.T.min.loops,min_distance.log.median.loops,18mo.2mo.T.mean.loops,18mo.2mo.Q.std.loops,min_distance.log.min.loops,18mo.9mo.T.std.loops,18mo.2mo.Q.max.loops,18mo.9mo.Q.min.loops,9mo.2mo.Q.min.loops,9mo.2mo.Q.max.loops,9mo.2mo.T.mean.loops,9mo.2mo.Q.std.loops,18mo.2mo.T.std.loops,loop_size.log.mean.loops,min_distance.log.max.loops,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,18mo.2mo.log_ratio.std.atac,9mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.std.atac,18mo.9mo.log_ratio.std.atac,count.atac,18mo.2mo.log_ratio.min.atac,log2_distance.mean.atac,log2_distance.std.atac,log2_distance.min.atac,9mo.2mo.log_ratio.mean.atac,18mo.9mo.log_ratio.max.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Lrrc49,-0.014727898687124253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009755398631095886,0.0,0.0,0.0,-0.00900492750108242,0.0,0.0,0.0,0.0,0.0,0.0,0.01371837556362152,0.0,0.0,0.0863027224317193,0.0,0.0004102011770009994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09321281488984823,-0.011154318004846573,0.0,0.0,-0.0012147491239011287,0.0,0.0,0.0,-0.007970745339989663,0.33529903169721365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025579632762819528,0.0,0.0,0.0,-0.007470859345048666,0.0,0.0,0.0,0.0,0.0,0.006372672785073519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004659480974078178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0084188861399889,-0.09067800562828779,-0.020314591620117426,-0.02648198578506708,-0.23303767815232276,0.0,0.011509028822183609,0.0,0.0,0.0,0.19585949517786502,0.0,0.007910987734794617,0.016158483102917672,0.30753811452537777,0.0,0.0,-0.011139994077384472,-0.002013721177354455,0.010614654328674079,-0.011137673482298851,0.0,1.0,1.0
Arrb1,-0.014727898687124253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009755398631095886,0.0,0.0,0.0,-0.00900492750108242,0.0,0.0,0.0,0.0,0.0,0.0,-0.0342959389090538,0.0,0.0,-0.11260244764387607,0.0,0.021872843354940413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1750697321817279,-0.004075616188347339,0.0,0.0,-0.006984807439148426,0.0,0.0,0.0,0.08059309177100658,-0.010303781107068062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035447431169450283,0.0,0.0,0.0,-0.004409031942486763,0.0,0.0,0.0,0.0,0.0,-0.014904823508113623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015971207469701768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009714099392294884,-0.031246377239003777,-0.04055469196289778,-0.07842013689689338,-0.08444860007613897,0.0,-0.014819886572659015,0.0,0.0,0.0,-0.010157946348190307,0.0,0.003487484850920737,0.012018685787916183,-0.08898966025561095,0.0,0.0,-0.010405443906784058,-0.108207901827991,0.002208988107740879,-0.012656109891831874,0.0,1.0,2.0
Ube2ql1,-0.0055787495151162145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015835266560316086,0.0,0.0,0.0,-0.004265491962432861,0.0,0.0,0.0,0.0,0.0,0.0,0.03821547478437424,0.0,0.0,-0.13311856558546423,0.0,0.014088741615414619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1387560109049082,-0.011154318004846573,0.0,0.0,-0.006984807439148426,0.0,0.0,0.0,-0.007970745339989663,-0.007898893393576144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012167091239243746,0.0,0.0,0.0,-0.007470859345048666,0.0,0.0,0.0,0.0,0.0,0.01645243588835001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04756438482552767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003561836443841457,-0.10742024123668671,-0.03407204609364271,0.38444185713306067,0.19830556822940706,0.0,0.02910938698798418,0.0,0.0,0.0,0.1462603760883212,0.0,0.007910987734794617,0.06835264842957259,-0.06151249844580889,0.0,0.0,-0.005569363124668598,-0.001644618473947048,0.05708923142403364,-0.006494843699038029,0.0,1.0,1.0
F8,0.09528504155576228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009755398631095886,0.0,0.0,0.0,0.1154052548110485,0.0,0.0,0.0,0.0,0.0,0.0,0.03821547478437424,0.0,0.0,0.023959427550435067,0.0,-0.021375253871083258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17645621180534363,0.07657868325710297,0.0,0.0,-0.006984807439148426,0.0,0.0,0.0,-0.007970745339989663,-0.010303781107068062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006897878497838974,0.0,0.0,0.0,-0.004409031942486763,0.0,0.0,0.0,0.0,0.0,0.0038447003066539765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01545211412012577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0084188861399889,-0.04371499506756663,-0.02385892529040575,-0.04468329578638077,-0.008224494978785515,0.0,0.007672685943543911,0.0,0.0,0.0,-0.3265859234146774,0.0,-0.016728989742696286,-0.01835899639874697,-0.07893300926312805,0.0,0.0,-0.006165594644844532,-0.032647539013996724,-0.009754186794161797,-0.006731815487146377,0.0,1.0,1.0
Mrpl48,-0.014727898687124253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015835266560316086,0.0,0.0,0.0,-0.00900492750108242,0.0,0.0,0.0,0.0,0.0,0.0,-0.0342959389090538,0.0,0.0,0.05935791496187449,0.0,0.022800201997160912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1719163678586483,-0.00450462844222784,0.0,0.0,-0.006984807439148426,0.0,0.0,0.0,0.08059309177100658,-0.010303781107068062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025579632762819528,0.0,0.0,0.0,-0.004776451271027327,0.0,0.0,0.0,0.0,0.0,0.005248914957046508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04756438482552767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027631216049194336,0.08103738740086555,-0.036128821633756164,-0.060707512199878695,-0.03955229768529534,0.0,-0.014819886572659015,0.0,0.0,0.0,0.14879899548366665,0.0,0.0081977067142725,0.012018685787916183,-0.0975344643369317,0.0,0.0,0.016813644841313362,-0.11721137948334218,0.00704986035823822,-0.012656109891831874,0.0,1.0,2.0
Itsn2,-0.014727898687124253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008518717885017395,0.0,0.0,0.0,-0.00900492750108242,0.0,0.0,0.0,0.0,0.0,0.0,0.03821547478437424,0.0,0.0,0.044622195456176995,0.0,-0.010254423581063748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15642101168632508,-0.011154318004846573,0.0,0.0,-0.006984807439148426,0.0,0.0,0.0,-0.007970745339989663,-0.010303781107068062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00795172104611993,0.0,0.0,0.0,0.06809504598379135,0.0,0.0,0.0,0.0,0.0,-0.06117579912766814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01545211412012577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003561836443841457,-0.017233714833855628,-0.036128821633756164,-0.1295070210658014,-0.05075773775577545,0.0,0.011509028822183609,0.0,0.0,0.0,0.11460568746551872,0.0,0.009702340059448034,0.016158483102917672,-0.0975344643369317,0.0,0.0,-0.012974783889949321,0.02046216169372201,0.0074186321906745435,-0.012656109891831874,0.0,1.0,1.0
Fdx1,-0.014727898687124253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015835266560316086,0.0,0.0,0.0,-0.00900492750108242,0.0,0.0,0.0,0.0,0.0,0.0,0.01371837556362152,0.0,0.0,0.044622195456176995,0.0,0.0004102011770009994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12169492840766907,-0.011154318004846573,0.0,0.0,-0.006984807439148426,0.0,0.0,0.0,-0.007970745339989663,-0.010303781107068062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00795172104611993,0.0,0.0,0.0,-0.0088180635496974,0.0,0.0,0.0,0.0,0.0,0.005512205287814141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016141063272953032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003561836443841457,-0.10742024123668671,-0.036128821633756164,-0.1316238589119166,-0.1810293997824192,0.0,0.007672685943543911,0.0,0.0,0.0,0.14547229945659637,0.0,0.007910987734794617,-0.01835899639874697,-0.0975344643369317,0.0,0.0,0.08047687962651252,-0.011528379842638969,-0.009754186794161797,-0.012656109891831874,0.0,1.0,1.0
Rnf34,-0.014727898687124253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015835266560316086,0.0,0.0,0.0,-0.00900492750108242,0.0,0.0,0.0,0.0,0.0,0.0,0.03821547478437424,0.0,0.0,0.022330761682242156,0.0,-0.012073286920785903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13471835803240537,-0.011154318004846573,0.0,0.0,-0.006984807439148426,0.0,0.0,0.0,-0.007970745339989663,-0.010303781107068062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010442621614784002,0.0,0.0,0.0,-0.004409031942486763,0.0,0.0,0.0,0.0,0.0,0.0033881649747490882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04756438482552767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019428198784589767,-0.04343075454235077,-0.024332868829369546,-0.07100914631038904,-0.0143586122430861,0.0,0.007672685943543911,0.0,0.0,0.0,-0.17059014696627856,0.0,0.004716173280030489,-0.010190587546676398,-0.07893300926312805,0.0,0.0,-0.010405443906784058,-0.11990283375605941,-0.0064352406375110145,-0.012656109891831874,0.0,1.0,2.0
Tmpo,-0.014727898687124253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009755398631095886,0.0,0.0,0.0,-0.00900492750108242,0.0,0.0,0.0,0.0,0.0,0.0,0.01371837556362152,0.0,0.0,0.044622195456176995,0.0,0.0004102011770009994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1582524012029171,-0.00450462844222784,0.0,0.0,-0.006984807439148426,0.0,0.0,0.0,-0.007970745339989663,-0.010303781107068062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00795172104611993,0.0,0.0,0.0,-0.02106537386775017,0.0,0.0,0.0,0.0,0.0,0.01297209706157446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030526413396000864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027631216049194336,0.10710734877735377,-0.036128821633756164,-0.16679483018815516,-0.22982922673225403,0.0,0.007672685943543911,0.0,0.0,0.0,0.09122015155851841,0.0,0.02190145732834935,-0.01835899639874697,-0.0975344643369317,0.0,0.0,-0.017628761902451516,0.06151487939059734,-0.009754186794161797,-0.012656109891831874,0.0,1.0,1.0
Cxxc4,-0.014727898687124253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015835266560316086,0.0,0.0,0.0,0.1154052548110485,0.0,0.0,0.0,0.0,0.0,0.0,-0.009798839688301086,0.0,0.0,-0.10793974675238133,0.0,-0.010254423581063748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14847321182489395,0.07657868325710297,0.0,0.0,0.14394777048379181,0.0,0.0,0.0,-0.007970745339989663,-0.010303781107068062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003161527644842863,0.0,0.0,0.0,-0.02106537386775017,0.0,0.0,0.0,0.0,0.0,0.005512205287814141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030526413396000864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003561836443841457,-0.08983073865994812,-0.03765125019475818,-0.14452747154980897,-0.15931405331939458,0.0,0.007672685943543911,0.0,0.0,0.0,0.09565083028748632,0.0,0.007910987734794617,-0.01835899639874697,-0.058442054353654384,0.0,0.0,-0.017628761902451516,-0.011528379842638969,-0.009754186794161797,-0.005517066363245249,0.0,1.0,1.0
