gene_name,gene_length.meta,9mo.2mo.contact.log_ratio.median.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.count.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.9mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_DMR,18mo.9mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,count.enhancer_DMR,18mo.9mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,count.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,rel_pos.DAR,9mo.2mo.log_ratio.DMR,size.log2.DMR,18mo.2mo.log_ratio.DMR,rel_pos.DMR,distance.log2.DMR,18mo.9mo.Q.std.loops,9mo.2mo.Q.median.loops,loop_size.log.max.loops,Tanova.std.loops,18mo.2mo.Q.mean.loops,18mo.9mo.Q.max.loops,18mo.2mo.Q.median.loops,18mo.9mo.Q.mean.loops,18mo.9mo.T.median.loops,Qanova.min.loops,18mo.2mo.T.median.loops,9mo.2mo.T.min.loops,loop_size.log.min.loops,Tanova.median.loops,Tanova.min.loops,Tanova.max.loops,Qanova.mean.loops,9mo.2mo.Q.mean.loops,loop_size.log.median.loops,18mo.9mo.Q.median.loops,min_distance.log.std.loops,min_distance.log.mean.loops,9mo.2mo.T.median.loops,18mo.2mo.Q.min.loops,18mo.9mo.T.min.loops,Qanova.median.loops,loop_size.log.std.loops,18mo.2mo.T.min.loops,min_distance.log.median.loops,18mo.2mo.T.mean.loops,18mo.2mo.Q.std.loops,min_distance.log.min.loops,18mo.9mo.T.std.loops,18mo.2mo.Q.max.loops,18mo.9mo.Q.min.loops,9mo.2mo.Q.min.loops,9mo.2mo.Q.max.loops,9mo.2mo.T.mean.loops,9mo.2mo.Q.std.loops,18mo.2mo.T.std.loops,loop_size.log.mean.loops,min_distance.log.max.loops,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,18mo.2mo.log_ratio.std.atac,9mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.std.atac,18mo.9mo.log_ratio.std.atac,count.atac,18mo.2mo.log_ratio.min.atac,log2_distance.mean.atac,log2_distance.std.atac,log2_distance.min.atac,9mo.2mo.log_ratio.mean.atac,18mo.9mo.log_ratio.max.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Lrrc49,0.0032664920017123223,0.0,0.004990597888827324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01736795321106911,0.0,0.010944379270076752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08169767990708351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005054917596280575,0.050757951736450195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0636116573959589,0.0,0.03196396633982659,0.0,0.0,0.0,0.0,0.0,0.0,0.0011133934557437898,0.0,0.0,0.08776356168091297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019439526200294495,0.06904440747573971,0.0,0.0,0.013672861428931355,0.03437193784862757,0.0017424757033586502,0.0,0.0,0.0,-0.029868254736065865,0.024806402921676636,0.0,0.0027663907129317523,0.0,0.008174355886876584,0.0,0.0,0.018800859437324107,0.0,1.0,1.0
Arrb1,-0.008132680915296078,0.0,0.004990597888827324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003815686870366335,0.0,0.006523388624191284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009738993905484676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003931602574884892,-0.019739203453063965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015542833134531975,0.0,-0.0390082330070436,0.0,0.0,0.0,0.0,0.0,0.0,0.003254534639418125,0.0,0.0,-0.06962977658957242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012418220043182373,0.05786727348342538,0.0,0.0,-0.05556311454623938,-0.04001531740999781,-0.008604711722582578,0.0,0.0,0.0,-0.04070494517683983,0.02501981019973755,0.0,0.007814410366117954,0.0,0.008174355886876584,0.0,0.0,0.046712322477251295,0.0,1.0,2.0
Ube2ql1,-0.0053599091246724125,0.0,0.004990597888827324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007368222661316395,0.0,0.006531673967838287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009876361200585961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023589615449309348,-0.019739203453063965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0081196294631809,0.0,0.012990995422005653,0.0,0.0,0.0,0.0,0.0,0.0,0.0011990391090512275,0.0,0.0,-0.005730669349431992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012418220043182373,-0.3973136159032583,0.0,0.0,0.01493849345482886,0.013691454902291298,-0.008604711722582578,0.0,0.0,0.0,-0.029868254736065865,0.023371038809418678,0.0,0.0019678205251693727,0.0,0.008174355886876584,0.0,0.0,0.0205367670301348,0.0,1.0,1.0
F8,-0.13778281886130572,0.0,0.007485896497964859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007631373479962349,0.0,0.02010612204670906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0212733506038785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005054917596280575,0.050757951736450195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0636116573959589,0.0,0.011912695281207562,0.0,0.0,0.0,0.0,0.0,0.0,0.0011133934557437898,0.0,0.0,0.03888054853305221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074377056211233136,0.07029694430530072,0.0,0.0,0.038751618936657906,0.013441343654412775,-0.03738623775541782,0.0,0.0,0.0,0.039766375347971915,0.03195280566811562,0.0,0.0027663907129317523,0.0,-0.06156311750411987,0.0,0.0,0.018800859437324107,0.0,1.0,1.0
Mrpl48,0.0032664920017123223,0.0,0.004990597888827324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01736795321106911,0.0,0.004952804148197174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.051041345526464284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003931602574884892,-0.019739203453063965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015542833134531975,0.0,0.03196396633982659,0.0,0.0,0.0,0.0,0.0,0.0,0.003254534639418125,0.0,0.0,-0.005730669349431992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012418220043182373,0.06913942185230554,0.0,0.0,-0.024146058419719337,0.03437193784862757,-0.008604711722582578,0.0,0.0,0.0,-0.011220504641532897,0.022793597280979155,0.0,0.007814410366117954,0.0,0.004598075374960899,0.0,0.0,0.046712322477251295,0.0,1.0,2.0
Itsn2,0.0032664920017123223,0.0,0.004990597888827324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01736795321106911,0.0,-0.07779364362359047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009905559439212085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003931602574884892,-0.019739203453063965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09319366566836834,0.0,0.03196396633982659,0.0,0.0,0.0,0.0,0.0,0.0,-0.019578595450147986,0.0,0.0,-0.005730669349431992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012418220043182373,0.07650957433506847,0.0,0.0,0.010481098284944892,0.03437193784862757,-0.008604711722582578,0.0,0.0,0.0,-0.029868254736065865,0.025146939754486085,0.0,0.0017729011364281178,0.0,0.008174355886876584,0.0,0.0,0.01241169367916882,0.0,1.0,1.0
Fdx1,-0.006592252142727375,0.0,0.004990597888827324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006578770205378532,0.0,0.0073086808621883395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09676914863288402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003931602574884892,-0.019739203453063965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02770328104496002,0.0,-0.09847847223281861,0.0,0.0,0.0,0.0,0.0,0.0,0.0005138738825917244,0.0,0.0,-0.005730669349431992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012418220043182373,0.052876270804554225,0.0,0.0,0.013672861428931355,0.012979215033119544,-0.008604711722582578,0.0,0.0,0.0,-0.011220504641532897,0.024806402921676636,0.0,0.0013689774461090566,0.0,0.004598075374960899,0.0,0.0,-0.038337592855095866,0.0,1.0,1.0
Rnf34,0.0032664920017123223,0.0,0.004990597888827324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01736795321106911,0.0,0.006523388624191284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009738993905484676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003931602574884892,-0.019739203453063965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02770328104496002,0.0,0.03196396633982659,0.0,0.0,0.0,0.0,0.0,0.0,0.0005138738825917244,0.0,0.0,-0.005730669349431992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012418220043182373,0.0664872576110065,0.0,0.0,-0.05556311454623938,0.03437193784862757,-0.008604711722582578,0.0,0.0,0.0,-0.029868254736065865,0.02501981019973755,0.0,0.0013689774461090566,0.0,0.008174355886876584,0.0,0.0,-0.038337592855095866,0.0,1.0,2.0
Tmpo,0.0032664920017123223,0.0,0.004990597888827324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01736795321106911,0.0,0.016470423638820647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020507004708051682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005054917596280575,-0.019739203453063965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015542833134531975,0.0,0.03196396633982659,0.0,0.0,0.0,0.0,0.0,0.0,0.003254534639418125,0.0,0.0,0.08776356168091297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019439526200294495,0.0771599629893899,0.0,0.0,0.038751618936657906,0.03437193784862757,0.0017424757033586502,0.0,0.0,0.0,-0.029868254736065865,0.03195280566811562,0.0,0.007814410366117954,0.0,0.008174355886876584,0.0,0.0,0.046712322477251295,0.0,1.0,1.0
Cxxc4,0.0032664920017123223,0.0,0.004990597888827324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01736795321106911,0.0,0.02010612204670906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020507004708051682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005054917596280575,0.050757951736450195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0636116573959589,0.0,0.03196396633982659,0.0,0.0,0.0,0.0,0.0,0.0,0.0011133934557437898,0.0,0.0,0.08776356168091297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019439526200294495,0.08251126687973738,0.0,0.0,0.038751618936657906,0.03437193784862757,0.0017424757033586502,0.0,0.0,0.0,-0.029868254736065865,0.03195280566811562,0.0,0.0027663907129317523,0.0,0.008174355886876584,0.0,0.0,0.018800859437324107,0.0,1.0,1.0
