gene_name,gene_length.meta,9mo.2mo.contact.log_ratio.median.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.count.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.9mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_DMR,18mo.9mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,count.enhancer_DMR,18mo.9mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,count.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,rel_pos.DAR,9mo.2mo.log_ratio.DMR,size.log2.DMR,18mo.2mo.log_ratio.DMR,rel_pos.DMR,distance.log2.DMR,18mo.9mo.Q.std.loops,9mo.2mo.Q.median.loops,loop_size.log.max.loops,Tanova.std.loops,18mo.2mo.Q.mean.loops,18mo.9mo.Q.max.loops,18mo.2mo.Q.median.loops,18mo.9mo.Q.mean.loops,18mo.9mo.T.median.loops,Qanova.min.loops,18mo.2mo.T.median.loops,9mo.2mo.T.min.loops,loop_size.log.min.loops,Tanova.median.loops,Tanova.min.loops,Tanova.max.loops,Qanova.mean.loops,9mo.2mo.Q.mean.loops,loop_size.log.median.loops,18mo.9mo.Q.median.loops,min_distance.log.std.loops,min_distance.log.mean.loops,9mo.2mo.T.median.loops,18mo.2mo.Q.min.loops,18mo.9mo.T.min.loops,Qanova.median.loops,loop_size.log.std.loops,18mo.2mo.T.min.loops,min_distance.log.median.loops,18mo.2mo.T.mean.loops,18mo.2mo.Q.std.loops,min_distance.log.min.loops,18mo.9mo.T.std.loops,18mo.2mo.Q.max.loops,18mo.9mo.Q.min.loops,9mo.2mo.Q.min.loops,9mo.2mo.Q.max.loops,9mo.2mo.T.mean.loops,9mo.2mo.Q.std.loops,18mo.2mo.T.std.loops,loop_size.log.mean.loops,min_distance.log.max.loops,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,18mo.2mo.log_ratio.std.atac,9mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.std.atac,18mo.9mo.log_ratio.std.atac,count.atac,18mo.2mo.log_ratio.min.atac,log2_distance.mean.atac,log2_distance.std.atac,log2_distance.min.atac,9mo.2mo.log_ratio.mean.atac,18mo.9mo.log_ratio.max.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Cog1,-0.04063656806945801,0.0,0.01693712145090103,0.0,0.0,0.0,0.0,0.0,0.0,0.0032847809046506883,0.0007842057943344117,-0.0006245984509587288,0.0,0.0,0.0,-0.012334074145182967,0.0,-0.005872174501419068,0.0,-0.050694851875305175,0.0,0.001613007038831711,0.0,-0.0026258188486099243,0.0,0.010491648856550455,0.0,0.0,0.0,0.0,0.0,-0.04209089769050479,0.0,0.0,0.0,0.0,0.0,-0.05362518437206745,0.0,0.0,0.05726244378834963,0.0,-0.01369086816906929,0.0,0.0,0.0,-0.0039052806794643404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030740416049957276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05711768254637718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02483675003051758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117028455324471,0.6973800065740943,-0.047721959315240384,0.030712163951247932,0.0,0.0,0.0,0.0,0.0,0.10047912999987602,0.0,0.0,0.0,-0.04792107976973057,-0.010226729214191438,0.0,-0.011366621926426887,-0.02799434295040555,-0.005458245156332851,-0.0018423837423324585,0.017429996468126773,1.0,1.0
Per3,-0.08337002106010914,0.0,0.028662460297346114,0.0,0.0,0.0,0.0,0.0,0.0,0.0032847809046506883,0.0031368231028318407,-0.0006245984509587288,0.0,0.0,0.0,-0.01485724980942905,0.0,-0.005872174501419068,0.0,0.01638098955154419,0.0,0.001613007038831711,0.0,-0.009190365970134735,0.0,0.008122566919773817,0.0,0.0,0.0,0.0,0.0,0.010007626041769982,0.0,0.0,0.0,0.0,0.0,0.019898833334445955,0.0,0.0,0.03515383871272206,0.0,-0.01369086816906929,0.0,0.0,0.0,-0.0039052806794643404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030740416049957276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016923757791519164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024207832366228102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03451172113418579,-0.02775487668812275,-0.047721959315240384,0.3979877282306552,0.0,-0.0068178194761276244,0.0,0.0,0.0,-0.1795776555687189,0.0,0.0,0.0,-0.07153606407344341,-0.0068178194761276244,0.0,-0.010035342685878277,-0.19035650964826345,0.05338430012576282,0.020266221165657045,-0.040835991725325586,1.0,1.0
Cntnap5a,0.10353192066773773,0.0,0.00597778007388115,0.0,0.0,0.0,0.0,0.0,0.0,0.0023414352536201477,0.0015684115141630173,-0.0012491969019174575,0.0,0.0,0.0,0.12290854930412025,0.0,0.03104912267997861,0.0,-0.015346400737762451,0.0,0.001613007038831711,0.0,0.013129094243049621,0.0,-0.05465810667723417,0.0,0.0,0.0,0.0,0.0,-0.016777490703389047,-0.07756702154874802,0.0,0.0,0.0,0.0,0.03782682919874787,0.0,0.0,0.026837335117161274,0.0,0.10749529586639256,0.0,0.0,0.0,-0.0021641815826296804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020559989623725416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016923757791519164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006948742852546275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08596194537356495,-0.057065176516771315,-0.03328207813203335,-0.31332004902884364,0.0,0.0,0.0,0.0,0.0,0.06936130255460739,0.0,0.0,0.0,0.1650311804562807,0.005681516230106353,0.0,-0.020189874432981016,0.4639378949208185,0.054582451526075604,-0.0018423837423324585,0.040835991725325586,1.0,2.0
Gm28153,0.004955827370285988,0.0,0.008046957403421403,0.0,0.0,0.0,0.0,0.0,0.0,0.0023414352536201477,0.0007842057943344117,-0.0006245984509587288,0.0,0.0,0.0,0.2552913780324161,0.0,-0.005872174501419068,0.0,0.004828081130981445,0.0,0.001613007038831711,0.0,-0.009190365970134735,0.0,0.008122566919773817,0.0,0.0,0.0,0.0,0.0,0.005886838957667351,-0.003973720446228981,0.0,0.0,0.0,0.0,0.03782682919874787,0.0,0.0,0.05726244378834963,0.0,-0.010161091880872846,0.0,0.0,0.0,-0.005572005361318588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003830208797007799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016923757791519164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020550593119114637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08636242177337408,-0.048131534606218336,-0.058692223355174065,-0.14818207828328014,0.0,0.0,0.0,0.0,0.0,-0.13831540331244468,0.0,0.0,0.0,-0.059556269980967046,0.005681516230106353,0.0,0.31897203778848054,-0.14418000013567508,-0.003461326267570257,-0.0018423837423324585,0.040835991725325586,1.0,2.0
Pkn2,0.10035117514431477,0.0,0.028662460297346114,0.0,0.0,0.0,0.0,0.0,0.0,0.0032847809046506883,0.018036732673645018,-0.0006245984509587288,0.0,0.0,0.0,-0.011961013581603765,0.0,-0.005872174501419068,0.0,0.01638098955154419,0.0,0.001613007038831711,0.0,-0.0026258188486099243,0.0,0.02538302168250084,0.0,0.0,0.0,0.0,0.0,0.025166236031800508,0.00047684647142887115,0.0,0.0,0.0,0.0,0.03782682919874787,0.0,0.0,0.05726244378834963,0.0,-0.01369086816906929,0.0,0.0,0.0,0.11117217501625419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057375943847000595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016923757791519164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01985508463345468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005517272176221013,-0.033396584503352644,-0.0509713963419199,0.6164595998823643,0.0,0.0,0.0,0.0,0.0,0.21073585271835327,0.0,0.0,0.0,0.20072183438576757,0.008522274345159531,0.0,-0.011366621926426887,0.0014558029640465975,-0.004792605489492416,-0.0018423837423324585,0.040835991725325586,1.0,0.0
Sec13,-0.04063656806945801,0.0,0.00597778007388115,0.0,0.0,0.0,0.0,0.0,0.0,0.0032847809046506883,0.0007842057943344117,-0.0012491969019174575,0.0,0.0,0.0,-0.02351056519895792,0.0,-0.005872174501419068,0.0,-0.015346400737762451,0.0,0.001613007038831711,0.0,-0.0026258188486099243,0.0,-0.022506279200315477,0.0,0.0,0.0,0.0,0.0,-0.04209089769050479,0.00047684647142887115,0.0,0.0,0.0,0.0,0.05686605624854565,0.0,0.0,0.026837335117161274,0.0,-0.01369086816906929,0.0,0.0,0.0,-0.005572005361318588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057375943847000595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021154697239398955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02483675003051758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025040780566632746,-0.0418399616330862,-0.047721959315240384,-0.3101542670466006,0.0,0.0,0.0,0.0,0.0,-0.10650201603770255,0.0,0.0,0.0,-0.07153606407344341,-0.010226729214191438,0.0,-0.025514991581439973,-0.046438946053385735,-0.011715257875621318,-0.0018423837423324585,0.040835991725325586,1.0,1.0
Med15,0.050812077298760416,0.0,0.008046957403421403,0.0,0.0,0.0,0.0,0.0,0.0,0.0032847809046506883,-0.011370983496308327,-0.0012491969019174575,0.0,0.0,0.0,-0.02351056519895792,0.0,-0.002691413313150406,0.0,0.004828081130981445,0.0,0.001613007038831711,0.0,-0.009190365970134735,0.0,0.02538302168250084,0.0,0.0,0.0,0.0,0.0,0.010007626041769982,0.00047684647142887115,0.0,0.0,0.0,0.0,0.03893806191161275,0.0,0.0,0.05726244378834963,0.0,-0.01369086816906929,0.0,0.0,0.0,-0.005572005361318588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057375943847000595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021154697239398955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02483675003051758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.027416176944971084,-0.05474069323390722,0.13797309510409833,-0.26659911120310426,0.0,-0.013067487329244613,0.0,0.0,0.0,0.05687081500887871,0.0,0.0,0.0,-0.07153606407344341,0.005681516230106353,0.0,-0.025514991581439973,-0.20701856764033436,-0.011715257875621318,-0.0018423837423324585,-0.040835991725325586,1.0,2.0
Snrnp27,-0.04063656806945801,0.0,-0.024734789729118346,0.0,0.0,0.0,0.0,0.0,0.0,-0.004986032862216234,0.0007842057943344117,-0.0012491969019174575,0.0,0.0,0.0,-0.02351056519895792,0.0,-0.005872174501419068,0.0,0.002758903503417969,0.0,-0.006452028155326844,0.0,-0.0026258188486099243,0.0,-0.05465810667723417,0.0,0.0,0.0,0.0,0.0,-0.016777490703389047,0.00047684647142887115,0.0,0.0,0.0,0.0,-0.08747269988059997,0.0,0.0,-0.026977153271436693,0.0,-0.01369086816906929,0.0,0.0,0.0,-0.005572005361318588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057375943847000595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01480828806757927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02483675003051758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11411221075803041,-0.06545057624578476,-0.03965692441910505,-0.23276612927205861,0.0,0.0,0.0,0.0,0.0,0.024372010454535485,0.0,0.0,0.0,-0.07153606407344341,-0.0068178194761276244,0.0,-0.025514991581439973,-0.05670275017619133,-0.011715257875621318,-0.007830130904912948,0.017429996468126773,1.0,2.0
Abca8a,0.004955827370285988,0.0,0.028662460297346114,0.0,0.0,0.0,0.0,0.0,0.0,0.0023414352536201477,0.0007842057943344117,-0.0006245984509587288,0.0,0.0,0.0,0.19094497770071028,0.0,-0.005872174501419068,0.0,0.01638098955154419,0.0,0.001613007038831711,0.0,-0.009190365970134735,0.0,0.008122566919773817,0.0,0.0,0.0,0.0,0.0,0.005886838957667351,0.0,0.0,0.0,0.0,0.0,0.03893806191161275,0.0,0.0,0.05726244378834963,0.0,-0.01369086816906929,0.0,0.0,0.0,-0.005572005361318588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030740416049957276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021154697239398955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02483675003051758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08636242177337408,-0.04294689007103443,-0.058692223355174065,0.01287924487143755,0.0,0.0,0.0,0.0,0.0,-0.15074795767664909,0.0,0.0,0.0,-0.059556269980967046,-0.0068178194761276244,0.0,-0.011366621926426887,-0.14788464333862067,-0.005325117222964764,-0.0018423837423324585,-0.040835991725325586,1.0,2.0
Clcc1,-0.03760208105668426,0.0,0.00597778007388115,0.0,0.0,0.0,0.0,0.0,0.0,0.0023414352536201477,0.0007842057943344117,-0.0012491969019174575,0.0,0.0,0.0,0.19276029121596366,0.0,-0.005872174501419068,0.0,-0.015346400737762451,0.0,-0.006452028155326844,0.0,-0.0026258188486099243,0.0,-0.022506279200315477,0.0,0.0,0.0,0.0,0.0,-0.04209089769050479,0.00047684647142887115,0.0,0.0,0.0,0.0,-0.0556007082760334,0.0,0.0,-0.026977153271436693,0.0,-0.006029024538584053,0.0,0.0,0.0,-0.00432836314663291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057375943847000595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01480828806757927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38499350609257815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018089007418602705,-0.04413143128156662,-0.03388642439618707,-0.22447847309987992,0.0,0.0,0.0,0.0,0.0,-0.10650201603770255,0.0,0.0,0.0,-0.045826459070667624,-0.0068178194761276244,0.0,-0.021521153673529626,-0.031039620004594325,-0.005325117222964764,-0.007830130904912948,-0.014441997073590755,1.0,2.0
