gene_name,gene_length.meta,9mo.2mo.contact.log_ratio.median.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.count.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.9mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_DMR,18mo.9mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,count.enhancer_DMR,18mo.9mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,count.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,rel_pos.DAR,9mo.2mo.log_ratio.DMR,size.log2.DMR,18mo.2mo.log_ratio.DMR,rel_pos.DMR,distance.log2.DMR,18mo.9mo.Q.std.loops,9mo.2mo.Q.median.loops,loop_size.log.max.loops,Tanova.std.loops,18mo.2mo.Q.mean.loops,18mo.9mo.Q.max.loops,18mo.2mo.Q.median.loops,18mo.9mo.Q.mean.loops,18mo.9mo.T.median.loops,Qanova.min.loops,18mo.2mo.T.median.loops,9mo.2mo.T.min.loops,loop_size.log.min.loops,Tanova.median.loops,Tanova.min.loops,Tanova.max.loops,Qanova.mean.loops,9mo.2mo.Q.mean.loops,loop_size.log.median.loops,18mo.9mo.Q.median.loops,min_distance.log.std.loops,min_distance.log.mean.loops,9mo.2mo.T.median.loops,18mo.2mo.Q.min.loops,18mo.9mo.T.min.loops,Qanova.median.loops,loop_size.log.std.loops,18mo.2mo.T.min.loops,min_distance.log.median.loops,18mo.2mo.T.mean.loops,18mo.2mo.Q.std.loops,min_distance.log.min.loops,18mo.9mo.T.std.loops,18mo.2mo.Q.max.loops,18mo.9mo.Q.min.loops,9mo.2mo.Q.min.loops,9mo.2mo.Q.max.loops,9mo.2mo.T.mean.loops,9mo.2mo.Q.std.loops,18mo.2mo.T.std.loops,loop_size.log.mean.loops,min_distance.log.max.loops,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,18mo.2mo.log_ratio.std.atac,9mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.std.atac,18mo.9mo.log_ratio.std.atac,count.atac,18mo.2mo.log_ratio.min.atac,log2_distance.mean.atac,log2_distance.std.atac,log2_distance.min.atac,9mo.2mo.log_ratio.mean.atac,18mo.9mo.log_ratio.max.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Zfp68,0.01644822347909212,0.0,0.011513178199529649,0.0,0.0,0.0,0.0,0.0,0.0,0.004141638986766338,0.0,0.0,0.0,0.0,0.0,0.0,0.0014296119287610055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07146154202520848,0.0,0.0,-0.0030737791955471037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041886713728308676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03755086041986942,0.0,0.0,0.03199391528964043,0.012700420841574668,0.006626622378826141,0.0,0.0,0.0,0.0445310165733099,0.0,0.0,0.0,0.0,0.15616842072457074,0.0,0.0,0.0,0.0,-0.004654110074043274,0.0,0.0,0.0,1.0,1.0
Pigm,0.0027610926888883116,0.0,0.0038527794554829597,0.0,0.0,0.0,0.0,0.0,0.0,0.0016960997879505158,0.0,0.0,0.0,0.0,0.0,0.0,0.0014296119287610055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00736821006052196,0.0,0.0,0.08676613550633192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041886713728308676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011162703316658735,0.0,0.0,-0.012141460250131787,0.012700420841574668,-0.11324424359947444,0.0,0.0,0.0,0.008281813757494092,0.0,0.0,0.0,0.0,0.12903075778856873,0.0,0.0,0.0,0.0,-0.004654110074043274,0.0,0.0,0.0,1.0,1.0
Fam98c,0.01644822347909212,0.0,0.008687015511095525,0.0,0.0,0.0,0.0,0.0,0.0,0.004141638986766338,0.0,0.0,0.0,0.0,0.0,0.0,0.0014296119287610055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01110278194770217,0.0,0.0,0.06630814094096422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041886713728308676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03755086041986942,0.0,0.0,0.0189728550799191,-0.006261434108018875,0.006626622378826141,0.0,0.0,0.0,0.0445310165733099,0.0,0.0,0.0,0.0,0.1682680093124509,0.0,0.0,0.0,0.0,0.0013387000560760498,0.0,0.0,0.0,1.0,1.0
Ankrd11,-0.017039886126294732,0.0,0.001587062980979681,0.0,0.0,0.0,0.0,0.0,0.0,0.0005522185377776623,0.0,0.0,0.0,0.0,0.0,0.0,0.0004765373095870018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011304650716483592,0.0,0.0,-0.00506959293037653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09773566536605358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017039886126294732,0.0,0.0,0.0058987287618219855,0.008582043298520147,0.000473330169916153,0.0,0.0,0.0,-0.013216590229421853,0.0,0.0,0.0,0.0,-0.25908202823251486,0.0,0.0,0.0,0.0,0.04484677791595459,0.0,0.0,0.0,1.0,2.0
Blvra,0.01644822347909212,0.0,0.008888884261250497,0.0,0.0,0.0,0.0,0.0,0.0,0.004141638986766338,0.0,0.0,0.0,0.0,0.0,0.0,0.0014296119287610055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02301303893327713,0.0,0.0,-0.010341054648160935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041886713728308676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03755086041986942,0.0,0.0,0.022304214239120483,0.012700420841574668,0.006626622378826141,0.0,0.0,0.0,0.0445310165733099,0.0,0.0,0.0,0.0,0.14076170599088073,0.0,0.0,0.0,0.0,0.0036871980130672457,0.0,0.0,0.0,1.0,2.0
Qsox1,0.00011833254247903824,0.0,0.0019420605897903442,0.0,0.0,0.0,0.0,0.0,0.0,0.0007099952548742294,0.0,0.0,0.0,0.0,0.0,0.0,0.0003176915645599365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011304650716483592,0.0,0.0,-0.012941502183675766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041886713728308676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023193179070949553,0.0,0.0,-0.0362351075746119,-0.03988749569281936,0.0007099952548742294,0.0,0.0,0.0,-0.01936988321132958,0.0,0.0,0.0,0.0,-0.09992229313589633,0.0,0.0,0.0,0.0,0.06213870272040367,0.0,0.0,0.0,1.0,0.0
Sprtn,0.01644822347909212,0.0,0.008888884261250497,0.0,0.0,0.0,0.0,0.0,0.0,0.004141638986766338,0.0,0.0,0.0,0.0,0.0,0.0,0.0014296119287610055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02301303893327713,0.0,0.0,-0.010341054648160935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041886713728308676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03755086041986942,0.0,0.0,0.022304214239120483,0.012700420841574668,0.006626622378826141,0.0,0.0,0.0,0.0445310165733099,0.0,0.0,0.0,0.0,0.14076170599088073,0.0,0.0,0.0,0.0,0.0036871980130672457,0.0,0.0,0.0,1.0,2.0
Nrxn2,-0.017039886126294732,0.0,0.0014861285872757434,0.0,0.0,0.0,0.0,0.0,0.0,0.0005522185377776623,0.0,0.0,0.0,0.0,0.0,0.0,0.0004765373095870018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007469144444912672,0.0,0.0,-0.005970053598284722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09773566536605358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017039886126294732,0.0,0.0,-0.017361057796515523,0.008582043298520147,0.000473330169916153,0.0,0.0,0.0,-0.013216590229421853,0.0,0.0,0.0,0.0,-0.23865635296329857,0.0,0.0,0.0,0.0,0.04484677791595459,0.0,0.0,0.0,1.0,2.0
Maf1,0.0034710879810154437,0.0,-0.1239525837637484,0.0,0.0,0.0,0.0,0.0,0.0,0.0013016579672694207,0.0,0.0,0.0,0.0,0.0,0.0,0.0014296119287610055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01110278194770217,0.0,0.0,-0.010542923398315907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041886713728308676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011478256788104773,0.0,0.0,0.01362649466842413,0.012700420841574668,0.0022877625375986098,0.0,0.0,0.0,0.008991809049621224,0.0,0.0,0.0,0.0,0.1156752060726285,0.0,0.0,0.0,0.0,0.0036871980130672457,0.0,0.0,0.0,1.0,2.0
Emx2os,0.00011833254247903824,0.0,0.0018411261960864067,0.0,0.0,0.0,0.0,0.0,0.0,0.0007099952548742294,0.0,0.0,0.0,0.0,0.0,0.0,0.0004765373095870018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00736821006052196,0.0,0.0,0.08676613550633192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041886713728308676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023193179070949553,0.0,0.0,-0.014802527721039951,-0.01029538556933403,0.0007099952548742294,0.0,0.0,0.0,-0.01531978157348931,0.0,0.0,0.0,0.0,0.03176598507910967,0.0,0.0,0.0,0.0,-0.00700260803103447,0.0,0.0,0.0,1.0,1.0
