,DEG,pred,score_0,score_1,score_2
Zcrb1,1,0,0.5343523621559143,0.41450557112693787,0.051142074167728424
Gosr1,1,1,0.29056814312934875,0.5515848398208618,0.15784703195095062
Atrnl1,1,1,0.3462967872619629,0.3479306399822235,0.305772602558136
Sugp1,1,1,0.3836055099964142,0.5487639904022217,0.06763053685426712
Dnajc18,1,0,0.48414191603660583,0.47846508026123047,0.03739297389984131
Parl,1,1,0.3901134133338928,0.528761625289917,0.08112490922212601
Hcn3,1,1,0.2476978302001953,0.6435624361038208,0.10873972624540329
Gm6710,1,0,0.5655591487884521,0.31539925932884216,0.11904161423444748
Mfsd1,1,0,0.509921133518219,0.41620633006095886,0.07387255877256393
Pias2,1,0,0.4122275114059448,0.39803072810173035,0.1897418051958084
Pi4ka,1,2,0.2839953601360321,0.3170441687107086,0.3989604711532593
Hhat,1,1,0.4254786968231201,0.48958733677864075,0.08493398874998093
Edem3,1,1,0.4449913799762726,0.5028277635574341,0.05218086764216423
Necab2,1,0,0.47131967544555664,0.3703041076660156,0.15837624669075012
Ankrd16,1,0,0.47640538215637207,0.44964250922203064,0.07395213097333908
Pafah1b2,1,1,0.3386841118335724,0.5975109338760376,0.0638049766421318
Mterf2,1,1,0.36288195848464966,0.5479930639266968,0.08912501484155655
Nsmce1,1,1,0.4442571699619293,0.47961822152137756,0.0761246383190155
Sdhaf2,1,1,0.4585181474685669,0.4836275577545166,0.05785427242517471
Mta2,1,0,0.49357718229293823,0.4599905014038086,0.046432334929704666
Usp20,1,1,0.3189072608947754,0.5110053420066833,0.17008738219738007
Taldo1,1,1,0.3274792730808258,0.5927032828330994,0.0798175036907196
Otud7a,1,2,0.21461713314056396,0.32134193181991577,0.46404096484184265
Telo2,1,1,0.29051363468170166,0.5581443905830383,0.15134191513061523
Trim66,1,2,0.16005954146385193,0.3863353729248047,0.453605055809021
Rab27b,1,0,0.43876367807388306,0.4186585247516632,0.14257775247097015
Lrrc24,1,0,0.5939769148826599,0.3683733642101288,0.037649691104888916
Cdkn2aip,1,0,0.5059776902198792,0.4058288633823395,0.08819348365068436
Arhgap27os2,1,1,0.31136688590049744,0.4537946879863739,0.23483844101428986
Mbd4,1,1,0.34456151723861694,0.4005848169326782,0.2548536956310272
Itsn1,1,0,0.5162659287452698,0.3878139555454254,0.0959201455116272
Gpr146,1,0,0.5635076761245728,0.34533464908599854,0.0911577045917511
Akr1e1,1,0,0.43076860904693604,0.4039336144924164,0.16529779136180878
Zfp664,1,1,0.27863985300064087,0.4394679367542267,0.28189218044281006
Smarca4,1,1,0.3538411855697632,0.4092392325401306,0.2369195818901062
Araf,1,1,0.37320688366889954,0.5344948768615723,0.09229828417301178
Msl2,1,1,0.45349496603012085,0.4832037389278412,0.06330131739377975
Mettl5,1,1,0.4047212600708008,0.5024735927581787,0.09280513972043991
Dnajc17,1,0,0.5351410508155823,0.42703813314437866,0.03782083839178085
Dock3,1,1,0.4070751965045929,0.4406436085700989,0.1522812396287918
Pcdhb18,1,1,0.4419170618057251,0.44355058670043945,0.11453234404325485
Sclt1,1,2,0.2844170928001404,0.3078323304653168,0.4077506363391876
E130114P18Rik,1,0,0.47844889760017395,0.3697708547115326,0.15178021788597107
Commd2,1,0,0.5954590439796448,0.34771597385406494,0.056824978440999985
Ubxn2a,1,1,0.3640420138835907,0.5734117031097412,0.06254630535840988
Gm14004,1,0,0.5475285053253174,0.4006153345108032,0.0518561527132988
Ninl,1,0,0.48208317160606384,0.3968982994556427,0.12101849168539047
Lias,1,0,0.47693416476249695,0.4680250883102417,0.055040713399648666
Hsbp1,1,1,0.390895277261734,0.5132644772529602,0.09584025293588638
Rpap2,1,1,0.2730117440223694,0.5701866149902344,0.15680164098739624
4931440F15Rik,1,0,0.5902168154716492,0.33127841353416443,0.07850480079650879
Stk24,1,0,0.4856889545917511,0.39591914415359497,0.11839189380407333
Zfp3,1,1,0.2775546908378601,0.6451255679130554,0.07731974124908447
Patz1,1,0,0.47796767950057983,0.4493497610092163,0.07268257439136505
Abca8b,1,0,0.42447465658187866,0.4202791750431061,0.15524619817733765
Gm16794,1,1,0.46081802248954773,0.47798770666122437,0.061194296926259995
St6galnac3,1,0,0.5173413157463074,0.3910362422466278,0.09162241965532303
Coq5,1,0,0.5022127032279968,0.45818325877189636,0.03960404172539711
Nkrf,1,0,0.49954408407211304,0.4223671853542328,0.07808870077133179
5330439K02Rik,1,0,0.4563295245170593,0.4385501444339752,0.10512033849954605
Ankrd10,1,0,0.4959089756011963,0.45441752672195435,0.04967350512742996
Tmem184b,1,1,0.43112441897392273,0.483895868062973,0.08497972041368484
Zfp946,1,1,0.3185952305793762,0.6118704676628113,0.0695343092083931
Exoc5,1,1,0.377602756023407,0.49346762895584106,0.12892964482307434
Zmym5,1,0,0.5554350018501282,0.40100598335266113,0.04355898126959801
Mef2b,1,1,0.27912068367004395,0.6605428457260132,0.060336481779813766
Sun2,1,1,0.4311424195766449,0.4638499617576599,0.10500764846801758
Csk,1,1,0.34570008516311646,0.5899532437324524,0.06434668600559235
Hspa13,1,1,0.35208407044410706,0.6083043217658997,0.0396115779876709
Gm11457,1,1,0.38915446400642395,0.552920937538147,0.05792462080717087
