gene_name,gene_length.meta,9mo.2mo.contact.log_ratio.median.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_DMR,18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,18mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_DMR,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.9mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,rel_pos.DAR,count.DAR,Tanova.std.loops,18mo.2mo.Q.mean.loops,loop_size.log.std.loops,18mo.2mo.T.min.loops,9mo.2mo.Q.std.loops,min_distance.log.mean.loops,min_distance.log.median.loops,18mo.2mo.T.mean.loops,min_distance.log.max.loops,18mo.2mo.Q.min.loops,Qanova.max.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.std.atac,log2_distance.std.atac,log2_distance.min.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.std.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Fam169a,0.0,0.0,0.002831858843564987,0.0,0.010529083721339703,0.0009465424716472626,0.0,0.0,0.0,0.0,0.0,-0.005301836505532264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008343284167349339,0.0,-0.0753643854521215,0.0,0.0011176875419914723,-0.0009136611409485341,0.0,0.0,0.009061690680682659,0.05830621661618352,-0.0017351609468460082,0.0,0.008774217888712884,0.004146745335310698,0.0,0.0484718888066709,0.03684280700981617,0.035555279785767196,0.0,0.0,0.0031848170794546602,0.014403157401829958,0.019641228783875704,0.02093171376734972,1.0,0.0
Ankdd1a,0.0,0.0,0.001166059523820877,0.0,0.001562389445025474,0.0,0.0,0.0,0.0,0.0,0.0,0.010443011298775673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008421281538903713,0.0,0.010689390492625534,0.0,0.0004572358075529337,0.0021318759955465793,3.0482388101518154e-05,0.0,-0.02731968174921349,-0.04629838501336053,-0.005964615754783154,0.0,0.002019817749969661,0.005294024962931871,0.0,-0.1347752672364004,-0.029873706244397908,-0.0994794464041479,0.0,0.0,-0.009314087685197592,0.003000979272183031,0.010018101185560227,-0.04555162668228149,1.0,1.0
Zfp202,0.0,0.0,-0.02137775793671608,0.0,0.010529083721339703,0.0009465424716472626,0.0,0.0,0.0,0.0,0.0,-0.005301836505532264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008343284167349339,0.0,0.02078269098419696,0.0,0.0011176875419914723,0.0012182148545980453,-0.039677907517179846,0.0,0.009793268018402159,0.05830621661618352,-0.0017351609468460082,0.0,0.007052891924977303,0.0034361200034618376,0.0,0.04097769808024168,0.036132181584835055,0.03974814571905881,0.0,0.0,-0.02097172001376748,0.01261207478120923,0.017667882242240012,0.02093171376734972,1.0,1.0
Tmem184b,0.0,0.0,0.001166059523820877,0.0,0.009132830342277885,0.0009465424716472626,0.0,0.0,0.0,0.0,0.0,0.010443011298775673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008343284167349339,0.0,-0.008676501787267626,0.0,-0.03845861203037202,-0.0013197327591478825,0.00010160796344280243,0.0,0.009742464036680758,0.05311215399764478,-0.0026027414202690123,0.0,0.006941838636994362,0.00015367409214377402,0.0,-0.05005492413416505,0.0284867025539279,0.03964653775561601,0.0,0.0,0.0031848170794546602,0.004264354407787323,0.02913337037432939,0.029824413806200028,1.0,1.0
Atp2b4,0.0,0.0,0.0007773730158805848,0.0,0.0017608029395341873,0.0,0.0,0.0,0.0,0.0,0.0,0.010443011298775673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007071079872548581,0.0,-0.04712186973541975,0.0,0.0004572358075529337,-0.0031470550410449506,0.0,0.0,0.0010147307254374028,-0.02869932004250586,-0.005964615754783154,0.0,-0.024396340269595383,0.037358841355890036,0.0,-0.03823874557390809,-0.041665505319833755,-0.07842191063798964,0.0,0.0,0.0031848170794546602,0.03083998060785234,-0.050909101236611604,-0.04559895381331444,1.0,2.0
Rab26,0.0,0.0,0.002831858843564987,0.0,0.010529083721339703,0.0009465424716472626,0.0,0.0,0.0,0.0,0.0,0.001927940547466278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008343284167349339,0.0,0.034075322560966015,0.0,0.0025401989556849,0.0012182148545980453,0.0003048238717019558,0.0,0.01304472265765071,0.05830621661618352,-0.0017351609468460082,0.0,0.008774217888712884,0.0034361200034618376,0.0,0.04468597002327442,0.036132181584835055,0.042643972504884005,0.0,0.0,0.007331088371574879,0.01261207478120923,0.021986220441758634,0.02093171376734972,1.0,0.0
Fam131b,0.0,0.0,0.002831858843564987,0.0,0.010529083721339703,0.0009465424716472626,0.0,0.0,0.0,0.0,0.0,-0.005301836505532264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005980431251227856,0.0,0.040963125992566345,0.0,0.0010160795785486697,0.002639465518295765,0.00010160796344280243,0.0,0.00951892651617527,0.04392656886950135,-0.0017351609468460082,0.0,0.008774217888712884,0.007474321536719799,0.0,0.04986326619982719,0.040170383378863334,0.03474878406152129,0.0,0.0,0.007331088371574879,0.008731395769864321,-0.100552131049335,0.02093171376734972,1.0,0.0
Cyld,0.0,0.0,0.001166059523820877,0.0,0.008320484617725015,0.0,0.0,0.0,0.0,0.0,0.0,-0.01285293698310852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005980431251227856,0.0,-0.0642094968771562,0.0,0.0006604517623782158,-0.0023349118046462536,0.0,0.0,0.002658081999979913,0.04392656886950135,-0.005964615754783154,0.0,0.0031556687410920856,-0.003252359051257372,0.0,-0.0321169507317245,0.06311358116567135,0.020256778649054466,0.0,0.0,0.0031848170794546602,0.03992608474567533,-0.09227964240591974,-0.08574813041836023,1.0,1.0
Yes1,0.0,0.0,0.0007773730158805848,0.0,0.003440046878531575,0.0,0.0,0.0,0.0,0.0,0.0,-0.01285293698310852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002355861384421587,0.0,-0.10461873492226005,0.0,0.0011176875419914723,-0.0024364297091960907,0.0,0.0,0.002041500648483634,0.02157241079956293,-0.005964615754783154,0.0,-0.03378288581036031,-0.0018874960020184516,0.0,-0.03039579120464623,-0.10870884338393808,0.013202572343870997,0.0,0.0,0.0031848170794546602,-0.007339084455743432,-0.06852327682077884,-0.054985498264431956,1.0,1.0
Pithd1,0.0,0.0,0.002831858843564987,0.0,0.010529083721339703,0.0009465424716472626,0.0,0.0,0.0,0.0,0.0,0.001927940547466278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008343284167349339,0.0,0.027946051955223084,0.0,0.0025401989556849,0.0012182148545980453,0.0003048238717019558,0.0,0.01304472265765071,0.05830621661618352,-0.0017351609468460082,0.0,0.008774217888712884,0.0034361200034618376,0.0,0.04306351598352194,0.036132181584835055,0.042643972504884005,0.0,0.0,-0.02097172001376748,0.01261207478120923,0.021986220441758634,0.02093171376734972,1.0,0.0
