,DEG,pred,score_0,score_1,score_2
Pkd1,1,1,0.34490057826042175,0.4451686143875122,0.20993080735206604
Epha5,1,2,0.23675408959388733,0.25655174255371094,0.5066941976547241
Dcps,1,1,0.41226789355278015,0.46566057205200195,0.12207148224115372
Mms19,1,1,0.4463885426521301,0.44755735993385315,0.10605407506227493
Scly,1,1,0.3730420470237732,0.5085679888725281,0.1183900237083435
Camkk1,1,0,0.46659785509109497,0.389331579208374,0.14407053589820862
Cdc42,1,1,0.35004428029060364,0.44557279348373413,0.20438289642333984
Dtnbp1,1,2,0.15402598679065704,0.35696616768836975,0.4890078008174896
5730409E04Rik,1,0,0.41702088713645935,0.4124268591403961,0.17055225372314453
Alg9,1,1,0.34007516503334045,0.5409371256828308,0.11898773163557053
Ablim1,1,0,0.4125522971153259,0.33786463737487793,0.24958309531211853
Pias2,1,1,0.38781043887138367,0.43984881043434143,0.17234072089195251
Ifnar1,1,1,0.25866320729255676,0.4297534227371216,0.31158334016799927
Lrrc24,1,0,0.5539467930793762,0.3381786644458771,0.10787452757358551
Bcl7c,1,2,0.27117642760276794,0.35218545794487,0.3766380846500397
Gm15879,1,1,0.39897117018699646,0.40975654125213623,0.19127224385738373
Jpx,1,1,0.2757844924926758,0.40634557604789734,0.31786996126174927
4732463B04Rik,1,1,0.3713611662387848,0.39289629459381104,0.23574252426624298
Cenpj,1,1,0.44063788652420044,0.4603639245033264,0.09899821132421494
4930432K21Rik,1,1,0.41934695839881897,0.5372365117073059,0.043416544795036316
Edem2,1,2,0.22859808802604675,0.35248568654060364,0.4189162254333496
Nox1,1,1,0.340819388628006,0.34873244166374207,0.31044813990592957
Msantd1,1,1,0.3561469614505768,0.591273844242096,0.052579205483198166
Tmed4,1,1,0.41003066301345825,0.43203479051589966,0.1579345166683197
Slc25a11,1,0,0.6214231848716736,0.32289326190948486,0.055683497339487076
Wdr1,1,0,0.48707816004753113,0.36982640624046326,0.1430954784154892
Ormdl3,1,1,0.32536184787750244,0.425535649061203,0.24910244345664978
Sart3,1,1,0.3114132881164551,0.42112576961517334,0.2674608826637268
Phactr1,1,1,0.3590662479400635,0.4351722002029419,0.20576153695583344
Mrpl28,1,0,0.46295011043548584,0.37757179141044617,0.1594781130552292
Hecw1,1,2,0.2837083041667938,0.21242369711399078,0.5038679838180542
5730405O15Rik,1,0,0.5307251214981079,0.32967305183410645,0.13960185647010803
Mttp,1,1,0.3347353935241699,0.4969738721847534,0.16829067468643188
Abcb1b,1,0,0.4484965205192566,0.43038085103034973,0.12112265825271606
Sgsm3,1,0,0.5080673098564148,0.39555808901786804,0.09637460857629776
Cars,1,1,0.33580687642097473,0.47288355231285095,0.19130957126617432
Gtf2e2,1,1,0.41880977153778076,0.4813587963581085,0.0998314693570137
Sez6l,1,0,0.3515942394733429,0.319487988948822,0.32891780138015747
Nup85,1,1,0.35387611389160156,0.5129969716072083,0.13312692940235138
Kcnh1,1,0,0.4907216429710388,0.3422600328922272,0.16701829433441162
Slc7a1,1,1,0.3348945081233978,0.3381805717945099,0.3269249498844147
Tmem135,1,0,0.3598272204399109,0.3102840185165405,0.32988879084587097
Sirt1,1,2,0.22057239711284637,0.3326452374458313,0.4467823803424835
Trim44,1,0,0.5466561913490295,0.22371524572372437,0.2296285629272461
Ano8,1,1,0.4026458263397217,0.44077157974243164,0.15658257901668549
Masp2,1,1,0.40906772017478943,0.45561403036117554,0.13531826436519623
Ppp2r5d,1,1,0.3438114821910858,0.5986078381538391,0.057580675929784775
Sh3pxd2a,1,2,0.18455770611763,0.3646122217178345,0.4508300721645355
Iqcc,1,0,0.47313857078552246,0.43657493591308594,0.09028644859790802
Pcyox1,1,0,0.4886467754840851,0.3826742172241211,0.1286790519952774
Atat1,1,1,0.3111124038696289,0.6380389928817749,0.050848640501499176
Ube3c,1,1,0.36931395530700684,0.40940889716148376,0.2212771773338318
Kank3,1,0,0.4581354260444641,0.41725388169288635,0.12461068481206894
Pank1,1,0,0.44372984766960144,0.37958937883377075,0.1766808182001114
Itga8,1,2,0.2842388153076172,0.2965501546859741,0.4192110300064087
Sox4,1,0,0.5856297612190247,0.32646307349205017,0.08790715038776398
Psma5,1,1,0.41366901993751526,0.544823408126831,0.04150758683681488
Zc4h2,1,1,0.34404852986335754,0.4057036340236664,0.2502478361129761
Dst,1,1,0.28304094076156616,0.37363919615745544,0.3433198630809784
Ncor1,1,1,0.3216804563999176,0.40034595131874084,0.27797356247901917
Ppp1cc,1,1,0.2886846959590912,0.39257243275642395,0.3187428414821625
Il17d,1,0,0.5889734625816345,0.35246339440345764,0.05856310948729515
Zfp583,1,1,0.3652871549129486,0.5159140825271606,0.11879879236221313
Scyl1,1,1,0.30342501401901245,0.4354759454727173,0.26109907031059265
Eef2,1,1,0.36291852593421936,0.4538874328136444,0.18319404125213623
Eci2,1,1,0.2680813670158386,0.4098645746707916,0.32205408811569214
Armc7,1,1,0.29218995571136475,0.5372084975242615,0.17060159146785736
Atp11c,1,0,0.43151789903640747,0.30957862734794617,0.2589034140110016
Zfp658,1,1,0.3147861659526825,0.5557539463043213,0.12945988774299622
Snx4,1,0,0.5417777299880981,0.29897987842559814,0.1592424362897873
Sp3os,1,0,0.5694729089736938,0.3891093134880066,0.04141782596707344
Magi2,1,0,0.44100335240364075,0.38410916924476624,0.17488746345043182
Kl,1,2,0.17548714578151703,0.2849874198436737,0.5395254492759705
