gene_name,gene_length.meta,9mo.2mo.contact.log_ratio.median.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_DMR,18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,18mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_DMR,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.9mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,rel_pos.DAR,count.DAR,Tanova.std.loops,18mo.2mo.Q.mean.loops,loop_size.log.std.loops,18mo.2mo.T.min.loops,9mo.2mo.Q.std.loops,min_distance.log.mean.loops,min_distance.log.median.loops,18mo.2mo.T.mean.loops,min_distance.log.max.loops,18mo.2mo.Q.min.loops,Qanova.max.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.std.atac,log2_distance.std.atac,log2_distance.min.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.std.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Camkk1,0.05256741197779775,0.0,0.0,0.0006318546971306204,0.0,0.0,0.0013093299604952336,0.0,0.0067568976059556,-0.007283069966360927,0.08112380680628122,0.01460647189989686,-0.006444265972822905,0.0,0.004052792824804783,0.001981415469199419,-0.010597521546296776,0.0,0.003098720982670784,0.0,0.011462609227746725,0.0,-0.0007195897400379181,0.002713324669748545,0.0,0.0020004416769370437,0.0,0.0,0.0,0.03239744895603508,-0.08306279631331563,-0.041351284738630055,0.000486882496625185,0.004529583603143692,0.0,0.0005054631270468235,0.0,0.0,0.0,0.04301364860497415,0.0,0.0018046322837471961,0.0,0.008199587017297744,0.0,1.0,0.0
Ablim1,-0.07545449356897733,0.0,0.0,0.00035137571510858836,0.0,0.0,0.0004489131271839142,0.0,0.0016314916149713099,-0.00722287930548191,-0.04308656357112341,0.0012113535555545241,-0.006585795651189983,0.0,0.0006072538858279586,0.0012131115049123765,-0.031243331860750914,0.0,-0.025792438022908756,0.0,-0.011361261425190606,0.0,-0.0015327423810958863,-0.0015905695967376233,0.0,0.0010825549066066742,0.0,0.0,0.0,0.005344512445153668,0.005857623490737751,-0.027582934065721928,0.0,0.012833820208907127,0.0,0.0003639334533363581,0.0,0.0,0.0,-0.016793644687859342,0.0,0.0005883900169283151,0.0,0.028496078327298165,0.0,1.0,0.0
Jpx,0.06506946024950594,0.0,0.0,0.0035182296112179754,0.0,0.0,0.0028057070448994637,0.0,0.011152649535797537,0.009510124064981938,0.060429751691408455,-0.09986802589148283,0.021313002984970807,0.0,0.002199624297209084,0.007683039531111717,0.021157764252275228,0.0,0.00915453016757965,0.0,0.0025477348593994976,0.0,-0.0007195897400379181,0.002713324669748545,0.0,0.005066153556108475,0.0,0.0,0.0,0.020587363922968508,0.03540540498681367,-0.029158292450010777,0.0006932416558265687,0.004589774264022708,0.0,0.0022240377590060233,0.0,0.0,0.0,0.023206072440370918,0.0,0.0068948264047503476,0.0,0.008199587017297744,0.0,1.0,1.0
Edem2,0.04038536924868822,0.0,0.0,0.000988219091668725,0.0,0.0,0.0011222828179597855,0.0,0.005287079592235387,0.009510124064981938,-0.1435686068981886,0.004161259005777538,0.007136659817770123,0.0,0.0023534430051222444,0.0032349640130996705,-0.03590759851038456,0.0,0.004188032699748874,0.0,0.002527330731973052,0.0,-0.0007195897400379181,0.002713324669748545,0.0,0.0019465661561116577,0.0,0.0,0.0,0.014466455830261111,0.015543773686513305,-0.11599685767665506,0.00023738980758935212,0.004589774264022708,0.0,0.0008087410032749176,0.0,0.0,0.0,0.014921611109748482,0.0,0.002365670558065176,0.0,0.008199587017297744,0.0,1.0,2.0
Tmed4,-0.0621727061830461,0.0,0.0,0.0022040254808962344,0.0,0.0,0.0028057070448994637,0.0,0.011366111575625837,-0.01161679700948298,0.05739732417743653,0.004085603645071387,-0.00817034802865237,0.0,0.0011121819936670363,0.0028305935114622117,0.008877483396790922,0.0,0.006526121906936169,0.0,0.002592623315285891,0.0,-0.0007195897400379181,0.002713324669748545,0.0,0.0014659149339422584,0.0,0.0,0.0,0.012445696464274078,0.028699363498017192,0.0027803932595998047,-0.08689330889377743,0.004529583603143692,0.0,0.0009098336286842823,0.0,0.0,0.0,0.02062160325469449,0.0,0.0030533066391944886,0.0,0.008199587017297744,0.0,1.0,1.0
Mrpl28,-0.08290773312561214,0.0,0.0,0.0007824672339484096,0.0,0.0,0.0005611414089798927,0.0,0.0027619432331994175,-0.01161679700948298,-0.08261404193006455,0.0034075473714619874,-0.01950980057939887,0.0,0.0010045088967308403,0.0028305935114622117,0.016608119420707227,0.0,0.0031405687285587193,0.0,0.0019428196595981718,0.0,-0.0007195897400379181,0.002713324669748545,0.0,0.002095117941498756,0.0,0.0,0.0,0.012132202149368823,0.009078118838369847,0.0027803932595998047,4.269240889698267e-05,0.004529583603143692,0.0,0.0009098336286842823,0.0,0.0,0.0,0.011057658419013024,0.0,-0.00719687670469284,0.0,0.008199587017297744,0.0,1.0,0.0
Nup85,0.05581742192618549,0.0,0.0,0.0012763588596135377,0.0,0.0,0.0013093299604952336,0.0,0.007130991891026497,0.009510124064981938,0.07581943536177277,0.01460647189989686,0.02050426198169589,0.0,0.005076034041121602,0.0029316861368715763,0.021157764252275228,0.0,0.004188032699748874,0.0,0.011462609227746725,0.0,-0.0007195897400379181,0.002713324669748545,0.0,0.005813270695507526,0.0,0.0,0.0,0.03868614098057151,0.016774718221276998,-0.03350527534261346,0.0011801241524517535,0.004589774264022708,0.0,0.0007076483778655529,0.0,0.0,0.0,0.042826601462438704,0.0,-0.13485233752056958,0.0,0.008199587017297744,0.0,1.0,1.0
Trim44,-0.21218880170723423,0.0,0.0,0.0007824672339484096,0.0,0.0,0.0005611414089798927,0.0,0.0020697163336444646,0.005056015513837338,-0.04475350020977203,0.0010882985789794474,0.00683338194154203,0.0,-0.0175595801579766,0.0028305935114622117,-0.04694030364975333,0.0,0.0031405687285587193,0.0,-0.01213489574904088,0.0,-0.017852794006466867,-0.028574115112423897,0.0,0.0017757965251803398,0.0,0.0,0.0,0.00656516675488092,0.009258690821006894,0.0030813465639948846,0.0001485517853870988,0.012833820208907127,0.0,0.0009098336286842823,0.0,0.0,0.0,-0.018460581326507963,0.0,0.001089311707764864,0.0,-0.09172217316925525,0.0,1.0,0.0
Masp2,0.0626553035993129,0.0,0.0,0.001941184657625854,0.0,0.0,0.0028057070448994637,0.0,0.013116500303149224,0.009510124064981938,0.09842566698789597,0.01460647189989686,-0.006444265972822905,0.0,0.005076034041121602,0.001981415469199419,-0.010597521546296776,0.0,0.005717380903661251,0.0,0.011462609227746725,0.0,0.005476029179990291,0.001964821182191372,0.0,0.0020004416769370437,0.0,0.0,0.0,0.03239744895603508,0.0284300138335675,-0.0715161025058478,0.000486882496625185,0.004589774264022708,0.0,-0.03528132627718151,0.0,0.0,0.0,0.04871858632192016,0.0,0.0030128696002066136,0.0,0.005476029179990291,0.0,1.0,1.0
Pcyox1,0.07297094649169594,0.0,0.0,0.002021852508187294,0.0,0.0,0.0007481885701417923,0.0,0.0034353130171075465,0.025039313770830633,-0.10672143874689936,0.004161259005777538,-0.006466180109418929,0.0,0.004580497345887125,0.007683039531111717,0.01487501535564661,0.0,0.005974728874862194,0.0,0.002214317312464118,0.0,-0.001971643418073654,0.0056137749180197715,0.0,-0.007263644323684275,0.0,0.0,0.0,0.013129489826969803,0.0020992576330900194,0.015142031982541083,8.883802220225335e-05,0.004770346246659756,0.0,0.0022240377590060233,0.0,0.0,0.0,0.01419212725944817,0.0,0.0051178786251693965,0.0,-0.008106024116277694,0.0,1.0,0.0
