,DEG,pred,score_0,score_1,score_2
Frmd6,1,0,0.4506881535053253,0.36290767788887024,0.18640412390232086
Fbxl2,1,2,0.15371674299240112,0.2664462625980377,0.5798370242118835
Dnttip2,1,1,0.4294942319393158,0.4796302318572998,0.09087547659873962
Synpo,1,0,0.5644431710243225,0.3871183693408966,0.04843844845890999
Gm9929,1,1,0.416869193315506,0.49059686064720154,0.09253393113613129
Anks1,1,1,0.26607102155685425,0.4362109899520874,0.29771795868873596
Naa15,1,1,0.38440844416618347,0.479790598154068,0.13580091297626495
Dhx57,1,1,0.3801437020301819,0.5425305962562561,0.07732570171356201
Psd3,1,1,0.335092693567276,0.43932920694351196,0.22557806968688965
Bbs7,1,0,0.4940500259399414,0.4033065438270569,0.10264339298009872
Eef2k,1,1,0.44041532278060913,0.48481693863868713,0.07476778328418732
Dcdc2a,1,2,0.23273397982120514,0.1818147748708725,0.5854512453079224
Auts2,1,0,0.4133879840373993,0.2705404758453369,0.3160715699195862
Hexa,1,1,0.26719018816947937,0.6013349294662476,0.13147488236427307
Tcea2,1,1,0.36000949144363403,0.5586985945701599,0.08129190653562546
Tecpr2,1,2,0.19411885738372803,0.371281236410141,0.434599906206131
Serac1,1,0,0.5444148182868958,0.39855316281318665,0.05703200027346611
Fez2,1,1,0.43085846304893494,0.4910973012447357,0.07804417610168457
Rhoq,1,1,0.2221633493900299,0.62135910987854,0.15647757053375244
Kmt2e,1,0,0.5033547878265381,0.31031206250190735,0.18633317947387695
Fancl,1,1,0.21094918251037598,0.5039079785346985,0.28514277935028076
Stx17,1,1,0.4439363181591034,0.512911856174469,0.043151821941137314
Rnf168,1,1,0.32810458540916443,0.6238303184509277,0.048065077513456345
Tmem164,1,1,0.38051044940948486,0.41356268525123596,0.20592688024044037
Gm10544,1,0,0.5022501349449158,0.3945852518081665,0.10316462814807892
Gstm1,1,0,0.3964886963367462,0.3107110261917114,0.29280024766921997
Kcnq2,1,0,0.4907386600971222,0.37581104040145874,0.13345028460025787
Pald1,1,0,0.5152521729469299,0.4076012074947357,0.07714663445949554
2700062C07Rik,1,1,0.4815045893192291,0.48766547441482544,0.030829954892396927
Gm26839,1,1,0.3964998722076416,0.419832319021225,0.183667853474617
Sde2,1,1,0.35311800241470337,0.5713464021682739,0.07553562521934509
Galc,1,1,0.38050273060798645,0.5458092093467712,0.0736880674958229
Map3k12,1,0,0.5074478387832642,0.42540544271469116,0.06714675575494766
Spryd7,1,1,0.4631305932998657,0.47829127311706543,0.05857808515429497
Gtdc1,1,0,0.44354477524757385,0.3911695182323456,0.16528569161891937
Ttc39b,1,0,0.5166836977005005,0.3937956988811493,0.08952061831951141
Bcl10,1,1,0.41022685170173645,0.5593964457511902,0.030376708135008812
Mpp4,1,0,0.4389934837818146,0.43044787645339966,0.13055865466594696
Ftsj1,1,1,0.30179572105407715,0.5581122636795044,0.14009198546409607
Parl,1,0,0.501508355140686,0.41316869854927063,0.08532293885946274
Leprot,1,0,0.5054529309272766,0.44336140155792236,0.05118564888834953
Zdbf2,1,0,0.47019773721694946,0.4095209240913391,0.12028127908706665
Gzf1,1,0,0.5353853702545166,0.3889636695384979,0.07565095275640488
Ninl,1,0,0.43663331866264343,0.40746021270751953,0.15590640902519226
Nvl,1,0,0.40774524211883545,0.37852248549461365,0.21373233199119568
Emg1,1,0,0.4630126655101776,0.365181028842926,0.17180633544921875
Gmip,1,1,0.30214056372642517,0.6388536095619202,0.05900580435991287
Bbs5,1,1,0.4593771994113922,0.5047364234924316,0.03588637337088585
Ubap2l,1,1,0.3741072118282318,0.5852388143539429,0.040654007345438004
Lix1,1,1,0.39535799622535706,0.5146833062171936,0.08995867520570755
Fastkd3,1,0,0.5669009685516357,0.40264371037483215,0.030455339699983597
Phyh,1,1,0.16350649297237396,0.529970645904541,0.3065228760242462
Tmem132b,1,0,0.5134537220001221,0.3649192750453949,0.12162698060274124
Slc16a10,1,0,0.6198186278343201,0.304500013589859,0.07568137347698212
Mlycd,1,1,0.39215439558029175,0.49968376755714417,0.10816188156604767
Mrps18a,1,1,0.3715217709541321,0.5752441883087158,0.05323409661650658
Gspt1,1,1,0.40642037987709045,0.5287887454032898,0.06479092687368393
Edil3,1,2,0.26869997382164,0.20651018619537354,0.5247898697853088
Rad51d,1,1,0.36859023571014404,0.5524486303329468,0.07896116375923157
Nln,1,1,0.40809333324432373,0.5009742379188538,0.0909324437379837
