gene_name,gene_length.meta,9mo.2mo.activity.log_ratio.count.20kb-5Mb.enhancer_DMR,18mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,count.enhancer_DMR,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_peak,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.5kb-20kb.enhancer_peak,18mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.log_ratio.DAR,rel_pos.DAR,count.DAR,9mo.2mo.log_ratio.DMR,18mo.2mo.log_ratio.DMR,count.DMR,18mo.9mo.log_ratio.DMR,18mo.9mo.Q.std.loops,18mo.9mo.T.min.loops,9mo.2mo.Q.median.loops,loop_size.log.max.loops,18mo.2mo.Q.mean.loops,18mo.9mo.Q.min.loops,18mo.2mo.Q.median.loops,9mo.2mo.Q.mean.loops,9mo.2mo.Q.min.loops,loop_size.log.median.loops,min_distance.log.std.loops,9mo.2mo.Q.std.loops,Qanova.min.loops,18mo.9mo.T.mean.loops,18mo.2mo.T.mean.loops,loop_size.log.mean.loops,18mo.2mo.T.median.loops,loop_size.log.min.loops,min_distance.log.max.loops,18mo.2mo.Q.min.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.std.atac,log2_distance.std.atac,log2_distance.min.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.std.atac,18mo.9mo.log_ratio.std.atac,18mo.9mo.log_ratio.min.atac,9mo.2mo.log_ratio.max.atac
Dennd5b,113609.0,2.0,0.6966078565481606,-0.8579809951235298,7,1.0,1.0,0.2107445591137124,-0.9824696271957892,-0.0712642246792749,0.0,0.0,0.020438705342153,0.2086366781447051,0.1553019110266209,-0.2805929333904925,0.0,0.0,0.0055648061606294,1.0,-0.2677805605929206,-0.0914664073598925,0.0,1.0,0.7369655941469699,0.1201720757248365,-0.2473418552507675,-0.0328377425605429,-0.0427012200813798,-0.6403066525564014,0.3915941807174621,1,-0.2012732774944279,-0.7816777727416995,2,-0.5804044952472716,0.001175321018109,-0.16914755,-0.0001963503499999,19.59585296858508,0.0010805231866666,-0.0012430316,0.00077054685,8.37838398148148e-05,-0.0030145759999999,17.39323961016015,0.4953664758084367,0.0011896182675452,0.020917047,0.0456338902592592,-0.0165631683268518,16.891944673229904,-0.01589199,13.323195531678138,15.422886037835996,-0.0017716207999999,0.0270219372920842,0.0143278657355646,0.0413498030276489,-0.0134592005997091,-0.0242389580348829,0.0107797574351737,0.4267499852712104,1.6613339785704937,11.183015000882818,15.49107017177533,-0.2136942623912102,9,-0.7569149518099019,0.0788606744088903,0.2996635906362067,0.2673288439555268,-0.5631673393567151,0.289563825647219
Rbm19,82516.0,0.0,0.0,0.0,3,0.0,0.0,0.0,-0.9999999999759548,0.0293849590378405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0293849590378405,0.0,0.0293849590378405,0.0293849590378405,-0.9999999999759548,0.0,0.0,0.0,0.0,0.0,0.0,0.6310022834342949,0.4480753905574601,9,-0.0837728511825687,-0.6819063346630516,4,-0.5981334834804829,0.0010115750447394,-0.1978713799999999,6.016600000000039e-05,20.93876407072838,0.0005826318161818,-0.0014015208,0.000310617,0.0002261820227272,-0.0018197993,18.475681982115365,0.6582490106224583,0.0008662489192398,0.0011932116,0.0156544239661818,0.0352591118945454,18.194327962650792,0.04506177,13.293759009667864,15.609034415238296,-0.0009857179,0.0030723961451721,-0.003532626132887,-0.0004602299877149,-0.0816761125181863,-0.0166339766860826,-0.0650421358321036,0.3477514078986511,1.604114803932943,10.224001674198226,15.355936040222735,0.488233560144845,18,-0.1270863567309406,-0.0709393558828269,0.2406528038337751,0.3357462130570857,-0.7192865413529612,1.0336740153703383
Eif3k,10492.0,0.0,0.1343010917112783,-0.3131578852587777,10,1.0,1.0,-0.013132396821179,-0.3010461535785757,0.1157967579342234,0.0960293963872853,1.0,0.0608114487542099,0.2767865680737142,0.092395904087202,-0.1622942061051412,0.3920299631925217,-0.0671141958582248,0.2498659150279483,1.0,0.0140742555185617,0.1265789761602445,-0.1255308820827658,1.0,0.3219280948801484,0.130597456250582,-0.0279977026072915,0.1629643349941898,0.2174791921688932,0.658843635782574,0.5369434249705699,2,-0.3806040021518493,-0.6166713603369814,1,-0.2360673581851321,0.0017204419630639,-0.0958953199999999,-0.0003618608999999,19.08358060745075,0.0002415253637681,-0.0018812261999999,-0.0002514279,-0.0004758998971014,-0.0023458377,17.747143998186747,0.3667019355974547,0.000986415952757,0.0319301,0.032878292615942,-0.0102434057681159,17.62188671812681,-0.01303303,15.167927703538298,14.24175975889037,-0.0019733115,0.028114255011767,0.002942358793143,0.0310566138049101,0.081623999543006,-0.086917111461946,0.168541111004952,0.318807175252442,0.3707337457902971,11.053925881531171,11.92369888329511,0.5028435714492488,4,0.070117454806764,-0.0997551157228064,0.3434641530628575,0.408286619789872,-0.6872253321354703,0.8291334700515118
Rnf34,21243.0,2.0,0.6374299206133838,0.0,4,1.0,1.0,-0.0579547025195589,-0.5421805348207737,0.136676224617338,0.0294083453087596,0.0,-0.0168664591692477,0.3175620621792387,0.0582246229469989,0.0546947076169731,0.0,0.0,0.4437620348441946,0.0,-0.0034885150827319,0.1923165814596002,0.0,0.0,0.2630344058313891,0.1196400753189966,0.0547361078642669,0.3119566567785969,0.4268955756749468,0.0,0.0,0,0.0,0.0,0,0.0,0.0028076560844041,-0.26972197,0.0007534020499999,17.514552259587834,0.000660979725,-0.0033906062999999,-0.0001506486499999,0.0008432598625,-0.0003528039999999,15.849092151222749,0.3540812580622923,0.000809161357,0.05919418,-0.08089394498125,0.02396437084375,16.193830522538974,0.0288042765999999,14.913777652089731,14.354318263753886,-0.0021950789999999,0.0006163052327549,0.0470208297198979,0.0476371349526528,0.1192667462634795,0.0196330608386972,0.0996336854247823,0.2170495669328893,0.6280996757273472,10.015415052386826,11.270879295328845,0.2301125640294044,3,-0.0122754299659779,-0.0443689433722183,0.1306591607813921,0.0950653067728365,-0.1481298402382938,0.3792630437302313
Prdm2,105604.0,0.0,-0.2730184944053793,0.0,4,0.0,1.0,0.0,0.4150374992668215,0.2174604341590535,-0.1413085743855795,2.0,0.055697122500768,0.3705147638169959,0.2131059431588819,0.6024516406727004,0.0554351512438571,-0.222392421333013,0.2174604341590535,0.0,0.2174604341590535,0.2174604341590535,0.4150374992668215,0.0,1.222392421308968,0.2131059431588819,0.0902075276340839,0.174333242166499,0.1596346422055914,0.4212355969767597,0.5472865953797307,10,-0.5123071156975564,-0.9443070590525888,6,-0.4319999433550325,0.0013134529922209,-0.172135727,-0.0004970863,20.207507702043795,0.0001649999415053,-0.0015771512,0.0001811585,-0.0006227870124731,-0.0039704554999999,16.301746244262933,0.302677763824828,0.0009428512110288,0.0076868017,-0.0103136086989247,-0.0507306020537634,16.843776236452477,-0.04634922,13.342352510087794,15.095273386178633,-0.0053789951,0.002444203780587,-0.0216660775541939,-0.0192218737736069,0.0029335629262005,0.0114882802820652,-0.0085547173558646,0.3305972900193673,1.5071265271311332,10.98299357469438,15.693949704377289,0.3396405047817895,17,-0.1473081957750741,0.013137904446777,0.4167535316405409,0.2046791028346764,-0.3615334783223104,1.172380286171594
Pam,300532.0,1.0,0.0,0.0,4,0.0,0.0,0.0,-0.4972843654324047,-0.3101741600270733,0.0,0.0,-0.0668612583345229,0.2217514778647609,-0.0011667345988866,-0.2499999999916845,0.0,0.0,-0.2664949996825054,0.0,-0.4138599534452565,-0.3301763710516117,0.0,1.0,0.2630344058321907,0.0358778429930622,-0.4807212117797794,-0.2649090626729967,-0.2755017148378094,-0.4763720052065685,0.4806134221253157,24,-0.1839936180020152,-0.4379503681220143,5,-0.2539567501199991,0.0009597667932621,-0.099596015,-8.674690000000005e-05,18.74464991578797,0.0007205960347014,-0.0015085243,0.0006715149499999,-9.234540261194028e-05,-0.0018149119,16.74180931662263,0.997597864128072,0.0007664968329444,0.0020635726,0.0556745050261194,0.0288546526873134,16.524006956115304,0.0329178699999999,13.393390457443989,17.26632903898153,-0.0019945208999999,-0.001412074429425,-0.0156154490473592,-0.0170275234767843,-0.0276100264251349,-0.0815987334967823,0.0539887070716474,0.271590397997326,1.504256284729082,10.77561028075962,17.14455867177216,-0.2663529696053106,57,-1.1574973763182717,-0.043158643841639,0.251646993226958,0.3130890736990629,-1.6261368404265149,0.4686394641082432
Pdzrn3,228288.0,0.0,0.0,0.0,1,0.0,0.0,0.0,-0.176773563182366,-0.3282086570893052,-0.3290297105046722,0.0,-0.0301569184346566,0.2519465007750932,0.0738327607982882,0.5240671846511803,0.0,0.0,-0.2562462777227887,0.0,-0.7093707470209321,-0.4395846068213407,0.628031222608413,0.0,2.5360529002163306,0.0923637759842532,-0.4764252081780613,-0.3930554131117254,-0.4078949108849004,-0.4997195470771812,0.5572556481609038,15,-0.2467446266810303,-0.8144404990095827,4,-0.5676958723285525,0.0011216624955185,-0.1465224299999999,6.480700000000006e-05,20.795670304561558,0.0009499589375464,-0.0012168393,0.0006482419999999,0.0001209413711895,-0.0018706079999999,17.78096261034951,0.882993933217388,0.0006820659238618,0.0031803267,0.0593220685055762,0.0446015351356877,17.71185563002895,0.0455575399999999,13.851553858429778,16.901137948049453,-0.0015444875,0.0308245495172899,-0.0157874068808783,0.0150371426364116,0.0694011541587971,0.0141389283462509,0.0552622258125461,0.2932152493521695,1.7179155827699857,10.634811050171807,16.822359210863635,-0.2307990284775288,34,-1.5540787866612913,-0.0984910845123258,0.2508573517303425,0.2320921943198206,-0.7484117188848614,0.2331216479118589
Iars,52167.0,1.0,0.0,0.0,2,0.0,0.0,0.0,0.4372345589445907,-0.1100666450648875,0.0,0.0,0.053904130488009,0.1877931236983174,0.1208486270931632,-0.25162916737914,0.0,0.0,0.0361091099329469,1.0,-0.2562424000627219,-0.1100666450648875,0.5849625006971113,1.0,0.0,0.1208486270931632,-0.0684492763644044,0.0272194851333278,0.060094491343432,0.0,0.0,0,0.0,0.0,0,0.0,0.0008202809271055,0.05093407,0.000137746,14.540672943025198,0.0021943781666666,0.0008051494999999,0.002029397,0.0004911355,-0.0013535175,13.755826451133084,0.3991241041827613,0.0020443849516328,1.1399236,0.0649376133333333,0.0057188299999999,14.017441948430454,-0.0112052599999999,13.755826451133084,14.68096381670648,0.00105941,0.0124837516647602,-0.0017523970211618,0.0107313546435984,0.0747656151993145,-0.0251342963408429,0.0998999115401575,0.1807940798200635,0.4817090553859693,10.204571144249329,11.163649676015888,-0.3126567492750421,3,-0.4153093723213665,0.0089471095924516,0.2113391247151945,0.1053965547721737,-0.0975037671657373,-0.1062054079108851
1700120C14Rik,12533.0,0.0,0.0,0.0,6,0.0,0.0,0.0,-0.1886128416302709,0.0929041326584667,0.0,0.0,0.0167282816075551,0.1797291778613008,0.092861530699233,0.3052137623320748,0.0,0.0,0.303885069427555,2.0,0.0698498656770567,0.1627411286475067,0.0931094043908804,1.0,0.6780719051090309,0.0955451302168305,0.1096324142660218,0.3045479177824896,0.2969927716913556,0.4896319691097225,0.5237326973438085,3,0.0,0.0,0,0.0,0.0009016048743146,-0.114084779,-0.0004398792999999,18.809943933898097,-0.000580456575,-0.001870618,-0.0006684339499999,-0.0005745031583333,-0.0027504331,18.427863256918663,0.2298442292368182,0.0008633167820525,0.0010653811,-0.0032756561944444,-0.0330988105277777,18.20381317930016,-0.05741241,15.766528908598865,13.777666280880757,-0.0022633723,0.0769259288978537,-0.0330089974967102,0.0439169314011435,0.0808139533719407,0.0524721732111211,0.0283417801608196,0.2735445329342199,0.7814448449918042,10.446049406716654,12.240791332161988,0.2461650801267058,5,0.00309088354619,0.0932067269877339,0.2481966911261335,0.1460308994690827,-0.1465693262501928,0.6609582505763065
Pak7,306863.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.1616619471888944,1.0,0.0,0.0,0.0,0.0,-0.0558512776948383,0.628031222608413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2223432103455524,0.4415034626478252,11,-0.3208573382163203,-0.5678809930462161,2,-0.2470236548298957,0.0008814431690687,-0.08525316,0.00017572,18.5699186358802,0.0014673990589743,-0.0004185526,0.0011291113999999,0.0002525994794871,-0.0012802796999999,16.112744923096365,0.6784540247036355,0.0007179461805175,0.04485499,0.0570656298974359,0.0289608961025641,16.200138782453504,0.0358011299999999,13.407134962197334,16.113416611485945,-0.0006212870999999,-0.0231966781663827,-0.0059359824521187,-0.0291326606185015,-0.0339546079316117,-0.0885383587706382,0.0545837508390264,0.2992267332430652,1.7742305823986146,11.118292233027056,17.18176373489756,-0.2028262724648421,31,-0.708857530717522,0.0334124031896106,0.3253636908934298,0.3469481350200881,-1.3471742448144763,0.6840915330027193
