gene_name,gene_length.meta,9mo.2mo.activity.log_ratio.count.20kb-5Mb.enhancer_DMR,18mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,count.enhancer_DMR,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_peak,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.5kb-20kb.enhancer_peak,18mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.log_ratio.DAR,rel_pos.DAR,count.DAR,9mo.2mo.log_ratio.DMR,18mo.2mo.log_ratio.DMR,count.DMR,18mo.9mo.log_ratio.DMR,18mo.9mo.Q.std.loops,18mo.9mo.T.min.loops,9mo.2mo.Q.median.loops,loop_size.log.max.loops,18mo.2mo.Q.mean.loops,18mo.9mo.Q.min.loops,18mo.2mo.Q.median.loops,9mo.2mo.Q.mean.loops,9mo.2mo.Q.min.loops,loop_size.log.median.loops,min_distance.log.std.loops,9mo.2mo.Q.std.loops,Qanova.min.loops,18mo.9mo.T.mean.loops,18mo.2mo.T.mean.loops,loop_size.log.mean.loops,18mo.2mo.T.median.loops,loop_size.log.min.loops,min_distance.log.max.loops,18mo.2mo.Q.min.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.std.atac,log2_distance.std.atac,log2_distance.min.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.std.atac,18mo.9mo.log_ratio.std.atac,18mo.9mo.log_ratio.min.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Dennd5b,0.004921745816245675,0.0,-0.04822406133636832,-0.004619218404404819,-0.0066399027220904825,0.0,0.0,0.00791350420564413,0.0006286785751581192,0.00212659016251564,0.0,0.0,0.0012442614580504595,0.0,-0.004711653781123459,0.0,-0.07203073726035654,0.0013665875047445296,-0.046703853160142896,0.0,0.0,-0.0896272375434637,0.0011312825558707118,0.00791350420564413,0.0011785121355205774,0.0,-0.11856514548882842,-0.22197346594184636,-0.06896187559701503,0.003377877762541175,0.005412725564092398,-0.029507587221451102,0.0,-0.0063694163970649245,-0.003927015422377735,0.0,-0.04872449323534966,0.0,0.0,0.0012093532085418702,0.0007816729880869388,0.0,0.0005849364399909973,0.0,0.027286052890121936,0.0,0.0,0.03195170920342207,0.0,-0.0020742272119969127,0.0,0.004460140354931355,0.0,0.006318620960228145,0.0,-0.004378309659659863,-0.02232195058837533,-0.001691895704716444,-0.021960755921900273,-0.17979166115634143,0.0,-0.016878716906066984,-0.0345554043748416,0.0021342836413532494,-0.031147300116717815,0.0004398898035287857,-0.05258876253850758,0.0039343745447695255,-0.012094593204092235,0.0006639537122100592,0.002198518365621567,0.00028929204680025575,0.0,0.0028037143032997847,1.0,1.0
Eif3k,0.009850984415970742,0.0,0.009972267558332533,0.0,-0.00046888500452041626,0.0,0.0,-0.002396342824213207,0.00165028122253716,0.015524108186364174,0.0,0.0,0.002265336401760578,0.0,0.00397948547732085,0.0,0.06998049137182534,0.007773025929927826,0.01784032807452604,0.0,0.0,0.02553146830527112,0.002769983448088169,0.021232711859047414,0.010977080389857292,0.0,0.007799423700198531,0.08851550497114659,0.05606677755247801,-0.043936868775635955,0.03097139537334442,-0.04683988052420318,0.0,-0.001770493451040238,-0.005185327194631099,0.0,0.040565127371810374,0.0,0.0,0.006349104344844818,0.0013400107994675635,0.0,0.00036558527499437333,0.0,0.0049852971173822876,0.0,0.0,0.0033633845299482347,0.0,0.01621034200536087,0.0,-0.01191807996481657,0.0,0.035886472342535856,0.0006476718932390213,-0.00010182115249335766,-0.01610539115499705,-0.0021934558020439,-0.0010523216100409628,0.04090319021139294,0.0,0.11600168535951524,0.008008687049150467,-0.031672848258167505,-0.05085319836158306,0.0036677888035774233,0.007087771501392126,0.023574771396815776,0.0009515552828088402,0.007639358267188073,0.007529038041830063,-0.004401720622554422,0.0,0.013831395786255599,1.0,0.0
Prdm2,0.029948695634957403,0.0,0.005882002194412052,0.0008969356119632721,-0.0008747367653995752,0.0,0.0,-0.0027307162480428816,-0.05035715222358703,0.005210145898163318,0.0,0.0,0.002673342484049499,0.0,-0.03063825018936768,0.0,0.04621693772263825,0.0019829443376511336,0.005788797789718956,0.0,0.0,0.010491552030434831,-0.0029663249477744104,-0.007189028481952846,-0.1834093848336488,0.0,0.024413595924852417,0.007773104254156351,0.03476703401654959,0.005500069600529968,0.031190746538341044,0.11055624663247726,0.0,-0.0010653173178434372,0.010191973519977183,0.0,0.03600878891535103,0.0,0.0,-0.0161902161128819,0.0013400107994675635,0.0,0.0008774046599864959,0.0,0.024250955427996813,0.0,0.0,0.007375900337938219,0.0,0.011188174516428262,0.0,0.006288066732231527,0.0,0.019595551297534257,0.0006476718932390213,0.006431703155394644,-0.014794750562869012,-0.0036595421331003307,-0.00105864857789129,0.013679417516104877,0.0,-0.19224621686153115,0.003927317573688924,0.005465179812163114,-0.01585255639627576,0.0006703665805980563,0.027092191120609642,0.023574771396815776,0.002421376444399357,0.0016238696733489632,-0.05918908166699111,0.00047526550944894554,0.0,0.0023710458958521486,1.0,0.0
Pdzrn3,-0.0155445537250489,0.0,0.0015341593977063895,0.0002989785373210907,-0.0010192381544038653,0.0,0.0,-0.0027307162480428816,0.0006286785751581192,-0.016162085235118865,0.0,0.0,0.0037512663332745434,0.0,0.0022154810174833985,0.0,-0.029202198428101837,0.0011308687494602054,-0.060108592407777904,0.0,0.0,-0.10110375210642815,-0.0021336001600138843,-0.007189028481952846,-0.11719333933782763,0.0,-0.04299297747900709,-0.08664725554641337,-0.05579045461141505,0.004126072758808732,0.0035881494730710985,0.1158515913481824,0.0,-0.002032445570221171,0.007091954601928591,0.0,-0.02003937647677958,0.0,0.0,-0.011201634113676846,0.0006700054183602333,0.0,0.0002632213989272714,0.0,-0.004454632941633463,0.0,0.0,-0.007264400289859623,0.0,-0.006949856169521809,0.0,-0.006682898828294128,0.0,0.00725031788344495,0.0,-0.0007636586856096983,-0.00966805192641914,-0.0036595421331003307,-0.008359211622737348,0.08322013586992398,0.0,0.07435313650872559,0.007942354325205087,0.003106359811499715,0.008043321054428816,0.00039453906007111075,-0.1537239686725661,0.002738324608653784,-0.004674712847918272,0.0022371324663981794,0.0009163802862167358,0.00028929204680025575,0.0,0.003163432376459241,1.0,2.0
2900005J15Rik,0.003858365509659052,0.0,0.0014574459567666053,0.0,0.01085700727533549,0.0,0.0,0.004681227933615446,0.005186598114669323,0.005529134422540665,0.0,0.0,0.0012356380373239517,0.0,0.004086462690029293,0.0,0.06834221698343754,0.0028329898696392774,0.00909308758797124,0.0,0.0,0.01202644345117733,0.014718201025389135,0.004681227933615446,0.005990046868100762,0.0,0.0658187210932374,-0.011535460301674903,0.023055353430099786,0.010053039360791445,-0.07814516745507717,-0.02350412554922514,0.0,-0.0015625568944960832,-0.0027972211921587584,0.0,0.05687453581020236,0.0,0.0,0.006349104344844818,0.0013400107994675635,0.0,0.00219351164996624,0.0,0.006213558726012707,0.0,0.0,0.025575917940586806,0.0,0.018248131913132966,0.0,0.017357988860458137,0.0,0.02280893076909706,0.0006476718932390213,-5.091057624667883e-05,0.1488775366311893,0.0062674044969026,-0.0012924043415114283,-0.040522585570579396,0.0,-0.2439064208860509,0.025739282444119452,0.010576319103129207,0.02056642008945346,0.002210567891597748,0.020093729011714457,0.004532399326562881,0.0024158325255848466,-0.06654013780411333,0.003579711141064763,0.00047526550944894554,0.0,0.00800388360861689,1.0,0.0
Trp53i11,0.021469741854816676,0.0,0.0022056409530341625,0.0,-0.0014250899292528629,0.0,0.0,-0.0014489515032619239,0.005186598114669323,0.005529134422540665,0.0,0.0,0.0014377044467255473,0.0,0.0038969003059901295,0.0,0.0877675906009972,0.0028329898696392774,0.009688069212716073,0.0,0.0,0.013655845958273858,0.014504943343345076,0.00835933543741703,0.00655002957675606,0.0,0.048680082820355894,0.02818577108439058,0.045559975230135025,0.01071810157969594,0.03097139537334442,-0.03773572735954076,0.0,-0.0015625568944960832,0.004260669853538275,0.0,0.06773800153285264,0.0,0.0,0.006349104344844818,0.0013400107994675635,0.0,0.0005118193849921227,0.0,-0.004407291654497385,0.0,0.0,-0.012292587459087371,0.0,0.010733756641857327,0.0,-0.011552494689822198,0.0,0.030486335596069693,0.0006476718932390213,-0.0001697019301354885,0.13894627985544503,0.009945511982077732,-0.0016487784264609217,-0.040698340706294404,0.0,-0.3471590639697388,0.02678570732474327,0.010031327246688307,0.02056642008945346,0.002210567891597748,0.03561828518752009,0.023574771396815776,0.00225372354965657,0.003294053981080651,0.0033610474877059458,0.00047526550944894554,0.0,0.009473838228732347,1.0,0.0
Dynlrb1,0.008577449431177228,0.0,0.009972267558332533,0.0,0.015663108229637145,0.0,0.0,-0.009864015802741051,0.0011001874692738057,0.00212659016251564,0.0,0.0,-0.014751243363134563,0.0,0.008814572542905807,0.0,-0.09042634382843971,0.0067097308486700055,0.01784032807452604,0.0,0.0,0.024893491256516426,0.005731895640492439,-0.020118133854120968,0.009489884674549103,0.0,-0.07650102474493906,0.0962185381166637,0.03145719135180116,0.0077247914299368855,0.007501215972006321,-0.0538481211499311,0.0,-0.0025387258525006473,-0.0066229294799268245,0.0,-0.016030107266269623,0.0,0.0,0.001965198963880539,0.00031266917940229175,0.0,0.00036558527499437333,0.0,-0.0027482688799500467,0.0,0.0,-0.01203163227532059,0.0,0.023008057118859143,0.0,0.0022958755283616484,0.0,0.02261777633102611,-0.0018313480424694717,-0.0001697019301354885,-0.019234792590141297,-0.010664248988032341,-0.0012559639383107424,0.10535217695869506,0.0,0.12495073979720474,0.015061289817094804,0.012514530830085278,0.020609181243926286,0.002458435595035553,-0.0017606378253549337,-0.08337726231664419,0.0006525406613945961,0.008098124414682389,0.006473321504890919,4.1187936440110206e-05,0.0,0.017908577620983124,1.0,1.0
Pnck,-0.027361060723196714,0.0,-8.392260875552892e-05,0.0,-0.006278649307787419,0.0,0.0,0.004681227933615446,-0.011221912573091686,-0.0720914065092802,0.0,0.0,-0.006035610772669315,0.0,0.0031847012182697654,0.0,0.07500051904004067,0.0012694394681602716,-0.06315334518440067,0.0,0.0,-0.08729951970279216,-0.003203277923166752,0.004681227933615446,0.0014086262136697768,0.0,-0.06796898739412427,-0.09213605825789273,-0.038559894282370805,0.0028861038526520133,-0.014592002513818442,-0.02631375282886438,0.0,0.055720363166183236,-0.010508441608399153,0.0,-0.0596041967254132,0.0,0.0,0.001284937784075737,0.00035733620636165144,0.0,0.0002632213989272714,0.0,-0.007131797252222896,0.0,0.0,-0.013239174981135875,0.0,0.008531327650416642,0.0,0.0016231986228376627,0.0,0.0029357923846691845,-0.003439360959455371,-0.0007127480953931808,-0.014216474937275052,0.0062674044969026,0.027049160059541465,-0.04297604841180146,0.0,-0.10078370133414864,0.006123201707378029,-0.031672848258167505,0.012261270694434643,-0.036481016427278516,-0.01710980464704335,-0.01463587274774909,-0.002490874081850052,-0.0024175401590764522,-0.01614715372212231,0.0006819026870653034,0.0,-0.05515479355119169,1.0,1.0
Rnf139,0.007522029597312212,0.0,0.007717684900853783,0.0,-0.0009823683509603144,0.0,0.0,0.004681227933615446,0.005186598114669323,-0.0720914065092802,0.0,0.0,0.002265336401760578,0.0,0.0030272953468374907,0.0,0.06563978720223532,0.0014394485531374812,-0.046703853160142896,0.0,0.0,-0.08937783915549517,0.0025922687165439127,0.004681227933615446,0.0015694747772067785,0.0,-0.05654992278898135,-0.1476504716090858,-0.018287405427545308,0.010136172138154508,-0.011519848667085171,-0.059226340608438476,0.0,-0.0020776491693686693,-0.013106438256800175,0.0,-0.03033679107669741,0.0,0.0,0.001284937784075737,0.0007816729880869388,0.0,0.0002632213989272714,0.0,-0.002662735711783171,0.0,0.0,-0.007264400289859623,0.0,-0.024108394333161413,0.0,-0.006682898828294128,0.0,-0.13635056003462523,0.0,-0.00023758270312100648,-0.018426150525920094,0.0062674044969026,0.0013053780887275935,0.0924206601898186,0.0,0.05955155608477071,0.00811434498988092,0.0046702494472265245,0.012261270694434643,0.0004398898035287857,-0.0018231778033077717,-0.011519848667085171,-0.0004095241357572377,0.0022073491383343934,0.0020522842556238174,0.0004129256005398929,0.0,0.0038984096981585026,1.0,1.0
Elfn1,0.03173137910664082,0.0,0.0025311068608425556,0.0008969356119632721,-0.0022065649181604386,0.0,0.0,0.004569770125672221,0.0011001874692738057,0.00212659016251564,0.0,0.0,0.002615609224885702,0.0,0.0019599172845482828,0.0,-0.09159043032675981,0.0027266603615134955,0.008558382268529386,0.0,0.0,0.012526159069966524,0.0021657533617690204,-0.002340613901615143,0.004393305559642613,0.0,0.051845729872584345,0.10591628482099623,0.03487243984360248,0.0049814097769558426,0.03170256592333317,0.08442019838490523,0.0,0.01028439194546081,-0.006565891820937395,0.0,-0.019954685657285153,0.0,0.0,0.006349104344844818,0.0005583378486335277,0.0,0.00219351164996624,0.0,0.030673735495656728,0.0,0.0,0.028694880325347186,0.0,0.012547392142005264,0.0,0.017357988860458137,0.0,0.023399204178713263,0.0,-0.000339403860270977,-0.030111832837574185,0.005155655147973448,-0.0026005378365516665,-0.09931908868486061,0.0,-0.3045933372108266,-0.024588280711323022,0.0034984701173380018,0.007205543965101242,0.002210567891597748,0.021901724226772785,0.023574771396815776,-0.0009463596157729626,0.003141439640894532,0.004384686257690191,0.0,0.0,0.00567591542378068,1.0,0.0
