gene_name,gene_length.meta,9mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,count.enhancer_DMR,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_peak,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.5kb-20kb.enhancer_peak,18mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.DAR,9mo.2mo.log_ratio.DMR,18mo.2mo.log_ratio.DMR,count.DMR,18mo.9mo.Q.std.loops,18mo.9mo.T.min.loops,9mo.2mo.Q.median.loops,loop_size.log.max.loops,18mo.2mo.Q.mean.loops,9mo.2mo.Q.min.loops,9mo.2mo.Q.mean.loops,9mo.2mo.Q.std.loops,Qanova.min.loops,18mo.9mo.T.mean.loops,18mo.2mo.T.mean.loops,loop_size.log.mean.loops,loop_size.log.min.loops,min_distance.log.max.loops,18mo.2mo.Q.min.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.std.atac,log2_distance.min.atac,log2_distance.std.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.std.atac,18mo.9mo.log_ratio.std.atac,9mo.2mo.log_ratio.max.atac
Cenpp,188762.0,0.0,1,0.0,0.0,0.0,-0.1062054079108851,0.0,0.0,0.0110883832440746,0.1877931236983174,0.2809200860559493,0.0,0.0,-0.0655051705439344,-0.2562424000627219,-0.1426509928391805,0.4150374992668215,1.0,0.7369655941469699,0.0818638524014998,-0.0951170246668104,-0.0607871404376806,-0.0684492763644044,0,0.0,0.0,0,0.001463793657778,-0.0297885099999999,-0.0011634686999999,17.168211801797717,0.0013957683874999,-0.0027860529999999,-0.00113625967125,0.0008532742113086,0.046843104,0.10787371085,0.031309984375,14.98986743911083,13.63469762629172,15.74046593803534,-0.0016848867,-0.0004705018774019,-0.0091586441692084,-0.0096291460466103,-0.0004033274608374,-0.0030745427174591,0.1516486501403028,10.493855449240922,1.538447841459057,14.547617554902809,0.0416907091122615,9,-0.3308290372547697,-0.055573117649923,0.2610525046234321,0.2926061922693629,0.6084794009899974
Coa7,13404.0,0.1561192019168595,9,2.0,2.0,0.0193778343746566,0.0406281703262754,0.1683438245483541,1.0,-0.0313627746891911,0.0769367153917608,0.3908573347873056,0.2612896433527096,-0.0995356735505703,0.1929566477421795,-0.1508716423658631,0.0308353365072168,1.0780025119928358,3.0,0.8073549220421463,0.0333330766733415,-0.0749207111195975,0.0641684131805583,0.0634151406775602,2,0.0,0.0,0,0.0009198469598511,-0.207817223,0.0006356283,18.78685667527288,0.0007531504920454,-0.0016883781999999,0.0007086423568181,0.0009185088297184,0.034203198,-0.0217813707386363,0.0089027762727272,17.630234938897516,15.68266546424581,13.978352958165145,-0.0020698016999999,-0.001558808534598,0.0221257037515793,0.0205668952169812,0.0307336755994216,0.112646687325169,0.2056034830197711,9.62021982550767,1.1660645627697348,12.561049226699696,0.0993146454317455,6,-0.0415447713554866,0.0802891804815914,0.1272180293515543,0.2236123512503446,0.2097677548678258
Gm14286,1203.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0043164877700546,-0.02246705064411,-0.0267835384141646,-0.0461898044199279,-0.0153487752442122,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Hint2,2239.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0009955771110751,-0.147971405,8.303429999999973e-05,19.241908689936324,0.0012020393,-0.0025607484,0.0002218855249999,0.0012084387727635,0.1693701,-0.0240163789166666,-0.0069863332499999,17.10703666704598,15.855914775539594,13.57778284915099,-0.0007230252,-0.0323714036753709,0.1048641833175845,0.0724927796422136,0.09039300820437,-0.0417483291710143,0.1822790256951476,10.14465824283201,0.6138891193798979,11.5152070304088,0.2451922106963984,4,-0.0233761885376986,-0.0805757176789597,0.2339368010764343,0.1596831050312354,0.4562732970236101
Unc13c,489544.0,-0.2115041051926764,3,2.0,2.0,0.0430506520054563,0.0,0.0,0.0,0.0,0.0,-0.222392421333013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.222392421333013,0.0,-0.0107560037690692,-0.0107560037690692,-0.0107560037690692,3,0.0,0.0,0,0.0006948242021995,-0.1157899499999999,-0.000245319,19.691075551144117,8.313475359999997e-05,-0.0019706105,-0.0002841980692,0.000600512965857,0.006324533,0.019772668092,0.0259284812885,17.528591782927393,13.725366257895642,17.946369457690803,-0.0018623367,0.0002077458964675,-0.0068542253248396,-0.006646479428372,-0.0368641639947557,-0.0135961572009113,0.5753034456648909,10.488844346457435,2.8008418660682,17.81698987105505,-0.1219204811164484,10,-1.1625180654231653,-0.2510091423872683,0.4799306689998577,0.4047862103021417,0.7870901302633194
Dnajc16,30742.0,0.0,1,0.0,0.0,0.0,0.1940211176854447,0.0,0.0,-0.0664362818154149,0.2178668928862404,0.4075030827317345,0.0,0.0,0.5242162356924491,0.1004596866128455,0.261097171464776,0.5145731728235754,2.0,0.7884958948007657,0.0910070281985657,0.3102376598750274,0.3788771138053302,0.3344362275518224,7,-0.4260197532036362,-0.9678297487747568,6,0.0011319880164595,-0.03194683,-1.2263100000000238e-05,16.947385814112096,0.0016779647999999,-0.0014406804999999,2.2920800000000023e-05,0.0010478627273879,0.30117983,0.0294237027142857,-0.0318380910714285,16.16296320856368,15.105663020063565,14.485011650455208,8.659100000000045e-05,-0.0126221836736244,0.0063219727212704,-0.0063002109523539,0.0195130688085654,0.0757994793516997,0.4008333383460795,6.523561956058581,2.0882494179442346,13.750183568942113,0.3831060422093119,11,-0.0953311696902896,0.1424145743339972,0.2221526563566002,0.2685025860892931,0.7049613388722189
Prpf4,18193.0,0.0,16,0.0,0.0,0.0,0.0404585267788846,0.0,0.0,-0.1662994850021921,0.1602834481690154,-0.0236869847089934,0.0,0.0,0.1988977615215899,-0.1775903511148149,0.0273672024107409,1.7369655941325433,2.0,1.4150374992487875,0.0078678721015008,-0.1181773016634082,0.0635866139596763,0.0737454371095127,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0143217601636567,0.0015990363992235,0.0159207965628803,0.074254204678884,0.0025915584248864,0.3325302955980911,9.625708843064649,1.9293721879922456,13.371095967259546,-0.2577995483942758,3,-0.6721999883030196,-0.033329962917843,0.5553170625922559,0.2327816885129502,0.2038912590429409
Pdcd2l,12162.0,0.0,13,0.0,0.0,0.0,0.2076557610465692,0.2072729591936788,2.0,-0.1255360234456675,0.3208476989801041,0.5427831442155416,0.1849984692808123,-0.3785116232520655,0.2645501302224415,0.0854656055012665,0.1914880325271301,0.9999999999855732,0.0,0.8479969065421264,0.0658132578138769,0.0497855381650915,0.2685643814245643,0.2795413479086992,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0317602231405875,-0.0016450433740404,0.0301151797665471,0.1589303484402503,0.1440381337240365,0.3990658943592278,10.758223214726808,0.8001503700854578,12.608485856495342,0.1341680592987653,4,-0.1784834494884933,0.1194322905756857,0.2421384520072593,0.3943549484047712,0.3896110024875298
Thbs3,11657.0,-0.8300749985559346,17,6.0,10.0,0.7389487406894958,-0.024192021476562,0.2179208078740657,3.0,-0.037108090009486,0.1602517228060938,-0.2300323493231331,0.0997830772253367,-0.2730184944053793,-0.0205152377904416,-0.0394993007189521,-0.0280688533286519,-0.3219280948837557,3.0,0.4854268271661199,0.074313768665625,-0.0766073907284381,0.125010723094672,0.1360597013295317,2,0.0,0.0,0,0.0018148848863671,-0.0738168783,-0.0009397179999999,19.274903615415894,0.0009075614733333,-0.0025598059999999,-0.0008425709133333,0.0011074379782897,0.3325626,0.06366246338,-0.0130359472866666,17.097066424856532,15.729806591146414,14.037890085142507,-0.001531367,0.0071966531536445,0.1446287446498765,0.1518253978035211,0.0234602180240639,0.0479710486889248,0.2472276171319535,8.98868468677245,0.9389962531963392,11.55889898114675,0.2365079075175792,9,-0.0024510138850852,0.1038280582807634,0.1897194985726247,0.1455467621897689,0.4508816608017771
Slc35b3,28739.0,0.4150374992771271,4,1.0,1.0,-0.0206575695407313,-0.3451829291296393,0.0795051350963818,1.0,0.2637239340182677,0.2637239340182677,0.2297158093161895,-0.1656853446237809,1.1699250014222748,-0.3451829291296393,-0.3451829291296393,-0.3451829291296393,-0.1926450779398196,1.0,0.459431618632379,0.2637239340182677,-0.0814589951113715,-0.0783689339020878,-0.0783689339020878,0,0.0,0.0,0,0.0009889621534312,-0.030791514,2.5441585000000064e-05,21.323473734623093,0.0008196642981818,-0.0005038282999999,0.0001651616713636,0.0004829419352988,0.0023626457,0.084892564290909,0.0503039622090909,19.420440471589213,16.23752742033181,14.48148412294613,-0.0008887721,0.025697446328758,-0.0383818354968395,-0.0126843891680815,-0.0527099190231466,0.0218627261201718,0.1631621384177252,11.335948565202353,1.2355051025344013,13.507175218506616,-0.2515940877262378,3,-0.4558820814101034,-0.0161069648084507,0.2174139071794509,0.1152539930780278,-0.0374527243915068
