,DEG,pred,score_0,score_1,score_2
Cenpp,1,2,0.1966673880815506,0.342347651720047,0.4609849154949188
Coa7,1,0,0.5394907593727112,0.42479005455970764,0.03571918606758118
Gm14286,1,1,0.15477702021598816,0.7579753398895264,0.08724760264158249
Hint2,1,1,0.3552820086479187,0.5565428137779236,0.08817517012357712
Unc13c,1,1,0.2592487633228302,0.38409197330474854,0.35665926337242126
Dnajc16,1,0,0.644015908241272,0.29524898529052734,0.06073512136936188
Prpf4,1,1,0.31590816378593445,0.6465703845024109,0.037521447986364365
Pdcd2l,1,0,0.5406582355499268,0.39821118116378784,0.0611305758357048
Thbs3,1,0,0.573485791683197,0.3744005858898163,0.052113644778728485
Slc35b3,1,1,0.15957550704479218,0.6905132532119751,0.14991119503974915
Smim7,1,0,0.510392963886261,0.4582509696483612,0.031356081366539
Arl14ep,1,1,0.2555979788303375,0.675430953502655,0.06897108256816864
Snrpc,1,1,0.39144542813301086,0.5412126779556274,0.0673418641090393
Polr3h,1,0,0.6502587199211121,0.2907700538635254,0.058971207588911057
Fam126b,1,2,0.2130947709083557,0.24646565318107605,0.5404396057128906
Dclre1c,1,1,0.4823261499404907,0.48827826976776123,0.0293955709785223
Ngly1,1,1,0.34610313177108765,0.47044941782951355,0.18344739079475403
Ccnt2,1,1,0.2138948142528534,0.5890785455703735,0.19702664017677307
Crk,1,1,0.43756356835365295,0.5024355053901672,0.06000097841024399
Nt5c,1,1,0.390819251537323,0.5656101107597351,0.0435706228017807
Gm29514,1,1,0.17028866708278656,0.4735886752605438,0.3561226427555084
Fam129b,1,0,0.7168025970458984,0.22420641779899597,0.058990973979234695
Sec11c,1,1,0.28302833437919617,0.6437575221061707,0.07321416586637497
Zc3h12b,1,1,0.29933539032936096,0.41998153924942017,0.28068310022354126
1300017J02Rik,1,1,0.277281254529953,0.5415547490119934,0.18116401135921478
Rps27a,1,1,0.2789520025253296,0.5942427515983582,0.12680521607398987
Gm11290,1,1,0.15675772726535797,0.7202494144439697,0.1229928657412529
Slc26a4,1,1,0.2644581198692322,0.4450591802597046,0.29048267006874084
Zfp579,1,1,0.37474796175956726,0.5697473883628845,0.05550462380051613
Tubb4b,1,1,0.30561813712120056,0.6430160999298096,0.05136571452021599
Naga,1,1,0.26530203223228455,0.6682828664779663,0.06641513109207153
Thsd7a,1,2,0.2377828061580658,0.2493038922548294,0.5129132866859436
Kansl2,1,0,0.5103113651275635,0.45114079117774963,0.038547810167074203
Trmt2b,1,1,0.24535943567752838,0.5384458899497986,0.21619470417499542
Atg16l2,1,0,0.6049026846885681,0.36548176407814026,0.029615579172968864
Nabp1,1,1,0.17323145270347595,0.7361729145050049,0.09059561789035797
Skap1,1,0,0.4239376485347748,0.29471057653427124,0.2813517153263092
Tmod1,1,2,0.1858377307653427,0.2981778383255005,0.5159844160079956
Smad4,1,1,0.1828446239233017,0.472601056098938,0.3445543646812439
Pex12,1,0,0.5039987564086914,0.38155433535575867,0.11444689333438873
