gene_name,gene_length.meta,9mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,count.enhancer_DMR,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_peak,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.5kb-20kb.enhancer_peak,18mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.DAR,9mo.2mo.log_ratio.DMR,18mo.2mo.log_ratio.DMR,count.DMR,18mo.9mo.Q.std.loops,18mo.9mo.T.min.loops,9mo.2mo.Q.median.loops,loop_size.log.max.loops,18mo.2mo.Q.mean.loops,9mo.2mo.Q.min.loops,9mo.2mo.Q.mean.loops,9mo.2mo.Q.std.loops,Qanova.min.loops,18mo.9mo.T.mean.loops,18mo.2mo.T.mean.loops,loop_size.log.mean.loops,loop_size.log.min.loops,min_distance.log.max.loops,18mo.2mo.Q.min.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.std.atac,log2_distance.min.atac,log2_distance.std.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.std.atac,18mo.9mo.log_ratio.std.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Cenpp,0.0025133538525551557,-0.007037014961242676,-0.04211777066811919,-0.021690381951630117,0.0,0.0,-0.01301019448786974,0.0,-0.018039894104003907,0.0,0.00641124565154314,0.0,-0.01772472302429378,0.001829821541905403,-0.03786634469404817,0.0,-0.008163587730377913,0.0,0.0,-0.003246103241108358,0.0,0.00709101771004498,-0.1485351018793881,0.0006407122127711773,-0.09488128039985895,-0.016963633447885512,-0.05129114050418138,-0.009267900362610817,0.17697172588668764,-0.01729921402875334,0.0,-0.0006063351966440677,-0.005935252467170357,0.03893459225073457,0.002686177920550108,0.0,-0.002840396706014872,-0.07843635505996645,-0.007001828029751777,0.08964084910228848,0.004569912850856781,0.002564498260617256,-0.035175221413373946,-0.029676731918007137,-0.005514240972697735,-0.01085185308009386,-0.07341354409232735,-0.13861967042088508,0.01313094848766923,-0.021830097893252968,0.0,0.0019258194882422685,-0.03394915726035833,0.0,0.0,-0.0026304407976567743,0.0,0.0,0.0007517237402498722,1.0,2.0
Gm14286,0.0025133538525551557,-0.007037014961242676,-0.049935528924688694,-0.0048200848698616025,0.0,0.0,0.002748632617294788,0.0,-0.03783631652593613,0.0,0.00641124565154314,0.0,-0.04637607462704182,0.0032957587391138077,0.010214052516967059,0.0,0.0031541134417057038,0.0,0.0,0.0021436530817300083,0.0,0.005786288734525442,-0.1622446171194315,-0.0035181107837706804,-0.0947013035044074,-0.006254747528582811,-0.04498894933611155,-0.009267900362610817,-0.12342100706417114,-0.02178661254700273,0.0,-0.0006063351966440677,0.005456005316227674,-0.021263771820813418,-0.01042678527534008,0.0,0.003011141400784254,0.01636540181003511,0.0012898104265332221,0.06685985317453742,0.004569912850856781,0.002564498260617256,-0.020587984323501587,-0.039928397024050356,-0.006983441477641464,-0.012561915777623653,-0.16106476090848446,-0.21044959442690014,-0.03056636778637767,0.052983093289658424,0.0,-0.00571533520705998,-0.04981457244604826,0.0,0.0,-0.0013316882587969302,0.0,0.0,-0.007517237365245819,1.0,1.0
Unc13c,-0.01095913115888834,0.018142304196953774,-0.030779275204986335,0.0024100424349308013,0.0,0.0,0.002748632617294788,0.0,-0.02106705170124769,0.0,0.001587546542286873,0.0,-0.04637607462704182,0.0038026678562164307,0.006145452195778489,0.0,0.0018553609028458596,0.0,0.0,0.0013474391121417284,0.0,0.005786288734525442,-0.24533601805567742,-0.0035181107837706804,0.06111296441406012,-0.00398029413074255,-0.03052440382540226,-0.008742243964225054,-0.13255311810411513,0.02773829677142203,0.0,-0.0006063351966440677,0.010028570611029863,-0.021263771820813418,0.0499603109061718,0.0,0.005641259271651506,0.017991265319287776,-0.026809631008654834,0.04330828701145947,0.004569912850856781,-0.0068386620283126835,0.11612293142825365,-0.026915794145315884,-0.006983441477641464,-0.006859569065272808,-0.1487773578800261,-0.1709015792608261,-0.08756575487554073,-0.01087781175156124,0.0,0.0015530802216380834,-0.04981457244604826,0.0,0.0,0.012983763236552476,0.0,0.0,0.003651229739189148,1.0,1.0
Prpf4,0.0025133538525551557,-0.0019241837784647942,0.11095313531346619,-0.0048200848698616025,0.0,0.0,0.002748632617294788,0.0,-0.03783631652593613,0.0,0.00641124565154314,0.0,-0.04637607462704182,0.0032957587391138077,0.015635849349200724,0.0,0.0031541134417057038,0.0,0.0,-0.01433185205794871,0.0,-0.01704090545885265,0.04516447752714157,-0.009387928266078234,-0.07751440618652851,-0.016963633447885512,-0.030689830891788006,-0.008069012600462883,-0.0918205230589956,-0.02178661254700273,0.0,-0.0006063351966440677,0.007303196936845779,-0.014167011510580777,-0.01042678527534008,0.0,0.003011141400784254,0.018229097966104744,0.0012898104265332221,0.08033609263598919,0.019231716580688955,0.002564498260617256,-0.020587984323501587,-0.025204421980306507,-0.006983441477641464,-0.011108362451195716,0.06703424151055515,-0.0721920038573444,0.011270902212709188,0.01227894375100732,0.0,0.0015530802216380834,-0.040716491546481846,0.0,0.0,0.0023530774004757405,0.0,0.0,-0.007517237365245819,1.0,1.0
Arl14ep,0.0025133538525551557,0.018142304196953774,-0.03738977625966072,0.018362228125333786,0.0,0.0,-0.01301019448786974,0.0,-0.01796136371791363,0.0,-0.006228067204356194,0.0,-0.0170684664696455,0.001596175543963909,-0.012273989198729397,0.0,-0.004823938347399235,0.0,0.0,-0.003246103241108358,0.0,-0.031174160512164234,-0.134966513030231,-0.014111070036888123,-0.04903376776725054,-0.016963633447885512,-0.04205204551108181,-0.009221505681052804,-0.06597184266895056,0.033493397952988745,0.0,-0.0006063351966440677,-0.02358564192429185,-0.004805469885468483,-0.005547515619546175,0.0,-0.011898256819695235,0.012127066007815301,0.0019347156397998334,-0.14717644771561025,-0.022468738183379175,0.0003663568943738937,-0.015352532416582108,0.12066221428103745,0.015624199425801635,-0.005299429818987847,0.09056705601513386,0.07373613062314689,0.008478945400565863,-0.036273031850578265,0.0,0.0015530802216380834,-0.04841425469145179,0.0,0.0,-0.0016197941824793816,0.0,0.0,-0.007517237365245819,1.0,1.0
Dclre1c,0.0025133538525551557,0.018142304196953774,-0.046754697915166614,0.0024100424349308013,0.0,0.0,0.013743163086473942,0.0,0.08194434732198715,0.0,0.00641124565154314,0.0,0.0698165712878108,0.013398373872041703,0.0029839251097291707,0.0,0.012616453766822815,0.0,0.0,-0.003246103241108358,0.0,0.012781244507059454,0.1784630176052451,-0.009387928266078234,-0.04648425746709108,-0.016963633447885512,-0.04813794374465943,-0.028029023446142675,-0.05940215065144003,-0.030840121614746748,0.0,-0.0006063351966440677,0.007303196936845779,-0.0031534331291913987,-0.01042678527534008,0.0,0.003011141400784254,0.02029031440615654,0.0012898104265332221,0.08623506833799183,0.019231716580688955,0.002564498260617256,-0.008901366379577667,0.07905469881370664,-0.006983441477641464,-0.005299429818987847,0.014989937813952565,0.08530212110374123,0.02502778738737106,-0.020469977743923663,0.0,0.0015530802216380834,0.019737648591399194,0.0,0.0,0.012448012651875616,0.0,0.0,0.0007517237402498722,1.0,1.0
Ccnt2,0.0025133538525551557,-0.007037014961242676,-0.052952813059091566,-0.0048200848698616025,0.0,0.0,-0.01301019448786974,0.0,-0.02521986301988363,0.0,0.0023813198134303095,0.0,-0.0170684664696455,-0.0034819166734814644,0.010214052516967059,0.0,-0.008163587730377913,0.0,0.0,0.0021436530817300083,0.0,-0.028745463509112598,-0.178870110809803,-0.009293465446680783,-0.06714329401031137,-0.016963633447885512,-0.04537838250398636,-0.02532564736902714,-0.06296759291552007,0.033493397952988745,0.0,-0.0015591476485133171,-0.02358564192429185,-0.004805469885468483,-0.005547515619546175,0.0,-0.011898256819695235,-0.02760421546176076,0.0019347156397998334,-0.1954484575241804,-0.022468738183379175,0.0005495353415608406,-0.02300191977992654,-0.03653931413544342,-0.01686137108132243,0.014259086474776268,-0.008150803809985518,0.08771055187098682,0.008924452234059571,-0.03188269510981627,0.0,0.0019258194882422685,-0.04915016951039433,0.0,0.0,0.0005737032834440469,0.0,0.0,-0.007517237365245819,1.0,1.0
1300017J02Rik,0.0025133538525551557,-0.007037014961242676,-0.05730117958039045,-0.0048200848698616025,0.0,0.0,0.002748632617294788,0.0,-0.029822153188288212,0.0,0.00641124565154314,0.0,-0.03429323129355907,0.007604486458003521,0.010214052516967059,0.0,0.0031541134417057038,0.0,0.0,0.0021436530817300083,0.0,0.015490175662562252,0.1784630176052451,0.00793813575990498,-0.04913422055542469,-0.006254747528582811,-0.05623595390468836,-0.028029023446142675,-0.07429125047288836,-0.030840121614746748,0.0,-0.0006063351966440677,0.007303196936845779,-0.011902230195701122,-0.01042678527534008,0.0,0.003011141400784254,0.018229097966104744,0.0012898104265332221,0.09472684072330594,0.019231716580688955,0.002564498260617256,-0.020587984323501587,-0.03510753965936601,-0.006983441477641464,-0.012561915777623653,-0.10727774948813021,0.10961663262918592,0.011144465394318103,-0.022805263213813307,0.0,0.0015530802216380834,0.03611339306458831,0.0,0.0,0.001872455822303891,0.0,0.0,0.0007517237402498722,1.0,1.0
Tubb4b,0.0025133538525551557,-0.007037014961242676,-0.05730117958039045,-0.0048200848698616025,0.0,0.0,0.002748632617294788,0.0,-0.03783631652593613,0.0,0.0023813198134303095,0.0,-0.03429323129355907,0.0032957587391138077,0.010214052516967059,0.0,0.0031541134417057038,0.0,0.0,0.0021436530817300083,0.0,0.015490175662562252,-0.14375152286142112,-0.009293465446680783,-0.10970986306667328,-0.016963633447885512,-0.060799541734158996,-0.028029023446142675,-0.08606317986734212,-0.030840121614746748,0.0,-0.0003464772552251816,0.01996816907078028,-0.004805469885468483,0.002686177920550108,0.0,-0.002359448354691267,0.02082180477678776,0.0012898104265332221,0.03555187378078699,-0.022468738183379175,0.0005495353415608406,-0.03211153803393245,-0.024255933051463216,0.011789263347163797,0.014259086474776268,0.10433653364889324,0.09270967081654817,0.01357645532116294,-0.03257721648551524,0.0,0.0015530802216380834,-0.03547365562990308,0.0,0.0,0.0023530774004757405,0.0,0.0,0.0007517237402498722,1.0,1.0
Kansl2,0.0025133538525551557,-0.007037014961242676,-0.04411704202648252,-0.0048200848698616025,0.0,0.0,0.002748632617294788,0.0,-0.025903303176164627,0.0,0.0023813198134303095,0.0,-0.023602496683597565,0.006863931342959404,0.010214052516967059,0.0,0.0031541134417057038,0.0,0.0,-0.003246103241108358,0.0,0.005774451131001115,0.13949204184114933,-0.009387928266078234,-0.04336029771715402,0.03032604854553938,0.014890515096485615,0.07049269784241914,-0.021531168157234788,0.019383735258597882,0.0,-0.0006063351966440677,0.0125794021692127,-0.004805469885468483,0.002686177920550108,0.0,-0.002359448354691267,0.030350346574559806,0.0019347156397998334,-0.10282169220037758,0.019231716580688955,0.0005495353415608406,-0.023502877708524467,0.103013148563914,0.016862937109544875,0.0050926973670721055,0.05207710432820022,0.11701539856381714,0.010549353957176209,0.059861848370637745,0.0,0.006336567234247923,0.040288676414638756,0.0,0.0,0.0023530774004757405,0.0,0.0,0.0007517237402498722,1.0,0.0
