gene_name,gene_length.meta,9mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,count.enhancer_DMR,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_peak,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.5kb-20kb.enhancer_peak,18mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.DAR,9mo.2mo.log_ratio.DMR,18mo.2mo.log_ratio.DMR,count.DMR,18mo.9mo.Q.std.loops,18mo.9mo.T.min.loops,9mo.2mo.Q.median.loops,loop_size.log.max.loops,18mo.2mo.Q.mean.loops,9mo.2mo.Q.min.loops,9mo.2mo.Q.mean.loops,9mo.2mo.Q.std.loops,Qanova.min.loops,18mo.9mo.T.mean.loops,18mo.2mo.T.mean.loops,loop_size.log.mean.loops,loop_size.log.min.loops,min_distance.log.max.loops,18mo.2mo.Q.min.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.std.atac,log2_distance.min.atac,log2_distance.std.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.std.atac,18mo.9mo.log_ratio.std.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Cenpp,-0.04251674056053162,0.0,0.0,0.0,0.0,0.0,-0.001051378883421421,0.002210919763892889,0.0,0.0,0.008675076346844435,0.0,-0.0006677279900759458,0.0,-0.002738714199513197,0.0,0.0,-0.009764059027656913,0.0010021158307790756,0.03374135678634047,-0.03891916781663895,0.0,0.0,0.0,0.04654711002483964,0.0,0.016833230275660752,0.0,0.0,0.0,-0.06928857633844018,0.0,0.05471682191826403,-0.026823901794850825,-0.0007164124399423599,0.007658716402947903,-0.0005953773856163025,0.011622413033619524,0.0,-0.01436155004426837,0.0,0.0013264815509319305,0.0,-0.008340935208834707,0.0,0.00035271751694381236,0.015562079157680273,0.10240104884374887,0.0,0.018732097242027523,0.005909908935427666,-0.025685981307178737,0.0,-0.15620365490671248,0.0,0.018324215756729247,0.0,0.0,0.0,1.0,2.0
Gm14286,0.025069878548383714,0.0,0.0,0.0,0.0,0.0,-0.00040886956732720135,0.007623861245810985,0.0,0.0,0.022662071334198116,0.0,-0.0006677279900759458,0.0,-0.0006679790932685136,0.0,0.0,-0.0058211103780195115,0.004008463229984045,-0.020567722860723735,0.04935914808884263,0.0,0.0,0.0,0.033050588117912415,0.0,0.038587446548044683,0.0,0.0,0.0,0.061754880603402854,0.0,-0.01283077608793974,0.018135667722672225,-0.0007164124399423599,0.03185212843120098,-0.0003969182725995779,-0.0024402803368866444,0.0,-0.004876247243955732,0.0,0.0018791821971535683,0.0,-0.00629826292861253,0.0,0.00035271751694381236,0.015562079157680273,0.10143546732142568,0.0,-0.03441797440871596,0.00971046410035342,0.02022573374211788,0.0,0.21760773207992315,0.0,0.015840843319892883,0.0,0.0,0.0,1.0,1.0
Unc13c,-0.04757576562464237,0.0,0.0,0.0,0.0,0.0,-0.00040886956732720135,0.002210919763892889,0.0,0.0,0.007506502419710159,0.0,-0.0006677279900759458,0.0,-0.00046758536249399187,0.0,0.0,-0.0058211103780195115,0.0016284381877630948,-0.03591472927480936,0.050796169741079214,0.0,0.0,0.0,-0.018678103853017092,0.0,0.016833230275660752,0.0,0.0,0.0,-0.05485536669380963,0.0,-0.030446496298536657,0.0038375223707407713,-0.005134289152920246,0.007658716402947903,-0.0005953773856163025,-0.004452475477010011,0.0,0.012558006569743157,0.0,-0.03448852032423019,0.0,-0.005711039290763438,0.0,0.00035271751694381236,0.005757073387503624,0.08258127318695188,0.0,0.010617263000458479,-0.01794478762894869,-0.05565976679325104,0.0,-0.24569946640636772,0.0,0.05329761503264308,0.0,0.0,0.0,1.0,1.0
Prpf4,0.025069878548383714,0.0,0.0,0.0,0.0,0.0,-0.00023363975808024406,0.002210919763892889,0.0,0.0,0.02255684508010745,0.0,-0.0006677279900759458,0.0,-0.0006679790932685136,0.0,0.0,0.05165994490962476,0.004008463229984045,0.015321058910340071,0.02493681156076491,0.0,0.0,0.0,0.033050588117912415,0.0,0.031043645162135362,0.0,0.0,0.0,0.044012642614543435,0.0,-0.01283077608793974,0.018135667722672225,-0.0007164124399423599,0.03185212843120098,-0.0003969182725995779,-0.004452475477010011,0.0,-0.004876247243955732,0.0,0.0018791821971535683,0.0,-0.0018075353233143686,0.0,0.002292663846164942,0.015562079157680273,0.11003901429474354,0.0,-0.0445225309766829,-0.0336815831810236,-0.03211048737168312,0.0,0.22956571621820332,0.0,0.015840843319892883,0.0,0.0,0.0,1.0,1.0
Arl14ep,0.025069878548383714,0.0,0.0,0.0,0.0,0.0,0.0052860994101502,0.007623861245810985,0.0,0.0,-0.04157540621235967,0.0,-0.0006677279900759458,0.0,0.004876247318461538,0.0,0.0,0.044205822923686355,0.004008463229984045,0.05822675250470638,-0.0241077785147354,0.0,0.0,0.0,0.033050588117912415,0.0,0.022496599750593305,0.0,0.0,0.0,-0.026743480786681175,0.0,-0.011882184613496065,0.018135667722672225,-0.0007164124399423599,0.03185212843120098,-0.0003969182725995779,-0.0024402803368866444,0.0,0.004876247318461538,0.0,0.0013264815509319305,0.0,-0.011080096107907594,0.0,0.0007054350432008505,0.015562079157680273,0.08537403443828225,0.0,0.018732097242027523,0.0030106402514502406,0.04983597898855805,0.0,0.23193787802010774,0.0,0.015840843319892883,0.0,0.0,0.0,1.0,1.0
Dclre1c,0.017540166825056075,0.0,0.0,0.0,0.0,0.0,-0.001051378883421421,-0.004574316758662462,0.0,0.0,0.017442441126331688,0.0,-0.0006677279900759458,0.0,-0.0006679790932685136,0.0,0.0,-0.00993078670464456,0.004008463229984045,0.025425615496933462,-0.03308369869366288,0.0,0.0,0.0,0.039091380089521406,0.0,0.038587446548044683,0.0,0.0,0.0,0.044012642614543435,0.0,-0.015144442059099674,0.013076642658561469,-0.0007164124399423599,0.03185212843120098,-0.000469009093940258,-0.004452475477010011,0.0,-0.004876247243955732,0.0,0.0013264815509319305,0.0,-0.01394214563537389,0.0,0.00035271751694381236,0.015562079157680273,0.12389284540899098,0.0,0.018732097242027523,-0.020577766746282578,-0.02195125610101968,0.0,0.20908880418166517,0.0,-0.009110701028257609,0.0,0.0,0.0,1.0,1.0
Ccnt2,0.0015051257610321045,0.0,0.0,0.0,0.0,0.0,-0.001051378883421421,0.002210919763892889,0.0,0.0,0.008675076346844435,0.0,-0.00040063681080937386,0.0,-0.00046758536249399187,0.0,0.0,-0.008367973193526269,0.004008463229984045,-0.025810173079371453,-0.02383975377306342,0.0,0.0,0.0,0.04654711002483964,0.0,0.011088867941871285,0.0,0.0,0.0,-0.06677481992170214,0.0,0.042388232685625554,0.013076642658561469,-0.0007164124399423599,0.013146913014352321,-0.0005953773856163025,0.011622413033619524,0.0,0.012558006569743157,0.0,0.0013264815509319305,0.0,0.04956157092936337,0.0,0.00035271751694381236,0.015562079157680273,0.09049289798829704,0.0,-0.001477015893906355,0.005909908935427666,-0.010169073659926652,0.0,-0.03849109262228012,0.0,-0.007053403872996569,0.0,0.0,0.0,1.0,1.0
1300017J02Rik,0.025069878548383714,0.0,0.0,0.0,0.0,0.0,-0.001051378883421421,0.002210919763892889,0.0,0.0,0.022662071334198116,0.0,-0.00040063681080937386,0.0,-0.0006679790932685136,0.0,0.0,-0.008367973193526269,0.004008463229984045,0.025425615496933462,-0.02383975377306342,0.0,0.0,0.0,0.033050588117912415,0.0,0.03284308405593037,0.0,0.0,0.0,0.05343913858756423,0.0,-0.016093033533543348,0.018135667722672225,-0.0007164124399423599,0.03185212843120098,-0.0003969182725995779,-0.004452475477010011,0.0,-0.004876247243955732,0.0,0.0013264815509319305,0.0,0.045857544774189594,0.0,0.00035271751694381236,0.015562079157680273,0.10425755148753524,0.0,0.018732097242027523,0.011519063785672188,-0.029346401430666448,0.0,0.2577795176766813,0.0,-0.009110701028257609,0.0,0.0,0.0,1.0,1.0
Tubb4b,0.025069878548383714,0.0,0.0,0.0,0.0,0.0,-0.00040886956732720135,0.007623861245810985,0.0,0.0,0.008675076346844435,0.0,-0.0019364111684262752,0.0,-0.00046758536249399187,0.0,0.0,-0.00736360206734389,0.004008463229984045,-0.053424634374678134,0.05980479994323105,0.0,0.0,0.0,0.023217812776565552,0.0,0.02412560154683888,0.0,0.0,0.0,-0.06677481992170214,0.0,-0.016093033533543348,0.018135667722672225,-0.0007164124399423599,0.03185212843120098,-0.0003969182725995779,-0.005358296176418662,0.0,0.012558006569743157,0.0,0.004532145299017429,0.0,-0.00548487784806639,0.0,0.00035271751694381236,-0.017464212672784925,-0.051551136439666155,0.0,0.01879723256453872,0.0034188187960535288,0.061013208590447905,0.0,0.2577824108861387,0.0,-0.009110701028257609,0.0,0.0,0.0,1.0,1.0
Kansl2,0.025069878548383714,0.0,0.0,0.0,0.0,0.0,-0.001051378883421421,0.002210919763892889,0.0,0.0,0.008675076346844435,0.0,-0.0006677279900759458,0.0,-0.00046758536249399187,0.0,0.0,-0.00993078670464456,0.004008463229984045,0.048122196421027184,-0.021587524944916368,0.0,0.0,0.0,0.026666662031784652,0.0,0.029869963880628347,0.0,0.0,0.0,-0.0584005163423717,0.0,-0.015144442059099674,0.018135667722672225,-0.0007164124399423599,0.03185212843120098,-0.0003969182725995779,-0.003273777551949024,0.0,0.012558006569743157,0.0,0.0008843210339546203,0.0,-0.01394214563537389,0.0,0.00035271751694381236,-0.05121248580515385,0.06943487195298076,0.0,-0.022635585386306046,0.005909908935427666,0.017286904640495777,0.0,0.25450913306325673,0.0,-0.009110701028257609,0.0,0.0,0.0,1.0,0.0
