,DEG,pred,score_0,score_1,score_2
Bcl7b,1,0,0.7794184684753418,0.19115625321865082,0.029425254091620445
Cactin,1,0,0.5946640968322754,0.37924113869667053,0.026094723492860794
Iscu,1,1,0.370794415473938,0.593252420425415,0.03595314919948578
Fam20b,1,1,0.11951196938753128,0.5098176598548889,0.3706703782081604
Nr4a2,1,1,0.289019376039505,0.6221868991851807,0.08879371732473373
Wnt5a,1,1,0.1894562989473343,0.6906955242156982,0.11984819173812866
Btg2,1,1,0.38320207595825195,0.5780364871025085,0.03876148909330368
Sec23a,1,0,0.4179788827896118,0.4102141857147217,0.1718069612979889
Igdcc3,1,0,0.6309903860092163,0.31837132573127747,0.050638262182474136
Prnp,1,1,0.36214494705200195,0.4816466271877289,0.15620847046375275
Abcb8,1,0,0.7591638565063477,0.2272680550813675,0.013568056747317314
Rsbn1l,1,1,0.2389674037694931,0.5801864862442017,0.18084612488746643
Pantr1,1,1,0.22220833599567413,0.48957550525665283,0.28821611404418945
Gm16124,1,1,0.1871747225522995,0.7126724720001221,0.10015282779932022
Deptor,1,2,0.1042119488120079,0.443733811378479,0.45205429196357727
Ulk1,1,1,0.40342700481414795,0.48217740654945374,0.11439560353755951
Slc19a2,1,1,0.3133452832698822,0.5314199328422546,0.15523476898670197
Klf10,1,1,0.3112911581993103,0.650192141532898,0.03851672261953354
Gprin3,1,2,0.2487601935863495,0.2996426820755005,0.45159712433815
Rnf130,1,0,0.429111510515213,0.4035325050354004,0.1673559695482254
Tmem80,1,0,0.4937340021133423,0.4572148025035858,0.04905116185545921
Rwdd3,1,1,0.1340024322271347,0.5908319354057312,0.2751656174659729
Tspan14,1,0,0.451723575592041,0.35621148347854614,0.19206488132476807
Polr2k,1,1,0.2284325212240219,0.7206426858901978,0.050924837589263916
Pigx,1,1,0.30253365635871887,0.5887666940689087,0.10869964212179184
Mrps24,1,1,0.4758782386779785,0.49127545952796936,0.032846346497535706
Zfp46,1,1,0.45430049300193787,0.5292932987213135,0.016406191512942314
Nup205,1,1,0.23862721025943756,0.6576476693153381,0.10372507572174072
Trim35,1,1,0.44288012385368347,0.4594767391681671,0.09764312952756882
Scfd2,1,2,0.09775502979755402,0.17089217901229858,0.7313528060913086
Supt4a,1,0,0.534835159778595,0.44855165481567383,0.016613172367215157
Ttyh3,1,0,0.6489958167076111,0.274273157119751,0.07673101127147675
Wrnip1,1,1,0.2541825473308563,0.5615547299385071,0.1842626929283142
Arpc1a,1,1,0.37092816829681396,0.593673586845398,0.0353982150554657
Supt16,1,1,0.2404455691576004,0.4382263720035553,0.3213281035423279
Stard3,1,0,0.7769995331764221,0.1971798837184906,0.02582063153386116
Sart1,1,0,0.6579495072364807,0.3156913220882416,0.026359159499406815
Lrrc55,1,1,0.22417032718658447,0.4541718661785126,0.32165783643722534
4930447C04Rik,1,1,0.33681145310401917,0.4154653251171112,0.24772325158119202
Klhl33,1,1,0.2156948298215866,0.6182023882865906,0.16610273718833923
Gm12227,1,0,0.48195117712020874,0.39666441082954407,0.1213843896985054
Setd4,1,1,0.4213862121105194,0.5172978639602661,0.06131596490740776
Atpaf2,1,1,0.31741178035736084,0.5237634181976318,0.15882478654384613
Gm29514,1,2,0.1761091649532318,0.3178294897079468,0.5060613751411438
Iars2,1,0,0.547515332698822,0.3234737813472748,0.1290109008550644
Pex1,1,1,0.27682992815971375,0.47358226776123047,0.24958787858486176
