gene_name,gene_length.meta,9mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,count.enhancer_DMR,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_peak,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.5kb-20kb.enhancer_peak,18mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.DAR,9mo.2mo.log_ratio.DMR,18mo.2mo.log_ratio.DMR,count.DMR,18mo.9mo.Q.std.loops,18mo.9mo.T.min.loops,9mo.2mo.Q.median.loops,loop_size.log.max.loops,18mo.2mo.Q.mean.loops,9mo.2mo.Q.min.loops,9mo.2mo.Q.mean.loops,9mo.2mo.Q.std.loops,Qanova.min.loops,18mo.9mo.T.mean.loops,18mo.2mo.T.mean.loops,loop_size.log.mean.loops,loop_size.log.min.loops,min_distance.log.max.loops,18mo.2mo.Q.min.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.std.atac,log2_distance.min.atac,log2_distance.std.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.std.atac,18mo.9mo.log_ratio.std.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Bcl7b,0.052292388817295435,-0.002010779986158013,0.027885257937014102,-0.011164637748152018,0.0,0.0,0.013010814785957336,0.0,0.08497767329216004,0.00499704223126173,-0.002608305038884282,0.0,0.07517124893143773,0.008131728060543537,0.01623820973560214,0.002538440078496933,0.025136804301291706,0.0,0.0,0.008197240047156811,0.0,0.025846744254231453,0.06137661695480347,0.12326112650334835,0.0667967782728374,0.0,0.03042032606899738,-0.06367394691333175,0.02079298480413854,0.08612650097347796,0.001983519047498703,0.10302575780078768,-0.022328171050176024,-0.02806200787425041,-0.0003482605889439583,0.04123634830117226,-0.02103110672906041,0.02002789987716824,0.01267673311755061,0.015840539555065335,-0.0664969986025244,0.0,0.0,0.034188992474228144,0.0038717029010877013,-0.003027611873112619,0.05011702167801559,0.17023821948794648,0.03351464970037341,0.013930350327864289,0.0,0.0,0.05400764403864741,0.0214913892140612,0.0,-0.00504667405039072,0.001748087676241994,0.0003171003609895706,0.0,1.0,0.0
Iscu,0.05875443031080067,-0.001925380751490593,0.027885257937014102,0.014534440031275154,0.0,0.0,0.0005421172827482224,0.0,-0.04318063681945205,0.0008923289738595485,0.004756320985034108,0.0,-0.0516634931601584,-0.004031644407659769,0.03491973301395774,0.002538440078496933,0.006366834454238415,0.0,0.0,0.009504806213080884,0.0,0.013685763021931053,0.026713744439184665,0.06825498702004552,0.049205901827663184,0.0,-0.009483259543776512,-0.037391906585544345,-0.04192293406929821,0.08313511892687529,0.0038843914680182935,-0.04064962532371283,0.038475563628599045,-0.011272796289995312,0.006529885837808252,-0.034301082957535985,0.005757118603214622,0.012775528775528074,0.013850564043968916,-0.020788044896908105,0.013967337841168046,0.0,0.0,-0.012035391349345446,0.007429218771867454,0.018810075260698795,0.06152237374335527,-0.21970478306990116,0.03617186551913619,0.025073505949694663,0.0,0.0,0.04049214701866731,-0.05990985275246203,0.0,-0.011666593477129936,0.001748087676241994,0.0003171003609895706,0.0,1.0,1.0
Nr4a2,0.10875352868810297,-0.008899190910160542,0.007365917190909386,-0.007901106113567948,0.0,0.0,-0.01644422424957156,0.0,-0.04448586406186223,-0.005086275115609169,0.0019945862703025343,0.0,-0.02340147620998323,0.0063246704638004305,0.016565242391079663,0.0,0.010783322025090455,0.0,0.0,0.004689084617421031,0.0,-0.031043167943134903,-0.019302822332829237,-0.09677397606894374,0.05940590223297477,0.0,-0.009483259543776512,-0.018328804238699377,-0.06610621274914592,-0.10099968398921191,-0.004380271229892969,0.036828814274631444,0.024205050598829984,-0.015913750790059567,-0.004266192074865103,-0.03002526080235839,0.0019973676791414617,0.015496530611999333,0.0028265827801078557,0.011356053072959185,0.002517467876896262,0.0,0.0,-0.02168592929840088,0.0190389802493155,0.035903935134410855,-0.1252489759400487,-0.11147734568454325,0.030486410427838565,-0.03934642946347594,0.0,0.0,-0.05166178226936609,0.0021871422324329613,0.0,0.10323090406134725,-0.00238375598564744,0.0010305761732161045,0.0,1.0,1.0
Btg2,0.10178798086941242,0.020595322893932462,0.007365917190909386,0.04764399975538254,0.0,0.0,0.0005421172827482224,0.0,0.08529825987294316,0.0008923289738595485,-0.0029918793216347694,0.0,-0.03848580815829337,0.019358225483447313,0.013373157065361739,0.00657686747610569,0.016508337520062925,0.0,0.0,0.005464214757084846,0.0,0.0077774315513670445,-0.01996504792943597,-0.14336741071194412,-0.11194832485169172,0.0,-0.005419005453586578,-0.0543747884593904,-0.05955973559059203,-0.0776097174687311,0.0038843914680182935,-0.014792612460441888,0.04890878335572779,-0.02076485024765134,0.006529885837808252,-0.0343653754144907,-0.02103110672906041,-0.022220481666736305,0.013490464380010963,-0.08348767663817852,-0.030096326819621027,0.0,0.0,-0.014427805747836829,0.06217273716814816,0.012440698891878129,-0.047228491986170414,0.11936421346385032,0.015772148203104734,0.014319833936169743,0.0,0.0,0.014029348331969232,0.0044575894903391595,0.0,-0.006284724604338408,0.001748087676241994,0.0010305761732161045,0.0,1.0,1.0
Rsbn1l,-0.11785146952606737,-0.014965703710913658,-0.019291687905788422,0.01045952751301229,0.0,0.0,-0.01644422424957156,0.0,0.0628677543438971,0.0008923289738595485,0.0019945862703025343,0.0,-0.030824933368712663,0.0037193632405251266,-0.04743795977905393,-0.0011538363993167876,-0.10023593109101057,0.0,0.0,0.0024410078302025797,0.0,-0.0036316069588065145,-0.04917232360690832,-0.11128846356645226,0.12626597861759364,0.0,-0.009483259543776512,0.0393037088541314,-0.09325576645322144,-0.10357697960920632,-0.0010744061507284642,0.017999335918575526,0.02165612650103867,-0.015913750790059567,-0.004266192074865103,-0.012766383858397602,0.0019973676791414617,0.005704218517057598,0.0027282521780580284,0.022085734438151122,0.0037035061977803707,0.0,0.0,0.0015857858397066594,-0.010989506086334587,-0.007061098804697395,-0.13318203646689653,-0.22993224144913257,0.022955787256360053,-0.03708544433116913,0.0,0.0,-0.19255239047575742,0.009953481028787792,0.0,-0.02031121648848057,0.001986463274806738,0.0010305761732161045,0.0,1.0,1.0
Ulk1,0.080766456509009,-0.0026558233052492142,0.007365917190909386,-0.007067335713654757,0.0,0.0,0.004517644159495831,0.0,0.046785584595054386,0.00499704223126173,0.004756320985034108,0.0,0.07643468905240297,-0.06944713013246656,0.037784785684198144,0.00657686747610569,0.019373390590772033,0.0,0.0,0.004689084617421031,0.0,0.013685763021931053,-0.031648517232388255,-0.09677397606894374,-0.07833158050663769,0.0,-0.009483259543776512,-0.04416412143036723,-0.07759997588582337,0.06657297804486006,-0.00016529325395822525,-0.134212198946625,0.05995538697578013,0.028176062256097794,-0.0003482605889439583,-0.01925944210961461,0.0019973676791414617,0.008030738071538509,0.011997305611148477,-0.1131431118818,0.013967337841168046,0.0,0.0,0.03526339862495661,0.005211401446722448,-0.006041740188375115,-0.022603686526417734,-0.1517713602632284,0.020684770289808512,-0.04524243731983006,0.0,0.0,0.04445559072773904,-0.0014311860175803303,0.0,-0.007751664780080318,0.001748087676241994,0.0010305761732161045,0.0,1.0,1.0
Klf10,0.06971521960571408,-0.002010779986158013,0.027885257937014102,-0.01625990158878267,0.0,0.0,0.0005421172827482224,0.0,-0.045108547676354645,-0.005086275115609169,0.016340263858437537,0.0,-0.03811524351127446,-0.004031644407659769,0.013373157065361739,-0.0005769181996583938,0.006366834454238415,0.0,0.0,0.007319769328460097,0.0,0.015484088771045209,0.06137661695480347,0.10854466104879976,-0.08609926239587366,0.0,0.03042032606899738,-0.055807552440091966,0.05854918873868883,-0.07190004536416382,-0.004380271229892969,-0.056739255879074336,-0.03255297969095409,-0.02076485024765134,-0.004266192074865103,-0.04940701626241207,0.0019973676791414617,0.020095596006140113,-0.025886888466775417,-0.03385805292986333,0.010026715751737357,0.0,0.0,-0.02214762322604656,0.020579978181049226,0.02681722475681454,-0.10078396026045083,0.16346377098932863,0.01620504917576909,-0.025536087844520806,0.0,0.0,0.005460262545384466,0.021277508372440933,0.0,-0.006284724604338408,0.0007945853285491467,0.0011098512634634971,0.0,1.0,1.0
Pigx,0.07604221011511982,-0.001925380751490593,0.011750392019748687,-0.01625990158878267,-0.0006324396282434464,0.0,0.00036141153424978256,0.0,-0.05534833822399378,-0.005086275115609169,-0.0013808674179017545,0.0,-0.020948195895180106,-0.017775825755670667,0.01623820973560214,-0.0005769181996583938,0.009231887105852366,0.0,0.0,-0.09952384751290083,0.0,0.015484088771045209,0.06137661695480347,0.08352036580443382,-0.08776540231890977,0.0,-0.009483259543776512,-0.06367394691333175,-0.051403373843058944,-0.1344657312426716,-0.0004958797618746757,0.04757746777497232,0.025892777061089875,-0.02806200787425041,-0.0007835863064974547,-0.04940701626241207,0.0012924144137650727,0.017071489095687866,-0.0016613411996513605,0.024109690813347698,0.0060549610946327445,0.0,0.0,-0.008169389208778738,-0.010595795260742306,-0.006904274402186275,0.038567079990170894,0.13869177190586923,0.015712338387966155,-0.008645027265883983,0.0,0.0,0.05829768627416342,-0.12656435147859157,0.0,-0.006284724604338408,0.001748087676241994,0.0003171003609895706,0.0,1.0,1.0
Scfd2,-0.12608956736512483,-0.013295155791565776,0.007365917190909386,-0.007901106113567948,0.0,0.0,0.0005421172827482224,0.0,-0.05036677904427052,0.0008923289738595485,0.016340263858437537,0.0,-0.04836254355497658,0.007489603436551988,-0.02391436856240034,-0.0011538363993167876,0.017281927578151227,0.0,0.0,0.002791765742003918,0.0,0.0018745288997888566,-0.052523296624422074,-0.13668434822931885,0.1819755956484005,0.0,0.03042032606899738,-0.028702855128794908,-0.028146573761478066,0.06657297804486006,-0.004380271229892969,-0.12777173882350326,-0.03548532088287175,0.028176062256097794,-0.004266192074865103,-0.04037733103148639,0.0019973676791414617,0.02696549639571458,0.0027295339945703745,-0.056874759369529786,0.01230235950089991,0.0,0.0,-0.027753766737878324,-0.005366878532804549,-0.008045992753468454,-0.12377088031731547,-0.20983997030183674,0.03863541945815086,-0.032348711295053366,0.0,0.0,0.00854874703567475,0.02066182208247483,0.0,-0.01607116488739848,-0.00238375598564744,-0.0028539032489061354,0.0,1.0,2.0
Wrnip1,0.08154075898230076,-0.016670521143823863,0.007365917190909386,0.004491718001663685,0.0,0.0,-0.01644422424957156,0.0,-0.02248554694466293,0.0005353974178433418,0.004756320985034108,0.0,-0.021318760523572563,-0.004212350156158209,-0.030546508263796568,-0.0005769181996583938,-0.061050933171063665,0.0,0.0,0.005052991956472397,0.0,-0.03487959571182728,-0.03468468109145761,-0.08903117135167121,-0.13117587751708926,0.0,0.006157960742712021,-0.05052185987122357,-0.052230653148144485,-0.05678374351933599,-0.0004958797618746757,-0.10243038006126881,0.018692073142156006,-0.008444339744746685,-0.0007835863064974547,-0.019389806324616076,-0.007695740177296102,-0.03345217159017921,-0.020772124398499726,-0.03607267887331545,-0.051697728456929326,0.0,0.0,-0.010829502209089696,0.00748135163448751,0.028279963545501233,0.11071648394688964,0.10773877290077508,0.015772148203104734,-0.006168799286242575,0.0,0.0,-0.0567922623665072,-0.04493149652145803,0.0,-0.00776321784593165,0.001748087676241994,0.0010305761732161045,0.0,1.0,1.0
