gene_name,gene_length.meta,9mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,count.enhancer_DMR,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_peak,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.5kb-20kb.enhancer_peak,18mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.DAR,9mo.2mo.log_ratio.DMR,18mo.2mo.log_ratio.DMR,count.DMR,18mo.9mo.Q.std.loops,18mo.9mo.T.min.loops,9mo.2mo.Q.median.loops,loop_size.log.max.loops,18mo.2mo.Q.mean.loops,9mo.2mo.Q.min.loops,9mo.2mo.Q.mean.loops,9mo.2mo.Q.std.loops,Qanova.min.loops,18mo.9mo.T.mean.loops,18mo.2mo.T.mean.loops,loop_size.log.mean.loops,loop_size.log.min.loops,min_distance.log.max.loops,18mo.2mo.Q.min.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.std.atac,log2_distance.min.atac,log2_distance.std.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.std.atac,18mo.9mo.log_ratio.std.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Bcl7b,0.07398956809192896,-0.0010181697271764278,0.0,-0.00046595748513936995,0.0,0.0,0.0008344894647598267,-0.03272299635224044,0.0,-0.002220907611772418,0.014488245118409395,0.0,-0.0078265633713454,-0.004707130352035165,0.0,0.0,-0.0016716911550611257,-0.014815076235681773,0.0,0.0,-0.06820781197398901,0.0,0.0,0.0,-0.024932947810739278,0.0,-0.043662269841879604,0.0,0.0,0.0,-0.0342344965133816,0.0,0.0011119775287806988,0.0,0.0015865379758179187,0.010842210426926614,-0.008933577230200171,0.0013079087436199189,-0.014295536633580923,-0.053538114121183755,0.0,0.0034127383306622504,0.0,-0.029859850413631647,0.0,0.01619114473462105,0.009431603224948048,-0.15014740385115147,0.0003728509694337845,-0.007324277060106397,0.00834925327450037,0.0,0.0,0.20589183011092246,0.02006890581920743,-0.05033992754295468,0.0,0.0,0.0,1.0,0.0
Iscu,0.10471132754348218,-0.0010181697271764278,0.0,0.00559148982167244,0.0,0.0,0.0008344894647598267,0.039051456432789566,0.0,0.034131843280047175,-0.0037585848942399023,0.0,0.015230069160461426,-0.0017156830243766309,0.0,0.0,-0.0006598780862987041,-0.009183081993833185,0.0,0.0,0.0629462033789605,0.0,0.0,0.0,-0.007767121084034443,0.0,0.04337423473596573,0.0,0.0,0.0,-0.011198679180815817,0.0,-0.03154478853568435,0.0,-0.01242788091301918,0.01519509892910719,0.009954557474702596,0.0013079087436199189,-0.016970616821199654,0.09480140425264835,0.0,0.004572067931294441,0.0,0.03352735584136099,0.0,0.005999640878289938,0.0005231580045074225,0.0967328028799966,0.0003728509694337845,-0.007324277060106397,0.00834925327450037,0.0,0.0,0.257967284200713,0.005517224967479706,-0.04178683485835791,0.0,0.0,0.0,1.0,1.0
Nr4a2,0.07285583345219493,-0.0005818112939596176,0.0,-0.00031063832342624663,0.0,0.0,-0.0005215559154748917,0.023440554388798773,0.0,0.009818749446421861,-0.027750700563192367,0.0,0.015230069160461426,-0.0017156830243766309,0.0,0.0,-0.0006598780862987041,-0.0033435299154371025,0.0,0.0,0.04866706526838243,0.0,0.0,0.0,-0.0010384799167513848,0.0,0.03871469197794795,0.0,0.0,0.0,0.009646486486308276,0.0,-0.03154478853568435,0.0,0.0025120184943079947,0.0031457025185227393,0.009954557474702596,0.0013079087436199189,-0.022419420117512346,-0.04082249045372009,0.0,0.008211315646767615,0.0,0.010799597750883549,0.0,0.0034205559454858303,-0.004680830426514149,0.4828320154780522,0.0003728509694337845,0.006501989681273699,0.0037261130381375553,0.0,0.0,-0.12781700083985925,-0.0013793062418699265,0.06531311924103647,0.0,0.0,0.0,1.0,1.0
Btg2,0.08372129271738231,0.00974533885717392,0.0,0.00559148982167244,0.0,0.0,0.001564667746424675,0.029811047557741402,0.0,-0.011104538068175317,0.01891477210447192,0.0,-0.02601803483441472,-0.0017156830243766309,0.0,0.0,-0.0006598780862987041,-0.007438551317900419,0.0,0.0,-0.05221022140234709,0.0,0.0,0.0,0.027560769263654947,0.0,0.03306697162799537,0.0,0.0,0.0,-0.01390248044859618,0.0,-0.0032575903460383415,0.0,-0.010576919876039028,0.01519509892910719,-0.008933577230200171,-0.0018528707325458527,-0.020286218980327248,0.09672882586717606,0.0,0.003868614472448826,0.0,-0.03612708803266287,0.0,0.005999640878289938,-0.009919334473088383,0.02646475285757333,0.0003728509694337845,0.016780938562005757,0.00834925327450037,0.0,0.0,0.27199902140535415,-0.0022068899869918824,-0.05874302995158359,0.0,0.0,0.0,1.0,1.0
Rsbn1l,-0.0486651810631156,0.010908961445093155,0.0,0.00559148982167244,0.0,0.0,-0.0005215559154748917,0.009228502647019923,0.0,-0.002220907611772418,0.01637152859941125,0.0,0.015230069160461426,-0.0017156830243766309,0.0,0.0,-0.0006598780862987041,-0.016236425712704658,0.0,0.0,-0.05892453530803323,0.0,0.0,0.0,-0.020552244894206526,0.0,0.0390525172278285,0.0,0.0,0.0,0.013533200984820724,0.0,-0.0032575903460383415,0.0,0.0015865379758179187,0.0021850721538066863,0.002977859079837799,0.0013079087436199189,-0.023105547975283115,-0.030088761090300977,0.0,0.008211315646767615,0.0,-0.020527639240026475,0.0,0.009667740240693092,-0.011715292260050773,0.11246713565662503,0.0003728509694337845,0.005284604970365763,0.00834925327450037,0.0,0.0,-0.11344166655093431,-0.0022068899869918824,0.09291377243120223,0.0,0.0,0.0,1.0,1.0
Ulk1,0.07388074955902994,-0.0010181697271764278,0.0,-0.00046595748513936995,0.0,0.0,0.001564667746424675,-0.05530679086223245,0.0,-0.011104538068175317,-0.021467623617500067,0.0,-0.02601803483441472,0.004443179122172296,0.0,0.0,-0.00043991873972117903,-0.014738387055695057,0.0,0.0,0.06955677710473537,0.0,0.0,0.0,0.02791176548227668,0.0,0.02262030099518597,0.0,0.0,0.0,-0.004270187974907458,0.0,-0.0032575903460383415,0.0,0.0025120184943079947,0.00380523107945919,0.009954557474702596,0.0013079087436199189,-0.025538983549922706,0.055388257685117424,0.0,0.008495665043592454,0.0,-0.013985699885524809,0.0,0.01619114473462105,-0.010685852710157633,0.07902655370999127,0.0003728509694337845,0.016780938562005757,0.00834925327450037,0.0,0.0,-0.15980062132701278,0.005517224967479706,-0.05678557513281703,0.0,0.0,0.0,1.0,1.0
Klf10,0.10566104448400437,-0.0010181697271764278,0.0,-0.00046595748513936995,0.0,0.0,-0.0011474230140447617,0.037562692686915394,0.0,0.034131843280047175,0.04202147413045168,0.0,0.015230069160461426,-0.0017156830243766309,0.0,0.0,-0.0006598780862987041,-0.009796595433726907,0.0,0.0,0.06880234511569143,0.0,0.0,0.0,0.028522793436422944,0.0,-0.009783768327906728,0.0,0.0,0.0,0.004156256834976375,0.0,0.0038931815698742865,0.0,0.007536055296659469,0.01519509892910719,0.009954557474702596,0.0013079087436199189,0.05415178095921874,0.08400913396850228,0.0,0.003868614472448826,0.0,0.03352735584136099,0.0,0.012523045372217894,0.02817241782322526,0.04944842275232077,0.0003728509694337845,0.016780938562005757,0.00834925327450037,0.0,0.0,0.267534281113185,-0.002965508420020342,-0.0356838103197515,0.0,0.0,0.0,1.0,1.0
Pigx,0.07390207686461508,-0.0010181697271764278,0.0,-0.00046595748513936995,0.0,0.0,0.001564667746424675,0.028298662658780813,0.0,0.009818749446421861,0.04386955861002207,0.0,0.003913281662389636,0.01429735854268074,0.0,0.0,-0.00074786183424294,0.13639725845307113,0.0,0.0,0.08806638639420271,0.0,0.0,0.0,0.026957528106868266,0.0,0.027473181718960404,0.0,0.0,0.0,0.013533200984820724,0.0,-0.0032575903460383415,0.0,0.007536055296659469,0.010842210426926614,0.009954557474702596,0.009482338428497314,-0.016970616821199654,-0.055343613903969524,0.0,0.003957116045057774,0.0,0.0384688167902641,0.0,0.0204916750267148,-0.010072712833061815,-0.11142963714431971,0.0,0.016780938562005757,0.00834925327450037,0.0,0.0,0.2766175722423941,-0.0022068899869918824,-0.030911034746095536,0.0,0.0,0.0,1.0,1.0
Scfd2,-0.18057615019381046,-0.002909056432545185,0.0,-0.002562766168266535,0.0,0.0,-0.0005215559154748917,0.013455817312933504,0.0,-0.011104538068175317,-0.02773150796070695,0.0,-0.008672678349539638,-0.0017156830243766309,0.0,0.0,-0.0006598780862987041,-0.007936270460486412,0.0,0.0,0.037181037217378615,0.0,0.0,0.0,-0.018204306550323963,0.0,-0.10259673687629402,0.0,0.0,0.0,0.003423977326601744,0.0,0.004669042164459824,0.0,0.0025120184943079947,0.002844600714743137,0.004083921061828732,0.0013079087436199189,-0.022419420117512346,0.029036193247884513,0.0,-0.071618085578084,0.0,0.0006207024003379046,0.0,-0.015454460978507995,-0.016655594147741794,0.45469233476556836,0.0,0.006501989681273699,0.0011124968528747558,0.0,0.0,-0.1975668697990477,-0.007517219018191099,0.08917805554810912,0.0,0.0,0.0,1.0,2.0
Wrnip1,0.08050166673026979,-0.0010181697271764278,0.0,-0.00046595748513936995,0.0,0.0,-0.0011474230140447617,0.023007519319653513,0.0,-0.011104538068175317,0.02599535642191768,0.0,0.003913281662389636,-0.004707130352035165,0.0,0.0,-0.0016716911550611257,-0.010415591979399324,0.0,0.0,0.03671885722782463,0.0,0.0,0.0,0.04142449762672186,0.0,-0.022700214087963105,0.0,0.0,0.0,-0.01390248044859618,0.0,0.0014708425663411617,0.0,-0.040456717908382414,0.01519509892910719,-0.026545486636459826,-0.0018528707325458527,0.037775629740208386,0.08206700770184398,0.0,0.003868614472448826,0.0,0.03352735584136099,0.0,0.01619114473462105,0.010443515591323376,-0.20935613066423683,0.0003728509694337845,0.016780938562005757,0.00834925327450037,0.0,0.0,0.24054638751316815,-0.007517219018191099,-0.024808010207489132,0.0,0.0,0.0,1.0,1.0
