gene_name,gene_length.meta,9mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,count.enhancer_DMR,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_peak,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.5kb-20kb.enhancer_peak,18mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.DAR,9mo.2mo.log_ratio.DMR,18mo.2mo.log_ratio.DMR,count.DMR,18mo.9mo.Q.std.loops,18mo.9mo.T.min.loops,9mo.2mo.Q.median.loops,loop_size.log.max.loops,18mo.2mo.Q.mean.loops,9mo.2mo.Q.min.loops,9mo.2mo.Q.mean.loops,9mo.2mo.Q.std.loops,Qanova.min.loops,18mo.9mo.T.mean.loops,18mo.2mo.T.mean.loops,loop_size.log.mean.loops,loop_size.log.min.loops,min_distance.log.max.loops,18mo.2mo.Q.min.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.std.atac,log2_distance.min.atac,log2_distance.std.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.std.atac,18mo.9mo.log_ratio.std.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Bcl7b,-0.6207773745339363,0.060277306102216245,-0.0019663959927856923,-0.1165504414215684,0.0,0.0,0.0,0.0,-0.07460709489881992,0.0013918589428067207,-0.01923517633229494,0.04406532196328044,0.0,-0.01485922047868371,0.0,-0.09458558359183371,-0.017499854415655137,-0.009962750859558582,-0.055956926227081566,-0.013078656941652299,0.07341457113623619,-0.010346154421567917,0.0,0.0,0.05255464380607009,-0.05696477025747299,0.0007629677653312683,0.014006954398937524,0.016663823295384645,-0.03279608018696308,0.0,-0.023765749223530294,0.0,0.0,0.00025642629712820054,-0.02860708247870207,0.02767292254604399,0.02796882979106158,0.01762769799679518,0.0,0.006528353802859783,-0.018657845612615347,0.0,-0.0028248665295541285,0.0,0.0,0.0,-0.006543420776724815,-0.08412740017287433,-0.03227548070251942,-0.015867792945355178,0.0,-0.10078146196901798,0.0,-0.005018026065081358,0.11606839176267386,-0.04044390949420631,-0.062014322318136694,0.054259820878505706,1.0,0.0
Iscu,-0.7148256710916757,0.08834084205329418,0.005056446790695191,-0.15883922051638366,0.0,0.0,0.0,0.0,0.025393623746931552,-0.004883127734065056,-0.03239414576441049,-0.02070182912051678,0.0,-0.015657544089481234,0.0,-0.09699744580313563,-0.016614704113453626,-0.009521806864067912,-0.06577406467637047,-0.013078656941652299,-0.027306051524356008,-0.010346154421567917,0.0,0.0,0.05255464380607009,0.03718206498771906,-0.0005086451768875122,0.01987006247509271,0.016663823295384645,-0.01872844135388732,0.0,-0.0014502127841114999,0.0,0.0,0.0006410657241940498,0.01751222465187311,-0.0058216676861047745,-0.03528173377737403,-0.011596279367804527,0.0,0.006528353802859783,-0.016885232459753752,0.0,-0.014437423693016172,-0.006195242870599031,0.0,0.0,-0.0036444162018597127,-0.03708225821144879,-0.029342191899195312,-0.023224498219788073,0.0,-0.12041390206664801,0.0,-0.005018026065081358,0.07389565953053534,-0.048120276909321545,0.06702887073392048,0.05364507120102644,1.0,1.0
Nr4a2,-0.7288420090079307,0.09155839562416077,0.005056446790695191,0.04845484072342515,0.0,0.0,0.0,0.0,0.025393623746931552,-0.021085705272853375,-0.03635857596993446,-0.006654159370809793,0.0,-0.004995928844437003,0.0,0.14119889728724958,-0.009416431300342082,-0.008981944359838963,0.09658739661797881,-0.013078656941652299,-0.10863753139972687,0.03873174369335174,0.0,-0.006639797557145357,0.06966695588082075,0.03718206498771906,-0.0012080322951078415,0.02206582861021161,0.014921684581786394,0.04367286005988717,0.0,-0.025432814806699754,0.0,0.0,0.0006410657241940498,0.01751222465187311,-0.028360439594835044,-0.07746623227372766,0.009438910372555256,0.0,-0.00728977594524622,-0.01305634642019868,0.0,-0.013772498061880469,-0.0011264077946543693,0.0,0.0,0.00039711675141006707,-0.04793037747964263,-0.030773091739974917,-0.014188431091606618,0.0,0.13239189194515347,0.0,-0.0008803554531186819,0.0035814120154827834,-0.029301058165729046,-0.006027746424078942,0.055700843930244444,1.0,1.0
Btg2,-0.6923340583778917,-0.3215424818173051,0.007678308263421058,-0.21665756579488515,0.0,0.0,0.0,0.0,-0.07460709489881992,0.0013918589428067207,-0.026703681983053684,-0.02070182912051678,0.0,-0.016703469511121512,0.0,-0.1183104177005589,-0.023128149416297674,-0.009521806864067912,-0.049885852374136445,-0.013078656941652299,0.03188864110037684,-0.010346154421567917,0.0,0.0,0.05255464380607009,0.03718206498771906,-0.0005086451768875122,0.016202720534056424,0.01224458435550332,0.052691513411700724,0.0,0.021181855760514737,0.0,0.0,0.00025642629712820054,0.02164438262581825,0.0615365937538445,0.0518128348980099,-0.023868078514933586,0.0,0.006528353802859783,-0.016259995494037865,0.0,0.004323084093630314,-0.006195242870599031,0.0,0.0,-0.014917180594056844,-0.059152472727000714,-0.029939863570034503,-0.008729789536446333,0.0,0.04066246138885617,0.0,-0.001848746482282877,-0.00500924002379179,-0.027614739052951337,0.037936209356412294,0.026110534090548754,1.0,1.0
Rsbn1l,0.47628789799287913,-0.4329845678806305,-0.001123654916882515,-0.1694169197976589,0.0,0.0,0.0,0.0,-0.046688997708261015,0.009354030378162861,-0.026700883451849223,-0.006654159370809793,0.0,-0.009777856804430485,0.0,0.19975334795191885,0.11504372764378785,-0.00141392826102674,-0.07234381005167961,-0.005224544182419777,0.02968137189745903,-0.0005825260281562806,0.0,0.0,-0.2857400254532695,-0.05696477025747299,-0.0005086451768875122,-0.06106277946382761,0.02404329862445593,0.055960358139127496,0.0,-0.02946859996765852,0.0,0.0,0.0006410657241940498,0.08176690369844436,-0.023408177373930812,-0.0423904368840158,0.008166665360331535,0.0,-0.007931177876889706,-0.025724331894889475,0.0,-0.0030241665430366994,0.0,0.0,0.0,-0.0036444162018597127,-0.0582739922683686,-0.017682319916784765,-0.014188431091606618,0.0,0.2648403458483517,0.0,-0.001848746482282877,-0.029051409321837127,-0.025983795188367367,0.013466678061522543,0.02418916990980506,1.0,1.0
Ulk1,-0.24593341954052447,0.08354489631950855,-0.0019663959927856923,0.004614557418972254,0.0,0.0,0.0,0.0,-0.042930495273321864,0.0027030501887202263,-0.02537961656227708,-0.02070182912051678,0.0,0.14083404667675495,0.0,-0.10414817413315176,-0.01900323148816824,-0.00141392826102674,-0.0615717120654881,-0.005224544182419777,-0.07430309239774942,-0.010346154421567917,0.0,0.0,0.07178063279017806,0.03718206498771906,-0.0005086451768875122,0.02476250760257244,0.016663823295384645,-0.04856163052842021,0.0,0.1278877418488264,0.0,0.0,0.0006410657241940498,0.0653634911775589,-0.021353756925091148,-0.029572167587466537,-0.01975453456863761,0.0,0.00582836214452982,-0.018637052467092872,0.0,0.001330918688327074,0.0,0.0,0.0,0.0014219134533777834,-0.05463864460587502,-0.02973038502037525,-0.023224498219788073,0.0,-0.08392548514530063,0.0,-0.005018026065081358,-0.010741558689624071,-0.05182436786592007,-0.05657043898012489,0.054259820878505706,1.0,1.0
Klf10,-0.7737481469474733,0.0892641568183899,0.005056446790695191,0.10533608376979828,0.0,0.0,0.0,0.0,0.025393623746931552,-0.004883127734065056,-0.018465897627174856,-0.02070182912051678,0.0,-0.007304466282948852,0.0,-0.05616618188098073,-0.023128149416297674,-0.009521806864067912,-0.11846625596284867,-0.013078656941652299,-0.10863753139972687,-0.010346154421567917,0.0,0.0,0.06966695588082075,-0.05696477025747299,-0.0005086451768875122,0.02206582861021161,-0.042727258205413815,0.05356001651845872,0.0,-0.040541967824101445,0.0,0.0,-0.0012821314856410026,0.01751222465187311,-0.012535482421517372,0.03319188930094242,0.009438910372555256,0.0,0.006528353802859783,-0.018952554380521177,0.0,-0.014437423693016172,-0.006195242870599031,0.0,0.0,-0.0036444162018597127,-0.0841464320383966,-0.031140197990462182,-0.008729789536446333,0.0,0.07844214770942927,0.0,-0.005018026065081358,-0.016374053759500386,-0.039224549941718576,0.05567979977466166,0.026725283768028022,1.0,1.0
Pigx,-0.6403342437837273,0.10154216129332781,0.005056446790695191,0.02546989729627967,0.0,0.0,0.0,0.0,0.012543682558462024,-0.004883127734065056,-0.028276363499462605,0.04406532196328044,0.0,0.0904583614692092,0.0,-0.043745084377005694,-0.023128149416297674,-0.007706124782562256,0.1333873925730586,0.23218277359381317,-0.10863753139972687,-0.010346154421567917,0.0,0.0,0.06966695588082075,0.012053501177579164,-0.0005086451768875122,0.02206582861021161,0.016663823295384645,0.027920512482523918,0.0,-0.02186655458062887,0.0,0.0,0.0006410657241940498,0.022894330648705365,-0.030880316514521836,-0.04863317122682929,0.009438910372555256,0.0,-0.035594148635864256,-0.022225357806310058,0.0,-0.014437423693016172,0.04759072732180357,0.0,0.0,-0.012826770432293416,0.033446317203342915,-0.028518521711230278,0.04696586888283491,0.0,-0.0667300039716065,0.0,-0.0008803554531186819,0.00605696264654398,-0.03862462267279625,0.13080844590440394,0.054259820878505706,1.0,1.0
Scfd2,1.3155611591227352,0.19057700414210557,0.005056446790695191,0.15168208494782448,0.0,0.0,0.0,0.0,0.029368244297802448,0.0022751014307141305,-0.017322485856711863,-0.007541380636394024,0.0,-0.007304466282948852,0.0,-0.024105818858370185,-0.0022926835343241693,0.004064507270231843,0.06984863933175803,-0.005224544182419777,-0.0649502695351839,-0.001453174240887165,0.0,0.0009485425427556038,-0.13185281984508038,-0.022755717262625694,0.010999451950192451,0.022487834650091826,0.07406322441995145,-0.0643524329829961,0.0,0.047741815708577634,0.0,0.0,0.0006410657241940498,0.0653634911775589,-0.030318377409130334,-0.07420552168041468,0.009438910372555256,0.0,-0.007911436050198973,0.39865333527326585,0.0,0.00808542650192976,0.006989318151026964,0.0,0.0,0.016830513514578344,0.12770982943475245,-0.011092459233477712,-0.013156936019659043,0.0,0.14198575219139456,0.0,-0.0008803554531186819,-0.025722460933029653,0.21162572465837,0.03665056986734271,-0.020454650316387414,1.0,2.0
Wrnip1,-0.7073679520189762,0.09798178263008595,0.017978477478027343,-0.02582446252927184,0.0,0.0,0.0,0.0,0.025393623746931552,0.004107897952198982,-0.015518374517560005,-0.006654159370809793,0.0,-0.008811888350173831,0.0,0.23659087132662535,0.13124008141458035,-0.009962750859558582,-0.07351045109331608,-0.013078656941652299,-0.06714045885950327,-0.00013043662533164025,0.0,0.0,0.05731699038296938,-0.05696477025747299,-0.0005086451768875122,0.02206582861021161,0.016663823295384645,0.06937838369049132,0.0,0.1480965491384268,0.0,0.0,0.00025642629712820054,0.01751222465187311,0.0922675770521164,0.06948124557733536,0.006604467816650868,0.0,0.006528353802859783,-0.015104408822953701,0.0,-0.004463539132848382,-0.006195242870599031,0.0,0.0,0.007063293121755123,-0.07770495630800724,-0.03390450338833034,0.01509214187040925,0.0,0.21846107006072998,0.0,-0.005018026065081358,0.0001380248134955764,-0.03441271707415581,0.06915454314090312,0.026725283768028022,1.0,1.0
