gene_name,gene_length.meta,9mo.2mo.activity.log_ratio.count.20kb-5Mb.enhancer_DMR,18mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,count.enhancer_DMR,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_peak,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.5kb-20kb.enhancer_peak,18mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.log_ratio.DAR,rel_pos.DAR,count.DAR,9mo.2mo.log_ratio.DMR,18mo.2mo.log_ratio.DMR,count.DMR,18mo.9mo.log_ratio.DMR,18mo.9mo.Q.std.loops,18mo.9mo.T.min.loops,9mo.2mo.Q.median.loops,loop_size.log.max.loops,18mo.2mo.Q.mean.loops,18mo.9mo.Q.min.loops,18mo.2mo.Q.median.loops,9mo.2mo.Q.mean.loops,9mo.2mo.Q.min.loops,loop_size.log.median.loops,min_distance.log.std.loops,9mo.2mo.Q.std.loops,Qanova.min.loops,18mo.9mo.T.mean.loops,18mo.2mo.T.mean.loops,loop_size.log.mean.loops,18mo.2mo.T.median.loops,loop_size.log.min.loops,min_distance.log.max.loops,18mo.2mo.Q.min.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.std.atac,log2_distance.std.atac,log2_distance.min.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.std.atac,18mo.9mo.log_ratio.std.atac,18mo.9mo.log_ratio.min.atac,9mo.2mo.log_ratio.max.atac
Stk36,35449.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.2101223802914815,0.0719186406251726,2.0,-0.0437341128912494,-0.0437341128912494,-0.0437341128912494,-0.3459388523167199,0.0645486933375196,-0.4854268271619979,0.2101223802914815,0.0,0.2101223802914815,0.2101223802914815,0.0,0.0,0.0,-0.0437341128912494,0.0141058173904253,0.0902470423953287,0.0902470423953287,0.0,0.0,0,0.0,0.0,0,0.0,0.0010899596900992,-0.086273774,0.0001952246,18.334513353645544,0.0009276601813559,-0.0016864229999999,0.0009845052999999,0.0001919442864406,-0.001752246,16.641205057446104,0.5473723764341583,0.0009412662502305,0.000686513,0.0325666733220339,0.008051959559322,16.742010386371362,-0.00090391,14.898931982880832,14.81848231971713,-0.0018836176,0.0270262981269031,-0.0188951428743308,0.0081311552525722,0.019951167276938,0.0304283137368592,-0.0104771464599211,0.4627418525260833,0.549766915531995,9.971543553950916,10.749031382040288,0.1909437231665307,2,-0.0041755887289007,0.1320885899645872,0.2244938093330094,0.2382480431930737,-0.0363782169816606,0.3496848180803015
Rbl1,58641.0,0.0,0.0,0.0,3,0.0,0.0,0.0,-0.5305147166938475,0.1364567154055738,0.0,0.0,0.0850940293728319,0.1310623727672508,0.1080782010700414,0.2995602818568268,0.0,0.0,0.1812312038825672,0.0,0.0916822269285804,0.1364567154055738,-0.5305147166938475,0.0,0.2995602818568268,0.1080782010700414,0.2227445996958312,0.2445349164756152,0.2445349164756152,0.7418088213032967,0.9194616944173944,1,-0.534336427497206,-0.999999999656501,1,-0.465663572159295,0.0021210442612719,-0.110090417,-0.0004777827999999,19.93095240698169,0.0013371363998039,-0.0009497452,-0.0001061789,-0.0003408624999999,-0.0035136382,16.741532820500705,0.332740565221467,0.0011547567161426,0.027829485,0.0091803196523529,-0.017340456790196,16.794205975248758,-0.04594347,13.348036512700553,15.048699720519169,-0.0021927605699999,0.0168788069056547,-0.026259822205974,-0.0093810153003193,-0.0698809668154838,-0.0337096877539221,-0.0361712790615617,0.3197658027220735,1.835506583327518,10.502831804066844,14.704065737783724,0.1835263810729297,8,-0.1769187041666428,0.073708230845716,0.1747131578523846,0.3649911681533881,-0.2896022661828352,0.4354146920338785
A230077H06Rik,82461.0,2.0,-0.3081222953616711,-1.1154772174166991,6,3.0,2.0,0.2472148026232755,-0.0849625007206551,0.3473306387148387,0.0696625132944066,2.0,-0.0542763128342955,0.0813520058791907,0.0750643010583833,0.2732255797540422,0.5179649610750732,-0.3081222953616711,0.3663221688551545,0.0,0.3283391085745228,0.3473306387148387,0.0931094043908804,1.0,0.6880559936822195,0.0340466647010928,0.0361778380605564,0.2612738362399319,0.312045856020859,0.4025382768508376,0.5417529290662843,4,0.0,0.0,0,0.0,0.0010933155377307,-0.18367568,9.823589999999978e-05,20.099618773174484,0.0005648308026455,-0.0016928862999999,0.0002764972999999,2.130951375661373e-05,-0.0021476342999999,18.28771237954945,0.4203861959314966,0.0008161080111918,0.0075552124,-0.0052095277841269,-0.026301096489947,17.81244481445341,-0.02082284,13.37000621550088,15.154659910133049,-0.0019865293999999,-0.0136740424521005,0.0369104733706807,0.0232364309185801,-0.0260587187488561,0.0246542360272308,-0.0507129547760869,0.178943961809035,0.9823074568736344,10.836050355058148,13.879487526224848,0.2827801928228765,10,-0.0137174041391773,0.0040376938316725,0.0977613455576765,0.1988290338653357,-0.3497637013875632,0.41630586914129
Eef1g,11438.0,0.0,0.0374747054185657,-0.5474877953007411,7,5.0,6.0,0.2485953713618977,0.0889288468975197,0.1237968660245485,0.2702145863476808,1.0,0.1242962932263376,0.1242962932263376,0.1242962932263376,0.0,0.7200344278653499,0.0374747054185657,0.25990276399392,1.0,-0.0280873796681202,0.1185374167834494,0.459431618632379,1.0,0.0,0.1242962932263376,0.3841990572202576,0.3841990572202576,0.3841990572202576,0.638678306121319,0.7429718875502008,1,0.0,0.0,0,0.0,0.001840617838903,-0.081333016,-0.0004745523999999,20.0217174132695,0.0020926504666666,-0.0024974148,0.002285393,-0.0001453315066666,-0.002082065,16.925554439873554,0.2178225892649402,0.0012243539682711,0.08709738,0.0691043999777777,0.0628762595555555,16.950000952629743,0.0573537399999999,16.095067301607052,13.876612867248582,-0.0026899566999999,0.0422040483727734,-0.0363298170053645,0.0058742313674088,0.0489004955236761,-0.0370963125040908,0.0859968080277669,0.236795584659692,0.5940528848669607,10.781359713524742,11.954196310386912,0.217257693860838,3,0.1887754597578199,0.1537725610977819,0.2264450595152381,0.3490481626633626,-0.1887718247319076,0.4744088237286283
Zfp52,27062.0,3.0,0.2630344058325917,-1.152003093436233,12,1.0,1.0,-0.5139315689834101,-0.2427134135809989,0.0205927707459836,0.0,0.0,0.0181347635608322,0.1721628548384952,0.1327515303368147,0.1812850396900642,0.0,0.0,0.0955497010666173,4.0,-0.05436415957465,0.0205927707459836,0.0,4.0,0.3625700793801285,0.107683049578714,0.1177986952638452,0.1730499633336386,0.1730499633336386,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0332787140361265,0.0037367708072126,0.0370154848433392,0.0946667241748374,-0.052567686950391,0.1472344111252284,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Lsm11,16666.0,1.0,0.0824621601917368,0.0,12,0.0,0.0,0.0,-0.4992540353870225,-0.2298572587622271,0.1926367600627987,1.0,0.0497709631511087,0.1620594181862142,0.1389004123763937,0.3956040321485434,-0.0649545038763621,0.0824621601917368,-0.011184069035437,1.0,-0.3361542674189852,-0.2017632134947191,0.1375035237486233,1.0,0.8479969065485378,0.1224078015225276,-0.2202161997340996,-0.1627943605555121,-0.1927560694702661,0.0,0.0,0,0.0,0.0,0,0.0,0.0009466700039122,-0.16831331,-0.0002883545499999,20.409285266127213,4.299641812499998e-05,-0.0010338826,-0.0001063446499999,-0.00038420102,-0.0024369505999999,19.794978895203585,0.1341257574284785,0.0007967291840147,0.012627289,-0.025706717443125,-0.0265356179056249,19.051795003829987,-0.0202451899999999,16.3942282108157,14.04772036638152,-0.0013091446999999,0.0096442871538393,-0.0135916410302429,-0.0039473538764036,-0.0905182072864119,-0.156314666645179,0.0657964593587671,0.1594977055120572,2.466776217748227,6.339850002886406,13.214167314093544,-0.062906513785908,6,-0.3829675487463315,-0.0590514572146393,0.1753750769134748,0.0858254431410227,-0.2213396871784953,0.051884994113478
Apool,61421.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.1549946429515777,-0.4108500685844791,0.0,0.0,-0.3964176606997349,0.4359451211967466,0.0042781634125805,-0.1341687499492491,0.0,0.0,-0.1915830283720258,1.0,-0.6840701276662031,-0.3969188446592301,1.5849625006249766,1.0,0.5849625006971113,-0.019448930545823,-0.7033609198397333,-0.4350920176080096,-0.462878962478823,-0.8135531003685421,0.5962917106128002,1,-0.404841732123237,-0.0154300405679555,1,0.3894116915552814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0252957959253534,0.0087966939219281,-0.0164991020034252,-0.0510290491053433,0.0071460929665416,-0.058175142071885,0.0,0.0,14.688851306867718,14.688851306867718,-0.2096617592462235,1,-0.8135531003685421,-0.6038913411223186,0.0,0.0,-0.6038913411223186,-0.2096617592462235
Fgf10,122324.0,0.0,-0.3219280948859202,-0.5563933485216701,1,1.0,1.0,-0.1102132619592007,0.3695993812883879,-0.2003539277751702,0.0,0.0,-0.1004098951766288,0.1473799063382035,0.0720020213529686,0.2970853654179726,0.0,0.0,-0.0632235813467003,1.0,-0.3273798918786741,-0.1940154137279848,1.5849625006249766,0.0,1.222392421308968,0.038784642305374,-0.3244471796822248,-0.1873935120543899,-0.1799999855404706,-0.5236618583310495,0.2082977106488078,2,0.0,0.0,0,0.0,0.0008444628219015,-0.140322698,-0.0003246288999999,19.15480822212787,0.0001528408903846,-0.0010976088999999,0.0001992833499999,-0.0004533806846153,-0.0023918192,18.04045362121749,0.9239692818439028,0.0009013063249836,0.008286162,0.0166030275538461,-0.0102384646346153,18.282120997875595,-0.0270866249999999,17.64935442745325,16.139891042786097,-0.00146282,-0.0038023927551147,0.0122475726989916,0.0084451799438769,-0.0395100062977012,-0.0272314741519774,-0.0122785321457238,0.1704244619194226,1.795726540559989,11.228818690495942,15.932030157887027,-0.2475853314266863,9,-0.552816905960865,-0.0817901721560168,0.3689880904355488,0.4205135588273925,-0.7385719252294609,0.1946852217258279
Arhgap31,114934.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.5351946639295546,-0.1025680851078247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0184863733969229,0.0,-0.2236225436125725,-0.1025680851078247,-0.4854268271619979,0.0,0.0,0.0,0.0,0.0,0.0,0.478216715263917,0.6917762312350908,7,-1.142957953513127,-0.7737241439831452,1,0.3692338095299816,0.0011114697018083,-0.07723873,-0.0004804309999999,18.46190304886126,0.0003416953774193,-0.0011821328,-0.0001935488999999,-0.0002859335032258,-0.0023596212,17.543711549479156,0.5503444160691772,0.0011565473969724,0.10207965,0.0296976785806451,-0.0211442143548387,17.117056050821887,-0.0234473499999999,14.469133019829592,15.038747556217311,-0.0011398363,-0.0222079527918478,-2.483901621974649e-05,-0.0222327918080676,-0.0816357070080982,-0.0032800693137639,-0.0783556376943343,0.2809343679197986,1.4955687965182345,10.957102041562358,15.550356002555445,0.2099813387057524,18,-0.4193562053011439,0.0971268358213743,0.2331823130341651,0.2500482968763135,-0.5917364915638725,0.6448680576064656
Eif4e,33517.0,0.0,0.0,0.0,5,0.0,0.0,0.0,-0.1052807991686618,-0.1671685105163769,0.0,0.0,-0.0559888268626513,0.1007855949745799,-0.0098799018647448,0.628251131710875,0.0,0.0,-0.059464200124168,1.0,-0.3413059250073109,-0.1816947970781399,0.5849625006971113,1.0,1.5849625006890964,0.0132221430389679,-0.240520330032731,-0.1610969928178124,-0.1222699510470026,0.4981816343675248,0.753812697695436,1,-0.2255597003830062,-0.60407132357015,1,-0.3785116231871438,0.0010335597245477,-0.1041547569999999,-0.000313664085,21.639186120854163,0.0007499643626923,-0.0004887135,0.0005854047,-0.0003560962911538,-0.002081694,17.355250016168824,0.3150122927314199,0.000881280439365,0.1235303,0.0766049253461538,0.0243445647307692,17.38144766496918,0.030944815,15.07815080773465,14.655586623151422,-0.0006989890999999,0.0121585166620442,0.0437944081588422,0.0559529248208864,0.0659518913966764,-0.0398912047324488,0.1058430961291252,0.2827870014102709,1.3282074706124354,10.048486873992474,13.66300208808488,-0.0642016307086087,8,-0.4214587489432915,0.0260257207913289,0.3189159928432367,0.1883719698910627,-0.2120928989578495,0.360007289459242
