,DEG,pred,score_0,score_1,score_2
Stk36,1,1,0.2749522626399994,0.6837079524993896,0.04133973643183708
Rbl1,1,0,0.6242814064025879,0.2755115330219269,0.10020707547664642
A230077H06Rik,1,0,0.4957863688468933,0.36333897709846497,0.14087459444999695
Eef1g,1,0,0.5580843091011047,0.38221475481987,0.05970088765025139
Zfp52,1,1,0.42696696519851685,0.5232102274894714,0.04982278123497963
Lsm11,1,1,0.25482767820358276,0.38221240043640137,0.36295992136001587
Apool,1,2,0.20928989350795746,0.28897765278816223,0.5017324686050415
Fgf10,1,2,0.14583346247673035,0.2769753336906433,0.5771912336349487
Arhgap31,1,2,0.29750803112983704,0.24895848333835602,0.45353350043296814
Eif4e,1,2,0.276492714881897,0.32237857580184937,0.40112873911857605
Ube3c,1,2,0.20204517245292664,0.1777501404285431,0.6202046871185303
Grk4,1,1,0.3022727370262146,0.4366365969181061,0.2610907256603241
Hdac5,1,0,0.5836358666419983,0.32129061222076416,0.09507354348897934
Uvrag,1,2,0.2821054756641388,0.1084217056632042,0.6094728112220764
BC031181,1,1,0.34962520003318787,0.4699186086654663,0.1804562211036682
Zfp932,1,1,0.35354137420654297,0.6042039394378662,0.04225465655326843
Fcor,1,1,0.2990761995315552,0.508004903793335,0.1929188370704651
Trmt6,1,1,0.3297657370567322,0.48144498467445374,0.1887892782688141
Zfp959,1,1,0.34438300132751465,0.584368109703064,0.0712488666176796
Nucks1,1,1,0.18103690445423126,0.7456545829772949,0.0733085423707962
Ldlrad3,1,2,0.11120596528053284,0.13247628509998322,0.7563177943229675
Dohh,1,0,0.5092008709907532,0.38809505105018616,0.10270408540964127
Cdc5l,1,1,0.34989675879478455,0.44266653060913086,0.2074367254972458
Rpl28,1,1,0.32301396131515503,0.5375356078147888,0.13945047557353973
Fam53c,1,1,0.3772655725479126,0.4782305657863617,0.14450381696224213
Wipi2,1,0,0.5588191151618958,0.36915379762649536,0.0720270574092865
Wdr61,1,1,0.4448237419128418,0.5153922438621521,0.03978404030203819
Fads3,1,1,0.4103536605834961,0.49532464146614075,0.09432169049978256
Man1a,1,2,0.1905386596918106,0.35134875774383545,0.45811259746551514
Adam12,1,2,0.1449601948261261,0.26338818669319153,0.5916516184806824
