gene_name,gene_length.meta,9mo.2mo.activity.log_ratio.count.20kb-5Mb.enhancer_DMR,18mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,count.enhancer_DMR,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_peak,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.5kb-20kb.enhancer_peak,18mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.log_ratio.DAR,rel_pos.DAR,count.DAR,9mo.2mo.log_ratio.DMR,18mo.2mo.log_ratio.DMR,count.DMR,18mo.9mo.log_ratio.DMR,18mo.9mo.Q.std.loops,18mo.9mo.T.min.loops,9mo.2mo.Q.median.loops,loop_size.log.max.loops,18mo.2mo.Q.mean.loops,18mo.9mo.Q.min.loops,18mo.2mo.Q.median.loops,9mo.2mo.Q.mean.loops,9mo.2mo.Q.min.loops,loop_size.log.median.loops,min_distance.log.std.loops,9mo.2mo.Q.std.loops,Qanova.min.loops,18mo.9mo.T.mean.loops,18mo.2mo.T.mean.loops,loop_size.log.mean.loops,18mo.2mo.T.median.loops,loop_size.log.min.loops,min_distance.log.max.loops,18mo.2mo.Q.min.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.std.atac,log2_distance.std.atac,log2_distance.min.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.std.atac,18mo.9mo.log_ratio.std.atac,18mo.9mo.log_ratio.min.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Stk36,0.04194387401803397,-0.0008255153708159924,0.001978656139690429,-0.011521278712898493,-0.0005588908190838993,-0.017291212007403373,0.0,0.0,0.0032890798058360813,0.00839495891239494,0.0,0.0,0.0,0.0,0.0003698263084515929,0.0005917220935225487,0.03860714297741651,0.023604956383351236,0.0668671658821404,0.0,-6.055169273167849e-05,0.03221017114818096,0.0012416406255215406,0.0,0.008744139694608749,-0.01388054212089628,0.005734952699858695,0.03757950406521559,0.0,0.0036960409954190252,0.0008878694847226143,-0.050764520266093315,-0.002430684147402644,-0.018388690343126655,-0.0026564217219129205,-0.0003256664890795946,-0.04182159415911883,8.966758847236633e-05,0.0,0.0061906675377395,0.0,0.01256856244057417,0.0009688496636226774,-0.0007568313181400299,-0.004019267093390226,0.002602017568424344,0.0050309358164668085,0.012695798352360725,0.0,0.001574443015269935,0.0,0.02525629668030888,0.0013586605992168188,0.01936480841599405,0.00016004793345928192,0.0,-0.019204867617227138,-0.000296595823019743,0.0,0.01565910370554775,-0.010511386219877749,-0.18386701629962773,-0.03741594659164548,0.0013057482615113259,0.06774261584854685,-0.04824081528000534,0.016611212335992605,-0.0999289724836126,0.006904479796066881,-0.01907892607152462,0.0013682089000940324,0.0,0.0024757727840915324,0.0,1.0,1.0
A230077H06Rik,-0.11401438502012752,-0.0013758589513599873,0.02079674577107653,0.012165716332383454,-0.000547247261274606,0.00778013788163662,0.0,0.0,0.002769751399755478,0.00839495891239494,0.0,0.0,0.0,0.0,0.003846193552017212,0.004437915626913309,0.07801936451345683,0.041406379825202747,0.06421296029351652,0.0,-6.055169273167849e-05,0.044215345242992046,0.0005980499973520637,0.0,0.0062084080884233115,0.00014346814015880226,0.005905050777364522,0.07340055863372981,0.0,0.004066461622714996,0.0008878694847226143,0.1373970185779035,-0.00426516274921596,-0.010489670424722135,-0.0026101700123399496,-0.0003256664890795946,-0.012356675567571074,0.0,0.0,-0.003769352169474587,0.0,0.013589457664638758,0.0013321682903915644,-0.000593821497168392,0.01871336992830038,-0.011038862373679877,0.0054013564065098765,0.013043481688946486,0.0,0.0013694503519218414,0.0,-0.016931612301850692,0.0029935792088508608,0.02547789492062293,0.00016004793345928192,0.0,0.09902470174711198,-0.0001482979115098715,0.0,-0.06598942630691454,-0.004578815349377692,-0.2276419466966763,0.020684924204833807,0.0007835825160145759,-0.04744569958536886,0.0021976877795532347,0.016550130432005972,0.02247214985778555,0.0011809317860752345,-0.005138179482892156,0.0016709744185209275,0.0,0.01008423469029367,0.0,1.0,0.0
Zfp52,0.04542466517072171,0.009264116939157248,0.0032863193121738733,-0.014088591383770109,0.006322452395688742,-0.01673436015844345,0.0,0.0,0.0019042041851207614,0.0,0.0,0.0,0.0,0.0002243308536708355,0.0003698263084515929,0.0005917220935225487,-0.006560692014172673,0.0005275603814516216,-0.011373819757718593,0.0,-6.055169273167849e-05,0.03305124940816313,0.0012416406255215406,0.0,0.011637598695233464,0.00017933517694473266,0.0019248536694794892,0.09435788354836404,0.0,0.000869656726717949,0.0021308867633342745,-0.10046494521666319,-0.002384822182357311,-0.03058624792378396,-0.0025385290361009537,-0.00036185167729854586,-0.0072872725524939595,0.00017933517694473266,0.0,0.016333521492779255,0.0,-0.007921285291668028,0.0011807855311781169,-0.0004890294675715267,-0.0038096830365248026,0.002602017568424344,0.0021044616028666496,-0.016815943391993642,0.0,0.002915731865214184,0.0,0.010557479539420456,0.001155193937011063,0.019355006376281382,0.002240670919418335,0.0,-0.003619842187035829,-0.000296595823019743,0.0,0.09152460400713608,-0.0026884217117913068,0.0971628174232319,-0.021326242750510573,0.0008709198981523514,0.14281929099932314,-0.047814586656168105,0.0017684723762795328,-0.06906875251792371,0.006904479796066881,-0.003077113330364227,-0.028400861844420432,0.0,-0.007593462555669248,0.0,1.0,1.0
Apool,-0.034905484176706525,-0.004448610609397292,-0.00882044669240713,-0.006588042702060193,-0.007219006419181824,-0.018488115929067135,0.0,0.0,0.0009001691918820143,-0.0008064123010262847,0.0,0.0,0.0,-0.003880923669785261,0.0005917220842093229,0.0006857441365718842,-0.014767752067418769,-0.01015144185977988,-0.05324952518101782,0.0,0.04959183592349291,-0.06369947172701358,-0.012474584951996803,0.0,0.003357373329345137,0.0,0.04754272710881196,-0.07078316349419765,0.0,0.0006522425264120102,0.0002663608454167843,-0.0800224784296006,-0.009860322484746576,-0.010815850030630826,-0.005871537495404482,0.01793750379001722,-0.028910808962536977,3.5867034457623956e-05,0.0,0.0020272978022694587,0.0,-0.005869877921650186,0.0005752544873394072,-0.003201978653669357,-0.016841361708939077,0.0012615843117237092,0.000757517721503973,-0.013668573731556534,0.0,-0.0006403248629067094,0.0,0.001940356693812646,-0.0033787841070443392,0.0071601177373668175,0.00016004793345928192,0.0,0.10911782545037568,-0.0028773639956489205,0.0,-0.12142267295042984,-0.011209330289857463,-0.07533043585601262,-0.005604358888231218,0.0003487541526556015,-0.08956538409460336,0.0016870661545544863,-0.011051640082150697,-0.017540061718318612,-0.007591087725013494,0.13952844459563493,-0.012510344048496335,0.0,0.002018172258976847,0.0,1.0,2.0
Grk4,-0.0841939439997077,-0.0008622049447149038,-0.005327942315489054,-0.008351608605589717,-0.007219006419181824,-0.028005001097917558,0.0,0.0,0.001384875774383545,-0.002008276793640107,0.0,0.0,0.0,0.0,0.0005917220842093229,0.0006857441365718842,0.06511721974238753,0.007139808642677963,-0.07036204202100635,0.0,-0.0004036779701709747,0.047624518405646084,-0.0021450630761682987,0.0,0.008032963466830552,3.5867034457623956e-05,-0.00024954757653176783,-0.07257104963995516,0.0,0.0036960409954190252,0.0003551477938890457,-0.1030696884635836,0.008585359859280288,-0.017862858530133963,-0.005871537495404482,0.050044084303081035,0.09072600257117301,8.966758847236633e-05,0.0,0.006036637853831053,0.0,0.003956388682126999,0.0009688496636226774,-0.003201978653669357,-0.009401351176202298,-0.0027597156539559365,0.0012455582618713379,0.012695798352360725,0.0,0.0012412414676509797,0.0,0.011797688666265458,-0.002514021620154381,0.01504873889964074,0.00016004793345928192,0.0,-0.01897130605299026,-0.002372766546905041,0.0,-0.12014605136821047,-0.011557364738546311,-0.1531196237076074,0.012268599886447192,0.0012195252068340778,0.05776190082542598,0.0037861729133874178,-0.003342209195252508,-0.0023415831569582224,-0.04281839147210121,0.04511176898609847,0.0006579133123159409,0.0,0.0026237032981589435,0.0,1.0,1.0
Zfp932,0.026611093496903777,-0.0015868239919655026,-0.0733120253146626,0.03730558793060482,0.006322452395688742,-0.016964956596493722,0.0,0.0,0.0032890798058360813,0.0,0.0,0.0,0.0,0.000448661707341671,0.0003698263084515929,0.015014121001586318,-0.010382770169526339,-0.003070719836978242,0.024084489066153764,0.0,-4.036779515445232e-05,0.017979062567465006,0.005523614613339305,0.0,0.012524445094168186,0.00017933517694473266,0.002584996651276015,0.13672727881465108,0.0,0.0006522425264120102,0.0021308867633342745,-0.09036675917683169,-0.004338541894685477,-0.050951921478845176,-0.0017331592249684037,-0.0002171109989285469,-0.007550909139681607,0.00017933517694473266,0.0,0.005359473167918623,0.0,-0.009513454422121868,0.006660841405391693,-0.0004890294675715267,-0.0032758105569519105,0.002602017568424344,0.002414502044557594,-0.010837053805589676,0.0,0.0022285791661124676,0.0,0.009044458378339186,0.002508715451695025,0.038525838185450995,0.0002400718815624714,0.0,-0.004712007252965123,-8.897874504327774e-05,0.0,0.09678146541817113,-0.0024838476546574385,0.12598583310376854,0.012436969117261469,0.0003832433745265007,-0.04273383701685816,0.0044684669375419615,-0.013071422105422243,-0.12131318733096123,0.001428234912455082,0.02761980623938143,0.008960403129458427,0.0,0.01058988867327571,0.0,1.0,1.0
Trmt6,0.02817717763595283,-0.004448610609397292,-0.00019592252327129244,-0.0037063333485275506,0.006322452395688742,-0.006660623042844236,0.0,0.0,0.0009001691918820143,-0.0014474067091941835,0.0,0.0,0.0,0.0002243308536708355,0.0003698263084515929,0.0003898831084370613,-0.02141750443726778,-0.011009276022668928,-0.04001423662062734,0.0,-0.0004036779701709747,-0.06134257520083338,-0.0002241512667387724,0.0,-0.043719723736867305,0.0,-0.006952424049377442,-0.054329175848979505,0.0,0.000869656726717949,0.0002663608454167843,-0.07449729405809194,-0.009860322484746576,-0.030711126434616744,-0.0026727573457174005,-0.0008141662366688251,0.0335855302750133,0.0,0.0,0.0027413485827855765,0.0,0.002475885443855077,0.0003633186221122742,-0.0004890294675715267,-0.0038096830365248026,-0.0004730941168963909,0.0011143613047897816,0.00037721326574683187,0.0,0.00018056279746815564,0.0,-0.015322945492807776,0.0005952923092991114,-0.05015335634350777,0.00016004793345928192,0.0,-0.005228148614987731,-0.0006800898863002658,0.0,0.2615312318480574,-0.005465136100538075,0.05958762346068397,-0.004084550316911191,0.00017437707632780074,-0.05429153278470039,-0.005427335863932967,-0.0034207558329217135,-0.016761767226271332,0.0006834290456026792,-0.004285703767091036,-0.010042228656820952,0.0,-0.00883480118587613,0.0,1.0,1.0
Fam53c,0.017020764157641678,-0.004448610609397292,-0.0010433393972925841,-0.004320949083194137,-0.0005588908190838993,-0.006995028085075319,0.0,0.0,0.001142522431910038,-0.0014474067091941835,0.0,0.0,0.0,0.0,0.0003698263084515929,0.0005917220935225487,0.01983757294015959,-0.007934831104939803,-0.027064331425353885,0.0,-0.00010091949254274368,-0.10483632518444211,0.0005259749898687005,0.0,0.004101125043816865,3.5867034457623956e-05,-0.014274639263749122,-0.07453868719749153,0.0,0.0016306063253432512,0.0003551477938890457,-0.04217346889898181,-0.009860322484746576,-0.016093885879963635,-0.0028577641863375904,-0.0008141662366688251,-0.01248065312858671,8.966758847236633e-05,0.0,0.0024123720079660418,0.0,0.00339953675866127,0.0009688496636226774,-0.0007568313181400299,-0.0036485223239287735,-0.0004730941168963909,0.0010603479295969009,0.0030643338058143855,0.0,-0.0004859541915357113,0.0,0.007999790733447299,0.00015060581266880036,0.006370550504652783,0.0001200359407812357,0.0,-0.007041306276805699,-0.0001482979115098715,0.0,0.2280904627451673,0.04256335504469462,-0.08941040575504303,-0.05449298710911535,0.0003487541526556015,-0.050264800819568335,0.00278598559089005,-0.0023671970004215835,-0.0058189567644149065,-0.012818752261810005,0.0492944699479267,0.0006579133123159409,0.0,0.0024757727840915324,0.0,1.0,1.0
Adam12,-0.053585652359761295,-0.004448610609397292,-0.010081868013367056,0.01732199739664793,-0.00200269210152328,-0.018493805676698685,0.0,0.0,0.001384875774383545,-0.0004523145966231823,0.0,0.0,0.0,4.486617166548967e-05,0.0013313747011125087,0.00142539675347507,-0.07201293611899018,-0.015756227322854102,-0.04968546973541379,0.0,-0.0004036779701709747,0.02901429733261466,5.002942867577076e-05,0.0,0.004436931302770972,0.00014346814015880226,-0.0002743184450082481,-0.12668653931934387,0.0,0.0016749056801199913,0.00021308867260813713,0.13671037573367356,-0.009860322484746576,0.019417884598951787,-0.0075982680171728136,-0.0009046291559934616,-0.08727042577229441,0.0,0.0,-0.010253775441087782,0.0,0.0022781033418141305,0.0009688496636226774,-0.0010944945202209055,-0.01209515827940777,-0.0027597156539559365,-0.014047072399407626,-0.004979663230478763,0.0,-0.0035311314184218647,0.0,-0.03361070790560916,-0.0019354277499951421,-0.004272088129073382,-0.003401018436998129,0.0,-0.030417384309694172,-0.0003707447787746787,0.0,-0.2183614179864526,-0.01766544423531741,-0.23617379809729755,-0.06949751536361873,0.00021797134540975095,-0.11228297231718898,-0.014830552134662866,0.03961331055266783,0.014911289548035712,-0.0073302186653018,-0.02777100957930088,-0.007741332007572055,0.0,0.004694730625487864,0.0,1.0,2.0
Akr7a5,0.03027645523659885,-0.001513444846495986,-0.00046943492954596875,0.024943737401627003,-0.0005588908190838993,0.017180118281394242,0.0,0.0,0.0032890798058360813,0.005699163535609841,0.0,0.0,0.0,0.0,0.0003698263084515929,-0.009837379637174308,0.02354911859729327,-0.06684641876199748,0.04683076500892639,0.0,-6.055169273167849e-05,0.020671240696683527,0.0015882372111082077,0.0,0.009558055568486452,3.5867034457623956e-05,0.001966546280309558,0.07318499147891998,0.0,0.0015218992345035077,0.0008878694847226143,-0.03774937378242612,-0.0037148191686719656,-0.024384183753281833,-0.0026564217219129205,-0.0002171109989285469,-0.007408767049200833,0.0,0.0,0.007905531120486557,0.0,0.004040582785382867,0.002422124147415161,-0.0007568313181400299,-0.0034853946138173344,-0.0011827352643013001,0.0021202536812052132,0.00446217343211174,0.0,0.00798818645766005,0.0,-0.049558359654038216,0.0010631590895354747,0.013245813376852312,0.00016004793345928192,0.0,-0.05363351041451096,-8.897874504327774e-05,0.0,0.10618647776544093,0.023678720979951322,-0.1993839258234948,0.011576008819974958,0.000893403934314847,0.0681761725852266,0.002973695159889758,-0.047631245236843825,-0.09740034650079905,0.005783580085262656,0.022738236584700644,0.002276505455374718,0.0,0.004534578304737806,0.0,1.0,1.0
