,DEG,pred,score_0,score_1,score_2
Usp16,1,1,0.334829181432724,0.36798742413520813,0.29718339443206787
Tbccd1,1,1,0.1955580860376358,0.6505753993988037,0.15386654436588287
Kif17,1,0,0.46700310707092285,0.4185819625854492,0.11441490799188614
Smpd4,1,0,0.5187117457389832,0.40559089183807373,0.07569734752178192
Stx4a,1,0,0.6750791668891907,0.2656193971633911,0.059301383793354034
Kctd18,1,1,0.16498783230781555,0.45144838094711304,0.3835637867450714
Zfp317,1,0,0.5324072241783142,0.3799060881137848,0.08768665790557861
Arhgap42,1,2,0.10418698191642761,0.30397829413414,0.5918347239494324
Gm19461,1,1,0.3987775444984436,0.4889912009239197,0.11223118007183075
Gm26672,1,1,0.44505801796913147,0.47910788655281067,0.07583405822515488
Hyou1,1,0,0.4990585446357727,0.3183629810810089,0.18257853388786316
Gtf2h3,1,0,0.6651806235313416,0.272085040807724,0.06273431330919266
Srsf9,1,0,0.6127343773841858,0.3198894262313843,0.06737621128559113
Arsg,1,0,0.5204117298126221,0.31218528747558594,0.16740304231643677
Pfdn4,1,0,0.6122980117797852,0.3093470633029938,0.07835493236780167
Slc35b1,1,1,0.38221871852874756,0.54541015625,0.07237113267183304
Ercc2,1,1,0.32671958208084106,0.6222421526908875,0.0510382317006588
Taco1,1,1,0.30182594060897827,0.5882704257965088,0.10990367829799652
Aim2,1,2,0.13864672183990479,0.2678793668746948,0.5934739112854004
Frmd4b,1,0,0.4370129704475403,0.3541570007801056,0.20883001387119293
Eif4h,1,0,0.66255122423172,0.2785787284374237,0.05887008085846901
Ice2,1,1,0.18275456130504608,0.547610878944397,0.26963451504707336
Dcaf7,1,0,0.5343269109725952,0.3483239412307739,0.11734915524721146
Zcchc7,1,1,0.26961031556129456,0.5059312582015991,0.22445842623710632
Ppp2cb,1,1,0.31260454654693604,0.5716052651405334,0.11579020321369171
Dctn3,1,0,0.5336721539497375,0.39696064591407776,0.06936722993850708
Id2,1,0,0.4457515478134155,0.3019993305206299,0.2522491216659546
Wbp1l,1,1,0.35781410336494446,0.4562494158744812,0.18593649566173553
Pdcd2,1,1,0.2726074159145355,0.5936378240585327,0.13375476002693176
Gpr146,1,1,0.3761156499385834,0.5619921088218689,0.06189223378896713
Calhm2,1,1,0.2303684949874878,0.6751246452331543,0.0945068746805191
Dctd,1,1,0.3748491704463959,0.41353240609169006,0.21161846816539764
Stk33,1,1,0.3965533971786499,0.4578282833099365,0.1456182897090912
Mcrs1,1,1,0.2672736942768097,0.6701378226280212,0.06258852779865265
Uhrf1bp1,1,1,0.21878433227539062,0.7100872993469238,0.07112832367420197
Scamp5,1,0,0.44402608275413513,0.39379218220710754,0.1621817946434021
Grb14,1,2,0.15135519206523895,0.22209788858890533,0.6265469193458557
Zmym5,1,1,0.15875323116779327,0.5863168239593506,0.25492992997169495
Ccdc85a,1,2,0.18017545342445374,0.26526036858558655,0.5545641779899597
Cops7a,1,0,0.6465639472007751,0.2772611975669861,0.07617484033107758
Nucb1,1,1,0.33982065320014954,0.5560896992683411,0.10408962517976761
Rnf215,1,0,0.51624596118927,0.3893316090106964,0.09442243725061417
Nol4l,1,0,0.7022629976272583,0.21851223707199097,0.07922478765249252
Fbxo46,1,1,0.4410967528820038,0.4941444396972656,0.06475880742073059
Slc39a1,1,1,0.2177463322877884,0.5280178189277649,0.2542358636856079
Nrip3,1,0,0.4977370798587799,0.4432695209980011,0.058993324637413025
Cbll1,1,1,0.24949201941490173,0.5234249830245972,0.2270829826593399
Pcdhb17,1,1,0.35899150371551514,0.5272601842880249,0.11374830454587936
Skp1a,1,1,0.3266158998012543,0.6060031056404114,0.06738104671239853
Aph1b,1,1,0.38402238488197327,0.46693292260169983,0.1490447223186493
Nf1,1,0,0.4530910849571228,0.2648000121116638,0.28210893273353577
Nptx2,1,1,0.24370355904102325,0.6454995274543762,0.11079689115285873
Smpdl3a,1,1,0.290517121553421,0.45989152789115906,0.2495913952589035
Plxna3,1,1,0.1972711831331253,0.6526853442192078,0.1500435471534729
Hnrnpab,1,1,0.4262557625770569,0.4789290428161621,0.09481517970561981
Prkab1,1,1,0.30458661913871765,0.48073938488960266,0.2146739512681961
Cdh2,1,2,0.19523321092128754,0.33871936798095703,0.4660474359989166
Cdv3,1,1,0.38304826617240906,0.44864121079444885,0.16831056773662567
Hmgxb3,1,0,0.47757163643836975,0.3889446556568146,0.13348372280597687
Zmynd12,1,0,0.5928446054458618,0.35015347599983215,0.057001929730176926
Cnpy3,1,0,0.6395589113235474,0.2986244857311249,0.06181664764881134
Dohh,1,0,0.6700712442398071,0.260466992855072,0.06946178525686264
Mbtps1,1,1,0.3701280653476715,0.5438902378082275,0.08598173409700394
Acp6,1,1,0.17964819073677063,0.6927325129508972,0.12761928141117096
Dut,1,1,0.12975968420505524,0.7005406022071838,0.16969969868659973
AI854703,1,1,0.20535793900489807,0.6761661171913147,0.11847598850727081
Rab8a,1,1,0.400463730096817,0.470885694026947,0.12865063548088074
Mrpl32,1,1,0.1446860283613205,0.7201750874519348,0.1351388543844223
Wnt4,1,1,0.2887822389602661,0.6160635352134705,0.0951542779803276
Nmnat3,1,2,0.2539883852005005,0.3097778558731079,0.436233788728714
Ndufs8,1,1,0.27678588032722473,0.6396408677101135,0.08357324451208115
4632404H12Rik,1,1,0.2537544071674347,0.6689788699150085,0.07726673036813736
Ptges3,1,0,0.6567464470863342,0.2923282980918884,0.050925299525260925
Leo1,1,1,0.29861658811569214,0.5981544852256775,0.10322888195514679
Kdm5b,1,1,0.43851345777511597,0.4745118319988251,0.08697469532489777
Sparcl1,1,0,0.5092317461967468,0.4108901619911194,0.0798780545592308
Rps25,1,1,0.2856507897377014,0.6475838422775269,0.06676533818244934
Tub,1,0,0.6564037203788757,0.264275461435318,0.07932081073522568
Uqcc1,1,1,0.4087841510772705,0.41714420914649963,0.17407163977622986
Eaf2,1,1,0.23158182203769684,0.577529788017273,0.1908884197473526
Haus8,1,1,0.2264811247587204,0.6858556270599365,0.08766330033540726
4930556N13Rik,1,1,0.2252180576324463,0.6215078830718994,0.15327408909797668
Zfand3,1,0,0.5064164996147156,0.34464386105537415,0.1489395797252655
Zfp930,1,1,0.15323209762573242,0.43428948521614075,0.41247841715812683
Cep57,1,1,0.20943766832351685,0.41979095339775085,0.3707713484764099
Slc3a2,1,1,0.3966726064682007,0.5195791125297546,0.08374826610088348
Dcaf13,1,1,0.34497082233428955,0.562629222869873,0.09239998459815979
Pnldc1,1,1,0.30616044998168945,0.5751196146011353,0.11871995776891708
Vmn2r29,1,1,0.26065146923065186,0.5697474479675293,0.16960106790065765
Lrrtm1,1,1,0.24888575077056885,0.5040469765663147,0.24706731736660004
Prrc2c,1,2,0.311616450548172,0.287900447845459,0.400483101606369
Gpr161,1,2,0.13537879288196564,0.3686206638813019,0.4960005283355713
Cpeb1,1,0,0.5051823854446411,0.39716875553131104,0.09764887392520905
Ublcp1,1,1,0.22650906443595886,0.6016570329666138,0.17183390259742737
Slc48a1,1,1,0.3446643650531769,0.5371827483177185,0.1181529089808464
Fbxl3,1,1,0.14544501900672913,0.6127985119819641,0.24175645411014557
Golga1,1,1,0.2993723750114441,0.42965611815452576,0.27097150683403015
Zfp30,1,1,0.38599708676338196,0.5378705263137817,0.0761324092745781
Tpd52,1,1,0.2480984926223755,0.3990398645401001,0.3528616726398468
Romo1,1,0,0.4104182720184326,0.30972912907600403,0.27985256910324097
Aftph,1,1,0.15524761378765106,0.6628206968307495,0.18193171918392181
Snrpd2,1,1,0.3643287718296051,0.5532266497612,0.08244454860687256
2610203C22Rik,1,2,0.2206333577632904,0.2749446928501129,0.5044219493865967
Kat8,1,1,0.2851749658584595,0.6233524084091187,0.09147261083126068
Aspscr1,1,1,0.34158897399902344,0.5753321051597595,0.08307890594005585
Pdcl,1,1,0.3590148389339447,0.5268628001213074,0.11412234604358673
Nol11,1,1,0.41129741072654724,0.5142317414283752,0.0744708701968193
Atf7,1,1,0.31331682205200195,0.4675961136817932,0.21908706426620483
Fam20b,1,1,0.2773205637931824,0.5136400461196899,0.2090393751859665
Itsn1,1,0,0.6921241879463196,0.22030344605445862,0.08757241070270538
Ankra2,1,1,0.29796677827835083,0.6072968244552612,0.09473643451929092
Gtf2h2,1,1,0.191196471452713,0.45255205035209656,0.35625144839286804
Gm21814,1,1,0.16573978960514069,0.5133562088012695,0.320904016494751
Tusc3,1,1,0.25978291034698486,0.41317492723464966,0.3270421028137207
Usp37,1,2,0.27567383646965027,0.1895488053560257,0.5347773432731628
Tet2,1,2,0.3346194326877594,0.3302671015262604,0.3351134955883026
Slc39a2,1,1,0.27125272154808044,0.4514846205711365,0.27726268768310547
Xbp1,1,1,0.45822009444236755,0.46883243322372437,0.07294744998216629
Tdrd7,1,2,0.3442600965499878,0.3056458830833435,0.3500940501689911
Gm11867,1,2,0.13131403923034668,0.2931976616382599,0.575488269329071
Mrpl47,1,1,0.26926252245903015,0.593250036239624,0.13748741149902344
Tmem86b,1,1,0.29403460025787354,0.6233593821525574,0.08260609209537506
Wdr70,1,1,0.2584238648414612,0.3754021227359772,0.36617398262023926
Exoc2,1,2,0.29580414295196533,0.3141501545906067,0.39004573225975037
Vstm2b,1,0,0.5756847262382507,0.304448664188385,0.11986665427684784
Lsm4,1,1,0.3051280975341797,0.6259852647781372,0.0688866525888443
Hs3st1,1,2,0.19020377099514008,0.30274471640586853,0.5070515275001526
Sept2,1,1,0.3797931373119354,0.5221158862113953,0.09809097647666931
Zfp790,1,0,0.4709185063838959,0.44720908999443054,0.08187238872051239
Ccdc13,1,1,0.32902470231056213,0.5548005700111389,0.11617474257946014
Hars,1,0,0.5371875166893005,0.3820973038673401,0.08071520179510117
Nap1l1,1,1,0.35300523042678833,0.479098916053772,0.1678958684206009
Parp11,1,1,0.19751258194446564,0.6429948210716248,0.159492626786232
Neu2,1,0,0.6049245595932007,0.29684263467788696,0.09823282063007355
Chuk,1,1,0.2100505828857422,0.5446958541870117,0.2452535480260849
Ccnyl1,1,1,0.24314066767692566,0.6064851880073547,0.15037418901920319
Ppfia4,1,1,0.27413293719291687,0.6092420220375061,0.11662504822015762
Sfxn4,1,1,0.23714153468608856,0.6416482329368591,0.1212102547287941
Hexb,1,1,0.27742889523506165,0.4753136932849884,0.24725742638111115
Cgn,1,0,0.5101886987686157,0.33174049854278564,0.15807081758975983
Rad23a,1,0,0.6428741812705994,0.29669538140296936,0.06043044850230217
Hsph1,1,0,0.5588490962982178,0.3661922514438629,0.07495865970849991
Zfp668,1,1,0.4215850234031677,0.4323705732822418,0.14604446291923523
Emc7,1,1,0.2584540545940399,0.45189169049263,0.28965431451797485
Bet1,1,1,0.1548663228750229,0.5966076850891113,0.24852603673934937
Kiz,1,2,0.14101113379001617,0.4201315939426422,0.4388572573661804
Neurl4,1,0,0.5484044551849365,0.29862308502197266,0.15297245979309082
Sh3bgrl3,1,1,0.40542757511138916,0.478347510099411,0.11622486263513565
Chst9,1,2,0.17379745841026306,0.20143985748291016,0.6247626543045044
Rundc3b,1,2,0.3551124334335327,0.2523891031742096,0.3924984037876129
Ulk2,1,1,0.3429146409034729,0.4412764012813568,0.2158089578151703
Hcn2,1,0,0.6445713639259338,0.2992772161960602,0.056151408702135086
Aarsd1,1,1,0.32577142119407654,0.601751446723938,0.0724770724773407
Herc2,1,0,0.5649742484092712,0.280813604593277,0.1542121320962906
Kctd7,1,0,0.5133589506149292,0.41576912999153137,0.07087193429470062
Snrnp27,1,1,0.43154460191726685,0.4870491325855255,0.08140631020069122
Psat1,1,1,0.21799778938293457,0.6535567045211792,0.12844547629356384
Rfwd3,1,1,0.2169760763645172,0.6930481791496277,0.0899757593870163
Ncald,1,0,0.5029107332229614,0.2684501111507416,0.228639155626297
Zfp318,1,1,0.40231385827064514,0.5428144335746765,0.05487171560525894
Hmbox1,1,0,0.38620004057884216,0.2984887957572937,0.3153111934661865
Wdr3,1,1,0.26057106256484985,0.41964879631996155,0.319780170917511
Zfp709,1,1,0.396798700094223,0.4930231273174286,0.11017823964357376
Gm1992,1,2,0.1943293958902359,0.39388829469680786,0.41178232431411743
4931414P19Rik,1,1,0.3317103981971741,0.5354785323143005,0.13281108438968658
Srsf11,1,0,0.4674642086029053,0.3312784433364868,0.20125728845596313
Ydjc,1,0,0.5167850255966187,0.4274994432926178,0.05571553856134415
Scap,1,1,0.3123273551464081,0.6071555614471436,0.08051704615354538
Rnf38,1,0,0.637781023979187,0.25763872265815735,0.10458028316497803
Bax,1,1,0.4214722812175751,0.5108595490455627,0.06766814738512039
Mrps22,1,1,0.29348647594451904,0.45390474796295166,0.2526088058948517
Mtif2,1,1,0.1484445333480835,0.7143327593803406,0.13722270727157593
Xpo1,1,1,0.26717671751976013,0.4214758276939392,0.31134745478630066
1110032A03Rik,1,1,0.28587308526039124,0.5764941573143005,0.13763277232646942
Gprin3,1,1,0.3123008906841278,0.3500133752822876,0.3376857340335846
Neto2,1,1,0.34732919931411743,0.4434106647968292,0.20926009118556976
Taf3,1,1,0.28958335518836975,0.45320916175842285,0.2572074234485626
Dph5,1,1,0.1225285455584526,0.6358034610748291,0.24166804552078247
Bri3bp,1,1,0.3889252245426178,0.49235859513282776,0.11871618032455444
Dhdds,1,0,0.6686979532241821,0.2566222548484802,0.07467979192733765
Trmt1l,1,1,0.1799146980047226,0.6668829321861267,0.1532023400068283
Egfem1,1,2,0.16744300723075867,0.22565588355064392,0.6069011092185974
6330403K07Rik,1,1,0.20903824269771576,0.5625819563865662,0.22837980091571808
Nipal2,1,1,0.18984892964363098,0.42549529671669006,0.38465583324432373
Hspa12a,1,1,0.3283512592315674,0.5115596055984497,0.1600891500711441
Cdk8,1,0,0.4380890130996704,0.38443347811698914,0.17747749388217926
Erbb4,1,2,0.18252728879451752,0.2507345378398895,0.5667381286621094
Bbip1,1,1,0.24286919832229614,0.5174828767776489,0.23964792490005493
Zfp174,1,1,0.29374960064888,0.6353879570960999,0.07086243480443954
Kdm1b,1,1,0.23051558434963226,0.44514113664627075,0.3243432641029358
Slc7a5,1,1,0.29806411266326904,0.6199803352355957,0.08195558935403824
Lamtor4,1,1,0.2909771800041199,0.6209998726844788,0.08802291750907898
Mfsd11,1,0,0.5828527808189392,0.36873990297317505,0.04840733855962753
Capzb,1,0,0.6934811472892761,0.20089876651763916,0.10562006384134293
Zfp444,1,0,0.5886020660400391,0.2927786707878113,0.11861921101808548
Gm26673,1,1,0.40851446986198425,0.4328831434249878,0.15860241651535034
Zc3h14,1,1,0.4109419882297516,0.4356642961502075,0.1533936709165573
Tubgcp4,1,0,0.4789252281188965,0.4328220784664154,0.0882527157664299
Man2b1,1,1,0.39523807168006897,0.48023903369903564,0.12452288717031479
Dnah7a,1,2,0.1415172517299652,0.27635857462882996,0.5821241736412048
Smpdl3b,1,1,0.3770503103733063,0.44785571098327637,0.17509393393993378
Gdpd1,1,1,0.11318845301866531,0.4690307676792145,0.41778072714805603
Paqr8,1,1,0.22677581012248993,0.547945499420166,0.22527866065502167
Uimc1,1,0,0.5642051696777344,0.2833004295825958,0.1524944305419922
Thop1,1,1,0.3109859526157379,0.6204699277877808,0.06854411959648132
Ccdc18,1,0,0.6665947437286377,0.2431071698665619,0.09029807895421982
Mtrr,1,1,0.28752684593200684,0.5166480541229248,0.19582511484622955
Jak1,1,2,0.36435893177986145,0.270806223154068,0.36483487486839294
Cd99l2,1,2,0.16474689543247223,0.4090243875980377,0.42622870206832886
Pdgfa,1,1,0.25787487626075745,0.5545696020126343,0.18755555152893066
Fbll1,1,1,0.242372065782547,0.4782310128211975,0.2793968617916107
Kcnh4,1,1,0.30517616868019104,0.5689390301704407,0.1258847862482071
Polr3k,1,1,0.4176180064678192,0.4822622239589691,0.1001197099685669
Elac2,1,1,0.12307821214199066,0.6313155293464661,0.24560624361038208
Dennd5b,1,0,0.44350650906562805,0.2820059657096863,0.2744874656200409
Pdk2,1,1,0.2430049329996109,0.6833334565162659,0.07366162538528442
Pard3b,1,2,0.15098971128463745,0.24032822251319885,0.6086820960044861
Ier5l,1,1,0.3299050033092499,0.585663378238678,0.08443161845207214
Trpc5,1,2,0.23316264152526855,0.302935928106308,0.46390143036842346
Kctd13,1,0,0.5109679698944092,0.448501855134964,0.040530186146497726
Alg14,1,0,0.45470520853996277,0.37100470066070557,0.17429013550281525
Dclk3,1,1,0.3020867109298706,0.5808057188987732,0.1171075627207756
Mob4,1,1,0.23422981798648834,0.4448474645614624,0.32092273235321045
Arf2,1,1,0.4312054514884949,0.5011000633239746,0.06769455224275589
Fads2,1,0,0.736441969871521,0.2225516140460968,0.041006412357091904
Ptar1,1,1,0.3022201657295227,0.5115423202514648,0.18623746931552887
Tmem62,1,1,0.3723089098930359,0.5312692523002625,0.09642181545495987
Slc24a3,1,2,0.21635441482067108,0.2848524749279022,0.4987930655479431
