gene_name,gene_length.meta,count.enhancer_DMR,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,rel_pos.DMR,distance.log2.DMR,18mo.9mo.Q.std.loops,loop_size.log.max.loops,9mo.2mo.Q.max.loops,loop_size.log.median.loops,9mo.2mo.Q.std.loops,loop_size.log.mean.loops,18mo.2mo.Q.std.loops,loop_size.log.min.loops,18mo.2mo.Q.min.loops,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.9mo.log_ratio.max.atac,log2_distance.mean.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Smpd4,0.03599858827888966,0.0,0.0,0.0,0.00954606018960476,0.0,0.0,0.0,0.0,0.0,0.06790761340409518,0.0,0.2639677206799388,0.04445062577724457,0.0,0.0,0.0,0.0,0.027296571359038353,0.0,0.04610284946858883,0.0,0.057129821255803105,0.096900516115129,0.038679761216044425,0.03948020078241825,0.0,0.0,-0.053203206583857535,0.10279982723295689,0.0,0.035637143701314926,0.03224477775394916,0.016921010492369534,-0.13062701798975468,0.0,0.0,0.0,0.005998331159353256,1.0,0.0
Stx4a,0.03599858827888966,0.0,0.0,0.0,0.00954606018960476,0.0,0.0,0.0,0.0,0.0,0.02531316302716732,0.0,0.18299162320792675,0.04445062577724457,0.0,0.0,0.0,0.0,0.027296571359038353,0.0,0.059221626333892344,0.0,0.057129821255803105,0.11841841872781515,0.038679761216044425,0.03948020078241825,0.0,0.0,-0.014000843837857246,0.10308532349765301,0.0,0.035637143701314926,-0.12720710821449757,0.0065874601434916255,0.14913871571421622,0.0,0.0,0.0,0.005998331159353256,1.0,0.0
Zfp317,0.026180042512714864,0.0,0.0,0.0,-0.08569254003465175,0.0,0.0,0.0,0.0,0.0,0.05620569726452231,0.0,0.07263542894273996,0.04275071866810322,0.0,0.0,0.0,0.0,-0.035798782110214235,0.0,-0.05410784522071481,0.0,-0.05966450713574886,0.09352627357468009,-0.05971922188997269,0.012643985897302628,0.0,0.0,0.021467960551381112,0.16963192576891742,0.0,0.035637143701314926,0.00838421946449671,-0.13822052848525346,0.09481131367385387,0.0,0.0,0.0,0.005998331159353256,1.0,0.0
Gm19461,0.013830537311732768,0.0,0.0,0.0,0.0035520223900675774,0.0,0.0,0.0,0.0,0.0,-0.042178458021953705,0.0,0.013772308845072984,-0.09307811658829451,0.0,0.0,0.0,0.0,0.008949695527553559,0.0,0.07865075854584574,0.0,0.04649474579840898,-0.07638494342565537,0.021274152658879757,-0.06605837523937225,0.0,0.0,0.07560455672442913,0.1261651300138328,0.0,-0.10761711716651917,-0.030040018701693042,-0.028883596044033767,-0.09693446990102529,0.0,0.0,0.0,0.0021170581132173537,1.0,1.0
Gtf2h3,0.03599858827888966,0.0,0.0,0.0,0.00954606018960476,0.0,0.0,0.0,0.0,0.0,0.09515877719968557,0.0,0.23381091881543398,0.06206484019756317,0.0,0.0,0.0,0.0,-0.009397180303931236,0.0,-0.07562574783340097,0.0,-0.02353883285075426,-0.052522228099405766,-0.030082644671201707,-0.02090128280222416,0.0,0.0,0.021467960551381112,0.16082683138549328,0.0,0.035637143701314926,0.03224477775394916,0.016921010492369534,0.09663923516869545,0.0,0.0,0.0,0.005998331159353256,1.0,0.0
Ercc2,0.03599858827888966,0.0,0.0,0.0,0.0037740238010883333,0.0,0.0,0.0,0.0,0.0,0.053570494968444106,0.0,0.25258632078766824,0.04053283393383026,0.0,0.0,0.0,0.0,0.008949695527553559,0.0,-0.07165680801495909,0.0,-0.02353883285075426,-0.09015640109777451,0.021274152658879757,-0.02090128280222416,0.0,0.0,-0.014000843837857246,-0.3397249873355031,0.0,0.035637143701314926,0.008564511346630752,0.005485902745276689,0.09458946712315082,0.0,0.0,0.0,0.005998331159353256,1.0,1.0
Eif4h,0.03599858827888966,0.0,0.0,0.0,0.00954606018960476,0.0,0.0,0.0,0.0,0.0,0.09515877719968557,0.0,0.20714099895209073,0.06206484019756317,0.0,0.0,0.0,0.0,0.008949695527553559,0.0,-0.07562574783340097,0.0,-0.05966450713574886,-0.09015640109777451,0.021274152658879757,0.012643985897302628,0.0,0.0,-0.014000843837857246,0.18749675311148167,0.0,0.035637143701314926,0.03224477775394916,0.016921010492369534,0.13468844614923,0.0,0.0,0.0,0.005998331159353256,1.0,0.0
Dctd,0.014536223374307156,0.0,0.0,0.0,0.0035520223900675774,0.0,0.0,0.0,0.0,0.0,-0.08316804765723645,0.0,-0.26443084694445135,-0.13050832197070122,0.0,0.0,0.0,0.0,-0.009397180303931236,0.0,-0.13800813987851143,0.0,-0.0487713909894228,-0.052522228099405766,-0.030082644671201707,-0.02090128280222416,0.0,0.0,-0.014000843837857246,0.05059688622073736,0.0,0.005292645171284676,0.0023474681947845966,0.004599189525470138,0.12134854026138782,0.0,0.0,0.0,0.0021170581132173537,1.0,1.0
Ccdc85a,0.010654950626194476,0.0,0.0,0.0,0.0035520223900675774,0.0,0.0,0.0,0.0,0.0,-0.06529658682644367,0.0,-0.19434302497655154,-0.13050832197070122,0.0,0.0,0.0,0.0,-0.009397180303931236,0.0,-0.032721167355775835,0.0,-0.05109375547617674,-0.03875077042728663,-0.030082644671201707,0.007741216197609901,0.0,0.0,-0.053203206583857535,0.018515958391362802,0.0,-0.04004768159240484,-0.029714829850709067,0.00378467233851552,-0.18667796395719052,0.0,0.0,0.0,0.0012349506095051766,1.0,2.0
Hnrnpab,-0.054866966754198075,0.0,0.0,0.0,0.00954606018960476,0.0,0.0,0.0,0.0,0.0,-0.08316804765723645,0.0,-0.18833236560225486,0.06206484019756317,0.0,0.0,0.0,0.0,-0.035798782110214235,0.0,-0.09282113663852215,0.0,-0.08489706411957741,0.09352627357468009,-0.05971922188997269,0.012643985897302628,0.0,0.0,0.021467960551381112,0.07165026742906776,0.0,0.0028227442502975464,0.0023474681947845966,0.004599189525470138,0.08511685386300087,0.0,0.0,0.0,0.0012349506095051766,1.0,1.0
